Date,Close
2007-01-03,48.92
2007-01-04,48.39
2007-01-05,48.78
2007-01-08,48.74
2007-01-09,49.27
2007-01-10,49.59
2007-01-11,49.8
2007-01-12,49.94
2007-01-16,50.04
2007-01-17,50.15
2007-01-18,49.79
2007-01-19,50.21
2007-01-22,49.78
2007-01-23,50.77
2007-01-24,50.58
2007-01-25,50.03
2007-01-26,50.19
2007-01-29,50.61
2007-01-30,48.12
2007-01-31,48.48
2007-02-01,49.23
2007-02-02,49.17
2007-02-05,48.93
2007-02-06,49.24
2007-02-07,48.75
2007-02-08,48.24
2007-02-09,48.65
2007-02-12,48.45
2007-02-13,48.92
2007-02-14,48.58
2007-02-15,48.89
2007-02-16,48.76
2007-02-20,49.0
2007-02-21,48.97
2007-02-22,48.68
2007-02-23,48.23
2007-02-26,48.23
2007-02-27,46.83
2007-02-28,46.8
2007-03-01,46.84
2007-03-02,46.03
2007-03-05,46.0
2007-03-06,46.65
2007-03-07,46.35
2007-03-08,46.66
2007-03-09,46.72
2007-03-12,46.9
2007-03-13,46.22
2007-03-14,46.45
2007-03-15,46.67
2007-03-16,46.22
2007-03-19,46.08
2007-03-20,46.81
2007-03-21,47.55
2007-03-22,47.91
2007-03-23,47.92
2007-03-26,48.01
2007-03-27,47.7
2007-03-28,47.26
2007-03-29,47.18
2007-03-30,47.22
2007-04-02,47.14
2007-04-03,47.8
2007-04-04,47.71
2007-04-05,47.61
2007-04-09,47.93
2007-04-10,47.77
2007-04-11,47.32
2007-04-12,47.94
2007-04-13,47.67
2007-04-16,48.33
2007-04-17,48.29
2007-04-18,48.07
2007-04-19,48.02
2007-04-20,48.44
2007-04-23,48.48
2007-04-24,48.14
2007-04-25,49.36
2007-04-26,48.95
2007-04-27,48.65
2007-04-30,48.67
2007-05-01,48.3
2007-05-02,48.5
2007-05-03,52.75
2007-05-04,51.86
2007-05-07,52.07
2007-05-08,51.78
2007-05-09,51.73
2007-05-10,51.07
2007-05-11,51.03
2007-05-14,50.89
2007-05-15,51.22
2007-05-16,50.92
2007-05-17,51.0
2007-05-18,50.97
2007-05-21,51.75
2007-05-22,51.92
2007-05-23,51.54
2007-05-24,50.26
2007-05-25,51.43
2007-05-29,51.08
2007-05-30,51.1
2007-05-31,51.33
2007-06-01,51.45
2007-06-04,51.34
2007-06-05,51.43
2007-06-06,50.7
2007-06-07,49.65
2007-06-08,50.42
2007-06-11,50.68
2007-06-12,50.64
2007-06-13,51.95
2007-06-14,52.12
2007-06-15,51.77
2007-06-18,52.05
2007-06-19,52.12
2007-06-20,51.27
2007-06-21,51.43
2007-06-22,50.77
2007-06-25,50.5
2007-06-26,50.91
2007-06-27,51.69
2007-06-28,52.24
2007-06-29,52.14
2007-07-02,52.87
2007-07-03,53.01
2007-07-05,52.51
2007-07-06,52.56
2007-07-09,52.54
2007-07-10,51.95
2007-07-11,52.47
2007-07-12,53.89
2007-07-13,53.93
2007-07-16,53.22
2007-07-17,52.83
2007-07-18,52.61
2007-07-19,53.2
2007-07-20,51.84
2007-07-23,52.09
2007-07-24,50.88
2007-07-25,50.07
2007-07-26,50.35
2007-07-27,48.85
2007-07-30,49.37
2007-07-31,50.11
2007-08-01,51.72
2007-08-02,51.64
2007-08-03,49.83
2007-08-06,50.68
2007-08-07,47.45
2007-08-08,50.78
