Date,Close
2007-01-03,19.2
2007-01-04,19.55
2007-01-05,19.31
2007-01-08,19.27
2007-01-09,19.75
2007-01-10,19.66
2007-01-11,19.78
2007-01-12,19.75
2007-01-16,19.39
2007-01-17,19.44
2007-01-18,19.45
2007-01-19,19.75
2007-01-22,20.27
2007-01-23,20.49
2007-01-24,20.48
2007-01-25,20.04
2007-01-26,19.61
2007-01-29,19.71
2007-01-30,19.75
2007-01-31,20.42
2007-02-01,20.78
2007-02-02,18.58
2007-02-05,17.59
2007-02-06,17.78
2007-02-07,18.18
2007-02-08,17.59
2007-02-09,17.04
2007-02-12,17.47
2007-02-13,18.59
2007-02-14,18.61
2007-02-15,18.44
2007-02-16,18.41
2007-02-20,18.53
2007-02-21,18.27
2007-02-22,18.03
2007-02-23,17.91
2007-02-26,17.62
2007-02-27,16.82
2007-02-28,16.8
2007-03-01,16.3
2007-03-02,15.9
2007-03-05,14.89
2007-03-06,15.6
2007-03-07,16.01
2007-03-08,15.78
2007-03-09,15.87
2007-03-12,15.65
2007-03-13,14.43
2007-03-14,14.77
2007-03-15,14.61
2007-03-16,14.56
2007-03-19,14.69
2007-03-20,14.81
2007-03-21,15.15
2007-03-22,15.14
2007-03-23,14.99
2007-03-26,14.77
2007-03-27,14.64
2007-03-28,14.73
2007-03-29,14.69
2007-03-30,14.65
2007-04-02,14.61
2007-04-03,14.75
2007-04-04,14.89
2007-04-05,15.35
2007-04-09,15.24
2007-04-10,15.78
2007-04-11,15.56
2007-04-12,15.64
2007-04-13,15.69
2007-04-16,16.19
2007-04-17,16.11
2007-04-18,15.92
2007-04-19,15.9
2007-04-20,16.02
2007-04-23,16.05
2007-04-24,16.39
2007-04-25,16.48
2007-04-26,16.86
2007-04-27,16.8
2007-04-30,16.32
2007-05-01,16.34
2007-05-02,16.58
2007-05-03,16.72
2007-05-04,16.86
2007-05-07,16.76
2007-05-08,16.66
2007-05-09,16.84
2007-05-10,16.3
2007-05-11,16.32
2007-05-14,16.5
2007-05-15,16.15
2007-05-16,16.33
2007-05-17,16.14
2007-05-18,16.26
2007-05-21,16.3
2007-05-22,16.33
2007-05-23,16.67
2007-05-24,16.34
2007-05-25,16.29
2007-05-29,16.32
2007-05-30,15.98
2007-05-31,16.32
2007-06-01,16.5
2007-06-04,17.0
2007-06-05,17.75
2007-06-06,17.47
2007-06-07,17.58
2007-06-08,17.67
2007-06-11,18.59
2007-06-12,18.48
2007-06-13,19.17
2007-06-14,19.73
2007-06-15,20.08
2007-06-18,20.28
2007-06-19,20.27
2007-06-20,20.27
2007-06-21,19.79
2007-06-22,19.81
2007-06-25,19.93
2007-06-26,19.74
2007-06-27,20.94
2007-06-28,20.73
2007-06-29,20.3
2007-07-02,20.7
2007-07-03,20.78
2007-07-05,20.93
2007-07-06,20.9
2007-07-09,20.67
2007-07-10,20.41
2007-07-11,20.23
2007-07-12,21.05
2007-07-13,20.82
2007-07-16,20.53
2007-07-17,20.93
2007-07-18,20.82
2007-07-19,20.67
2007-07-20,20.21
2007-07-23,21.0
2007-07-24,20.92
2007-07-25,22.96
2007-07-26,23.73
2007-07-27,23.35
2007-07-30,23.13
2007-07-31,22.78
2007-08-01,23.39
2007-08-02,23.17
2007-08-03,22.26
2007-08-06,23.63
2007-08-07,24.72
2007-08-08,25.09
2007-08-09,24.47
2007-08-10,23.42
2007-08-13,23.5
2007-08-14,22.75
2007-08-15,22.4
2007-08-16,22.44
2007-08-17,23.33
2007-08-20,23.83
2007-08-21,24.25
2007-08-22,23.84
2007-08-23,23.41
2007-08-24,23.9
2007-08-27,23.52
2007-08-28,23.19
2007-08-29,23.61
2007-08-30,23.69
2007-08-31,24.15
2007-09-04,24.39
2007-09-05,24.0
