Date,Close
2007-01-03,12.24
2007-01-04,12.32
2007-01-05,12.28
2007-01-08,12.24
2007-01-09,12.36
2007-01-10,12.78
2007-01-11,13.04
2007-01-12,13.37
2007-01-16,13.81
2007-01-17,13.79
2007-01-18,13.7
2007-01-19,13.65
2007-01-22,13.53
2007-01-23,13.47
2007-01-24,13.42
2007-01-25,13.3
2007-01-26,13.36
2007-01-29,13.17
2007-01-30,13.19
2007-01-31,13.16
2007-02-01,13.27
2007-02-02,13.18
2007-02-05,13.14
2007-02-06,13.18
2007-02-07,13.12
2007-02-08,13.15
2007-02-09,12.92
2007-02-12,12.67
2007-02-13,12.45
2007-02-14,12.55
2007-02-15,12.55
2007-02-16,12.55
2007-02-20,12.78
2007-02-21,12.72
2007-02-22,12.8
2007-02-23,13.18
2007-02-26,13.18
2007-02-27,12.91
2007-02-28,12.59
2007-03-01,12.45
2007-03-02,12.32
2007-03-05,12.17
2007-03-06,12.39
2007-03-07,12.23
2007-03-08,12.29
2007-03-09,12.43
2007-03-12,12.57
2007-03-13,12.35
2007-03-14,12.38
2007-03-15,12.59
2007-03-16,12.42
2007-03-19,12.43
2007-03-20,12.51
2007-03-21,12.59
2007-03-22,12.64
2007-03-23,12.59
2007-03-26,12.42
2007-03-27,12.41
2007-03-28,12.3
2007-03-29,12.29
2007-03-30,12.31
2007-04-02,12.33
2007-04-03,12.34
2007-04-04,12.17
2007-04-05,12.24
2007-04-09,12.26
2007-04-10,12.22
2007-04-11,12.12
2007-04-12,12.19
2007-04-13,12.65
2007-04-16,12.83
2007-04-17,12.87
2007-04-18,12.97
2007-04-19,12.84
2007-04-20,12.92
2007-04-23,12.9
2007-04-24,12.89
2007-04-25,12.94
2007-04-26,12.89
2007-04-27,12.77
2007-04-30,12.68
2007-05-01,12.73
2007-05-02,12.7
2007-05-03,12.76
2007-05-04,12.8
2007-05-07,12.88
2007-05-08,12.79
2007-05-09,12.94
2007-05-10,12.01
2007-05-11,11.77
2007-05-14,11.83
2007-05-15,11.63
2007-05-16,11.73
2007-05-17,11.6
2007-05-18,11.71
2007-05-21,11.63
2007-05-22,11.8
2007-05-23,11.88
2007-05-24,11.64
2007-05-25,11.63
2007-05-29,11.65
2007-05-30,11.74
2007-05-31,11.75
2007-06-01,11.81
2007-06-04,11.88
2007-06-05,12.0
2007-06-06,11.77
2007-06-07,11.56
2007-06-08,11.59
2007-06-11,11.51
2007-06-12,11.38
2007-06-13,11.47
2007-06-14,11.42
2007-06-15,11.6
2007-06-18,11.74
2007-06-19,11.78
2007-06-20,11.73
2007-06-21,11.79
2007-06-22,11.54
2007-06-25,11.72
2007-06-26,11.4
2007-06-27,11.31
2007-06-28,11.49
2007-06-29,11.4
2007-07-02,11.32
2007-07-03,11.35
2007-07-05,11.46
2007-07-06,11.44
2007-07-09,11.34
2007-07-10,11.08
2007-07-11,11.26
2007-07-12,11.33
2007-07-13,11.36
2007-07-16,11.36
2007-07-17,11.34
2007-07-18,11.19
2007-07-19,11.21
2007-07-20,10.99
2007-07-23,10.95
2007-07-24,10.68
2007-07-25,10.83
2007-07-26,10.51
2007-07-27,10.24
2007-07-30,10.2
2007-07-31,10.49
2007-08-01,10.4
2007-08-02,10.27
2007-08-03,9.84
2007-08-06,9.75
2007-08-07,11.19
2007-08-08,11.32
2007-08-09,11.61
2007-08-10,11.27
2007-08-13,11.42
2007-08-14,11.25
2007-08-15,11.0
2007-08-16,11.11
2007-08-17,11.27
2007-08-20,11.18
2007-08-21,10.99
2007-08-22,11.06
2007-08-23,10.99
2007-08-24,11.04
2007-08-27,10.87
2007-08-28,10.7
2007-08-29,10.79
2007-08-30,11.0
2007-08-31,10.95
2007-09-04,11.09
2007-09-05,11.05
2007-09-06,10.94
2007-09-07,10.73
2007-09-10,10.42
2007-09-11,10.35
2007-09-12,10.23
2007-09-13,10.27
2007-09-14,10.15
2007-09-17,9.99
2007-09-18,10.23
2007-09-19,10.38
2007-09-20,10.49
2007-09-21,10.56
2007-09-24,10.66
2007-09-25,10.49
2007-09-26,10.57
2007-09-27,10.46
2007-09-28,10.38
2007-10-01,10.46
2007-10-02,10.41
2007-10-03,10.31
2007-10-04,10.25
2007-10-05,10.37
2007-10-08,10.38
2007-10-09,10.34
2007-10-10,10.29
2007-10-11,10.53
2007-10-12,10.55
2007-10-15,10.35
2007-10-16,10.15
2007-10-17,10.08
2007-10-18,10.14
2007-10-19,9.93
2007-10-22,10.14
2007-10-23,10.06
2007-10-24,10.05
2007-10-25,9.96
2007-10-26,10.09
2007-10-29,10.0
2007-10-30,10.05
2007-10-31,10.35
2007-11-01,9.64
2007-11-02,9.41
2007-11-05,9.33
2007-11-06,9.22
2007-11-07,8.86
2007-11-08,8.88
2007-11-09,8.98
2007-11-12,9.08
2007-11-13,9.29
2007-11-14,9.17
2007-11-15,9.16
2007-11-16,9.28
2007-11-19,9.27
2007-11-20,9.03
2007-11-21,8.96
2007-11-23,9.02
2007-11-26,9.0
2007-11-27,9.16
2007-11-28,9.39
2007-11-29,9.44
2007-11-30,9.49
2007-12-03,9.38
2007-12-04,9.32
2007-12-05,9.2
2007-12-06,9.0
2007-12-07,8.95
2007-12-10,8.9
2007-12-11,8.6
2007-12-12,8.5
2007-12-13,8.54
2007-12-14,8.15
2007-12-17,8.17
2007-12-18,8.11
2007-12-19,8.13
2007-12-20,8.1
2007-12-21,8.23
2007-12-24,8.26
2007-12-26,8.38
2007-12-27,8.24
2007-12-28,8.22
2007-12-31,8.11
2008-01-02,7.9
2008-01-03,7.91
2008-01-04,7.67
2008-01-07,7.58
2008-01-08,7.54
2008-01-09,7.41
2008-01-10,7.44
2008-01-11,7.4
2008-01-14,7.68
2008-01-15,7.65
2008-01-16,7.85
2008-01-17,7.78
2008-01-18,7.77
2008-01-22,7.8
2008-01-23,8.22
2008-01-24,8.36
2008-01-25,8.47
2008-01-28,8.66
2008-01-29,8.96
2008-01-30,8.9
2008-01-31,8.92
2008-02-01,8.98
2008-02-04,8.97
2008-02-05,8.59
2008-02-06,8.44
2008-02-07,8.44
2008-02-08,8.26
2008-02-11,8.31
2008-02-12,8.43
2008-02-13,8.54
2008-02-14,8.44
2008-02-15,8.52
2008-02-19,8.4
2008-02-20,8.5
2008-02-21,8.3
2008-02-22,8.49
2008-02-25,8.7
2008-02-26,8.8
2008-02-27,8.67
2008-02-28,8.41
2008-02-29,8.62
2008-03-03,8.28
2008-03-04,8.33
2008-03-05,8.39
2008-03-06,8.32
2008-03-07,8.24
2008-03-10,8.08
2008-03-11,8.27
2008-03-12,8.19
2008-03-13,8.25
2008-03-14,8.15
2008-03-17,8.12
2008-03-18,8.5
2008-03-19,8.48
2008-03-20,8.59
2008-03-24,8.79
2008-03-25,8.68
2008-03-26,8.52
2008-03-27,8.39
2008-03-28,8.4
2008-03-31,8.41
2008-04-01,8.55
2008-04-02,8.49
2008-04-03,8.52
2008-04-04,8.35
2008-04-07,8.38
2008-04-08,8.19
2008-04-09,8.0
2008-04-10,8.0
2008-04-11,8.01
2008-04-14,8.17
2008-04-15,7.9
2008-04-16,8.15
2008-04-17,8.13
2008-04-18,8.23
2008-04-21,8.15
2008-04-22,8.14
2008-04-23,8.14
2008-04-24,8.43
2008-04-25,8.43
2008-04-28,8.5
2008-04-29,8.55
2008-04-30,9.05
2008-05-01,9.46
2008-05-02,9.43
2008-05-05,9.57
2008-05-06,9.73
2008-05-07,9.41
2008-05-08,9.65
2008-05-09,9.72
2008-05-12,10.1
2008-05-13,10.1
2008-05-14,10.08
2008-05-15,10.39
2008-05-16,10.07
2008-05-19,10.1
2008-05-20,9.94
2008-05-21,9.73
2008-05-22,9.79
2008-05-23,9.6
2008-05-27,9.83
2008-05-28,9.76
2008-05-29,9.83
2008-05-30,9.97
2008-06-02,9.85
2008-06-03,9.95
2008-06-04,9.9
2008-06-05,9.86
2008-06-06,9.5
2008-06-09,9.51
2008-06-10,9.36
2008-06-11,9.17
2008-06-12,9.26
2008-06-13,9.36
2008-06-16,9.2
2008-06-17,9.32
2008-06-18,9.1
2008-06-19,9.28
2008-06-20,9.03
2008-06-23,9.01
2008-06-24,8.87
2008-06-25,9.03
2008-06-26,8.74
2008-06-27,8.62
2008-06-30,8.6
2008-07-01,8.34
2008-07-02,8.2
2008-07-03,8.3
2008-07-07,8.03
2008-07-08,8.16
2008-07-09,7.9
2008-07-10,7.78
2008-07-11,7.63
2008-07-14,7.38
2008-07-15,7.29
2008-07-16,7.57
2008-07-17,7.63
2008-07-18,7.74
2008-07-21,7.7
2008-07-22,7.8
2008-07-23,8.03
2008-07-24,7.76
2008-07-25,7.93
2008-07-28,7.8
2008-07-29,7.95
2008-07-30,8.51
2008-07-31,8.79
2008-08-01,8.71
2008-08-04,8.49
2008-08-05,8.96
2008-08-06,9.02
2008-08-07,8.97
2008-08-08,8.94
2008-08-11,9.07
2008-08-12,9.06
2008-08-13,9.02
2008-08-14,9.38
2008-08-15,9.57
2008-08-18,9.28
2008-08-19,9.13
2008-08-20,8.99
2008-08-21,9.15
2008-08-22,9.35
2008-08-25,9.34
