Date,Close
2007-01-03,23.41
2007-01-04,23.2
2007-01-05,22.77
2007-01-08,22.98
2007-01-09,23.22
2007-01-10,22.95
2007-01-11,23.45
2007-01-12,23.58
2007-01-16,24.06
2007-01-17,24.8
2007-01-18,24.14
2007-01-19,24.42
2007-01-22,24.49
2007-01-23,24.59
2007-01-24,24.96
2007-01-25,24.25
2007-01-26,24.05
2007-01-29,24.04
2007-01-30,23.82
2007-01-31,24.37
2007-02-01,24.89
2007-02-02,25.08
2007-02-05,24.55
2007-02-06,25.05
2007-02-07,24.81
2007-02-08,24.46
2007-02-09,24.67
2007-02-12,24.63
2007-02-13,24.25
2007-02-14,24.56
2007-02-15,24.71
2007-02-16,24.8
2007-02-20,25.12
2007-02-21,25.5
2007-02-22,25.97
2007-02-23,25.92
2007-02-26,25.56
2007-02-27,23.74
2007-02-28,23.87
2007-03-01,23.34
2007-03-02,22.78
2007-03-05,22.37
2007-03-06,22.99
2007-03-07,22.99
2007-03-08,23.59
2007-03-09,23.51
2007-03-12,23.54
2007-03-13,22.42
2007-03-14,22.52
2007-03-15,22.78
2007-03-16,22.97
2007-03-19,23.32
2007-03-20,23.53
2007-03-21,24.38
2007-03-22,24.16
2007-03-23,24.1
2007-03-26,24.17
2007-03-27,23.65
2007-03-28,22.09
2007-03-29,22.14
2007-03-30,22.1
2007-04-02,22.23
2007-04-03,22.6
2007-04-04,22.77
2007-04-05,22.75
2007-04-09,22.93
2007-04-10,23.16
2007-04-11,22.9
2007-04-12,23.03
2007-04-13,23.36
2007-04-16,23.84
2007-04-17,24.02
2007-04-18,23.95
2007-04-19,23.68
2007-04-20,23.93
2007-04-23,23.52
2007-04-24,23.06
2007-04-25,23.31
2007-04-26,23.95
2007-04-27,23.66
2007-04-30,23.71
2007-05-01,23.81
2007-05-02,23.97
2007-05-03,24.57
2007-05-04,25.35
2007-05-07,25.32
2007-05-08,25.1
2007-05-09,24.96
2007-05-10,24.42
2007-05-11,24.68
2007-05-14,24.37
2007-05-15,24.53
2007-05-16,24.54
2007-05-17,24.4
2007-05-18,24.68
2007-05-21,24.36
2007-05-22,24.21
2007-05-23,24.28
2007-05-24,23.85
2007-05-25,23.72
2007-05-29,23.62
2007-05-30,23.74
2007-05-31,24.05
2007-06-01,24.57
2007-06-04,24.47
2007-06-05,24.17
