Date,Close
2007-01-03,22.42
2007-01-04,23.15
2007-01-05,22.67
2007-01-08,22.78
2007-01-09,23.43
2007-01-10,23.2
2007-01-11,22.96
2007-01-12,23.61
2007-01-16,23.84
2007-01-17,23.88
2007-01-18,23.88
2007-01-19,24.01
2007-01-22,24.35
2007-01-23,24.05
2007-01-24,24.16
2007-01-25,23.57
2007-01-26,23.35
2007-01-29,23.89
2007-01-30,24.55
2007-01-31,25.13
2007-02-01,25.3
2007-02-02,25.04
2007-02-05,24.72
2007-02-06,25.08
2007-02-07,25.39
2007-02-08,25.53
2007-02-09,25.37
2007-02-12,25.8
2007-02-13,26.65
2007-02-14,26.55
2007-02-15,26.9
2007-02-16,26.72
2007-02-20,27.31
2007-02-21,27.56
2007-02-22,27.86
2007-02-23,28.07
2007-02-26,27.12
2007-02-27,26.25
2007-02-28,26.56
2007-03-01,26.39
2007-03-02,25.81
2007-03-05,25.31
2007-03-06,25.45
2007-03-07,26.06
2007-03-08,25.88
2007-03-09,26.44
2007-03-12,26.6
2007-03-13,25.68
2007-03-14,25.28
2007-03-15,25.73
2007-03-16,25.49
2007-03-19,25.79
2007-03-20,26.34
2007-03-21,26.49
2007-03-22,27.38
2007-03-23,27.51
2007-03-26,27.43
2007-03-27,26.71
2007-03-28,26.43
2007-03-29,26.28
2007-03-30,26.24
2007-04-02,27.6
2007-04-03,27.65
2007-04-04,27.77
2007-04-05,27.93
2007-04-09,28.26
2007-04-10,28.12
2007-04-11,27.94
2007-04-12,28.49
2007-04-13,27.84
2007-04-16,28.79
2007-04-17,28.68
2007-04-18,28.39
2007-04-19,27.99
2007-04-20,28.2
2007-04-23,28.27
2007-04-24,28.03
2007-04-25,28.45
2007-04-26,28.09
2007-04-27,27.67
2007-04-30,27.06
2007-05-01,27.07
2007-05-02,27.23
2007-05-03,28.73
2007-05-04,28.23
2007-05-07,28.35
2007-05-08,28.97
2007-05-09,29.03
2007-05-10,28.43
2007-05-11,28.71
2007-05-14,28.32
2007-05-15,28.5
2007-05-16,29.04
2007-05-17,28.91
2007-05-18,29.03
2007-05-21,29.15
2007-05-22,29.21
2007-05-23,28.97
2007-05-24,28.37
2007-05-25,28.69
2007-05-29,28.84
2007-05-30,29.17
2007-05-31,29.14
2007-06-01,29.32
2007-06-04,29.13
2007-06-05,29.48
2007-06-06,29.0
2007-06-07,28.45
2007-06-08,28.72
2007-06-11,28.67
2007-06-12,27.97
2007-06-13,28.5
2007-06-14,29.38
2007-06-15,29.54
2007-06-18,29.17
2007-06-19,28.86
2007-06-20,28.3
2007-06-21,28.49
2007-06-22,28.07
2007-06-25,28.41
2007-06-26,28.12
2007-06-27,29.38
2007-06-28,29.73
2007-06-29,29.32
2007-07-02,30.36
2007-07-03,30.76
2007-07-05,30.5
2007-07-06,30.7
2007-07-09,30.67
2007-07-10,30.12
2007-07-11,30.87
2007-07-12,31.55
2007-07-13,31.65
2007-07-16,30.98
2007-07-17,30.4
2007-07-18,29.74
2007-07-19,29.86
2007-07-20,29.74
2007-07-23,28.87
2007-07-24,28.32
2007-07-25,28.26
2007-07-26,27.68
2007-07-27,27.7
2007-07-30,28.06
2007-07-31,27.93
2007-08-01,28.05
2007-08-02,27.9
2007-08-03,26.55
2007-08-06,26.88
2007-08-07,27.93
2007-08-08,28.99
2007-08-09,27.75
2007-08-10,27.43
2007-08-13,28.22
2007-08-14,27.39
2007-08-15,26.96
2007-08-16,27.13
2007-08-17,28.31
2007-08-20,28.71
2007-08-21,28.61
2007-08-22,29.17
2007-08-23,28.86
2007-08-24,29.03
2007-08-27,28.94
2007-08-28,27.99
2007-08-29,28.42
2007-08-30,28.23
2007-08-31,28.77
2007-09-04,28.77
2007-09-05,27.99
2007-09-06,27.92
2007-09-07,26.98
2007-09-10,26.64
2007-09-11,27.39
2007-09-12,27.07
2007-09-13,27.11
2007-09-14,27.68
2007-09-17,27.15
2007-09-18,28.71
2007-09-19,28.09
2007-09-20,26.85
2007-09-21,26.35
2007-09-24,25.78
2007-09-25,26.19
2007-09-26,25.99
2007-09-27,26.1
2007-09-28,26.3
2007-10-01,26.62
2007-10-02,26.94
2007-10-03,26.31
2007-10-04,25.74
2007-10-05,27.07
2007-10-08,26.27
2007-10-09,26.75
2007-10-10,26.93
2007-10-11,27.09
2007-10-12,27.96
2007-10-15,27.32
2007-10-16,26.9
2007-10-17,26.99
2007-10-18,26.76
2007-10-19,27.11
2007-10-22,27.45
2007-10-23,28.57
2007-10-24,27.93
2007-10-25,27.93
2007-10-26,27.89
