Date,Close
2007-01-03,50.45
2007-01-04,50.06
2007-01-05,49.72
2007-01-08,49.84
2007-01-09,49.95
2007-01-10,50.21
2007-01-11,50.47
2007-01-12,50.23
2007-01-16,50.44
2007-01-17,50.25
2007-01-18,50.11
2007-01-19,50.0
2007-01-22,50.37
2007-01-23,50.28
2007-01-24,50.48
2007-01-25,50.27
2007-01-26,50.32
2007-01-29,50.81
2007-01-30,50.21
2007-01-31,49.27
2007-02-01,49.39
2007-02-02,48.98
2007-02-05,49.0
2007-02-06,48.98
2007-02-07,48.99
2007-02-08,48.99
2007-02-09,48.89
2007-02-12,48.96
2007-02-13,49.04
2007-02-14,49.63
2007-02-15,49.32
2007-02-16,49.78
2007-02-20,49.6
2007-02-21,49.37
2007-02-22,49.77
2007-02-23,49.84
2007-02-26,50.35
2007-02-27,49.08
2007-02-28,49.84
2007-03-01,49.69
2007-03-02,49.24
2007-03-05,49.26
2007-03-06,49.38
2007-03-07,49.86
2007-03-08,50.32
2007-03-09,50.47
2007-03-12,50.89
2007-03-13,50.54
2007-03-14,50.67
2007-03-15,51.06
2007-03-16,50.55
2007-03-19,51.02
2007-03-20,51.29
2007-03-21,51.69
2007-03-22,51.88
2007-03-23,51.74
2007-03-26,51.55
2007-03-27,51.44
2007-03-28,51.11
2007-03-29,51.18
2007-03-30,51.43
2007-04-02,51.9
2007-04-03,52.07
2007-04-04,51.96
2007-04-05,51.77
2007-04-09,51.78
2007-04-10,51.81
2007-04-11,51.53
2007-04-12,51.46
2007-04-13,51.56
2007-04-16,52.01
2007-04-17,52.25
2007-04-18,52.31
2007-04-19,51.93
2007-04-20,52.54
2007-04-23,52.54
2007-04-24,52.57
2007-04-25,52.9
2007-04-26,52.76
2007-04-27,53.08
2007-04-30,52.91
2007-05-01,53.37
2007-05-02,52.98
2007-05-03,52.86
2007-05-04,53.21
2007-05-07,53.34
2007-05-08,53.6
2007-05-09,54.11
2007-05-10,53.24
2007-05-11,53.07
2007-05-14,53.3
2007-05-15,52.97
2007-05-16,53.58
2007-05-17,53.29
2007-05-18,53.65
2007-05-21,53.6
2007-05-22,53.62
2007-05-23,53.13
2007-05-24,53.35
2007-05-25,53.49
2007-05-29,53.78
2007-05-30,53.95
2007-05-31,53.98
