Date,Close
2007-01-03,73.1
2007-01-04,73.75
2007-01-05,73.49
2007-01-08,74.7
2007-01-09,73.47
2007-01-10,73.34
2007-01-11,73.26
2007-01-12,73.0
2007-01-16,72.7
2007-01-17,72.83
2007-01-18,73.06
2007-01-19,73.08
2007-01-22,73.24
2007-01-23,72.89
2007-01-24,73.13
2007-01-25,72.07
2007-01-26,71.46
2007-01-29,72.19
2007-01-30,72.94
2007-01-31,73.44
2007-02-01,73.41
2007-02-02,73.53
2007-02-05,72.82
2007-02-06,73.27
2007-02-07,73.59
2007-02-08,74.07
2007-02-09,73.84
2007-02-12,73.85
2007-02-13,74.23
2007-02-14,74.44
2007-02-15,80.0
2007-02-16,80.37
2007-02-20,80.26
2007-02-21,80.06
2007-02-22,80.25
2007-02-23,80.38
2007-02-26,80.04
2007-02-27,79.0
2007-02-28,79.68
2007-03-01,70.17
2007-03-02,68.36
2007-03-05,66.95
2007-03-06,67.1
2007-03-07,67.46
2007-03-08,68.48
2007-03-09,68.75
2007-03-12,69.6
2007-03-13,70.35
2007-03-14,70.25
2007-03-15,71.42
2007-03-16,70.86
2007-03-19,71.3
2007-03-20,71.19
2007-03-21,71.75
2007-03-22,71.73
2007-03-23,71.83
2007-03-26,72.55
2007-03-27,72.13
2007-03-28,72.04
2007-03-29,72.79
2007-03-30,72.63
2007-04-02,72.33
2007-04-03,72.86
2007-04-04,72.79
2007-04-05,73.2
2007-04-09,73.68
2007-04-10,73.39
2007-04-11,72.4
2007-04-12,72.34
2007-04-13,73.11
2007-04-16,73.05
2007-04-17,73.16
2007-04-18,73.63
2007-04-19,73.58
2007-04-20,74.07
2007-04-23,73.6
2007-04-24,72.53
2007-04-25,72.48
2007-04-26,78.95
2007-04-27,78.92
2007-04-30,78.94
2007-05-01,78.59
2007-05-02,78.9
2007-05-03,77.88
2007-05-04,78.14
2007-05-07,79.03
2007-05-08,78.83
2007-05-09,79.0
2007-05-10,77.79
2007-05-11,78.37
2007-05-14,77.89
2007-05-15,77.58
2007-05-16,78.2
2007-05-17,78.16
2007-05-18,78.43
2007-05-21,78.79
2007-05-22,78.44
2007-05-23,78.89
2007-05-24,78.59
2007-05-25,78.63
2007-05-29,78.52
2007-05-30,78.71
2007-05-31,78.74
2007-06-01,79.74
2007-06-04,79.46
2007-06-05,79.42
2007-06-06,79.06
2007-06-07,78.1
2007-06-08,78.24
2007-06-11,78.77
2007-06-12,77.88
2007-06-13,78.98
2007-06-14,79.19
2007-06-15,79.92
2007-06-18,79.6
2007-06-19,79.98
2007-06-20,79.22
2007-06-21,79.45
2007-06-22,78.7
2007-06-25,78.26
2007-06-26,78.21
2007-06-27,78.23
2007-06-28,78.32
2007-06-29,78.26
2007-07-02,79.07
2007-07-03,79.62
2007-07-05,81.01
2007-07-06,81.4
2007-07-09,80.43
2007-07-10,79.18
2007-07-11,80.26
2007-07-12,80.93
2007-07-13,81.08
2007-07-16,81.24
2007-07-17,81.18
2007-07-18,81.05
2007-07-19,80.74
2007-07-20,79.81
2007-07-23,78.78
2007-07-24,78.42
2007-07-25,78.41
2007-07-26,76.45
2007-07-27,74.15
2007-07-30,74.56
2007-07-31,73.85
2007-08-01,73.27
2007-08-02,77.14
2007-08-03,76.75
2007-08-06,78.86
2007-08-07,78.07
2007-08-08,76.55
2007-08-09,74.48
2007-08-10,76.11
2007-08-13,76.57
2007-08-14,75.2
2007-08-15,75.11
2007-08-16,73.84
2007-08-17,75.25
2007-08-20,75.19
2007-08-21,75.22
2007-08-22,75.84
2007-08-23,75.26
2007-08-24,75.85
2007-08-27,75.71
2007-08-28,73.83
2007-08-29,75.08
2007-08-30,77.7
2007-08-31,77.66
2007-09-04,78.05
2007-09-05,78.82
2007-09-06,78.83
2007-09-07,77.74
2007-09-10,77.4
2007-09-11,78.16
2007-09-12,79.15
2007-09-13,79.51
2007-09-14,79.6
2007-09-17,78.54
2007-09-18,79.58
2007-09-19,78.43
2007-09-20,77.92
2007-09-21,77.61
2007-09-24,76.92
2007-09-25,76.41
2007-09-26,77.14
