Date,Close
2007-01-03,44.78
2007-01-04,46.13
2007-01-05,46.0
2007-01-08,45.75
2007-01-09,46.16
2007-01-10,46.3
2007-01-11,47.41
2007-01-12,48.37
2007-01-16,47.73
2007-01-17,47.16
2007-01-18,46.13
2007-01-19,46.53
2007-01-22,45.92
2007-01-23,44.93
2007-01-24,45.31
2007-01-25,44.92
2007-01-26,45.04
2007-01-29,44.87
2007-01-30,45.11
2007-01-31,48.01
2007-02-01,48.15
2007-02-02,48.15
2007-02-05,48.76
2007-02-06,49.82
2007-02-07,49.3
2007-02-08,49.62
2007-02-09,49.85
2007-02-12,48.8
2007-02-13,48.93
2007-02-14,47.83
2007-02-15,48.11
2007-02-16,47.9
2007-02-20,48.01
2007-02-21,47.67
2007-02-22,47.02
2007-02-23,47.59
2007-02-26,47.26
2007-02-27,45.95
2007-02-28,46.39
2007-03-01,45.54
2007-03-02,44.63
2007-03-05,44.13
2007-03-06,45.65
2007-03-07,45.22
2007-03-08,45.28
2007-03-09,45.28
2007-03-12,45.4
2007-03-13,44.93
2007-03-14,45.1
2007-03-15,45.46
2007-03-16,45.02
2007-03-19,45.82
2007-03-20,46.46
2007-03-21,47.22
2007-03-22,47.34
2007-03-23,47.49
2007-03-26,47.98
2007-03-27,47.44
2007-03-28,47.47
2007-03-29,47.59
2007-03-30,48.14
2007-04-02,48.33
2007-04-03,48.63
2007-04-04,48.29
2007-04-05,48.29
2007-04-09,47.95
2007-04-10,47.72
2007-04-11,47.29
2007-04-12,47.4
2007-04-13,47.81
2007-04-16,48.3
2007-04-17,47.85
2007-04-18,47.54
2007-04-19,48.02
2007-04-20,48.35
2007-04-23,48.18
2007-04-24,48.57
2007-04-25,49.13
2007-04-26,49.57
2007-04-27,49.68
2007-04-30,48.52
2007-05-01,49.5
2007-05-02,45.21
2007-05-03,46.13
2007-05-04,46.25
2007-05-07,46.34
2007-05-08,46.68
2007-05-09,47.55
2007-05-10,46.82
2007-05-11,46.99
2007-05-14,46.95
2007-05-15,46.33
2007-05-16,46.34
2007-05-17,46.27
2007-05-18,46.39
2007-05-21,46.76
2007-05-22,46.8
2007-05-23,47.22
2007-05-24,46.49
2007-05-25,46.37
2007-05-29,46.73
2007-05-30,46.91
2007-05-31,47.16
2007-06-01,45.98
2007-06-04,46.99
2007-06-05,47.34
2007-06-06,47.78
2007-06-07,47.99
2007-06-08,49.07
2007-06-11,49.04
2007-06-12,48.61
2007-06-13,49.28
2007-06-14,49.7
2007-06-15,49.88
2007-06-18,50.21
2007-06-19,52.5
2007-06-20,51.95
2007-06-21,52.0
2007-06-22,51.38
2007-06-25,50.67
2007-06-26,50.48
2007-06-27,50.52
2007-06-28,51.6
2007-06-29,51.54
2007-07-02,52.36
2007-07-03,53.12
2007-07-05,52.46
2007-07-06,52.82
2007-07-09,53.29
2007-07-10,52.67
2007-07-11,53.1
2007-07-12,54.44
2007-07-13,54.23
2007-07-16,53.92
2007-07-17,54.35
2007-07-18,54.09
2007-07-19,55.05
2007-07-20,55.54
2007-07-23,54.93
2007-07-24,53.48
2007-07-25,53.76
2007-07-26,52.43
2007-07-27,51.57
2007-07-30,52.55
2007-07-31,51.85
2007-08-01,52.01
2007-08-02,52.6
2007-08-03,51.68
2007-08-06,52.09
2007-08-07,52.87
2007-08-08,52.6
2007-08-09,51.71
2007-08-10,55.06
2007-08-13,55.15
2007-08-14,53.93
2007-08-15,52.47
2007-08-16,53.55
2007-08-17,54.42
2007-08-20,54.86
2007-08-21,54.26
2007-08-22,55.95
2007-08-23,55.23
2007-08-24,55.7
2007-08-27,55.25
2007-08-28,53.55
2007-08-29,55.5
2007-08-30,55.95
2007-08-31,57.47
2007-09-04,58.19
2007-09-05,56.72
2007-09-06,57.08
2007-09-07,55.54
2007-09-10,55.38
2007-09-11,56.86
2007-09-12,55.86
2007-09-13,55.09
2007-09-14,54.83
2007-09-17,54.26
2007-09-18,55.63
2007-09-19,55.53
2007-09-20,54.75
2007-09-21,54.85
2007-09-24,53.7
2007-09-25,54.5
2007-09-26,54.35
2007-09-27,54.63
2007-09-28,54.6
2007-10-01,56.4
2007-10-02,56.02
2007-10-03,55.44
2007-10-04,55.54
2007-10-05,57.64
2007-10-08,57.44
2007-10-09,57.04
2007-10-10,57.12
2007-10-11,56.23
2007-10-12,57.45
2007-10-15,57.52
2007-10-16,56.44
2007-10-17,56.48
2007-10-18,56.4
2007-10-19,54.5
2007-10-22,55.92
2007-10-23,56.57
2007-10-24,57.45
2007-10-25,56.69
2007-10-26,57.16
2007-10-29,58.01
2007-10-30,57.35
2007-10-31,57.22
2007-11-01,56.85
2007-11-02,58.82
2007-11-05,59.24
2007-11-06,62.19
2007-11-07,61.34
2007-11-08,60.5
2007-11-09,58.96
2007-11-12,56.62
2007-11-13,57.84
2007-11-14,57.82
2007-11-15,59.43
2007-11-16,59.02
2007-11-19,58.48
2007-11-20,57.42
2007-11-21,57.02
2007-11-23,57.31
2007-11-26,56.71
2007-11-27,57.45
2007-11-28,59.51
2007-11-29,59.55
2007-11-30,59.31
2007-12-03,58.32
2007-12-04,57.92
2007-12-05,58.37
2007-12-06,59.46
2007-12-07,60.06
2007-12-10,59.62
2007-12-11,57.12
2007-12-12,58.61
2007-12-13,57.97
2007-12-14,57.32
2007-12-17,56.98
2007-12-18,57.74
2007-12-19,57.18
2007-12-20,57.93
2007-12-21,58.68
2007-12-24,59.67
2007-12-26,59.88
2007-12-27,58.95
2007-12-28,59.23
2007-12-31,59.22
2008-01-02,58.45
2008-01-03,58.73
2008-01-04,57.23
2008-01-07,54.85
2008-01-08,53.69
2008-01-09,52.73
2008-01-10,47.07
2008-01-11,48.31
2008-01-14,48.37
2008-01-15,47.94
2008-01-16,47.22
2008-01-17,46.27
2008-01-18,46.42
2008-01-22,44.68
2008-01-23,44.19
2008-01-24,45.29
2008-01-25,45.31
2008-01-28,45.85
2008-01-29,46.64
2008-01-30,46.53
2008-01-31,51.59
2008-02-01,51.25
2008-02-04,51.43
2008-02-05,51.05
2008-02-06,50.6
2008-02-07,50.51
2008-02-08,51.79
2008-02-11,52.33
2008-02-12,52.0
2008-02-13,52.95
2008-02-14,51.59
2008-02-15,50.85
2008-02-19,51.05
2008-02-20,51.07
2008-02-21,50.53
2008-02-22,50.54
2008-02-25,51.34
2008-02-26,50.75
2008-02-27,51.6
2008-02-28,50.95
