Date,Close
2007-01-03,59.78
2007-01-04,58.85
2007-01-05,58.99
2007-01-08,59.27
2007-01-09,59.9
2007-01-10,60.22
2007-01-11,61.06
2007-01-12,61.57
2007-01-16,61.49
2007-01-17,61.65
2007-01-18,61.96
2007-01-19,61.7
2007-01-22,61.43
2007-01-23,61.91
2007-01-24,63.18
2007-01-25,62.29
2007-01-26,62.35
2007-01-29,62.25
2007-01-30,62.38
2007-01-31,63.06
2007-02-01,63.5
2007-02-02,63.23
2007-02-05,63.1
2007-02-06,63.13
2007-02-07,63.4
2007-02-08,62.77
2007-02-09,63.63
2007-02-12,63.67
2007-02-13,64.06
2007-02-14,64.03
2007-02-15,63.9
2007-02-16,64.27
2007-02-20,64.83
2007-02-21,64.73
2007-02-22,64.43
2007-02-23,64.73
2007-02-26,64.24
2007-02-27,61.47
2007-02-28,61.69
2007-03-01,61.32
2007-03-02,60.56
2007-03-05,60.0
2007-03-06,60.93
2007-03-07,59.68
2007-03-08,60.97
2007-03-09,61.39
2007-03-12,61.5
2007-03-13,60.06
2007-03-14,60.77
2007-03-15,61.21
2007-03-16,60.58
2007-03-19,61.58
2007-03-20,63.01
2007-03-21,63.8
2007-03-22,63.69
2007-03-23,64.07
2007-03-26,64.45
2007-03-27,63.77
2007-03-28,62.84
2007-03-29,62.92
2007-03-30,62.96
2007-04-02,62.96
2007-04-03,63.32
2007-04-04,63.39
2007-04-05,63.48
2007-04-09,63.72
2007-04-10,63.23
2007-04-11,62.69
2007-04-12,63.33
2007-04-13,63.14
2007-04-16,63.97
2007-04-17,63.87
2007-04-18,63.83
2007-04-19,63.62
2007-04-20,63.96
2007-04-23,64.31
2007-04-24,64.6
2007-04-25,65.94
2007-04-26,66.2
2007-04-27,65.64
2007-04-30,64.55
2007-05-01,65.22
2007-05-02,66.25
2007-05-03,66.05
2007-05-04,66.28
2007-05-07,66.41
2007-05-08,66.2
2007-05-09,67.15
2007-05-10,66.14
2007-05-11,66.21
2007-05-14,65.85
2007-05-15,66.75
2007-05-16,67.7
2007-05-17,68.33
2007-05-18,69.21
2007-05-21,68.92
2007-05-22,69.37
2007-05-23,69.2
2007-05-24,68.23
2007-05-25,68.84
2007-05-29,67.79
2007-05-30,68.19
2007-05-31,68.09
2007-06-01,68.96
2007-06-04,69.35
2007-06-05,69.68
2007-06-06,69.25
2007-06-07,68.48
2007-06-08,69.45
2007-06-11,69.38
