Date,Close
2007-01-03,52.25
2007-01-04,52.36
2007-01-05,52.04
2007-01-08,51.8
2007-01-09,51.83
2007-01-10,51.66
2007-01-11,52.23
2007-01-12,52.6
2007-01-16,52.88
2007-01-17,52.85
2007-01-18,53.04
2007-01-19,52.96
2007-01-22,52.73
2007-01-23,52.65
2007-01-24,53.33
2007-01-25,53.13
2007-01-26,52.79
2007-01-29,52.85
2007-01-30,52.73
2007-01-31,54.12
2007-02-01,54.77
2007-02-02,54.6
2007-02-05,54.67
2007-02-06,54.64
2007-02-07,54.42
2007-02-08,54.21
2007-02-09,54.23
2007-02-12,54.41
2007-02-13,54.28
2007-02-14,54.86
2007-02-15,54.96
2007-02-16,54.99
2007-02-20,54.97
2007-02-21,54.52
2007-02-22,54.14
2007-02-23,54.21
2007-02-26,54.4
2007-02-27,53.0
2007-02-28,52.59
2007-03-01,52.25
2007-03-02,51.77
2007-03-05,51.63
2007-03-06,52.23
2007-03-07,51.86
2007-03-08,52.36
2007-03-09,52.59
2007-03-12,52.8
2007-03-13,52.07
2007-03-14,51.9
2007-03-15,52.05
2007-03-16,52.18
2007-03-19,52.68
2007-03-20,52.77
2007-03-21,53.82
2007-03-22,54.17
2007-03-23,53.81
2007-03-26,53.71
2007-03-27,53.27
2007-03-28,53.01
2007-03-29,53.41
2007-03-30,53.71
2007-04-02,54.39
2007-04-03,54.75
2007-04-04,55.16
2007-04-05,55.48
2007-04-09,55.58
2007-04-10,55.68
2007-04-11,55.59
2007-04-12,55.94
2007-04-13,56.88
2007-04-16,58.4
2007-04-17,58.87
2007-04-18,59.14
2007-04-19,60.02
2007-04-20,60.56
2007-04-23,59.63
2007-04-24,59.28
2007-04-25,59.51
2007-04-26,59.73
2007-04-27,59.61
2007-04-30,59.13
2007-05-01,58.89
2007-05-02,59.16
2007-05-03,59.14
2007-05-04,59.54
2007-05-07,59.72
2007-05-08,59.83
2007-05-09,59.75
2007-05-10,58.71
2007-05-11,58.43
2007-05-14,59.21
2007-05-15,59.24
2007-05-16,59.11
2007-05-17,59.02
2007-05-18,59.37
2007-05-21,59.62
2007-05-22,59.53
2007-05-23,59.4
2007-05-24,59.19
2007-05-25,59.36
2007-05-29,59.46
2007-05-30,59.24
2007-05-31,58.62
2007-06-01,58.94
2007-06-04,59.16
2007-06-05,59.0
2007-06-06,58.29
2007-06-07,56.93
2007-06-08,57.02
2007-06-11,57.31
2007-06-12,56.78
2007-06-13,56.94
2007-06-14,57.38
2007-06-15,57.72
2007-06-18,57.41
2007-06-19,57.75
2007-06-20,56.77
2007-06-21,56.81
2007-06-22,55.8
2007-06-25,55.48
2007-06-26,55.87
2007-06-27,56.32
2007-06-28,56.18
2007-06-29,55.88
2007-07-02,56.73
2007-07-03,56.79
2007-07-05,56.56
