Date,Close
2007-01-03,32.04
2007-01-04,32.18
2007-01-05,31.79
2007-01-08,31.7
2007-01-09,31.87
2007-01-10,32.47
2007-01-11,33.05
2007-01-12,33.06
2007-01-16,33.4
2007-01-17,33.2
2007-01-18,33.59
2007-01-19,33.71
2007-01-22,33.43
2007-01-23,33.64
2007-01-24,33.59
2007-01-25,33.08
2007-01-26,32.58
2007-01-29,32.67
2007-01-30,32.5
2007-01-31,33.71
2007-02-01,34.24
2007-02-02,34.15
2007-02-05,34.11
2007-02-06,34.12
2007-02-07,34.07
2007-02-08,33.75
2007-02-09,33.42
2007-02-12,33.5
2007-02-13,33.61
2007-02-14,33.44
2007-02-15,33.88
2007-02-16,33.27
2007-02-20,33.73
2007-02-21,33.73
2007-02-22,33.63
2007-02-23,34.93
2007-02-26,34.34
2007-02-27,33.26
2007-02-28,32.55
2007-03-01,32.21
2007-03-02,31.94
2007-03-05,31.77
2007-03-06,32.52
2007-03-07,32.58
2007-03-08,32.53
2007-03-09,32.34
2007-03-12,32.34
2007-03-13,30.74
2007-03-14,31.03
2007-03-15,31.21
2007-03-16,30.93
2007-03-19,31.13
2007-03-20,31.29
2007-03-21,32.26
2007-03-22,32.24
2007-03-23,32.37
2007-03-26,32.14
2007-03-27,31.74
2007-03-28,31.02
2007-03-29,31.14
2007-03-30,31.49
2007-04-02,31.08
2007-04-03,31.7
2007-04-04,31.37
2007-04-05,31.39
2007-04-09,31.5
2007-04-10,31.61
2007-04-11,31.22
2007-04-12,31.29
2007-04-13,31.14
2007-04-16,31.31
2007-04-17,31.84
2007-04-18,31.52
2007-04-19,31.51
2007-04-20,32.02
2007-04-23,31.55
2007-04-24,31.1
2007-04-25,31.15
2007-04-26,30.97
2007-04-27,30.85
2007-04-30,30.56
2007-05-01,30.7
2007-05-02,30.68
2007-05-03,30.52
2007-05-04,30.45
2007-05-07,30.69
2007-05-08,30.68
2007-05-09,31.72
2007-05-10,31.08
2007-05-11,30.87
2007-05-14,30.99
2007-05-15,30.89
2007-05-16,31.28
2007-05-17,31.33
2007-05-18,32.67
2007-05-21,31.88
2007-05-22,31.73
2007-05-23,31.79
2007-05-24,32.06
2007-05-25,32.13
2007-05-29,32.02
2007-05-30,32.3
2007-05-31,32.82
2007-06-01,32.66
2007-06-04,32.99
2007-06-05,32.42
2007-06-06,32.14
2007-06-07,31.72
2007-06-08,32.05
2007-06-11,31.8
2007-06-12,31.36
2007-06-13,31.56
2007-06-14,31.5
2007-06-15,31.55
2007-06-18,31.65
2007-06-19,31.58
2007-06-20,31.65
2007-06-21,31.9
2007-06-22,31.04
2007-06-25,31.22
2007-06-26,31.12
2007-06-27,31.25
2007-06-28,30.74
2007-06-29,30.69
2007-07-02,30.71
2007-07-03,30.79
2007-07-05,30.78
2007-07-06,31.11
2007-07-09,30.74
2007-07-10,29.98
2007-07-11,30.02
2007-07-12,30.71
2007-07-13,30.76
2007-07-16,30.17
2007-07-17,29.86
2007-07-18,29.68
2007-07-19,29.68
2007-07-20,29.63
2007-07-23,29.43
2007-07-24,28.92
2007-07-25,28.63
2007-07-26,28.36
2007-07-27,27.77
2007-07-30,28.21
2007-07-31,28.01
2007-08-01,28.31
2007-08-02,28.47
2007-08-03,27.45
2007-08-06,28.04
2007-08-07,27.92
2007-08-08,28.47
2007-08-09,27.43
2007-08-10,27.76
2007-08-13,27.54
2007-08-14,26.75
2007-08-15,26.33
2007-08-16,26.81
2007-08-17,26.87
2007-08-20,28.5
2007-08-21,28.91
2007-08-22,29.82
2007-08-23,29.63
2007-08-24,30.2
2007-08-27,29.62
2007-08-28,28.98
2007-08-29,30.15
2007-08-30,30.27
2007-08-31,31.06
2007-09-04,30.86
2007-09-05,30.18
2007-09-06,30.21
2007-09-07,29.43
2007-09-10,29.76
2007-09-11,30.08
2007-09-12,29.75
2007-09-13,30.67
2007-09-14,30.8
2007-09-17,30.76
2007-09-18,31.89
2007-09-19,31.92
2007-09-20,31.07
2007-09-21,30.62
2007-09-24,30.55
2007-09-25,28.51
2007-09-26,28.56
2007-09-27,28.3
2007-09-28,28.02
2007-10-01,28.7
2007-10-02,28.71
2007-10-03,28.93
2007-10-04,28.64
2007-10-05,29.29
2007-10-08,28.76
2007-10-09,29.01
2007-10-10,29.07
2007-10-11,28.97
2007-10-12,28.93
2007-10-15,28.16
2007-10-16,27.75
2007-10-17,27.38
2007-10-18,27.08
2007-10-19,26.13
2007-10-22,26.92
2007-10-23,26.72
2007-10-24,27.18
2007-10-25,26.97
2007-10-26,27.15
2007-10-29,27.2
2007-10-30,26.99
2007-10-31,26.89
2007-11-01,26.15
2007-11-02,26.0
2007-11-05,25.13
2007-11-06,24.73
2007-11-07,24.38
2007-11-08,24.53
2007-11-09,23.92
2007-11-12,24.37
2007-11-13,25.05
2007-11-14,24.84
2007-11-15,25.05
2007-11-16,25.01
2007-11-19,23.12
2007-11-20,22.51
2007-11-21,22.11
2007-11-23,22.27
2007-11-26,21.84
2007-11-27,22.09
2007-11-28,23.47
2007-11-29,23.64
2007-11-30,24.41
2007-12-03,24.13
2007-12-04,24.28
2007-12-05,24.54
2007-12-06,24.99
2007-12-07,25.08
2007-12-10,25.04
2007-12-11,23.6
2007-12-12,23.43
2007-12-13,23.08
2007-12-14,22.72
2007-12-17,22.74
2007-12-18,23.02
2007-12-19,22.83
2007-12-20,22.86
2007-12-21,23.35
2007-12-24,23.47
2007-12-26,23.19
2007-12-27,23.16
2007-12-28,22.66
2007-12-31,22.62
2008-01-02,22.18
2008-01-03,21.76
2008-01-04,21.08
2008-01-07,21.11
2008-01-08,20.52
2008-01-09,20.66
2008-01-10,20.78
2008-01-11,20.31
2008-01-14,20.84
2008-01-15,20.77
2008-01-16,21.62
2008-01-17,21.79
2008-01-18,22.19
2008-01-22,24.54
2008-01-23,26.04
2008-01-24,25.41
2008-01-25,24.71
2008-01-28,25.4
2008-01-29,25.79
2008-01-30,25.34
2008-01-31,26.43
2008-02-01,25.55
2008-02-04,24.78
2008-02-05,24.09
2008-02-06,23.67
2008-02-07,23.98
2008-02-08,23.61
2008-02-11,24.27
2008-02-12,24.19
2008-02-13,24.17
2008-02-14,23.55
2008-02-15,23.33
2008-02-19,23.14
2008-02-20,23.31
2008-02-21,23.23
2008-02-22,23.59
2008-02-25,24.5
2008-02-26,24.99
2008-02-27,25.49
2008-02-28,24.68
2008-02-29,23.97
2008-03-03,24.33
2008-03-04,24.07
2008-03-05,23.75
2008-03-06,22.63
2008-03-07,22.4
2008-03-10,21.61
2008-03-11,22.21
2008-03-12,21.81
2008-03-13,21.66
2008-03-14,21.12
2008-03-17,20.53
2008-03-18,22.37
2008-03-19,21.99
2008-03-20,23.23
2008-03-24,24.29
2008-03-25,23.68
2008-03-26,23.21
2008-03-27,23.02
2008-03-28,22.67
2008-03-31,22.94
2008-04-01,24.49
2008-04-02,24.58
2008-04-03,24.32
2008-04-04,24.26
2008-04-07,24.21
2008-04-08,24.02
2008-04-09,23.33
2008-04-10,24.53
2008-04-11,23.99
2008-04-14,24.03
2008-04-15,24.2
2008-04-16,24.48
2008-04-17,24.53
2008-04-18,24.85
2008-04-21,24.83
2008-04-22,24.32
2008-04-23,24.43
2008-04-24,25.02
2008-04-25,26.02
2008-04-28,25.64
2008-04-29,25.52
2008-04-30,25.19
2008-05-01,26.27
2008-05-02,26.13
2008-05-05,25.45
2008-05-06,25.41
2008-05-07,24.93
2008-05-08,24.13
2008-05-09,24.2
2008-05-12,24.69
2008-05-13,24.39
2008-05-14,24.9
2008-05-15,25.14
2008-05-16,24.89
2008-05-19,24.25
2008-05-20,23.76
2008-05-21,23.38
2008-05-22,23.46
2008-05-23,23.3
2008-05-27,23.51
2008-05-28,24.16
2008-05-29,24.39
2008-05-30,24.0
2008-06-02,24.06
2008-06-03,23.97
2008-06-04,24.04
2008-06-05,24.62
2008-06-06,23.52
2008-06-09,23.23
2008-06-10,23.31
2008-06-11,22.85
2008-06-12,23.28
2008-06-13,24.14
2008-06-16,24.05
2008-06-17,23.44
2008-06-18,23.15
2008-06-19,23.57
2008-06-20,22.83
2008-06-23,21.78
2008-06-24,21.91
2008-06-25,22.13
2008-06-26,21.2
2008-06-27,20.87
2008-06-30,20.75
2008-07-01,20.61
2008-07-02,20.23
2008-07-03,20.22
2008-07-07,20.09
2008-07-08,20.82
2008-07-09,20.22
2008-07-10,19.42
2008-07-11,18.9
2008-07-14,19.0
2008-07-15,18.28
2008-07-16,19.33
2008-07-17,20.1
2008-07-18,19.93
2008-07-21,19.75
2008-07-22,20.64
2008-07-23,21.2
2008-07-24,20.39
2008-07-25,19.98
2008-07-28,19.64
2008-07-29,20.72
2008-07-30,20.51
2008-07-31,20.32
2008-08-01,20.3
2008-08-04,20.44
2008-08-05,21.45
2008-08-06,21.24
2008-08-07,20.94
2008-08-08,22.78
2008-08-11,23.81
2008-08-12,24.06
2008-08-13,23.08
2008-08-14,23.81
2008-08-15,24.5
2008-08-18,24.54
2008-08-19,23.85
2008-08-20,24.3
2008-08-21,24.57
2008-08-22,24.86
2008-08-25,24.14
2008-08-26,24.56
2008-08-27,24.6
2008-08-28,24.9
2008-08-29,24.64
2008-09-02,26.33
2008-09-03,26.71
2008-09-04,25.77
2008-09-05,25.75
2008-09-08,27.36
2008-09-09,25.65
2008-09-10,25.23
2008-09-11,25.28
2008-09-12,25.42
2008-09-15,24.52
2008-09-16,24.4
2008-09-17,22.69
2008-09-18,24.07
2008-09-19,25.53
2008-09-22,23.79
2008-09-23,23.62
2008-09-24,23.67
2008-09-25,23.88
2008-09-26,24.46
2008-09-29,22.96
2008-09-30,23.69
2008-10-01,23.23
2008-10-02,22.43
2008-10-03,21.52
