Date,Close
2007-01-03,43.73
2007-01-04,43.7
2007-01-05,43.65
2007-01-08,43.4
2007-01-09,43.21
2007-01-10,43.32
2007-01-11,43.58
2007-01-12,43.83
2007-01-16,43.95
2007-01-17,43.5
2007-01-18,43.91
2007-01-19,43.53
2007-01-22,43.75
2007-01-23,44.07
2007-01-24,44.31
2007-01-25,43.7
2007-01-26,44.27
2007-01-29,44.34
2007-01-30,44.62
2007-01-31,44.84
2007-02-01,44.74
2007-02-02,44.92
2007-02-05,45.27
2007-02-06,45.28
2007-02-07,45.0
2007-02-08,44.85
2007-02-09,44.51
2007-02-12,44.32
2007-02-13,44.76
2007-02-14,45.01
2007-02-15,45.99
2007-02-16,45.32
2007-02-20,45.5
2007-02-21,45.52
2007-02-22,45.66
2007-02-23,45.99
2007-02-26,45.9
2007-02-27,44.6
2007-02-28,44.75
2007-03-01,44.54
2007-03-02,44.65
2007-03-05,43.95
2007-03-06,44.33
2007-03-07,43.91
2007-03-08,44.1
2007-03-09,44.35
2007-03-12,44.37
2007-03-13,43.56
2007-03-14,43.65
2007-03-15,43.7
2007-03-16,43.72
2007-03-19,44.08
2007-03-20,44.03
2007-03-21,44.53
2007-03-22,45.09
2007-03-23,45.16
2007-03-26,45.18
2007-03-27,45.11
2007-03-28,44.83
2007-03-29,44.93
2007-03-30,45.19
2007-04-02,45.59
2007-04-03,45.93
2007-04-04,45.93
2007-04-05,45.7
2007-04-09,45.66
2007-04-10,45.8
2007-04-11,45.57
2007-04-12,45.79
2007-04-13,45.87
2007-04-16,46.04
2007-04-17,46.03
2007-04-18,46.05
2007-04-19,46.18
2007-04-20,46.49
2007-04-23,46.15
2007-04-24,45.94
2007-04-25,46.34
2007-04-26,46.18
2007-04-27,46.28
2007-04-30,46.05
2007-05-01,45.82
2007-05-02,46.67
2007-05-03,48.59
2007-05-04,48.64
2007-05-07,48.77
2007-05-08,48.78
2007-05-09,48.7
2007-05-10,47.83
2007-05-11,48.0
2007-05-14,48.21
2007-05-15,48.16
2007-05-16,48.11
2007-05-17,48.02
2007-05-18,48.11
2007-05-21,48.16
2007-05-22,48.73
2007-05-23,48.87
2007-05-24,48.35
2007-05-25,48.54
2007-05-29,48.39
2007-05-30,49.15
2007-05-31,49.42
2007-06-01,49.45
2007-06-04,49.46
2007-06-05,49.45
2007-06-06,48.89
2007-06-07,47.82
2007-06-08,48.29
2007-06-11,48.65
2007-06-12,48.11
2007-06-13,48.77
2007-06-14,49.5
2007-06-15,49.07
2007-06-18,49.21
2007-06-19,49.11
2007-06-20,48.66
2007-06-21,48.55
2007-06-22,48.8
2007-06-25,49.21
2007-06-26,48.58
2007-06-27,48.89
2007-06-28,49.26
2007-06-29,49.05
2007-07-02,49.12
2007-07-03,49.15
2007-07-05,49.28
2007-07-06,49.52
2007-07-09,49.37
2007-07-10,47.77
2007-07-11,48.14
2007-07-12,48.73
2007-07-13,48.53
2007-07-16,48.0
2007-07-17,47.96
2007-07-18,48.09
2007-07-19,48.72
2007-07-20,47.98
2007-07-23,48.43
2007-07-24,47.98
2007-07-25,48.27
2007-07-26,46.69
2007-07-27,45.59
2007-07-30,46.51
2007-07-31,45.87
2007-08-01,46.25
2007-08-02,47.28
2007-08-03,45.76
2007-08-06,46.31
2007-08-07,45.65
2007-08-08,42.92
2007-08-09,41.64
2007-08-10,41.99
2007-08-13,45.21
2007-08-14,43.64
2007-08-15,43.18
2007-08-16,43.54
2007-08-17,44.25
2007-08-20,44.25
2007-08-21,44.56
2007-08-22,47.51
2007-08-23,47.13
2007-08-24,48.12
2007-08-27,47.8
2007-08-28,46.63
2007-08-29,47.7
2007-08-30,47.45
2007-08-31,47.98
2007-09-04,48.14
2007-09-05,47.82
2007-09-06,47.79
2007-09-07,47.49
2007-09-10,46.52
2007-09-11,46.49
2007-09-12,45.55
2007-09-13,45.0
2007-09-14,44.84
2007-09-17,44.65
2007-09-18,45.42
