Date,Close
2007-01-03,92.0
2007-01-04,92.11
2007-01-05,90.94
2007-01-08,93.08
2007-01-09,92.38
2007-01-10,102.81
2007-01-11,104.33
2007-01-12,103.74
2007-01-16,108.59
2007-01-17,106.19
2007-01-18,100.84
2007-01-19,104.49
2007-01-22,103.87
2007-01-23,104.85
2007-01-24,108.42
2007-01-25,105.02
2007-01-26,104.79
2007-01-29,103.63
2007-01-30,102.7
2007-01-31,104.07
2007-02-01,105.69
2007-02-02,103.25
2007-02-05,104.09
2007-02-06,100.68
2007-02-07,99.57
2007-02-08,99.9
2007-02-09,93.92
2007-02-12,91.15
2007-02-13,92.04
2007-02-14,92.75
2007-02-15,91.87
2007-02-16,91.95
2007-02-20,93.22
2007-02-21,91.93
2007-02-22,92.02
2007-02-23,91.83
2007-02-26,88.4
2007-02-27,83.84
2007-02-28,86.34
2007-03-01,87.91
2007-03-02,84.41
2007-03-05,81.02
2007-03-06,85.83
2007-03-07,84.14
2007-03-08,87.07
2007-03-09,86.69
2007-03-12,85.0
2007-03-13,82.98
2007-03-14,85.24
2007-03-15,86.55
2007-03-16,86.64
2007-03-19,87.69
2007-03-20,89.44
2007-03-21,91.64
2007-03-22,91.25
2007-03-23,91.2
2007-03-26,91.28
2007-03-27,88.13
2007-03-28,87.37
2007-03-29,87.01
2007-03-30,86.61
2007-04-02,86.59
2007-04-03,89.25
2007-04-04,89.13
2007-04-05,88.9
2007-04-09,88.58
2007-04-10,87.55
2007-04-11,86.35
2007-04-12,86.36
2007-04-13,88.31
2007-04-16,88.38
2007-04-17,87.87
2007-04-18,90.61
2007-04-19,90.31
2007-04-20,89.9
2007-04-23,90.74
2007-04-24,89.8
2007-04-25,90.21
2007-04-26,90.61
2007-04-27,88.91
2007-04-30,85.19
2007-05-01,85.62
2007-05-02,88.54
2007-05-03,84.13
2007-05-04,81.81
2007-05-07,80.24
2007-05-08,79.13
2007-05-09,78.71
2007-05-10,77.2
2007-05-11,79.51
2007-05-14,78.26
2007-05-15,77.97
2007-05-16,77.35
2007-05-17,77.58
2007-05-18,76.7
2007-05-21,75.91
2007-05-22,80.19
2007-05-23,80.1
2007-05-24,77.79
2007-05-25,76.58
2007-05-29,76.63
2007-05-30,76.91
2007-05-31,78.02
2007-06-01,80.3
2007-06-04,80.83
2007-06-05,81.6
2007-06-06,80.57
2007-06-07,78.51
2007-06-08,79.86
2007-06-11,80.44
2007-06-12,78.38
2007-06-13,77.48
2007-06-14,76.58
2007-06-15,76.78
2007-06-18,75.78
2007-06-19,76.79
2007-06-20,76.06
2007-06-21,75.35
2007-06-22,74.85
2007-06-25,74.72
2007-06-26,73.03
2007-06-27,72.83
2007-06-28,74.5
2007-06-29,76.39
2007-07-02,76.97
2007-07-03,76.64
2007-07-05,78.6
2007-07-06,80.5
2007-07-09,80.27
2007-07-10,77.5
2007-07-11,79.0
2007-07-12,79.78
2007-07-13,81.21
2007-07-16,81.3
2007-07-17,82.65
2007-07-18,83.56
2007-07-19,84.12
2007-07-20,83.76
2007-07-23,82.78
2007-07-24,82.42
2007-07-25,85.11
2007-07-26,82.85
2007-07-27,83.81
2007-07-30,86.33
2007-07-31,87.25
2007-08-01,85.68
2007-08-02,92.31
2007-08-03,93.76
2007-08-06,99.02
2007-08-07,102.31
2007-08-08,106.3
2007-08-09,108.15
2007-08-10,100.47
2007-08-13,96.95
2007-08-14,94.9
2007-08-15,92.68
2007-08-16,92.32
2007-08-17,94.3
2007-08-20,94.97
2007-08-21,97.89
2007-08-22,99.37
2007-08-23,99.92
2007-08-24,101.77
2007-08-27,97.79
2007-08-28,97.61
2007-08-29,101.21
2007-08-30,101.36
2007-08-31,99.7
2007-09-04,102.32
2007-09-05,101.63
2007-09-06,102.98
2007-09-07,100.09
2007-09-10,100.99
2007-09-11,108.85
2007-09-12,116.79
2007-09-13,119.38
2007-09-14,120.69
2007-09-17,125.6
2007-09-18,131.65
2007-09-19,127.94
2007-09-20,131.27
2007-09-21,129.65
2007-09-24,139.34
2007-09-25,139.71
2007-09-26,135.94
2007-09-27,137.0
2007-09-28,133.42
2007-10-01,138.25
2007-10-02,144.56
2007-10-03,127.53
2007-10-04,128.39
2007-10-05,129.05
2007-10-08,132.0
2007-10-09,134.95
2007-10-10,137.78
2007-10-11,139.59
2007-10-12,138.25
2007-10-15,134.25
2007-10-16,132.19
2007-10-17,134.52
2007-10-18,130.98
2007-10-19,126.12
2007-10-22,129.13
2007-10-23,133.88
2007-10-24,133.65
2007-10-25,134.72
2007-10-26,138.93
2007-10-29,144.15
2007-10-30,138.03
2007-10-31,133.08
2007-11-01,125.3
2007-11-02,116.77
2007-11-05,112.77
2007-11-06,111.81
2007-11-07,108.88
2007-11-08,111.6
2007-11-09,115.91
2007-11-12,113.06
2007-11-13,118.15
2007-11-14,113.72
2007-11-15,114.55
2007-11-16,118.76
2007-11-19,110.49
2007-11-20,113.98
2007-11-21,110.45
2007-11-23,111.3
2007-11-26,106.97
2007-11-27,106.6
2007-11-28,114.91
2007-11-29,112.95
2007-11-30,113.4
2007-12-03,110.52
2007-12-04,109.28
2007-12-05,113.29
2007-12-06,117.52
2007-12-07,118.88
2007-12-10,120.5
2007-12-11,115.67
2007-12-12,118.02
2007-12-13,118.72
2007-12-14,117.7
2007-12-17,115.39
2007-12-18,111.58
2007-12-19,111.42
2007-12-20,107.22
2007-12-21,108.0
2007-12-24,106.98
2007-12-26,107.92
2007-12-27,105.97
2007-12-28,106.15
2007-12-31,103.05
2008-01-02,100.32
2008-01-03,95.37
2008-01-04,88.67
2008-01-07,85.79
2008-01-08,82.8
2008-01-09,86.88
2008-01-10,85.76
2008-01-11,84.25
2008-01-14,82.41
2008-01-15,78.89
2008-01-16,78.49
2008-01-17,74.46
2008-01-18,75.6
2008-01-22,79.44
2008-01-23,85.8
2008-01-24,83.77
2008-01-25,81.28
2008-01-28,83.43
2008-01-29,87.23
2008-01-30,83.84
2008-01-31,87.75
2008-02-01,87.85
2008-02-04,81.45
2008-02-05,88.9
2008-02-06,86.2
2008-02-07,90.27
2008-02-08,88.85
2008-02-11,92.35
2008-02-12,91.44
2008-02-13,91.01
2008-02-14,91.14
2008-02-15,88.92
2008-02-19,87.74
2008-02-20,87.35
2008-02-21,85.76
2008-02-22,87.98
2008-02-25,89.35
2008-02-26,88.49
2008-02-27,87.25
2008-02-28,82.55
2008-02-29,83.3
2008-03-03,81.03
2008-03-04,79.58
2008-03-05,81.09
2008-03-06,78.35
2008-03-07,79.04
2008-03-10,78.67
2008-03-11,80.2
2008-03-12,78.65
2008-03-13,77.73
2008-03-14,74.82
2008-03-17,71.85
2008-03-18,74.84
2008-03-19,72.65
2008-03-20,76.96
2008-03-24,82.9
2008-03-25,82.83
2008-03-26,79.34
2008-03-27,76.12
2008-03-28,73.59
2008-03-31,73.64
2008-04-01,77.62
2008-04-02,78.51
2008-04-03,80.1
2008-04-04,79.04
2008-04-07,80.79
2008-04-08,81.5
2008-04-09,80.14
2008-04-10,79.74
2008-04-11,76.55
2008-04-14,74.02
2008-04-15,69.03
2008-04-16,69.17
2008-04-17,67.1
2008-04-18,67.77
2008-04-21,65.03
2008-04-22,70.99
2008-04-23,69.6
2008-04-24,70.44
2008-04-25,70.29
2008-04-28,71.78
2008-04-29,73.83
2008-04-30,76.22
2008-05-01,71.93
2008-05-02,72.89
2008-05-05,73.0
2008-05-06,74.6
2008-05-07,72.18
2008-05-08,71.65
2008-05-09,71.73
2008-05-12,70.96
2008-05-13,69.97
2008-05-14,72.0
2008-05-15,76.01
2008-05-16,76.09
2008-05-19,72.76
2008-05-20,70.49
2008-05-21,67.72
2008-05-22,67.85
2008-05-23,67.05
2008-05-27,66.22
2008-05-28,66.8
2008-05-29,67.5
2008-05-30,69.44
2008-06-02,67.54
2008-06-03,64.11
2008-06-04,63.15
2008-06-05,64.11
2008-06-06,61.65
2008-06-09,59.91
2008-06-10,56.55
2008-06-11,53.77
2008-06-12,54.19
2008-06-13,55.84
2008-06-16,59.56
2008-06-17,59.13
2008-06-18,57.09
2008-06-19,57.5
2008-06-20,54.96
2008-06-23,54.62
2008-06-24,53.22
2008-06-25,53.38
2008-06-26,50.19
2008-06-27,47.1
2008-06-30,47.44
2008-07-01,44.87
2008-07-02,42.44
2008-07-03,39.47
2008-07-07,39.3
2008-07-08,40.18
2008-07-09,38.13
2008-07-10,34.01
2008-07-11,34.09
2008-07-14,33.55
2008-07-15,33.19
2008-07-16,35.21
2008-07-17,37.74
2008-07-18,38.58
2008-07-21,42.2
2008-07-22,49.0
2008-07-23,52.12
2008-07-24,45.66
2008-07-25,43.88
2008-07-28,42.08
2008-07-29,44.03
2008-07-30,47.82
2008-07-31,45.52
2008-08-01,45.37
2008-08-04,44.47
2008-08-05,47.22
2008-08-06,49.8
2008-08-07,48.6
2008-08-08,50.95
2008-08-11,53.66
2008-08-12,55.39
2008-08-13,51.37
2008-08-14,56.87
2008-08-15,56.3
2008-08-18,50.93
2008-08-19,45.53
2008-08-20,41.8
2008-08-21,41.02
2008-08-22,40.33
2008-08-25,40.89
2008-08-26,40.12
2008-08-27,42.56
2008-08-28,45.85
2008-08-29,47.41
2008-09-02,46.83
2008-09-03,45.04
2008-09-04,42.1
2008-09-05,42.62
2008-09-08,43.17
2008-09-09,41.32
2008-09-10,36.84
2008-09-11,37.12
2008-09-12,37.71
2008-09-15,35.33
2008-09-16,36.13
2008-09-17,31.83
2008-09-18,36.89
2008-09-19,43.8
2008-09-22,36.05
2008-09-23,33.24
2008-09-24,33.3
2008-09-25,35.15
2008-09-26,38.25
2008-09-29,33.1
2008-09-30,36.11
