Date,Close
2007-01-03,25.73
2007-01-04,25.71
2007-01-05,25.7
2007-01-08,25.61
2007-01-09,26.1
2007-01-10,26.17
2007-01-11,26.41
2007-01-12,26.61
2007-01-16,27.15
2007-01-17,27.32
2007-01-18,27.17
2007-01-19,28.01
2007-01-22,27.55
2007-01-23,27.62
2007-01-24,27.83
2007-01-25,27.45
2007-01-26,27.15
2007-01-29,27.21
2007-01-30,27.28
2007-01-31,28.11
2007-02-01,29.54
2007-02-02,29.82
2007-02-05,29.09
2007-02-06,28.73
2007-02-07,28.67
2007-02-08,28.25
2007-02-09,28.09
2007-02-12,28.01
2007-02-13,27.95
2007-02-14,27.86
2007-02-15,27.4
2007-02-16,27.39
2007-02-20,27.52
2007-02-21,27.37
2007-02-22,26.99
2007-02-23,26.84
2007-02-26,26.63
2007-02-27,26.42
2007-02-28,26.21
2007-03-01,25.89
2007-03-02,25.41
2007-03-05,25.01
2007-03-06,25.17
2007-03-07,24.96
2007-03-08,25.22
2007-03-09,24.74
2007-03-12,24.56
2007-03-13,24.49
2007-03-14,24.96
2007-03-15,24.5
2007-03-16,24.18
2007-03-19,24.42
2007-03-20,24.72
2007-03-21,25.08
2007-03-22,24.87
2007-03-23,24.59
2007-03-26,24.56
2007-03-27,24.43
2007-03-28,23.8
2007-03-29,23.93
2007-03-30,24.08
2007-04-02,23.57
2007-04-03,23.74
2007-04-04,23.76
2007-04-05,23.88
2007-04-09,23.63
2007-04-10,23.39
2007-04-11,23.37
2007-04-12,23.49
2007-04-13,23.61
2007-04-16,23.63
2007-04-17,24.0
2007-04-18,23.93
2007-04-19,23.83
2007-04-20,24.26
2007-04-23,24.27
2007-04-24,24.24
2007-04-25,24.29
2007-04-26,24.73
2007-04-27,24.45
2007-04-30,23.91
2007-05-01,26.19
2007-05-02,26.16
2007-05-03,26.36
2007-05-04,26.8
2007-05-07,26.99
2007-05-08,26.69
2007-05-09,26.65
2007-05-10,26.12
2007-05-11,26.0
2007-05-14,26.18
2007-05-15,25.62
2007-05-16,25.62
2007-05-17,25.67
2007-05-18,26.05
2007-05-21,26.39
2007-05-22,26.47
2007-05-23,26.57
2007-05-24,26.71
2007-05-25,26.27
2007-05-29,26.14
2007-05-30,26.26
2007-05-31,26.55
2007-06-01,25.87
2007-06-04,26.5
2007-06-05,26.31
2007-06-06,25.46
2007-06-07,24.72
2007-06-08,25.22
2007-06-11,25.29
2007-06-12,24.89
2007-06-13,25.35
2007-06-14,25.55
2007-06-15,25.76
2007-06-18,25.67
2007-06-19,25.68
2007-06-20,25.16
