Date,Close
2007-01-03,16.6
2007-01-04,16.86
2007-01-05,16.76
2007-01-08,17.01
2007-01-09,17.3
2007-01-10,17.58
2007-01-11,17.93
2007-01-12,17.93
2007-01-16,17.99
2007-01-17,17.9
2007-01-18,17.33
2007-01-19,17.42
2007-01-22,17.23
2007-01-23,17.32
2007-01-24,17.58
2007-01-25,17.44
2007-01-26,17.54
2007-01-29,17.5
2007-01-30,17.3
2007-01-31,17.38
2007-02-01,17.9
2007-02-02,17.79
2007-02-05,17.59
2007-02-06,17.57
2007-02-07,17.85
2007-02-08,17.83
2007-02-09,17.7
2007-02-12,17.65
2007-02-13,17.75
2007-02-14,18.09
2007-02-15,18.05
2007-02-16,18.01
2007-02-20,18.12
2007-02-21,18.02
2007-02-22,18.62
2007-02-23,18.75
2007-02-26,18.59
2007-02-27,18.02
2007-02-28,17.8
2007-03-01,17.68
2007-03-02,17.58
2007-03-05,17.72
2007-03-06,18.17
2007-03-07,18.12
2007-03-08,18.34
2007-03-09,18.48
2007-03-12,18.5
2007-03-13,18.26
2007-03-14,18.28
2007-03-15,18.38
2007-03-16,18.22
2007-03-19,18.03
2007-03-20,18.08
2007-03-21,18.45
2007-03-22,18.35
2007-03-23,18.25
2007-03-26,18.32
2007-03-27,18.16
2007-03-28,17.95
2007-03-29,17.67
2007-03-30,17.76
2007-04-02,17.74
2007-04-03,17.8
2007-04-04,17.85
2007-04-05,18.16
2007-04-09,18.08
2007-04-10,18.38
2007-04-11,18.24
2007-04-12,18.46
2007-04-13,18.45
2007-04-16,18.68
2007-04-17,18.47
2007-04-18,18.51
2007-04-19,18.68
2007-04-20,18.73
2007-04-23,18.78
2007-04-24,18.94
2007-04-25,19.19
2007-04-26,19.38
2007-04-27,20.68
2007-04-30,20.17
2007-05-01,20.31
2007-05-02,20.5
2007-05-03,20.46
2007-05-04,20.55
2007-05-07,20.48
2007-05-08,20.33
2007-05-09,20.49
2007-05-10,20.2
2007-05-11,20.38
2007-05-14,20.07
2007-05-15,19.95
2007-05-16,20.19
2007-05-17,20.05
2007-05-18,20.32
2007-05-21,20.23
2007-05-22,20.19
2007-05-23,19.93
2007-05-24,19.59
2007-05-25,19.61
2007-05-29,19.98
2007-05-30,19.96
2007-05-31,20.29
2007-06-01,20.52
2007-06-04,20.53
2007-06-05,20.17
2007-06-06,20.02
2007-06-07,19.71
2007-06-08,20.25
2007-06-11,20.3
2007-06-12,20.27
2007-06-13,20.66
2007-06-14,20.89
2007-06-15,21.03
2007-06-18,20.83
2007-06-19,18.95
2007-06-20,18.74
2007-06-21,19.23
2007-06-22,18.9
2007-06-25,18.75
2007-06-26,18.65
2007-06-27,18.86
2007-06-28,18.58
2007-06-29,18.52
2007-07-02,18.73
2007-07-03,18.66
2007-07-05,18.82
2007-07-06,18.9
2007-07-09,18.83
2007-07-10,18.78
2007-07-11,18.98
2007-07-12,19.32
2007-07-13,19.03
2007-07-16,19.03
2007-07-17,19.23
2007-07-18,19.01
2007-07-19,19.08
2007-07-20,18.88
2007-07-23,18.9
2007-07-24,18.7
2007-07-25,18.71
2007-07-26,18.58
2007-07-27,18.51
2007-07-30,18.64
2007-07-31,18.16
2007-08-01,18.61
2007-08-02,18.85
2007-08-03,18.39
2007-08-06,18.53
2007-08-07,18.72
2007-08-08,19.26
2007-08-09,19.76
2007-08-10,19.42
2007-08-13,18.98
2007-08-14,18.69
2007-08-15,18.62
2007-08-16,18.47
2007-08-17,18.92
2007-08-20,19.0
2007-08-21,19.0
2007-08-22,18.77
2007-08-23,18.58
2007-08-24,18.6
2007-08-27,18.53
2007-08-28,18.41
2007-08-29,18.88
2007-08-30,18.75
2007-08-31,19.26
2007-09-04,19.54
2007-09-05,19.18
2007-09-06,19.3
2007-09-07,18.76
2007-09-10,18.78
2007-09-11,18.77
2007-09-12,18.49
2007-09-13,18.43
2007-09-14,18.42
2007-09-17,18.24
2007-09-18,18.41
2007-09-19,18.44
2007-09-20,18.37
2007-09-21,18.33
2007-09-24,18.25
2007-09-25,18.26
2007-09-26,18.42
2007-09-27,18.44
2007-09-28,18.16
2007-10-01,18.46
2007-10-02,18.42
2007-10-03,18.36
2007-10-04,18.26
2007-10-05,18.25
2007-10-08,18.31
2007-10-09,15.99
2007-10-10,16.31
2007-10-11,15.84
2007-10-12,15.89
2007-10-15,15.87
2007-10-16,15.69
2007-10-17,15.75
2007-10-18,15.57
2007-10-19,15.04
2007-10-22,15.32
2007-10-23,15.34
2007-10-24,16.0
2007-10-25,16.19
2007-10-26,16.04
2007-10-29,16.09
2007-10-30,16.09
2007-10-31,16.58
2007-11-01,16.22
2007-11-02,16.33
2007-11-05,16.35
2007-11-06,16.47
2007-11-07,16.05
2007-11-08,15.94
2007-11-09,15.76
2007-11-12,15.32
2007-11-13,15.45
2007-11-14,15.2
2007-11-15,15.35
2007-11-16,15.38
2007-11-19,15.14
2007-11-20,14.64
2007-11-21,14.06
2007-11-23,14.26
2007-11-26,13.78
2007-11-27,13.94
2007-11-28,14.26
2007-11-29,14.52
