Date,Close
2007-01-03,51.43
2007-01-04,51.3
2007-01-05,51.31
2007-01-08,51.66
2007-01-09,51.13
2007-01-10,51.85
2007-01-11,52.63
2007-01-12,54.42
2007-01-16,54.71
2007-01-17,55.32
2007-01-18,55.18
2007-01-19,55.13
2007-01-22,54.33
2007-01-23,54.46
2007-01-24,55.17
2007-01-25,55.37
2007-01-26,55.94
2007-01-29,55.58
2007-01-30,55.5
2007-01-31,55.75
2007-02-01,55.99
2007-02-02,55.77
2007-02-05,56.02
2007-02-06,55.81
2007-02-07,55.57
2007-02-08,55.65
2007-02-09,55.71
2007-02-12,55.61
2007-02-13,56.21
2007-02-14,56.31
2007-02-15,56.95
2007-02-16,57.22
2007-02-20,57.48
2007-02-21,57.44
2007-02-22,57.19
2007-02-23,57.39
2007-02-26,57.13
2007-02-27,56.06
2007-02-28,55.72
2007-03-01,55.36
2007-03-02,54.65
2007-03-05,54.01
2007-03-06,55.09
2007-03-07,55.11
2007-03-08,55.88
2007-03-09,56.07
2007-03-12,56.34
2007-03-13,54.42
2007-03-14,54.81
2007-03-15,55.01
2007-03-16,55.23
2007-03-19,56.6
2007-03-20,56.65
2007-03-21,57.46
2007-03-22,57.19
2007-03-23,57.82
2007-03-26,57.92
2007-03-27,58.5
2007-03-28,58.82
2007-03-29,58.13
2007-03-30,58.54
2007-04-02,59.0
2007-04-03,59.06
2007-04-04,58.47
2007-04-05,58.92
2007-04-09,58.56
2007-04-10,58.48
2007-04-11,58.73
2007-04-12,59.01
2007-04-13,59.57
2007-04-16,59.91
2007-04-17,59.63
2007-04-18,60.02
2007-04-19,60.04
2007-04-20,60.22
2007-04-23,60.48
2007-04-24,60.77
2007-04-25,60.63
2007-04-26,58.98
2007-04-27,58.24
2007-04-30,58.83
2007-05-01,59.12
2007-05-02,59.41
2007-05-03,59.41
2007-05-04,60.0
2007-05-07,59.77
2007-05-08,60.6
2007-05-09,59.78
2007-05-10,59.01
2007-05-11,59.68
2007-05-14,60.67
2007-05-15,60.51
2007-05-16,61.01
2007-05-17,61.45
2007-05-18,61.92
2007-05-21,62.44
2007-05-22,62.21
2007-05-23,62.86
2007-05-24,62.53
2007-05-25,62.36
2007-05-29,62.55
2007-05-30,62.88
2007-05-31,63.13
2007-06-01,63.71
2007-06-04,63.62
2007-06-05,62.22
2007-06-06,62.06
2007-06-07,61.09
2007-06-08,61.88
2007-06-11,61.52
2007-06-12,61.15
2007-06-13,61.33
2007-06-14,61.04
2007-06-15,60.76
2007-06-18,59.87
2007-06-19,60.26
2007-06-20,58.52
2007-06-21,58.99
2007-06-22,58.1
2007-06-25,58.49
2007-06-26,59.02
2007-06-27,60.14
2007-06-28,60.43
2007-06-29,59.64
2007-07-02,59.6
2007-07-03,60.0
2007-07-05,60.07
2007-07-06,59.62
2007-07-09,58.95
2007-07-10,58.02
2007-07-11,59.2
2007-07-12,60.5
2007-07-13,60.5
2007-07-16,60.2
2007-07-17,60.73
2007-07-18,59.17
2007-07-19,59.27
2007-07-20,58.36
2007-07-23,58.97
2007-07-24,58.52
2007-07-25,58.81
2007-07-26,57.81
2007-07-27,55.95
2007-07-30,57.28
2007-07-31,57.76
2007-08-01,58.62
2007-08-02,59.17
2007-08-03,58.56
2007-08-06,61.66
2007-08-07,59.98
2007-08-08,59.93
2007-08-09,56.0
2007-08-10,56.05
2007-08-13,57.09
2007-08-14,56.09
2007-08-15,56.55
2007-08-16,56.92
2007-08-17,58.39
2007-08-20,57.43
2007-08-21,58.46
2007-08-22,58.84
2007-08-23,58.49
2007-08-24,59.24
2007-08-27,59.0
2007-08-28,58.36
2007-08-29,58.25
2007-08-30,57.76
2007-08-31,57.21
2007-09-04,57.28
2007-09-05,56.69
2007-09-06,55.14
2007-09-07,54.88
2007-09-10,54.85
2007-09-11,55.68
2007-09-12,55.02
2007-09-13,55.78
2007-09-14,54.19
2007-09-17,53.68
2007-09-18,56.03
2007-09-19,56.51
2007-09-20,56.43
2007-09-21,55.78
2007-09-24,56.23
2007-09-25,56.46
2007-09-26,57.63
2007-09-27,57.68
2007-09-28,58.79
2007-10-01,58.03
2007-10-02,58.37
2007-10-03,58.58
2007-10-04,59.3
2007-10-05,59.7
2007-10-08,59.22
2007-10-09,59.86
2007-10-10,60.55
2007-10-11,59.8
2007-10-12,59.1
2007-10-15,58.83
2007-10-16,57.94
2007-10-17,58.44
2007-10-18,58.3
2007-10-19,57.38
2007-10-22,57.05
2007-10-23,57.8
2007-10-24,56.72
2007-10-25,57.55
2007-10-26,58.46
2007-10-29,57.99
2007-10-30,58.55
2007-10-31,66.1
2007-11-01,64.27
2007-11-02,64.4
2007-11-05,64.82
2007-11-06,64.91
2007-11-07,63.41
2007-11-08,64.5
2007-11-09,63.83
2007-11-12,63.76
2007-11-13,64.53
2007-11-14,63.74
2007-11-15,64.79
2007-11-16,66.83
2007-11-19,66.16
2007-11-20,66.53
2007-11-21,66.11
2007-11-23,67.0
2007-11-26,66.85
2007-11-27,66.66
2007-11-28,67.06
2007-11-29,66.52
2007-11-30,66.73
2007-12-03,65.58
2007-12-04,65.55
2007-12-05,66.37
2007-12-06,65.51
2007-12-07,66.37
2007-12-10,65.89
2007-12-11,64.08
2007-12-12,64.83
2007-12-13,63.99
2007-12-14,63.21
2007-12-17,63.79
2007-12-18,64.55
2007-12-19,64.79
2007-12-20,65.2
2007-12-21,65.94
2007-12-24,66.71
2007-12-26,66.7
2007-12-27,66.74
2007-12-28,65.94
2007-12-31,65.51
2008-01-02,63.91
2008-01-03,63.94
2008-01-04,63.25
2008-01-07,64.6
2008-01-08,66.08
2008-01-09,67.73
2008-01-10,67.37
2008-01-11,67.8
2008-01-14,67.1
