Date,Close
2007-01-03,35.61
2007-01-04,35.58
2007-01-05,35.18
2007-01-08,34.95
2007-01-09,35.13
2007-01-10,35.9
2007-01-11,35.78
2007-01-12,35.8
2007-01-16,35.76
2007-01-17,35.25
2007-01-18,35.35
2007-01-19,35.63
2007-01-22,35.91
2007-01-23,35.31
2007-01-24,35.04
2007-01-25,34.76
2007-01-26,34.54
2007-01-29,35.17
2007-01-30,34.83
2007-01-31,34.92
2007-02-01,33.94
2007-02-02,34.03
2007-02-05,33.56
2007-02-06,33.67
2007-02-07,33.61
2007-02-08,32.97
2007-02-09,33.57
2007-02-12,34.31
2007-02-13,34.55
2007-02-14,34.43
2007-02-15,34.22
2007-02-16,34.95
2007-02-20,33.86
2007-02-21,33.44
2007-02-22,33.27
2007-02-23,33.26
2007-02-26,33.27
2007-02-27,32.08
2007-02-28,31.93
2007-03-01,32.37
2007-03-02,31.85
2007-03-05,31.62
2007-03-06,32.23
2007-03-07,31.31
2007-03-08,31.33
2007-03-09,31.5
2007-03-12,31.92
2007-03-13,30.93
2007-03-14,30.2
2007-03-15,30.6
2007-03-16,30.42
2007-03-19,30.9
2007-03-20,31.48
2007-03-21,31.35
2007-03-22,31.85
2007-03-23,32.0
2007-03-26,31.89
2007-03-27,31.7
2007-03-28,31.46
2007-03-29,31.52
2007-03-30,31.66
2007-04-02,30.85
2007-04-03,30.33
2007-04-04,30.72
2007-04-05,31.58
2007-04-09,31.31
2007-04-10,31.24
2007-04-11,32.02
2007-04-12,32.45
2007-04-13,32.8
2007-04-16,32.76
2007-04-17,32.9
2007-04-18,32.29
2007-04-19,32.85
2007-04-20,33.09
2007-04-23,33.21
2007-04-24,33.4
2007-04-25,33.47
2007-04-26,33.56
2007-04-27,33.56
2007-04-30,33.47
2007-05-01,33.49
2007-05-02,33.28
2007-05-03,32.83
2007-05-04,33.2
2007-05-07,33.0
2007-05-08,32.66
2007-05-09,32.78
2007-05-10,32.5
2007-05-11,32.51
2007-05-14,32.5
2007-05-15,32.6
2007-05-16,32.77
2007-05-17,32.9
2007-05-18,33.11
2007-05-21,33.19
2007-05-22,33.34
2007-05-23,33.32
2007-05-24,33.44
2007-05-25,33.51
2007-05-29,33.51
2007-05-30,33.69
2007-05-31,33.84
2007-06-01,34.42
2007-06-04,34.51
2007-06-05,34.45
2007-06-06,34.35
2007-06-07,34.62
2007-06-08,34.51
2007-06-11,34.52
2007-06-12,34.51
2007-06-13,35.25
2007-06-14,35.42
2007-06-15,35.31
2007-06-18,35.11
2007-06-19,34.65
2007-06-20,34.46
2007-06-21,36.74
2007-06-22,36.25
2007-06-25,35.61
2007-06-26,34.94
2007-06-27,35.74
2007-06-28,35.37
2007-06-29,35.25
2007-07-02,35.53
2007-07-03,34.66
2007-07-05,34.46
2007-07-06,34.24
2007-07-09,35.01
2007-07-10,34.4
2007-07-11,34.28
2007-07-12,34.8
2007-07-13,35.89
2007-07-16,35.52
2007-07-17,35.87
2007-07-18,35.7
2007-07-19,36.33
2007-07-20,35.53
2007-07-23,35.61
2007-07-24,34.84
2007-07-25,34.84
2007-07-26,33.44
2007-07-27,32.89
2007-07-30,32.98
2007-07-31,32.75
2007-08-01,32.43
2007-08-02,32.55
2007-08-03,31.96
2007-08-06,32.7
2007-08-07,32.57
2007-08-08,32.78
2007-08-09,31.45
2007-08-10,32.14
2007-08-13,32.2
2007-08-14,32.48
2007-08-15,31.75
2007-08-16,31.15
2007-08-17,31.31
2007-08-20,31.7
2007-08-21,31.64
2007-08-22,32.06
2007-08-23,32.1
2007-08-24,32.49
2007-08-27,32.41
2007-08-28,31.78
2007-08-29,31.92
2007-08-30,31.85
2007-08-31,32.06
2007-09-04,32.15
2007-09-05,32.6
2007-09-06,33.39
2007-09-07,32.89
2007-09-10,33.27
2007-09-11,33.79
2007-09-12,33.9
2007-09-13,34.03
2007-09-14,34.1
2007-09-17,33.89
2007-09-18,34.39
2007-09-19,34.38
2007-09-20,34.6
2007-09-21,34.85
2007-09-24,34.71
2007-09-25,34.42
2007-09-26,34.23
2007-09-27,34.41
2007-09-28,34.51
2007-10-01,34.7
2007-10-02,34.67
2007-10-03,34.29
2007-10-04,34.32
2007-10-05,34.3
2007-10-08,34.07
2007-10-09,34.11
2007-10-10,34.04
2007-10-11,33.53
2007-10-12,33.85
2007-10-15,33.6
2007-10-16,33.61
2007-10-17,33.73
2007-10-18,33.41
2007-10-19,32.6
2007-10-22,32.68
2007-10-23,32.94
2007-10-24,32.87
2007-10-25,32.76
2007-10-26,33.3
2007-10-29,32.98
2007-10-30,32.6
2007-10-31,33.41
2007-11-01,32.8
2007-11-02,32.82
2007-11-05,33.15
2007-11-06,33.39
2007-11-07,33.33
2007-11-08,33.11
2007-11-09,32.69
2007-11-12,32.71
2007-11-13,33.33
2007-11-14,32.98
2007-11-15,32.37
2007-11-16,32.51
2007-11-19,32.3
2007-11-20,33.05
2007-11-21,32.81
2007-11-23,33.44
2007-11-26,33.02
2007-11-27,33.2
2007-11-28,33.8
2007-11-29,34.33
2007-11-30,34.55
2007-12-03,34.42
2007-12-04,34.4
2007-12-05,34.83
2007-12-06,35.2
2007-12-07,34.68
2007-12-10,34.82
2007-12-11,34.27
2007-12-12,34.16
2007-12-13,34.16
2007-12-14,33.31
2007-12-17,32.57
2007-12-18,33.05
2007-12-19,33.03
2007-12-20,32.91
2007-12-21,33.26
2007-12-24,33.38
2007-12-26,33.52
2007-12-27,32.93
2007-12-28,32.95
2007-12-31,32.63
2008-01-02,32.05
2008-01-03,31.8
2008-01-04,31.45
2008-01-07,31.94
2008-01-08,31.6
2008-01-09,31.79
2008-01-10,32.7
2008-01-11,31.93
2008-01-14,31.8
2008-01-15,31.06
2008-01-16,31.18
2008-01-17,30.65
2008-01-18,30.15
2008-01-22,29.88
2008-01-23,30.55
2008-01-24,30.0
2008-01-25,29.78
2008-01-28,30.44
2008-01-29,30.19
2008-01-30,29.45
2008-01-31,29.27
2008-02-01,29.42
2008-02-04,29.47
2008-02-05,28.95
2008-02-06,29.26
2008-02-07,29.42
2008-02-08,28.81
2008-02-11,29.32
2008-02-12,29.24
2008-02-13,29.56
2008-02-14,29.31
2008-02-15,31.33
2008-02-19,31.18
2008-02-20,31.28
2008-02-21,30.84
2008-02-22,31.37
2008-02-25,31.53
2008-02-26,31.88
2008-02-27,32.04
2008-02-28,31.63
2008-02-29,31.17
2008-03-03,31.2
2008-03-04,31.01
2008-03-05,31.01
2008-03-06,30.78
2008-03-07,30.61
2008-03-10,30.71
2008-03-11,31.35
2008-03-12,30.95
2008-03-13,30.28
2008-03-14,29.87
2008-03-17,29.87
2008-03-18,30.56
2008-03-19,30.17
2008-03-20,31.15
2008-03-24,30.82
2008-03-25,30.66
2008-03-26,30.82
2008-03-27,30.94
2008-03-28,30.82
2008-03-31,31.01
2008-04-01,31.71
2008-04-02,31.58
2008-04-03,31.2
2008-04-04,31.54
2008-04-07,31.59
2008-04-08,31.66
2008-04-09,31.5
2008-04-10,30.98
2008-04-11,30.73
2008-04-14,30.79
2008-04-15,30.9
2008-04-16,31.2
2008-04-17,31.28
2008-04-18,31.45
2008-04-21,31.35
2008-04-22,30.92
2008-04-23,31.32
2008-04-24,31.25
2008-04-25,30.6
2008-04-28,30.37
2008-04-29,30.77
2008-04-30,31.63
2008-05-01,31.95
2008-05-02,32.04
2008-05-05,31.98
2008-05-06,31.96
2008-05-07,31.53
2008-05-08,31.79
2008-05-09,31.34
2008-05-12,31.36
2008-05-13,31.14
2008-05-14,31.71
2008-05-15,31.93
2008-05-16,32.51
2008-05-19,32.81
2008-05-20,32.56
2008-05-21,32.35
2008-05-22,32.42
2008-05-23,31.99
2008-05-27,32.28
2008-05-28,32.45
2008-05-29,32.82
2008-05-30,32.48
2008-06-02,32.13
2008-06-03,32.05
2008-06-04,31.89
2008-06-05,32.06
2008-06-06,31.22
2008-06-09,31.38
2008-06-10,31.24
2008-06-11,30.78
2008-06-12,30.8
2008-06-13,31.0
2008-06-16,30.27
2008-06-17,30.32
2008-06-18,30.0
2008-06-19,29.64
2008-06-20,29.21
2008-06-23,29.29
2008-06-24,29.23
2008-06-25,29.25
2008-06-26,28.83
2008-06-27,28.39
2008-06-30,28.45
2008-07-01,28.4
2008-07-02,28.72
2008-07-03,28.81
2008-07-07,28.7
2008-07-08,28.99
2008-07-09,29.0
2008-07-10,28.95
2008-07-11,28.93
2008-07-14,29.27
2008-07-15,29.42
2008-07-16,29.89
2008-07-17,29.91
2008-07-18,29.61
2008-07-21,28.93
2008-07-22,29.24
2008-07-23,29.8
2008-07-24,29.38
2008-07-25,29.38
2008-07-28,30.83
2008-07-29,31.46
