Date,Close
2007-01-03,53.61
2007-01-04,53.93
2007-01-05,53.3
2007-01-08,53.3
2007-01-09,52.67
2007-01-10,53.48
2007-01-11,54.91
2007-01-12,55.02
2007-01-16,55.45
2007-01-17,54.86
2007-01-18,54.59
2007-01-19,54.8
2007-01-22,54.9
2007-01-23,55.05
2007-01-24,55.93
2007-01-25,54.88
2007-01-26,54.79
2007-01-29,54.8
2007-01-30,55.15
2007-01-31,55.37
2007-02-01,56.29
2007-02-02,56.47
2007-02-05,56.38
2007-02-06,56.6
2007-02-07,57.23
2007-02-08,56.84
2007-02-09,56.43
2007-02-12,56.55
2007-02-13,57.8
2007-02-14,58.24
2007-02-15,57.86
2007-02-16,57.8
2007-02-20,58.48
2007-02-21,58.39
2007-02-22,58.75
2007-02-23,58.16
2007-02-26,58.22
2007-02-27,55.97
2007-02-28,56.29
2007-03-01,56.33
2007-03-02,55.69
2007-03-05,54.96
2007-03-06,55.46
2007-03-07,55.11
2007-03-08,55.4
2007-03-09,55.85
2007-03-12,56.19
2007-03-13,54.3
2007-03-14,54.91
2007-03-15,55.29
2007-03-16,55.05
2007-03-19,55.75
2007-03-20,56.15
2007-03-21,56.86
2007-03-22,56.56
2007-03-23,56.68
2007-03-26,57.24
2007-03-27,56.84
2007-03-28,56.47
2007-03-29,56.45
2007-03-30,56.28
2007-04-02,56.44
2007-04-03,56.82
2007-04-04,56.54
2007-04-05,56.89
2007-04-09,56.93
2007-04-10,56.64
2007-04-11,56.52
2007-04-12,56.66
2007-04-13,56.41
2007-04-16,56.93
2007-04-17,57.16
2007-04-18,57.13
2007-04-19,57.26
2007-04-20,58.01
2007-04-23,57.66
2007-04-24,57.5
2007-04-25,58.44
2007-04-26,58.68
2007-04-27,58.42
2007-04-30,58.56
2007-05-01,58.7
2007-05-02,59.51
2007-05-03,60.72
2007-05-04,61.1
2007-05-07,61.32
2007-05-08,61.53
2007-05-09,61.44
2007-05-10,60.62
2007-05-11,61.27
2007-05-14,60.82
2007-05-15,61.44
2007-05-16,61.39
2007-05-17,61.08
2007-05-18,60.98
2007-05-21,61.05
2007-05-22,61.36
2007-05-23,60.39
2007-05-24,60.04
2007-05-25,60.35
2007-05-29,60.45
2007-05-30,61.02
2007-05-31,60.61
2007-06-01,60.95
2007-06-04,60.7
2007-06-05,60.23
2007-06-06,59.71
2007-06-07,58.65
2007-06-08,58.83
2007-06-11,59.05
2007-06-12,58.4
2007-06-13,58.71
2007-06-14,59.1
2007-06-15,59.49
2007-06-18,59.35
2007-06-19,59.22
2007-06-20,57.91
2007-06-21,57.79
2007-06-22,56.83
2007-06-25,57.06
2007-06-26,57.65
2007-06-27,57.94
2007-06-28,57.71
2007-06-29,57.47
2007-07-02,58.45
2007-07-03,58.47
2007-07-05,57.71
2007-07-06,57.83
2007-07-09,57.5
2007-07-10,56.11
2007-07-11,57.09
2007-07-12,57.93
2007-07-13,58.22
2007-07-16,57.83
2007-07-17,57.14
2007-07-18,56.57
2007-07-19,56.19
2007-07-20,56.79
2007-07-23,57.18
2007-07-24,56.47
2007-07-25,56.99
2007-07-26,54.63
2007-07-27,53.14
2007-07-30,53.67
2007-07-31,53.67
2007-08-01,55.1
2007-08-02,56.77
2007-08-03,54.36
2007-08-06,56.55
