Date,Close
2007-01-03,57.57
2007-01-04,57.1
2007-01-05,56.9
2007-01-08,59.8
2007-01-09,61.04
2007-01-10,63.61
2007-01-11,68.55
2007-01-12,67.75
2007-01-16,69.13
2007-01-17,68.19
2007-01-18,67.9
2007-01-19,67.26
2007-01-22,67.86
2007-01-23,70.15
2007-01-24,72.1
2007-01-25,69.95
2007-01-26,70.27
2007-01-29,69.07
2007-01-30,67.5
2007-01-31,69.97
2007-02-01,72.48
2007-02-02,71.54
2007-02-05,72.59
2007-02-06,72.08
2007-02-07,73.36
2007-02-08,74.4
2007-02-09,71.3
2007-02-12,69.4
2007-02-13,70.24
2007-02-14,70.38
2007-02-15,70.78
2007-02-16,68.97
2007-02-20,70.0
2007-02-21,69.75
2007-02-22,72.26
2007-02-23,72.59
2007-02-26,72.62
2007-02-27,68.69
2007-02-28,71.06
2007-03-01,71.68
2007-03-02,69.16
2007-03-05,65.13
2007-03-06,66.79
2007-03-07,65.22
2007-03-08,67.33
2007-03-09,67.37
2007-03-12,67.81
2007-03-13,67.15
2007-03-14,66.98
2007-03-15,67.6
2007-03-16,66.76
2007-03-19,67.8
2007-03-20,70.64
2007-03-21,71.25
2007-03-22,72.15
2007-03-23,71.27
2007-03-26,71.6
2007-03-27,70.3
2007-03-28,69.3
2007-03-29,69.89
2007-03-30,69.52
2007-04-02,71.58
2007-04-03,72.58
2007-04-04,73.03
2007-04-05,72.07
2007-04-09,72.57
2007-04-10,71.77
2007-04-11,71.07
2007-04-12,71.89
2007-04-13,72.54
2007-04-16,72.05
2007-04-17,72.04
2007-04-18,72.45
2007-04-19,71.32
2007-04-20,71.16
2007-04-23,70.46
2007-04-24,69.81
2007-04-25,69.62
2007-04-26,70.53
2007-04-27,68.97
2007-04-30,67.25
2007-05-01,66.82
2007-05-02,68.32
2007-05-03,65.38
2007-05-04,64.66
2007-05-07,63.71
2007-05-08,64.3
2007-05-09,64.53
2007-05-10,62.97
2007-05-11,63.11
2007-05-14,62.18
2007-05-15,61.26
2007-05-16,62.37
2007-05-17,63.68
2007-05-18,62.8
2007-05-21,62.95
2007-05-22,79.98
2007-05-23,78.4
2007-05-24,76.76
2007-05-25,76.76
2007-05-29,79.61
2007-05-30,79.22
2007-05-31,79.53
2007-06-01,79.12
2007-06-04,79.82
2007-06-05,83.59
2007-06-06,82.3
2007-06-07,81.05
2007-06-08,82.47
2007-06-11,82.46
2007-06-12,81.81
2007-06-13,82.03
2007-06-14,82.22
2007-06-15,85.7
2007-06-18,86.7
2007-06-19,86.5
2007-06-20,80.6
2007-06-21,81.3
2007-06-22,81.23
2007-06-25,82.4
2007-06-26,83.72
2007-06-27,83.2
2007-06-28,82.15
2007-06-29,82.48
2007-07-02,82.29
2007-07-03,82.89
2007-07-05,87.65
2007-07-06,88.32
2007-07-09,87.95
2007-07-10,85.4
2007-07-11,84.48
2007-07-12,85.76
2007-07-13,85.49
2007-07-16,85.53
2007-07-17,85.34
2007-07-18,83.82
2007-07-19,83.39
2007-07-20,81.44
2007-07-23,80.85
2007-07-24,78.42
2007-07-25,75.88
2007-07-26,71.93
2007-07-27,71.4
2007-07-30,72.95
2007-07-31,73.11
2007-08-01,72.3
2007-08-02,74.89
2007-08-03,75.81
2007-08-06,74.5
2007-08-07,77.8
2007-08-08,76.32
2007-08-09,75.43
2007-08-10,74.85
2007-08-13,73.95
2007-08-14,72.74
2007-08-15,71.17
2007-08-16,68.61
2007-08-17,70.09
2007-08-20,72.15
2007-08-21,74.32
2007-08-22,80.94
2007-08-23,82.8
2007-08-24,83.48
2007-08-27,82.77
2007-08-28,82.4
2007-08-29,82.9
2007-08-30,83.1
2007-08-31,83.97
2007-09-04,84.0
2007-09-05,83.19
2007-09-06,84.05
2007-09-07,82.9
2007-09-10,82.6
2007-09-11,83.92
2007-09-12,83.95
2007-09-13,83.45
2007-09-14,83.25
2007-09-17,83.5
2007-09-18,85.75
2007-09-19,85.2
2007-09-20,85.41
2007-09-21,85.76
2007-09-24,85.36
2007-09-25,86.72
2007-09-26,90.33
2007-09-27,89.92
2007-09-28,89.44
2007-10-01,92.85
2007-10-02,94.9
2007-10-03,91.7
2007-10-04,92.35
2007-10-05,92.98
2007-10-08,98.29
2007-10-09,99.75
2007-10-10,98.75
2007-10-11,97.5
2007-10-12,96.4
2007-10-15,94.24
2007-10-16,94.5
2007-10-17,94.95
2007-10-18,94.7
2007-10-19,91.95
2007-10-22,91.92
2007-10-23,92.43
2007-10-24,91.73
2007-10-25,91.71
2007-10-26,92.67
2007-10-29,92.92
2007-10-30,91.29
2007-10-31,91.61
2007-11-01,89.5
2007-11-02,91.5
2007-11-05,89.79
2007-11-06,92.1
2007-11-07,90.44
2007-11-08,89.62
2007-11-09,88.32
2007-11-12,86.85
2007-11-13,88.6
2007-11-14,88.0
2007-11-15,87.6
2007-11-16,88.62
2007-11-19,87.24
2007-11-20,87.53
2007-11-21,87.25
2007-11-23,87.46
2007-11-26,85.96
2007-11-27,84.89
2007-11-28,86.62
2007-11-29,86.0
2007-11-30,86.5
2007-12-03,84.54
2007-12-04,85.52
2007-12-05,87.86
2007-12-06,90.92
2007-12-07,92.69
2007-12-10,92.29
2007-12-11,90.01
2007-12-12,90.0
2007-12-13,89.8
2007-12-14,87.37
2007-12-17,83.49
2007-12-18,82.08
2007-12-19,84.25
2007-12-20,83.47
2007-12-21,83.0
2007-12-24,83.56
2007-12-26,85.65
2007-12-27,84.25
2007-12-28,85.06
2007-12-31,84.02
2008-01-02,81.6
2008-01-03,78.0
2008-01-04,73.0
2008-01-07,71.95
2008-01-08,69.98
2008-01-09,73.79
2008-01-10,74.17
2008-01-11,72.94
2008-01-14,69.64
2008-01-15,66.47
2008-01-16,70.57
2008-01-17,67.81
2008-01-18,67.99
2008-01-22,69.9
2008-01-23,70.99
2008-01-24,73.05
2008-01-25,70.8
2008-01-28,72.08
2008-01-29,73.25
2008-01-30,71.04
2008-01-31,72.72
2008-02-01,73.85
2008-02-04,72.21
2008-02-05,70.42
2008-02-06,69.69
2008-02-07,71.81
2008-02-08,67.93
2008-02-11,68.0
2008-02-12,70.35
2008-02-13,70.45
2008-02-14,70.37
2008-02-15,66.14
2008-02-19,66.19
2008-02-20,64.59
2008-02-21,64.34
2008-02-22,64.4
2008-02-25,66.03
2008-02-26,67.34
2008-02-27,65.95
2008-02-28,62.15
2008-02-29,61.59
2008-03-03,60.25
2008-03-04,59.85
2008-03-05,62.52
2008-03-06,61.36
2008-03-07,59.53
2008-03-10,59.0
2008-03-11,61.07
2008-03-12,63.5
2008-03-13,63.85
2008-03-14,62.34
2008-03-17,58.39
2008-03-18,60.23
2008-03-19,58.47
2008-03-20,61.81
2008-03-24,63.2
2008-03-25,64.73
2008-03-26,63.33
2008-03-27,60.9
2008-03-28,58.74
2008-03-31,58.77
2008-04-01,61.49
2008-04-02,61.99
2008-04-03,62.13
2008-04-04,61.2
2008-04-07,57.88
2008-04-08,57.8
2008-04-09,54.48
2008-04-10,53.0
2008-04-11,51.57
2008-04-14,51.82
2008-04-15,49.58
2008-04-16,49.39
2008-04-17,49.52
2008-04-18,50.65
2008-04-21,49.06
2008-04-22,50.73
2008-04-23,50.1
2008-04-24,51.08
2008-04-25,51.59
2008-04-28,51.35
2008-04-29,50.76
2008-04-30,51.15
2008-05-01,49.12
2008-05-02,49.58
2008-05-05,48.62
2008-05-06,51.85
2008-05-07,49.14
2008-05-08,49.02
2008-05-09,51.25
2008-05-12,50.9
2008-05-13,50.45
2008-05-14,51.46
2008-05-15,53.17
2008-05-16,52.03
2008-05-19,51.98
2008-05-20,50.9
2008-05-21,49.25
2008-05-22,48.52
2008-05-23,47.17
2008-05-27,47.15
2008-05-28,47.66
2008-05-29,49.0
2008-05-30,49.21
2008-06-02,47.91
