Date,Close
2007-01-03,13.48
2007-01-04,13.4
2007-01-05,12.98
2007-01-08,13.04
2007-01-09,12.9
2007-01-10,12.88
2007-01-11,12.94
2007-01-12,12.96
2007-01-16,12.8
2007-01-17,12.9
2007-01-18,12.74
2007-01-19,12.76
2007-01-22,12.8
2007-01-23,13.13
2007-01-24,12.97
2007-01-25,12.82
2007-01-26,12.76
2007-01-29,12.75
2007-01-30,12.8
2007-01-31,12.67
2007-02-01,12.68
2007-02-02,12.46
2007-02-05,12.41
2007-02-06,12.76
2007-02-07,13.41
2007-02-08,13.69
2007-02-09,13.46
2007-02-12,13.65
2007-02-13,13.95
2007-02-14,14.06
2007-02-15,14.17
2007-02-16,14.24
2007-02-20,14.55
2007-02-21,14.48
2007-02-22,14.71
2007-02-23,14.75
2007-02-26,14.35
2007-02-27,13.99
2007-02-28,14.02
2007-03-01,13.81
2007-03-02,14.58
2007-03-05,14.3
2007-03-06,14.99
2007-03-07,14.4
2007-03-08,14.34
2007-03-09,14.98
2007-03-12,14.98
2007-03-13,14.14
2007-03-14,14.5
2007-03-15,15.0
2007-03-16,14.84
2007-03-19,15.0
2007-03-20,15.04
2007-03-21,15.68
2007-03-22,16.76
2007-03-23,16.95
2007-03-26,16.7
2007-03-27,16.5
2007-03-28,16.27
2007-03-29,16.61
2007-03-30,16.74
2007-04-02,16.8
2007-04-03,16.96
2007-04-04,16.89
2007-04-05,16.95
2007-04-09,16.42
2007-04-10,16.24
2007-04-11,16.24
2007-04-12,16.23
2007-04-13,16.2
2007-04-16,17.5
2007-04-17,16.67
2007-04-18,16.97
2007-04-19,16.33
2007-04-20,17.11
2007-04-23,16.81
2007-04-24,16.87
2007-04-25,17.07
2007-04-26,17.0
2007-04-27,16.71
2007-04-30,16.38
2007-05-01,16.65
2007-05-02,16.04
2007-05-03,16.59
2007-05-04,17.48
2007-05-07,17.17
2007-05-08,17.6
2007-05-09,17.64
2007-05-10,16.26
2007-05-11,17.21
2007-05-14,16.27
2007-05-15,16.0
2007-05-16,16.17
2007-05-17,16.01
2007-05-18,16.21
2007-05-21,16.49
2007-05-22,16.68
2007-05-23,16.19
2007-05-24,16.23
2007-05-25,16.45
2007-05-29,16.66
2007-05-30,17.46
2007-05-31,17.67
2007-06-01,17.87
2007-06-04,17.67
2007-06-05,17.8
2007-06-06,17.89
2007-06-07,17.68
2007-06-08,18.0
2007-06-11,17.32
2007-06-12,16.73
2007-06-13,16.78
2007-06-14,17.14
2007-06-15,17.44
2007-06-18,17.64
2007-06-19,17.33
2007-06-20,17.01
2007-06-21,17.06
2007-06-22,17.02
2007-06-25,17.65
2007-06-26,18.1
2007-06-27,18.2
2007-06-28,18.04
2007-06-29,17.99
2007-07-02,18.08
2007-07-03,18.75
2007-07-05,18.88
2007-07-06,18.94
2007-07-09,19.1
2007-07-10,18.9
2007-07-11,18.86
2007-07-12,19.14
2007-07-13,19.2
2007-07-16,19.14
2007-07-17,19.32
2007-07-18,19.24
2007-07-19,19.29
2007-07-20,18.9
2007-07-23,18.9
2007-07-24,18.56
2007-07-25,18.65
2007-07-26,18.26
2007-07-27,17.85
2007-07-30,17.44
2007-07-31,16.61
2007-08-01,17.12
2007-08-02,17.89
2007-08-03,16.99
2007-08-06,17.62
2007-08-07,18.18
2007-08-08,17.65
2007-08-09,17.6
2007-08-10,17.45
2007-08-13,16.5
2007-08-14,15.45
2007-08-15,15.42
2007-08-16,17.4
2007-08-17,17.59
2007-08-20,17.62
2007-08-21,17.51
2007-08-22,17.28
