Date,Close
2007-01-03,78.26
2007-01-04,77.95
2007-01-05,77.42
2007-01-08,77.59
2007-01-09,77.68
2007-01-10,77.85
2007-01-11,78.65
2007-01-12,79.36
2007-01-16,79.56
2007-01-17,78.91
2007-01-18,78.81
2007-01-19,79.25
2007-01-22,78.49
2007-01-23,78.85
2007-01-24,79.49
2007-01-25,79.01
2007-01-26,78.69
2007-01-29,78.96
2007-01-30,74.7
2007-01-31,74.3
2007-02-01,73.99
2007-02-02,73.87
2007-02-05,73.93
2007-02-06,74.27
2007-02-07,74.65
2007-02-08,74.64
2007-02-09,74.54
2007-02-12,74.59
2007-02-13,76.43
2007-02-14,76.84
2007-02-15,76.91
2007-02-16,76.84
2007-02-20,76.58
2007-02-21,76.23
2007-02-22,76.35
2007-02-23,76.21
2007-02-26,76.12
2007-02-27,74.5
2007-02-28,74.08
2007-03-01,73.66
2007-03-02,73.01
2007-03-05,73.17
2007-03-06,73.47
2007-03-07,73.8
2007-03-08,74.52
2007-03-09,74.73
2007-03-12,75.17
2007-03-13,74.77
2007-03-14,75.8
2007-03-15,75.99
2007-03-16,75.28
2007-03-19,76.36
2007-03-20,76.38
2007-03-21,76.9
2007-03-22,77.78
2007-03-23,77.97
2007-03-26,77.38
2007-03-27,77.17
2007-03-28,76.38
2007-03-29,76.09
2007-03-30,76.43
2007-04-02,76.28
2007-04-03,77.46
2007-04-04,77.16
2007-04-05,76.75
2007-04-09,76.83
2007-04-10,76.5
2007-04-11,76.23
2007-04-12,76.71
2007-04-13,76.72
2007-04-16,77.16
2007-04-17,77.28
2007-04-18,77.08
2007-04-19,77.58
2007-04-20,77.75
2007-04-23,77.28
2007-04-24,77.0
2007-04-25,76.97
2007-04-26,80.45
2007-04-27,81.55
2007-04-30,82.77
2007-05-01,83.61
2007-05-02,84.42
2007-05-03,84.07
2007-05-04,84.21
2007-05-07,84.93
2007-05-08,84.78
2007-05-09,85.36
2007-05-10,84.65
2007-05-11,85.55
2007-05-14,84.83
2007-05-15,86.17
2007-05-16,86.01
2007-05-17,86.67
2007-05-18,86.9
2007-05-21,87.06
2007-05-22,87.78
2007-05-23,87.94
2007-05-24,87.15
2007-05-25,87.35
2007-05-29,87.31
2007-05-30,87.93
2007-05-31,87.96
2007-06-01,88.43
2007-06-04,88.07
2007-06-05,87.46
2007-06-06,86.62
2007-06-07,84.88
2007-06-08,85.94
2007-06-11,85.3
2007-06-12,85.04
2007-06-13,87.19
2007-06-14,87.42
2007-06-15,87.67
2007-06-18,87.62
2007-06-19,87.82
2007-06-20,87.08
2007-06-21,87.41
2007-06-22,86.43
2007-06-25,86.25
2007-06-26,86.08
2007-06-27,87.13
2007-06-28,86.85
2007-06-29,86.79
2007-07-02,88.0
2007-07-03,87.94
2007-07-05,87.76
2007-07-06,88.11
2007-07-09,88.11
2007-07-10,87.22
2007-07-11,87.88
2007-07-12,89.93
2007-07-13,90.22
2007-07-16,90.87
2007-07-17,91.08
2007-07-18,91.48
2007-07-19,91.17
2007-07-20,90.21
2007-07-23,90.87
2007-07-24,89.69
2007-07-25,89.62
2007-07-26,90.05
2007-07-27,90.05
2007-07-30,90.18
2007-07-31,88.92
2007-08-01,89.07
2007-08-02,89.12
2007-08-03,87.56
2007-08-06,87.77
2007-08-07,88.03
2007-08-08,88.15
2007-08-09,86.86
2007-08-10,85.97
2007-08-13,86.25
2007-08-14,85.76
2007-08-15,85.06
2007-08-16,85.4
2007-08-17,87.83
2007-08-20,88.27
2007-08-21,88.46
2007-08-22,89.07
2007-08-23,88.75
2007-08-24,89.15
2007-08-27,88.7
2007-08-28,87.62
2007-08-29,88.76
2007-08-30,89.36
2007-08-31,90.99
2007-09-04,91.15
2007-09-05,89.92
2007-09-06,90.63
2007-09-07,88.92
2007-09-10,87.82
2007-09-11,88.24
2007-09-12,89.08
2007-09-13,89.09
2007-09-14,89.02
2007-09-17,88.93
2007-09-18,91.66
2007-09-19,91.96
2007-09-20,91.44
2007-09-21,91.68
2007-09-24,91.81
2007-09-25,91.91
2007-09-26,92.54
