Date,Close
2007-01-03,5.65
2007-01-04,5.69
2007-01-05,5.71
2007-01-08,5.67
2007-01-09,5.99
2007-01-10,6.33
2007-01-11,6.26
2007-01-12,6.36
2007-01-16,6.18
2007-01-17,6.4
2007-01-18,6.15
2007-01-19,6.2
2007-01-22,6.24
2007-01-23,6.32
2007-01-24,6.36
2007-01-25,6.22
2007-01-26,6.16
2007-01-29,6.24
2007-01-30,6.31
2007-01-31,6.35
2007-02-01,6.5
2007-02-02,6.6
2007-02-05,6.47
2007-02-06,6.49
2007-02-07,6.4
2007-02-08,6.18
2007-02-09,6.59
2007-02-12,6.99
2007-02-13,6.28
2007-02-14,6.34
2007-02-15,6.34
2007-02-16,6.15
2007-02-20,6.14
2007-02-21,6.31
2007-02-22,6.29
2007-02-23,6.13
2007-02-26,6.16
2007-02-27,5.79
2007-02-28,5.83
2007-03-01,5.78
2007-03-02,5.7
2007-03-05,5.49
2007-03-06,5.58
2007-03-07,5.59
2007-03-08,5.73
2007-03-09,5.76
2007-03-12,5.83
2007-03-13,5.78
2007-03-14,5.84
2007-03-15,5.96
2007-03-16,5.95
2007-03-19,5.83
2007-03-20,5.9
2007-03-21,5.86
2007-03-22,6.12
2007-03-23,6.03
2007-03-26,6.07
2007-03-27,5.92
2007-03-28,6.04
2007-03-29,6.0
2007-03-30,6.31
2007-04-02,6.57
2007-04-03,6.45
2007-04-04,6.35
2007-04-05,6.38
2007-04-09,6.45
2007-04-10,6.34
2007-04-11,6.31
2007-04-12,6.4
2007-04-13,6.43
2007-04-16,6.34
2007-04-17,6.42
2007-04-18,6.44
2007-04-19,6.44
2007-04-20,6.5
2007-04-23,6.64
2007-04-24,6.5
2007-04-25,6.49
2007-04-26,6.45
2007-04-27,6.44
2007-04-30,6.37
2007-05-01,6.21
2007-05-02,6.17
2007-05-03,6.2
2007-05-04,6.55
2007-05-07,6.74
2007-05-08,6.51
2007-05-09,6.59
2007-05-10,6.53
2007-05-11,6.53
2007-05-14,6.41
2007-05-15,6.38
2007-05-16,6.41
2007-05-17,6.47
2007-05-18,6.55
2007-05-21,6.57
2007-05-22,6.53
2007-05-23,6.74
2007-05-24,6.51
2007-05-25,6.58
2007-05-29,6.57
2007-05-30,6.68
2007-05-31,6.63
2007-06-01,6.72
2007-06-04,6.65
2007-06-05,6.67
2007-06-06,6.58
2007-06-07,6.43
2007-06-08,6.52
2007-06-11,6.46
2007-06-12,6.45
2007-06-13,6.6
2007-06-14,6.66
2007-06-15,7.32
2007-06-18,7.38
2007-06-19,7.34
2007-06-20,7.42
2007-06-21,7.7
2007-06-22,7.39
2007-06-25,7.24
2007-06-26,7.16
2007-06-27,7.22
2007-06-28,7.24
2007-06-29,7.16
2007-07-02,7.41
2007-07-03,7.36
2007-07-05,7.28
2007-07-06,7.62
2007-07-09,7.64
2007-07-10,7.49
2007-07-11,7.39
2007-07-12,7.52
2007-07-13,7.36
2007-07-16,7.28
2007-07-17,7.28
2007-07-18,7.22
2007-07-19,7.28
2007-07-20,7.09
2007-07-23,7.34
2007-07-24,7.17
2007-07-25,7.16
2007-07-26,6.97
2007-07-27,6.84
2007-07-30,6.91
2007-07-31,6.76
2007-08-01,6.8
2007-08-02,6.89
2007-08-03,6.68
2007-08-06,6.81
2007-08-07,6.93
2007-08-08,7.82
2007-08-09,7.93
2007-08-10,7.6
2007-08-13,7.53
2007-08-14,7.53
2007-08-15,7.38
2007-08-16,6.97
2007-08-17,7.02
2007-08-20,7.33
2007-08-21,7.34
2007-08-22,7.34
2007-08-23,7.36
2007-08-24,7.37
2007-08-27,7.47
2007-08-28,7.18
2007-08-29,7.44
2007-08-30,7.38
2007-08-31,7.49
2007-09-04,7.66
2007-09-05,7.65
2007-09-06,7.9
2007-09-07,7.78
2007-09-10,7.82
2007-09-11,7.86
2007-09-12,8.07
2007-09-13,8.32
2007-09-14,8.27
2007-09-17,8.16
2007-09-18,8.53
2007-09-19,8.49
2007-09-20,8.49
2007-09-21,8.65
2007-09-24,9.0
2007-09-25,9.14
2007-09-26,9.52
2007-09-27,9.44
2007-09-28,9.45
2007-10-01,9.56
2007-10-02,9.55
2007-10-03,9.83
2007-10-04,10.49
2007-10-05,10.43
2007-10-08,10.69
2007-10-09,10.79
2007-10-10,10.69
2007-10-11,10.38
2007-10-12,10.81
2007-10-15,10.58
2007-10-16,10.77
2007-10-17,10.92
2007-10-18,11.35
2007-10-19,10.27
2007-10-22,10.0
2007-10-23,10.35
2007-10-24,10.68
2007-10-25,10.68
2007-10-26,11.31
2007-10-29,10.97
2007-10-30,11.05
2007-10-31,11.33
2007-11-01,10.88
2007-11-02,10.9
2007-11-05,10.18
2007-11-06,9.67
2007-11-07,9.44
2007-11-08,7.25
2007-11-09,7.74
2007-11-12,7.37
2007-11-13,7.45
2007-11-14,7.39
2007-11-15,7.16
2007-11-16,6.92
2007-11-19,7.03
2007-11-20,6.89
2007-11-21,6.75
2007-11-23,6.83
2007-11-26,6.78
2007-11-27,6.82
2007-11-28,7.14
2007-11-29,7.18
2007-11-30,7.24
2007-12-03,7.41
2007-12-04,7.22
2007-12-05,7.66
2007-12-06,7.88
2007-12-07,8.19
2007-12-10,8.0
2007-12-11,7.81
2007-12-12,7.81
2007-12-13,7.9
2007-12-14,7.95
2007-12-17,7.55
2007-12-18,7.47
2007-12-19,7.72
2007-12-20,7.88
2007-12-21,7.95
2007-12-24,8.04
2007-12-26,7.9
2007-12-27,7.53
2007-12-28,7.41
2007-12-31,7.38
2008-01-02,7.2
2008-01-03,7.15
2008-01-04,6.92
2008-01-07,6.92
2008-01-08,7.13
2008-01-09,7.31
2008-01-10,7.53
2008-01-11,7.19
2008-01-14,7.22
2008-01-15,7.05
2008-01-16,6.67
2008-01-17,6.69
2008-01-18,6.83
2008-01-22,6.66
2008-01-23,6.79
2008-01-24,7.01
2008-01-25,6.83
2008-01-28,6.97
2008-01-29,6.93
