Date,Close
2007-01-03,26.05
2007-01-04,25.12
2007-01-05,25.63
2007-01-08,25.87
2007-01-09,25.59
2007-01-10,25.32
2007-01-11,24.88
2007-01-12,25.88
2007-01-16,25.4
2007-01-17,25.66
2007-01-18,25.4
2007-01-19,26.0
2007-01-22,26.09
2007-01-23,26.91
2007-01-24,27.07
2007-01-25,26.5
2007-01-26,26.49
2007-01-29,26.01
2007-01-30,26.64
2007-01-31,26.94
2007-02-01,27.11
2007-02-02,26.73
2007-02-05,26.9
2007-02-06,26.7
2007-02-07,26.62
2007-02-08,27.49
2007-02-09,27.18
2007-02-12,26.85
2007-02-13,27.56
2007-02-14,27.68
2007-02-15,27.22
2007-02-16,27.15
2007-02-20,26.96
2007-02-21,27.38
2007-02-22,27.47
2007-02-23,27.61
2007-02-26,27.66
2007-02-27,26.78
2007-02-28,27.06
2007-03-01,27.18
2007-03-02,26.62
2007-03-05,26.59
2007-03-06,27.16
2007-03-07,27.74
2007-03-08,28.08
2007-03-09,28.25
2007-03-12,27.89
2007-03-13,27.39
2007-03-14,27.86
2007-03-15,28.01
2007-03-16,27.82
2007-03-19,28.48
2007-03-20,29.23
2007-03-21,29.6
2007-03-22,30.26
2007-03-23,30.16
2007-03-26,30.59
2007-03-27,30.54
2007-03-28,30.51
2007-03-29,30.38
2007-03-30,29.48
2007-04-02,29.96
2007-04-03,30.04
2007-04-04,30.42
2007-04-05,30.66
2007-04-09,30.4
2007-04-10,30.23
2007-04-11,30.23
2007-04-12,30.56
2007-04-13,30.42
2007-04-16,30.48
2007-04-17,29.8
2007-04-18,30.22
2007-04-19,29.98
2007-04-20,29.99
2007-04-23,29.94
2007-04-24,29.76
2007-04-25,30.59
2007-04-26,30.78
2007-04-27,30.66
2007-04-30,30.29
2007-05-01,30.2
2007-05-02,30.52
2007-05-03,30.89
2007-05-04,31.14
2007-05-07,31.14
2007-05-08,31.44
2007-05-09,31.77
2007-05-10,31.48
2007-05-11,32.03
2007-05-14,32.49
2007-05-15,33.24
2007-05-16,33.33
2007-05-17,33.84
2007-05-18,34.16
2007-05-21,34.62
2007-05-22,34.69
2007-05-23,35.15
2007-05-24,34.9
2007-05-25,35.67
2007-05-29,35.46
2007-05-30,36.42
2007-05-31,36.93
2007-06-01,37.81
2007-06-04,38.29
2007-06-05,37.96
2007-06-06,37.28
2007-06-07,36.83
2007-06-08,37.42
2007-06-11,37.26
2007-06-12,36.68
2007-06-13,37.61
2007-06-14,38.47
2007-06-15,39.52
2007-06-18,39.18
2007-06-19,38.59
2007-06-20,36.85
2007-06-21,37.73
2007-06-22,37.05
2007-06-25,37.04
2007-06-26,36.09
2007-06-27,35.72
2007-06-28,35.63
2007-06-29,35.77
2007-07-02,36.51
2007-07-03,37.56
2007-07-05,37.43
2007-07-06,37.93
2007-07-09,38.12
2007-07-10,38.21
2007-07-11,37.5
2007-07-12,38.04
2007-07-13,38.8
2007-07-16,37.7
2007-07-17,37.06
2007-07-18,37.87
2007-07-19,37.64
2007-07-20,36.54
2007-07-23,36.52
2007-07-24,34.63
2007-07-25,35.44
2007-07-26,33.97
2007-07-27,32.9
2007-07-30,34.0
2007-07-31,32.93
2007-08-01,32.34
2007-08-02,30.86
2007-08-03,29.71
2007-08-06,29.37
2007-08-07,31.26
2007-08-08,31.05
2007-08-09,29.37
2007-08-10,30.93
2007-08-13,32.07
2007-08-14,31.16
2007-08-15,29.83
2007-08-16,29.97
2007-08-17,31.88
2007-08-20,30.96
2007-08-21,30.53
2007-08-22,30.98
2007-08-23,30.51
2007-08-24,32.05
2007-08-27,31.53
2007-08-28,30.19
2007-08-29,32.03
2007-08-30,31.76
2007-08-31,32.15
2007-09-04,33.22
2007-09-05,33.44
2007-09-06,33.75
2007-09-07,32.52
2007-09-10,31.74
2007-09-11,31.54
2007-09-12,32.19
2007-09-13,32.73
2007-09-14,33.34
2007-09-17,33.66
2007-09-18,34.43
2007-09-19,34.82
2007-09-20,34.8
2007-09-21,34.75
2007-09-24,34.46
2007-09-25,33.97
2007-09-26,34.32
2007-09-27,34.18
2007-09-28,34.01
2007-10-01,34.32
2007-10-02,34.25
2007-10-03,33.9
2007-10-04,34.42
2007-10-05,34.87
2007-10-08,34.94
2007-10-09,34.82
2007-10-10,35.22
2007-10-11,34.47
2007-10-12,34.8
2007-10-15,35.41
2007-10-16,35.45
2007-10-17,34.54
2007-10-18,35.46
2007-10-19,34.66
2007-10-22,34.66
2007-10-23,34.44
2007-10-24,35.06
2007-10-25,35.58
2007-10-26,36.23
2007-10-29,36.09
2007-10-30,34.22
2007-10-31,35.27
2007-11-01,34.4
2007-11-02,35.6
2007-11-05,35.04
2007-11-06,36.58
2007-11-07,35.86
2007-11-08,36.39
2007-11-09,35.61
2007-11-12,34.24
2007-11-13,34.33
2007-11-14,33.37
2007-11-15,32.45
2007-11-16,34.3
2007-11-19,33.6
2007-11-20,34.29
2007-11-21,33.57
2007-11-23,33.62
2007-11-26,32.09
2007-11-27,31.82
2007-11-28,32.71
2007-11-29,32.99
2007-11-30,33.34
2007-12-03,33.87
2007-12-04,33.34
2007-12-05,33.79
2007-12-06,34.89
2007-12-07,35.33
2007-12-10,35.21
2007-12-11,34.9
2007-12-12,35.44
2007-12-13,35.59
2007-12-14,34.79
2007-12-17,34.04
2007-12-18,34.92
2007-12-19,34.93
2007-12-20,35.69
2007-12-21,36.63
2007-12-24,36.91
2007-12-26,37.33
2007-12-27,36.95
2007-12-28,37.21
2007-12-31,36.3
2008-01-02,36.63
2008-01-03,36.91
2008-01-04,35.53
2008-01-07,35.16
2008-01-08,34.94
2008-01-09,34.14
2008-01-10,33.39
2008-01-11,32.51
2008-01-14,32.74
2008-01-15,31.12
2008-01-16,30.09
2008-01-17,28.47
2008-01-18,28.33
2008-01-22,27.85
2008-01-23,28.17
2008-01-24,29.82
2008-01-25,29.24
2008-01-28,29.87
2008-01-29,31.1
2008-01-30,30.37
2008-01-31,28.08
2008-02-01,29.28
2008-02-04,29.19
2008-02-05,28.02
2008-02-06,27.37
2008-02-07,27.61
2008-02-08,29.46
2008-02-11,29.35
2008-02-12,29.44
2008-02-13,30.19
2008-02-14,30.25
2008-02-15,30.33
2008-02-19,31.33
2008-02-20,31.47
2008-02-21,30.3
2008-02-22,30.75
2008-02-25,31.27
2008-02-26,31.87
2008-02-27,32.43
2008-02-28,32.3
2008-02-29,31.71
2008-03-03,32.1
2008-03-04,31.53
2008-03-05,32.0
2008-03-06,30.99
2008-03-07,30.7
2008-03-10,30.96
2008-03-11,32.42
2008-03-12,30.93
2008-03-13,31.24
2008-03-14,30.22
2008-03-17,27.86
2008-03-18,28.96
2008-03-19,26.98
2008-03-20,27.75
2008-03-24,28.18
2008-03-25,28.1
2008-03-26,28.44
2008-03-27,28.04
2008-03-28,27.71
2008-03-31,27.2
2008-04-01,27.68
2008-04-02,28.32
2008-04-03,28.51
2008-04-04,29.11
2008-04-07,28.98
2008-04-08,28.81
2008-04-09,28.15
2008-04-10,27.28
2008-04-11,26.79
2008-04-14,27.62
2008-04-15,27.36
2008-04-16,28.44
2008-04-17,29.02
2008-04-18,29.1
2008-04-21,29.35
2008-04-22,28.87
2008-04-23,28.66
2008-04-24,27.72
2008-04-25,27.68
2008-04-28,27.68
2008-04-29,27.37
2008-04-30,27.18
2008-05-01,28.58
2008-05-02,30.3
2008-05-05,30.82
2008-05-06,31.5
2008-05-07,31.05
2008-05-08,31.56
2008-05-09,31.35
2008-05-12,31.82
2008-05-13,31.91
2008-05-14,31.17
2008-05-15,31.73
2008-05-16,32.84
2008-05-19,31.88
2008-05-20,31.71
2008-05-21,32.28
2008-05-22,31.53
2008-05-23,30.89
2008-05-27,30.39
2008-05-28,30.52
2008-05-29,30.22
2008-05-30,30.65
2008-06-02,30.79
2008-06-03,30.89
2008-06-04,29.78
2008-06-05,30.42
2008-06-06,29.54
2008-06-09,30.19
2008-06-10,30.32
2008-06-11,30.4
2008-06-12,30.53
2008-06-13,30.65
2008-06-16,30.71
2008-06-17,31.66
2008-06-18,31.82
2008-06-19,31.1
2008-06-20,30.27
2008-06-23,31.33
2008-06-24,31.58
2008-06-25,31.32
2008-06-26,30.36
2008-06-27,30.55
2008-06-30,30.94
2008-07-01,31.48
2008-07-02,30.76
2008-07-03,30.56
2008-07-07,29.74
2008-07-08,29.16
2008-07-09,28.54
2008-07-10,28.02
2008-07-11,27.78
2008-07-14,27.24
2008-07-15,26.09
2008-07-16,25.97
2008-07-17,25.97
2008-07-18,25.88
2008-07-21,26.35
2008-07-22,26.11
2008-07-23,25.46
2008-07-24,24.69
2008-07-25,25.39
2008-07-28,25.27
2008-07-29,25.21
2008-07-30,26.92
2008-07-31,29.51
2008-08-01,28.52
2008-08-04,26.97
2008-08-05,26.47
2008-08-06,27.46
2008-08-07,26.85
2008-08-08,27.43
2008-08-11,27.87
2008-08-12,27.18
2008-08-13,28.21
2008-08-14,27.39
2008-08-15,26.75
2008-08-18,26.4
2008-08-19,26.6
2008-08-20,27.18
2008-08-21,27.44
2008-08-22,26.82
2008-08-25,26.45
2008-08-26,26.54
2008-08-27,27.28
2008-08-28,27.13
2008-08-29,26.88
2008-09-02,25.67
2008-09-03,26.31
2008-09-04,26.1
2008-09-05,26.02
2008-09-08,26.19
2008-09-09,23.72
2008-09-10,25.06
2008-09-11,26.07
2008-09-12,27.46
2008-09-15,24.35
2008-09-16,25.14
2008-09-17,23.87
2008-09-18,23.78
2008-09-19,25.85
2008-09-22,24.64
2008-09-23,23.23
