Date,Close
2007-01-03,77.78
2007-01-04,78.49
2007-01-05,78.52
2007-01-08,78.9
2007-01-09,79.82
2007-01-10,79.59
2007-01-11,81.0
2007-01-12,79.91
2007-01-16,80.48
2007-01-17,80.22
2007-01-18,80.18
2007-01-19,79.28
2007-01-22,78.29
2007-01-23,79.54
2007-01-24,80.04
2007-01-25,79.98
2007-01-26,80.94
2007-01-29,81.57
2007-01-30,82.11
2007-01-31,82.8
2007-02-01,85.48
2007-02-02,84.09
2007-02-05,83.64
2007-02-06,84.29
2007-02-07,84.66
2007-02-08,84.6
2007-02-09,89.2
2007-02-12,87.7
2007-02-13,88.02
2007-02-14,89.48
2007-02-15,90.66
2007-02-16,89.61
2007-02-20,89.81
2007-02-21,90.6
2007-02-22,90.17
2007-02-23,89.91
2007-02-26,89.41
2007-02-27,86.26
2007-02-28,86.36
2007-03-01,85.89
2007-03-02,84.96
2007-03-05,84.99
2007-03-06,87.18
2007-03-07,87.11
2007-03-08,86.45
2007-03-09,86.85
2007-03-12,88.26
2007-03-13,87.3
2007-03-14,87.02
2007-03-15,88.21
2007-03-16,88.19
2007-03-19,89.51
2007-03-20,89.45
2007-03-21,91.08
2007-03-22,91.01
2007-03-23,91.47
2007-03-26,91.61
2007-03-27,90.84
2007-03-28,89.96
2007-03-29,89.0
2007-03-30,89.57
2007-04-02,89.94
2007-04-03,90.09
2007-04-04,91.21
2007-04-05,92.68
2007-04-09,92.31
2007-04-10,93.16
2007-04-11,93.07
2007-04-12,93.14
2007-04-13,93.65
2007-04-16,93.96
2007-04-17,94.24
2007-04-18,94.21
2007-04-19,93.77
2007-04-20,94.85
2007-04-23,95.46
2007-04-24,94.84
2007-04-25,95.34
2007-04-26,95.49
2007-04-27,100.73
2007-04-30,97.62
2007-05-01,97.6
2007-05-02,99.21
2007-05-03,99.8
2007-05-04,100.36
2007-05-07,100.22
2007-05-08,100.31
2007-05-09,100.48
2007-05-10,98.86
2007-05-11,99.0
2007-05-14,98.72
2007-05-15,97.92
2007-05-16,98.0
2007-05-17,97.58
2007-05-18,97.97
2007-05-21,98.74
2007-05-22,99.6
2007-05-23,99.13
2007-05-24,97.73
2007-05-25,98.59
2007-05-29,98.57
2007-05-30,98.72
2007-05-31,98.3
2007-06-01,98.89
2007-06-04,100.03
2007-06-05,101.76
2007-06-06,99.79
2007-06-07,98.79
2007-06-08,98.92
2007-06-11,98.52
2007-06-12,98.13
2007-06-13,98.06
2007-06-14,98.52
2007-06-15,98.39
2007-06-18,97.57
2007-06-19,96.84
2007-06-20,95.05
2007-06-21,94.83
2007-06-22,94.33
2007-06-25,94.41
2007-06-26,95.02
2007-06-27,95.55
2007-06-28,95.48
2007-06-29,95.51
2007-07-02,95.73
2007-07-03,96.56
2007-07-05,95.94
2007-07-06,97.71
2007-07-09,98.21
