Date,Close
2007-01-03,13.77
2007-01-04,13.77
2007-01-05,13.58
2007-01-08,13.56
2007-01-09,13.58
2007-01-10,13.58
2007-01-11,13.56
2007-01-12,13.46
2007-01-16,13.54
2007-01-17,13.6
2007-01-18,13.62
2007-01-19,13.68
2007-01-22,13.69
2007-01-23,13.8
2007-01-24,13.85
2007-01-25,13.85
2007-01-26,14.0
2007-01-29,14.03
2007-01-30,14.06
2007-01-31,14.16
2007-02-01,14.36
2007-02-02,14.41
2007-02-05,14.66
2007-02-06,14.77
2007-02-07,14.72
2007-02-08,14.81
2007-02-09,14.74
2007-02-12,14.74
2007-02-13,14.86
2007-02-14,14.91
2007-02-15,14.76
2007-02-16,14.81
2007-02-20,14.95
2007-02-21,14.81
2007-02-22,14.77
2007-02-23,14.91
2007-02-26,15.29
2007-02-27,14.81
2007-02-28,14.77
2007-03-01,14.86
2007-03-02,14.49
2007-03-05,14.27
2007-03-06,14.47
2007-03-07,14.43
2007-03-08,14.48
2007-03-09,14.5
2007-03-12,14.7
2007-03-13,14.58
2007-03-14,14.7
2007-03-15,14.8
2007-03-16,14.9
2007-03-19,14.95
2007-03-20,15.07
2007-03-21,15.23
2007-03-22,15.27
2007-03-23,15.42
2007-03-26,15.53
2007-03-27,15.44
2007-03-28,15.31
2007-03-29,15.43
2007-03-30,15.29
2007-04-02,15.64
2007-04-03,15.64
2007-04-04,15.44
2007-04-05,15.35
2007-04-09,15.44
2007-04-10,15.47
2007-04-11,15.3
2007-04-12,15.19
2007-04-13,15.12
2007-04-16,15.38
2007-04-17,15.52
2007-04-18,15.6
2007-04-19,15.42
2007-04-20,15.56
2007-04-23,15.92
2007-04-24,16.08
2007-04-25,16.13
2007-04-26,16.08
2007-04-27,15.98
2007-04-30,16.09
2007-05-01,16.15
2007-05-02,16.12
2007-05-03,16.08
2007-05-04,15.99
2007-05-07,15.96
2007-05-08,15.89
2007-05-09,15.94
2007-05-10,15.9
2007-05-11,16.15
2007-05-14,16.41
2007-05-15,16.34
2007-05-16,16.4
2007-05-17,16.27
2007-05-18,16.27
2007-05-21,16.38
2007-05-22,16.52
2007-05-23,16.18
2007-05-24,15.71
2007-05-25,15.65
2007-05-29,15.71
2007-05-30,15.94
2007-05-31,15.98
2007-06-01,15.84
2007-06-04,15.73
2007-06-05,15.34
2007-06-06,14.98
2007-06-07,14.46
2007-06-08,14.63
2007-06-11,15.1
2007-06-12,14.75
2007-06-13,15.06
2007-06-14,15.05
2007-06-15,15.32
2007-06-18,15.15
2007-06-19,15.14
2007-06-20,14.74
2007-06-21,14.82
2007-06-22,14.49
2007-06-25,14.44
2007-06-26,14.16
2007-06-27,14.42
2007-06-28,14.34
2007-06-29,14.19
2007-07-02,14.35
2007-07-03,14.2
2007-07-05,14.2
2007-07-06,14.12
2007-07-09,13.99
2007-07-10,13.89
2007-07-11,13.83
2007-07-12,14.11
2007-07-13,14.36
2007-07-16,14.37
2007-07-17,14.5
2007-07-18,14.62
2007-07-19,14.89
2007-07-20,14.65
2007-07-23,14.96
2007-07-24,14.38
2007-07-25,14.56
2007-07-26,14.08
2007-07-27,13.73
2007-07-30,14.45
2007-07-31,14.43
2007-08-01,14.86
2007-08-02,14.97
2007-08-03,14.28
2007-08-06,15.19
2007-08-07,15.73
2007-08-08,15.65
2007-08-09,15.31
2007-08-10,15.05
2007-08-13,15.07
2007-08-14,14.84
2007-08-15,14.74
2007-08-16,14.82
2007-08-17,15.0
2007-08-20,14.89
2007-08-21,15.03
2007-08-22,15.19
2007-08-23,15.11
2007-08-24,15.0
2007-08-27,14.5
2007-08-28,14.31
2007-08-29,14.67
2007-08-30,14.62
2007-08-31,14.71
2007-09-04,15.1
2007-09-05,14.77
2007-09-06,14.9
2007-09-07,14.65
2007-09-10,14.88
2007-09-11,15.06
2007-09-12,15.19
2007-09-13,15.23
2007-09-14,15.35
2007-09-17,15.31
2007-09-18,15.69
2007-09-19,15.78
2007-09-20,15.66
2007-09-21,15.77
2007-09-24,15.51
2007-09-25,15.48
2007-09-26,15.68
2007-09-27,15.45
2007-09-28,15.22
2007-10-01,15.56
2007-10-02,15.55
2007-10-03,15.56
2007-10-04,15.62
2007-10-05,15.71
2007-10-08,15.58
2007-10-09,15.88
2007-10-10,15.76
2007-10-11,15.74
2007-10-12,15.89
2007-10-15,15.79
2007-10-16,15.81
2007-10-17,15.81
2007-10-18,15.64
2007-10-19,15.17
2007-10-22,15.31
2007-10-23,15.44
2007-10-24,15.47
2007-10-25,16.13
2007-10-26,16.66
2007-10-29,16.78
2007-10-30,16.74
2007-10-31,17.1
2007-11-01,16.61
2007-11-02,16.65
2007-11-05,16.82
2007-11-06,16.83
2007-11-07,16.51
2007-11-08,16.93
2007-11-09,17.22
2007-11-12,17.15
2007-11-13,16.9
2007-11-14,16.79
2007-11-15,16.81
2007-11-16,16.99
2007-11-19,16.9
2007-11-20,17.29
2007-11-21,17.11
2007-11-23,17.12
2007-11-26,16.94
2007-11-27,16.99
2007-11-28,17.19
2007-11-29,17.32
2007-11-30,17.44
2007-12-03,17.86
2007-12-04,18.03
2007-12-05,18.14
2007-12-06,17.73
2007-12-07,17.8
2007-12-10,17.81
2007-12-11,17.28
2007-12-12,17.29
2007-12-13,17.5
2007-12-14,17.35
2007-12-17,17.21
2007-12-18,17.51
2007-12-19,17.39
