Date,Close
2007-01-03,27.92
2007-01-04,27.7
2007-01-05,27.25
2007-01-08,27.48
2007-01-09,27.69
2007-01-10,27.99
2007-01-11,28.15
2007-01-12,27.99
2007-01-16,28.01
2007-01-17,27.99
2007-01-18,28.02
2007-01-19,28.44
2007-01-22,28.74
2007-01-23,29.03
2007-01-24,29.09
2007-01-25,29.16
2007-01-26,29.18
2007-01-29,29.3
2007-01-30,29.73
2007-01-31,29.97
2007-02-01,30.29
2007-02-02,30.52
2007-02-05,30.65
2007-02-06,30.26
2007-02-07,30.03
2007-02-08,30.16
2007-02-09,30.05
2007-02-12,29.88
2007-02-13,29.98
2007-02-14,30.19
2007-02-15,30.28
2007-02-16,30.86
2007-02-20,30.88
2007-02-21,30.73
2007-02-22,31.17
2007-02-23,31.76
2007-02-26,33.88
2007-02-27,33.12
2007-02-28,33.17
2007-03-01,33.67
2007-03-02,33.71
2007-03-05,33.51
2007-03-06,33.97
2007-03-07,34.6
2007-03-08,34.85
2007-03-09,34.97
2007-03-12,34.83
2007-03-13,34.08
2007-03-14,34.6
2007-03-15,34.86
2007-03-16,34.83
2007-03-19,35.33
2007-03-20,35.5
2007-03-21,36.0
2007-03-22,36.1
2007-03-23,36.29
2007-03-26,36.53
2007-03-27,36.88
2007-03-28,36.83
2007-03-29,36.88
2007-03-30,36.02
2007-04-02,36.76
2007-04-03,36.68
2007-04-04,36.81
2007-04-05,36.99
2007-04-09,38.31
2007-04-10,38.58
2007-04-11,38.7
2007-04-12,38.67
2007-04-13,38.98
2007-04-16,39.38
2007-04-17,39.4
2007-04-18,39.48
2007-04-19,39.26
2007-04-20,38.97
2007-04-23,39.66
2007-04-24,39.81
2007-04-25,39.83
2007-04-26,40.15
2007-04-27,39.44
2007-04-30,39.48
2007-05-01,39.79
2007-05-02,40.1
2007-05-03,40.6
2007-05-04,41.81
2007-05-07,41.98
2007-05-08,41.9
2007-05-09,43.04
2007-05-10,42.26
2007-05-11,42.1
2007-05-14,42.03
2007-05-15,41.9
2007-05-16,41.6
2007-05-17,41.9
2007-05-18,42.99
2007-05-21,43.56
2007-05-22,42.97
2007-05-23,42.82
2007-05-24,41.75
2007-05-25,41.91
2007-05-29,42.1
2007-05-30,43.15
2007-05-31,43.94
2007-06-01,44.43
2007-06-04,44.45
2007-06-05,43.92
2007-06-06,42.82
2007-06-07,41.32
2007-06-08,42.32
2007-06-11,42.82
2007-06-12,43.41
2007-06-13,44.0
2007-06-14,44.62
2007-06-15,45.7
2007-06-18,45.31
2007-06-19,44.78
2007-06-20,43.32
2007-06-21,43.51
2007-06-22,42.41
2007-06-25,42.22
2007-06-26,41.37
2007-06-27,42.01
2007-06-28,41.58
2007-06-29,41.57
2007-07-02,42.4
2007-07-03,42.53
2007-07-05,42.93
2007-07-06,42.99
2007-07-09,43.36
2007-07-10,42.99
2007-07-11,42.46
2007-07-12,43.74
2007-07-13,44.0
2007-07-16,43.9
2007-07-17,43.94
2007-07-18,43.72
2007-07-19,44.44
2007-07-20,43.74
2007-07-23,43.69
2007-07-24,40.9
2007-07-25,40.12
2007-07-26,37.73
2007-07-27,36.65
2007-07-30,38.85
2007-07-31,38.55
2007-08-01,39.1
2007-08-02,40.1
2007-08-03,39.18
2007-08-06,39.3
2007-08-07,40.87
2007-08-08,42.05
2007-08-09,40.56
2007-08-10,39.25
2007-08-13,40.03
2007-08-14,39.41
2007-08-15,38.59
2007-08-16,36.7
2007-08-17,36.83
2007-08-20,36.84
2007-08-21,37.07
2007-08-22,38.07
2007-08-23,38.5
2007-08-24,39.43
2007-08-27,38.77
2007-08-28,37.7
2007-08-29,38.23
2007-08-30,38.11
2007-08-31,38.09
2007-09-04,39.42
2007-09-05,39.03
2007-09-06,39.97
2007-09-07,39.14
2007-09-10,38.36
2007-09-11,38.82
2007-09-12,38.94
2007-09-13,38.78
2007-09-14,39.12
2007-09-17,38.8
2007-09-18,40.26
2007-09-19,40.94
2007-09-20,40.33
2007-09-21,41.2
2007-09-24,41.81
2007-09-25,41.78
2007-09-26,42.0
2007-09-27,42.57
2007-09-28,42.29
2007-10-01,42.93
2007-10-02,42.54
2007-10-03,42.66
2007-10-04,43.11
2007-10-05,43.71
2007-10-08,43.8
2007-10-09,44.21
2007-10-10,43.65
2007-10-11,44.61
2007-10-12,45.4
2007-10-15,44.95
2007-10-16,45.39
2007-10-17,46.37
2007-10-18,46.9
2007-10-19,46.0
2007-10-22,45.12
2007-10-23,44.84
2007-10-24,44.85
2007-10-25,44.72
2007-10-26,44.8
2007-10-29,45.44
2007-10-30,45.66
2007-10-31,45.66
2007-11-01,44.5
2007-11-02,45.42
2007-11-05,45.4
2007-11-06,45.68
2007-11-07,44.21
2007-11-08,43.84
2007-11-09,41.74
2007-11-12,40.52
2007-11-13,40.95
2007-11-14,40.71
2007-11-15,40.16
2007-11-16,39.62
2007-11-19,39.52
2007-11-20,39.55
2007-11-21,39.19
2007-11-23,39.14
2007-11-26,39.78
2007-11-27,39.9
2007-11-28,41.78
2007-11-29,42.23
