Date,Close
2007-01-03,7.5
2007-01-04,7.62
2007-01-05,7.51
2007-01-08,8.06
2007-01-09,8.03
2007-01-10,8.35
2007-01-11,8.17
2007-01-12,8.2
2007-01-16,8.28
2007-01-17,8.18
2007-01-18,7.91
2007-01-19,8.01
2007-01-22,7.99
2007-01-23,8.14
2007-01-24,8.32
2007-01-25,8.27
2007-01-26,8.48
2007-01-29,8.58
2007-01-30,8.41
2007-01-31,8.36
2007-02-01,9.72
2007-02-02,9.7
2007-02-05,9.68
2007-02-06,9.61
2007-02-07,9.72
2007-02-08,9.55
2007-02-09,9.55
2007-02-12,9.48
2007-02-13,9.69
2007-02-14,9.87
2007-02-15,9.98
2007-02-16,10.2
2007-02-20,10.27
2007-02-21,10.25
2007-02-22,10.44
2007-02-23,10.76
2007-02-26,10.58
2007-02-27,10.1
2007-02-28,9.82
2007-03-01,9.75
2007-03-02,9.49
2007-03-05,9.21
2007-03-06,9.75
2007-03-07,9.57
2007-03-08,9.99
2007-03-09,10.34
2007-03-12,10.35
2007-03-13,9.98
2007-03-14,10.04
2007-03-15,9.97
2007-03-16,9.86
2007-03-19,9.88
2007-03-20,9.72
2007-03-21,9.9
2007-03-22,9.83
2007-03-23,9.57
2007-03-26,9.52
2007-03-27,9.6
2007-03-28,9.16
2007-03-29,8.87
2007-03-30,8.92
2007-04-02,8.81
2007-04-03,8.92
2007-04-04,9.47
2007-04-05,9.68
2007-04-09,9.55
2007-04-10,9.53
2007-04-11,9.71
2007-04-12,9.9
2007-04-13,9.84
2007-04-16,9.73
2007-04-17,9.72
2007-04-18,10.02
2007-04-19,10.06
2007-04-20,10.01
2007-04-23,10.17
2007-04-24,10.3
2007-04-25,10.39
2007-04-26,10.38
2007-04-27,11.16
2007-04-30,10.71
2007-05-01,10.64
2007-05-02,10.57
2007-05-03,10.98
2007-05-04,11.15
2007-05-07,11.23
2007-05-08,11.24
2007-05-09,11.35
2007-05-10,11.14
2007-05-11,11.09
2007-05-14,10.98
2007-05-15,10.89
2007-05-16,11.19
2007-05-17,11.06
2007-05-18,11.08
2007-05-21,11.19
2007-05-22,11.24
2007-05-23,10.9
2007-05-24,10.48
2007-05-25,10.55
2007-05-29,10.72
2007-05-30,10.7
2007-05-31,10.74
2007-06-01,10.81
2007-06-04,10.85
2007-06-05,10.8
2007-06-06,10.66
2007-06-07,10.51
2007-06-08,10.9
2007-06-11,10.86
2007-06-12,10.83
2007-06-13,10.62
2007-06-14,10.91
