Date,Close
2007-01-03,39.31
2007-01-04,40.01
2007-01-05,40.03
2007-01-08,40.1
2007-01-09,40.19
2007-01-10,40.31
2007-01-11,40.72
2007-01-12,40.67
2007-01-16,40.69
2007-01-17,40.8
2007-01-18,40.42
2007-01-19,40.11
2007-01-22,39.6
2007-01-23,39.64
2007-01-24,40.6
2007-01-25,39.7
2007-01-26,39.77
2007-01-29,40.0
2007-01-30,39.7
2007-01-31,40.01
2007-02-01,40.32
2007-02-02,40.44
2007-02-05,40.5
2007-02-06,40.4
2007-02-07,40.63
2007-02-08,40.67
2007-02-09,40.34
2007-02-12,40.5
2007-02-13,40.87
2007-02-14,41.77
2007-02-15,41.65
2007-02-16,41.58
2007-02-20,41.6
2007-02-21,41.63
2007-02-22,41.79
2007-02-23,42.38
2007-02-26,42.29
2007-02-27,41.32
2007-02-28,40.63
2007-03-01,40.01
2007-03-02,39.16
2007-03-05,39.5
2007-03-06,39.84
2007-03-07,39.87
2007-03-08,39.84
2007-03-09,39.48
2007-03-12,39.79
2007-03-13,38.99
2007-03-14,39.58
2007-03-15,40.06
2007-03-16,39.73
2007-03-19,39.91
2007-03-20,39.96
2007-03-21,40.9
2007-03-22,40.87
2007-03-23,40.73
2007-03-26,40.65
2007-03-27,39.7
2007-03-28,39.2
2007-03-29,38.43
2007-03-30,37.87
2007-04-02,37.5
2007-04-03,37.63
2007-04-04,37.91
2007-04-05,37.89
2007-04-09,37.66
2007-04-10,37.73
2007-04-11,36.92
2007-04-12,36.89
2007-04-13,36.75
2007-04-16,37.27
2007-04-17,37.27
2007-04-18,36.83
2007-04-19,36.25
2007-04-20,37.05
2007-04-23,37.0
2007-04-24,36.88
2007-04-25,37.05
2007-04-26,36.37
2007-04-27,37.54
2007-04-30,37.1
2007-05-01,37.55
2007-05-02,37.76
2007-05-03,37.91
2007-05-04,37.8
2007-05-07,38.1
2007-05-08,38.02
2007-05-09,38.58
2007-05-10,38.44
2007-05-11,39.04
2007-05-14,38.64
2007-05-15,38.1
2007-05-16,38.9
2007-05-17,38.82
2007-05-18,39.36
2007-05-21,39.98
2007-05-22,40.09
2007-05-23,40.22
2007-05-24,39.89
2007-05-25,40.07
2007-05-29,40.03
2007-05-30,39.84
2007-05-31,40.4
2007-06-01,40.6
2007-06-04,40.27
2007-06-05,40.23
2007-06-06,39.85
2007-06-07,39.26
2007-06-08,39.69
2007-06-11,39.88
2007-06-12,39.55
2007-06-13,40.33
2007-06-14,40.24
2007-06-15,40.37
2007-06-18,40.11
2007-06-19,40.27
2007-06-20,40.21
2007-06-21,40.2
2007-06-22,39.69
2007-06-25,39.42
2007-06-26,39.78
2007-06-27,40.23
2007-06-28,39.28
2007-06-29,39.12
2007-07-02,39.37
2007-07-03,38.97
2007-07-05,39.15
2007-07-06,39.37
2007-07-09,39.65
2007-07-10,40.27
2007-07-11,40.98
2007-07-12,41.44
2007-07-13,43.44
2007-07-16,43.94
2007-07-17,43.91
2007-07-18,43.48
2007-07-19,43.38
2007-07-20,42.67
2007-07-23,43.01
2007-07-24,42.51
2007-07-25,42.76
2007-07-26,42.26
2007-07-27,41.61
2007-07-30,41.93
2007-07-31,41.38
2007-08-01,41.69
2007-08-02,42.14
2007-08-03,42.54
2007-08-06,44.87
2007-08-07,45.35
2007-08-08,46.31
2007-08-09,45.65
2007-08-10,45.27
2007-08-13,44.54
2007-08-14,44.44
2007-08-15,44.0
2007-08-16,44.37
2007-08-17,44.89
2007-08-20,44.3
2007-08-21,44.39
2007-08-22,43.97
2007-08-23,43.77
2007-08-24,44.36
2007-08-27,44.19
2007-08-28,43.38
2007-08-29,44.46
2007-08-30,44.27
2007-08-31,44.43
2007-09-04,45.12
2007-09-05,44.79
2007-09-06,45.02
2007-09-07,43.49
2007-09-10,43.54
2007-09-11,44.15
2007-09-12,43.81
2007-09-13,43.07
2007-09-14,43.07
2007-09-17,42.51
2007-09-18,43.25
2007-09-19,43.89
2007-09-20,43.5
2007-09-21,43.44
2007-09-24,43.26
2007-09-25,43.34
2007-09-26,43.58
2007-09-27,42.0
2007-09-28,41.0
2007-10-01,41.4
2007-10-02,40.77
2007-10-03,40.81
2007-10-04,41.15
2007-10-05,42.02
2007-10-08,42.16
2007-10-09,42.4
2007-10-10,42.34
2007-10-11,41.62
2007-10-12,42.05
2007-10-15,41.88
2007-10-16,42.09
2007-10-17,42.75
2007-10-18,42.88
2007-10-19,41.68
2007-10-22,41.69
2007-10-23,41.74
2007-10-24,40.75
2007-10-25,40.4
2007-10-26,41.23
2007-10-29,41.11
2007-10-30,40.84
2007-10-31,41.78
2007-11-01,40.55
2007-11-02,41.17
2007-11-05,40.97
2007-11-06,40.59
2007-11-07,39.76
2007-11-08,39.9
2007-11-09,38.5
2007-11-12,38.87
2007-11-13,39.45
2007-11-14,38.78
2007-11-15,38.88
2007-11-16,39.98
2007-11-19,39.31
2007-11-20,38.89
2007-11-21,38.15
2007-11-23,38.19
2007-11-26,37.24
2007-11-27,37.48
2007-11-28,38.62
2007-11-29,38.94
2007-11-30,39.0
2007-12-03,39.3
2007-12-04,39.45
2007-12-05,40.19
2007-12-06,40.24
2007-12-07,40.1
2007-12-10,40.27
2007-12-11,39.62
2007-12-12,39.53
2007-12-13,39.35
2007-12-14,38.36
2007-12-17,37.77
2007-12-18,38.11
2007-12-19,38.49
2007-12-20,37.02
2007-12-21,37.29
2007-12-24,37.47
2007-12-26,37.3
2007-12-27,36.63
2007-12-28,36.59
2007-12-31,36.22
2008-01-02,34.99
2008-01-03,35.14
2008-01-04,34.01
2008-01-07,34.69
2008-01-08,33.56
2008-01-09,33.51
2008-01-10,33.87
2008-01-11,33.78
2008-01-14,32.99
2008-01-15,33.06
2008-01-16,33.64
2008-01-17,33.03
2008-01-18,33.21
2008-01-22,32.12
2008-01-23,33.34
2008-01-24,33.09
2008-01-25,33.14
2008-01-28,33.7
2008-01-29,34.32
2008-01-30,32.96
2008-01-31,32.72
2008-02-01,33.87
2008-02-04,33.54
2008-02-05,32.63
