Date,Close
2007-01-03,9.27
2007-01-04,9.26
2007-01-05,9.09
2007-01-08,9.25
2007-01-09,9.26
2007-01-10,9.42
2007-01-11,9.56
2007-01-12,9.5
2007-01-16,9.67
2007-01-17,9.6
2007-01-18,9.41
2007-01-19,9.58
2007-01-22,9.54
2007-01-23,9.61
2007-01-24,9.64
2007-01-25,9.81
2007-01-26,9.79
2007-01-29,9.95
2007-01-30,9.93
2007-01-31,9.91
2007-02-01,10.08
2007-02-02,10.18
2007-02-05,10.3
2007-02-06,10.4
2007-02-07,10.73
2007-02-08,10.45
2007-02-09,10.06
2007-02-12,9.82
2007-02-13,9.94
2007-02-14,10.13
2007-02-15,10.12
2007-02-16,10.23
2007-02-20,10.36
2007-02-21,10.54
2007-02-22,10.68
2007-02-23,10.63
2007-02-26,10.6
2007-02-27,10.16
2007-02-28,10.54
2007-03-01,10.35
2007-03-02,10.32
2007-03-05,10.1
2007-03-06,10.39
2007-03-07,10.15
2007-03-08,10.22
2007-03-09,10.15
2007-03-12,9.98
2007-03-13,9.72
2007-03-14,9.74
2007-03-15,9.86
2007-03-16,9.77
2007-03-19,9.74
2007-03-20,9.77
2007-03-21,9.86
2007-03-22,9.85
2007-03-23,9.74
2007-03-26,9.81
2007-03-27,9.71
2007-03-28,9.59
2007-03-29,9.62
2007-03-30,9.59
2007-04-02,9.62
2007-04-03,9.86
2007-04-04,10.05
2007-04-05,10.09
2007-04-09,10.37
2007-04-10,10.44
2007-04-11,10.86
2007-04-12,11.18
2007-04-13,11.16
2007-04-16,11.14
2007-04-17,11.13
2007-04-18,11.12
2007-04-19,11.09
2007-04-20,11.13
2007-04-23,10.9
2007-04-24,10.78
2007-04-25,10.92
2007-04-26,10.85
2007-04-27,10.72
2007-04-30,10.93
2007-05-01,11.07
2007-05-02,11.21
2007-05-03,11.1
2007-05-04,11.08
2007-05-07,11.04
2007-05-08,11.0
2007-05-09,11.09
2007-05-10,11.23
2007-05-11,11.34
2007-05-14,11.2
2007-05-15,11.23
2007-05-16,11.37
2007-05-17,11.3
2007-05-18,11.3
2007-05-21,11.35
2007-05-22,11.75
2007-05-23,11.63
2007-05-24,11.63
2007-05-25,11.76
2007-05-29,11.61
2007-05-30,11.92
2007-05-31,12.08
2007-06-01,12.23
2007-06-04,12.25
2007-06-05,12.13
2007-06-06,12.04
2007-06-07,11.77
2007-06-08,11.75
2007-06-11,11.39
2007-06-12,11.38
2007-06-13,11.58
2007-06-14,11.56
2007-06-15,14.04
2007-06-18,14.15
2007-06-19,14.31
2007-06-20,14.21
2007-06-21,14.06
2007-06-22,13.93
2007-06-25,13.79
2007-06-26,13.66
2007-06-27,13.68
2007-06-28,13.54
2007-06-29,13.59
2007-07-02,13.6
2007-07-03,13.65
2007-07-05,13.65
2007-07-06,13.75
2007-07-09,13.75
2007-07-10,13.72
2007-07-11,13.64
2007-07-12,13.59
2007-07-13,13.56
2007-07-16,13.5
2007-07-17,13.52
2007-07-18,13.42
2007-07-19,13.4
2007-07-20,13.29
2007-07-23,13.3
2007-07-24,13.18
2007-07-25,13.02
2007-07-26,12.84
2007-07-27,13.09
2007-07-30,13.07
2007-07-31,13.0
2007-08-01,12.91
2007-08-02,12.93
2007-08-03,12.93
2007-08-06,12.95
2007-08-07,12.9
2007-08-08,13.09
2007-08-09,12.85
2007-08-10,12.67
2007-08-13,12.84
2007-08-14,12.59
2007-08-15,12.7
2007-08-16,12.55
2007-08-17,12.7
2007-08-20,12.83
2007-08-21,13.19
2007-08-22,13.36
2007-08-23,13.31
2007-08-24,13.31
2007-08-27,13.29
2007-08-28,13.25
2007-08-29,13.25
2007-08-30,13.2
2007-08-31,13.29
2007-09-04,13.31
2007-09-05,13.28
2007-09-06,13.49
2007-09-07,13.44
2007-09-10,13.41
2007-09-11,13.44
2007-09-12,13.43
2007-09-13,13.29
2007-09-14,13.31
2007-09-17,13.38
2007-09-18,13.49
2007-09-19,13.58
2007-09-20,13.56
2007-09-21,13.38
2007-09-24,13.27
2007-09-25,13.22
2007-09-26,13.26
2007-09-27,13.34
2007-09-28,13.34
2007-10-01,13.45
2007-10-02,13.36
2007-10-03,13.4
2007-10-04,13.42
2007-10-05,13.56
2007-10-08,13.64
2007-10-09,13.72
2007-10-10,13.79
2007-10-11,13.86
2007-10-12,13.83
2007-10-15,13.87
2007-10-16,13.89
2007-10-17,13.88
2007-10-18,13.86
2007-10-19,13.86
2007-10-22,13.9
2007-10-23,13.89
2007-10-24,13.89
2007-10-25,13.97
2007-10-26,14.07
2007-10-29,13.98
2007-10-30,13.92
2007-10-31,13.96
2007-11-01,13.9
2007-11-02,14.02
2007-11-05,13.92
2007-11-06,13.97
2007-11-07,13.92
2007-11-08,13.96
2007-11-09,13.85
2007-11-12,13.76
2007-11-13,13.81
2007-11-14,13.74
2007-11-15,13.57
2007-11-16,13.4
2007-11-19,13.0
2007-11-20,12.92
2007-11-21,12.86
2007-11-23,12.96
2007-11-26,13.18
2007-11-27,13.25
2007-11-28,13.31
2007-11-29,13.43
2007-11-30,13.46
2007-12-03,13.39
2007-12-04,13.19
2007-12-05,13.23
2007-12-06,13.32
2007-12-07,13.45
2007-12-10,13.45
2007-12-11,13.45
2007-12-12,13.54
2007-12-13,13.49
2007-12-14,13.43
2007-12-17,13.36
2007-12-18,13.37
2007-12-19,13.36
2007-12-20,13.36
2007-12-21,13.38
2007-12-24,13.38
2007-12-26,13.45
2007-12-27,13.4
2007-12-28,13.41
2007-12-31,13.46
2008-01-02,13.47
2008-01-03,13.41
2008-01-04,13.28
2008-01-07,13.11
2008-01-08,12.8
2008-01-09,12.43
2008-01-10,12.07
2008-01-11,11.83
2008-01-14,11.78
2008-01-15,11.35
2008-01-16,11.62
2008-01-17,12.03
2008-01-18,12.52
2008-01-22,12.21
2008-01-23,12.5
2008-01-24,12.73
2008-01-25,12.58
2008-01-28,12.26
2008-01-29,11.96
2008-01-30,11.67
2008-01-31,11.79
2008-02-01,11.52
2008-02-04,11.61
2008-02-05,11.56
2008-02-06,11.33
2008-02-07,11.3
2008-02-08,11.11
2008-02-11,10.9
2008-02-12,10.95
