Date,Close
2007-01-03,62.72
2007-01-04,63.15
2007-01-05,62.95
2007-01-08,63.09
2007-01-09,63.35
2007-01-10,64.15
2007-01-11,64.95
2007-01-12,64.7
2007-01-16,64.85
2007-01-17,65.0
2007-01-18,64.92
2007-01-19,64.82
2007-01-22,64.81
2007-01-23,64.84
2007-01-24,65.2
2007-01-25,64.42
2007-01-26,64.45
2007-01-29,64.6
2007-01-30,65.09
2007-01-31,65.24
2007-02-01,65.38
2007-02-02,65.04
2007-02-05,64.83
2007-02-06,64.39
2007-02-07,64.5
2007-02-08,63.31
2007-02-09,63.91
2007-02-12,63.72
2007-02-13,63.81
2007-02-14,63.35
2007-02-15,64.08
2007-02-16,64.62
2007-02-20,64.61
2007-02-21,65.02
2007-02-22,64.66
2007-02-23,64.58
2007-02-26,64.49
2007-02-27,62.76
2007-02-28,63.15
2007-03-01,63.43
2007-03-02,62.93
2007-03-05,62.77
2007-03-06,63.26
2007-03-07,62.75
2007-03-08,63.05
2007-03-09,62.88
2007-03-12,63.17
2007-03-13,62.16
2007-03-14,62.69
2007-03-15,62.99
2007-03-16,62.57
2007-03-19,62.84
2007-03-20,63.4
2007-03-21,64.18
2007-03-22,64.11
2007-03-23,64.09
2007-03-26,63.89
2007-03-27,62.95
2007-03-28,62.89
2007-03-29,63.59
2007-03-30,63.56
2007-04-02,63.39
2007-04-03,63.4
2007-04-04,63.73
2007-04-05,63.68
2007-04-09,62.99
2007-04-10,63.41
2007-04-11,63.21
2007-04-12,64.16
2007-04-13,64.4
2007-04-16,64.56
2007-04-17,65.8
2007-04-18,65.92
2007-04-19,66.03
2007-04-20,66.65
2007-04-23,66.59
2007-04-24,66.41
2007-04-25,66.98
2007-04-26,66.41
2007-04-27,66.29
2007-04-30,66.09
2007-05-01,66.4
2007-05-02,67.02
2007-05-03,67.31
2007-05-04,67.42
2007-05-07,67.48
2007-05-08,67.15
2007-05-09,67.17
2007-05-10,66.35
2007-05-11,66.8
2007-05-14,66.79
2007-05-15,67.45
2007-05-16,68.64
2007-05-17,68.49
2007-05-18,69.48
2007-05-21,69.03
2007-05-22,68.67
2007-05-23,68.69
2007-05-24,68.45
2007-05-25,68.82
2007-05-29,68.48
2007-05-30,68.57
2007-05-31,68.33
2007-06-01,68.7
2007-06-04,68.31
2007-06-05,67.62
2007-06-06,67.06
2007-06-07,66.35
2007-06-08,66.61
2007-06-11,66.04
2007-06-12,66.03
2007-06-13,66.39
2007-06-14,66.89
2007-06-15,66.68
2007-06-18,66.59
2007-06-19,65.8
2007-06-20,65.52
2007-06-21,65.88
2007-06-22,64.86
2007-06-25,64.65
2007-06-26,64.66
2007-06-27,65.17
2007-06-28,65.25
2007-06-29,64.85
2007-07-02,65.3
2007-07-03,65.59
2007-07-05,65.91
2007-07-06,66.22
2007-07-09,66.05
2007-07-10,65.87
2007-07-11,66.11
2007-07-12,66.94
2007-07-13,66.85
2007-07-16,66.99
2007-07-17,66.4
2007-07-18,66.13
2007-07-19,65.47
2007-07-20,64.67
2007-07-23,66.59
2007-07-24,66.26
2007-07-25,68.32
2007-07-26,66.84
2007-07-27,65.66
2007-07-30,65.9
2007-07-31,65.62
2007-08-01,66.43
2007-08-02,66.81
2007-08-03,66.47
2007-08-06,68.51
2007-08-07,69.16
2007-08-08,69.94
2007-08-09,68.5
2007-08-10,67.95
