Date,Close
2007-01-03,24.94
2007-01-04,25.03
2007-01-05,24.95
2007-01-08,24.82
2007-01-09,24.83
2007-01-10,24.86
2007-01-11,25.1
2007-01-12,25.28
2007-01-16,25.4
2007-01-17,25.51
2007-01-18,25.78
2007-01-19,25.83
2007-01-22,25.57
2007-01-23,25.02
2007-01-24,25.45
2007-01-25,25.01
2007-01-26,24.94
2007-01-29,24.72
2007-01-30,24.76
2007-01-31,24.9
2007-02-01,25.26
2007-02-02,25.43
2007-02-05,25.5
2007-02-06,25.46
2007-02-07,25.16
2007-02-08,25.09
2007-02-09,25.03
2007-02-12,24.88
2007-02-13,25.04
2007-02-14,25.22
2007-02-15,25.17
2007-02-16,24.95
2007-02-20,24.95
2007-02-21,24.73
2007-02-22,24.54
2007-02-23,24.31
2007-02-26,24.52
2007-02-27,23.85
2007-02-28,23.68
2007-03-01,23.76
2007-03-02,23.52
2007-03-05,23.43
2007-03-06,23.9
2007-03-07,23.98
2007-03-08,24.11
2007-03-09,24.11
2007-03-12,24.08
2007-03-13,23.66
2007-03-14,23.59
2007-03-15,23.71
2007-03-16,23.71
2007-03-19,24.06
2007-03-20,24.23
2007-03-21,24.53
2007-03-22,24.47
2007-03-23,24.35
2007-03-26,24.35
2007-03-27,24.18
2007-03-28,23.89
2007-03-29,24.11
2007-03-30,23.97
2007-04-02,24.04
2007-04-03,24.35
2007-04-04,24.49
2007-04-05,24.52
2007-04-09,24.67
2007-04-10,24.67
2007-04-11,24.71
2007-04-12,25.1
2007-04-13,25.3
2007-04-16,25.56
2007-04-17,25.52
2007-04-18,25.41
2007-04-19,25.68
2007-04-20,25.59
2007-04-23,25.0
2007-04-24,24.81
2007-04-25,24.97
2007-04-26,25.35
2007-04-27,25.25
2007-04-30,25.1
2007-05-01,25.23
2007-05-02,25.24
2007-05-03,25.49
2007-05-04,25.69
2007-05-07,25.98
2007-05-08,25.95
2007-05-09,25.77
2007-05-10,25.43
2007-05-11,25.65
2007-05-14,25.83
2007-05-15,25.71
2007-05-16,25.92
2007-05-17,25.96
2007-05-18,26.03
2007-05-21,26.02
2007-05-22,25.97
2007-05-23,25.94
2007-05-24,25.88
2007-05-25,26.12
2007-05-29,26.15
2007-05-30,26.01
2007-05-31,26.08
2007-06-01,26.26
2007-06-04,26.11
2007-06-05,25.88
2007-06-06,25.42
2007-06-07,24.94
2007-06-08,25.16
2007-06-11,25.02
2007-06-12,24.77
2007-06-13,25.0
2007-06-14,25.04
2007-06-15,25.11
2007-06-18,24.91
2007-06-19,24.87
2007-06-20,24.39
2007-06-21,24.59
2007-06-22,24.08
2007-06-25,24.1
2007-06-26,24.28
2007-06-27,24.3
2007-06-28,24.32
2007-06-29,24.26
2007-07-02,24.41
2007-07-03,24.49
2007-07-05,24.57
2007-07-06,24.59
2007-07-09,24.55
2007-07-10,24.27
2007-07-11,24.15
2007-07-12,24.65
2007-07-13,24.58
2007-07-16,24.74
2007-07-17,24.63
2007-07-18,23.84
2007-07-19,23.71
2007-07-20,23.62
2007-07-23,23.75
2007-07-24,23.61
2007-07-25,23.51
2007-07-26,22.91
2007-07-27,22.57
2007-07-30,22.54
2007-07-31,22.31
2007-08-01,22.42
2007-08-02,22.63
2007-08-03,22.31
2007-08-06,22.87
2007-08-07,23.1
2007-08-08,23.35
2007-08-09,22.9
2007-08-10,22.76
2007-08-13,22.67
2007-08-14,22.37
2007-08-15,22.32
2007-08-16,22.19
2007-08-17,22.71
2007-08-20,22.93
2007-08-21,23.0
2007-08-22,23.39
2007-08-23,23.36
2007-08-24,23.47
2007-08-27,23.49
2007-08-28,23.22
2007-08-29,23.41
2007-08-30,23.29
2007-08-31,23.57
2007-09-04,23.8
2007-09-05,23.44
2007-09-06,23.36
2007-09-07,23.01
2007-09-10,22.73
2007-09-11,22.95
2007-09-12,22.95
2007-09-13,22.99
2007-09-14,23.05
2007-09-17,22.89
2007-09-18,23.28
2007-09-19,23.61
2007-09-20,23.26
2007-09-21,23.33
2007-09-24,23.17
2007-09-25,23.0
2007-09-26,23.32
2007-09-27,23.48
2007-09-28,23.18
2007-10-01,23.58
2007-10-02,23.66
2007-10-03,23.8
2007-10-04,24.0
2007-10-05,24.27
2007-10-08,24.15
2007-10-09,24.23
2007-10-10,24.23
2007-10-11,24.15
2007-10-12,23.97
2007-10-15,23.72
2007-10-16,23.37
2007-10-17,23.29
2007-10-18,23.28
2007-10-19,22.84
2007-10-22,22.79
2007-10-23,22.82
2007-10-24,22.75
2007-10-25,23.05
2007-10-26,23.06
2007-10-29,23.25
2007-10-30,23.2
2007-10-31,23.35
2007-11-01,22.72
2007-11-02,22.46
2007-11-05,22.46
2007-11-06,22.7
2007-11-07,22.13
2007-11-08,21.93
2007-11-09,21.66
2007-11-12,21.84
2007-11-13,22.34
2007-11-14,22.4
2007-11-15,22.1
2007-11-16,22.19
2007-11-19,21.55
2007-11-20,21.56
2007-11-21,21.2
2007-11-23,21.8
2007-11-26,21.16
2007-11-27,21.71
2007-11-28,22.24
2007-11-29,22.39
2007-11-30,22.54
2007-12-03,22.34
2007-12-04,22.27
2007-12-05,22.75
2007-12-06,22.93
2007-12-07,23.15
2007-12-10,23.12
2007-12-11,22.61
2007-12-12,22.59
2007-12-13,22.43
2007-12-14,21.92
2007-12-17,21.79
2007-12-18,22.17
2007-12-19,22.08
2007-12-20,22.03
2007-12-21,22.05
2007-12-24,22.13
2007-12-26,22.01
2007-12-27,21.75
2007-12-28,21.73
2007-12-31,21.57
2008-01-02,21.74
2008-01-03,21.99
2008-01-04,21.66
2008-01-07,22.04
2008-01-08,22.27
2008-01-09,22.69
2008-01-10,22.85
2008-01-11,22.79
2008-01-14,22.74
2008-01-15,22.38
2008-01-16,22.2
2008-01-17,21.78
2008-01-18,21.35
2008-01-22,21.09
2008-01-23,21.69
2008-01-24,21.87
2008-01-25,21.45
2008-01-28,21.81
2008-01-29,21.99
2008-01-30,21.92
2008-01-31,22.16
2008-02-01,22.38
2008-02-04,22.42
2008-02-05,21.78
2008-02-06,21.43
2008-02-07,21.51
2008-02-08,21.16
2008-02-11,21.06
2008-02-12,21.52
2008-02-13,21.57
2008-02-14,21.3
2008-02-15,21.19
2008-02-19,21.22
2008-02-20,21.32
2008-02-21,21.25
2008-02-22,21.35
2008-02-25,21.61
2008-02-26,21.66
2008-02-27,21.58
2008-02-28,21.39
2008-02-29,21.14
2008-03-03,21.11
2008-03-04,21.1
2008-03-05,20.92
2008-03-06,20.48
2008-03-07,20.26
2008-03-10,20.07
2008-03-11,20.61
2008-03-12,20.19
2008-03-13,20.12
2008-03-14,19.58
2008-03-17,19.52
2008-03-18,19.92
2008-03-19,19.55
2008-03-20,19.54
2008-03-24,19.55
2008-03-25,19.72
2008-03-26,19.63
2008-03-27,19.51
2008-03-28,19.45
2008-03-31,19.86
2008-04-01,20.28
2008-04-02,20.41
2008-04-03,20.25
2008-04-04,20.26
2008-04-07,20.38
2008-04-08,19.92
2008-04-09,19.82
2008-04-10,19.85
2008-04-11,19.4
2008-04-14,19.51
2008-04-15,19.65
2008-04-16,20.02
2008-04-17,19.35
2008-04-18,19.42
2008-04-21,19.17
2008-04-22,18.78
2008-04-23,18.86
2008-04-24,19.01
2008-04-25,19.38
2008-04-28,19.19
2008-04-29,19.2
2008-04-30,19.08
2008-05-01,19.39
2008-05-02,19.55
2008-05-05,19.47
2008-05-06,19.37
2008-05-07,18.9
2008-05-08,18.95
2008-05-09,18.78
2008-05-12,18.89
2008-05-13,18.95
2008-05-14,19.03
2008-05-15,19.05
2008-05-16,19.0
2008-05-19,19.19
2008-05-20,19.02
2008-05-21,18.98
2008-05-22,18.77
2008-05-23,18.53
2008-05-27,18.34
2008-05-28,18.31
2008-05-29,18.41
2008-05-30,18.37
2008-06-02,18.2
2008-06-03,18.04
2008-06-04,17.84
2008-06-05,17.71
2008-06-06,17.04
2008-06-09,17.1
2008-06-10,17.02
2008-06-11,16.65
2008-06-12,16.82
2008-06-13,17.07
2008-06-16,16.86
2008-06-17,16.81
2008-06-18,16.86
2008-06-19,16.86
2008-06-20,16.44
2008-06-23,16.49
2008-06-24,16.78
2008-06-25,16.96
2008-06-26,16.29
2008-06-27,16.39
2008-06-30,16.57
2008-07-01,16.82
2008-07-02,16.72
2008-07-03,16.84
2008-07-07,16.5
2008-07-08,17.26
2008-07-09,17.11
2008-07-10,17.11
2008-07-11,16.9
2008-07-14,16.75
2008-07-15,16.68
2008-07-16,17.32
2008-07-17,17.45
2008-07-18,17.38
2008-07-21,17.16
