Date,Close
2007-01-03,21.89
2007-01-04,21.58
2007-01-05,21.56
2007-01-08,21.46
2007-01-09,21.43
2007-01-10,21.4
2007-01-11,21.85
2007-01-12,22.17
2007-01-16,22.66
2007-01-17,22.2
2007-01-18,22.3
2007-01-19,22.31
2007-01-22,22.15
2007-01-23,22.35
2007-01-24,22.67
2007-01-25,22.7
2007-01-26,23.1
2007-01-29,23.38
2007-01-30,23.48
2007-01-31,23.87
2007-02-01,24.01
2007-02-02,23.97
2007-02-05,23.99
2007-02-06,24.0
2007-02-07,23.99
2007-02-08,24.08
2007-02-09,24.16
2007-02-12,24.2
2007-02-13,24.25
2007-02-14,24.42
2007-02-15,24.34
2007-02-16,24.27
2007-02-20,24.54
2007-02-21,24.45
2007-02-22,24.56
2007-02-23,24.54
2007-02-26,24.43
2007-02-27,23.62
2007-02-28,23.74
2007-03-01,23.56
2007-03-02,23.26
2007-03-05,22.87
2007-03-06,23.17
2007-03-07,23.17
2007-03-08,23.22
2007-03-09,23.25
2007-03-12,23.37
2007-03-13,23.19
2007-03-14,23.2
2007-03-15,23.27
2007-03-16,23.25
2007-03-19,23.61
2007-03-20,23.56
2007-03-21,24.13
2007-03-22,24.16
2007-03-23,24.38
2007-03-26,24.16
2007-03-27,24.08
2007-03-28,24.0
2007-03-29,23.97
2007-03-30,24.22
2007-04-02,24.2
2007-04-03,24.44
2007-04-04,24.54
2007-04-05,24.67
2007-04-09,24.68
2007-04-10,24.6
2007-04-11,24.43
2007-04-12,24.66
2007-04-13,25.14
2007-04-16,25.08
2007-04-17,24.99
2007-04-18,24.95
2007-04-19,24.72
2007-04-20,24.93
2007-04-23,24.83
2007-04-24,24.79
2007-04-25,24.95
2007-04-26,24.97
2007-04-27,24.49
2007-04-30,24.2
2007-05-01,24.31
2007-05-02,25.02
2007-05-03,25.11
2007-05-04,25.16
2007-05-07,25.29
2007-05-08,25.19
2007-05-09,25.35
2007-05-10,25.1
2007-05-11,25.4
2007-05-14,25.13
2007-05-15,25.39
2007-05-16,25.63
2007-05-17,25.32
2007-05-18,25.55
2007-05-21,25.54
2007-05-22,25.65
2007-05-23,26.0
2007-05-24,26.0
2007-05-25,26.02
2007-05-29,26.1
2007-05-30,26.36
2007-05-31,26.51
2007-06-01,26.91
2007-06-04,26.91
2007-06-05,26.68
2007-06-06,26.46
2007-06-07,26.38
2007-06-08,26.64
2007-06-11,26.48
2007-06-12,26.36
2007-06-13,26.65
2007-06-14,26.68
2007-06-15,26.83
2007-06-18,26.66
2007-06-19,26.66
2007-06-20,26.39
2007-06-21,26.44
2007-06-22,26.14
2007-06-25,25.88
2007-06-26,25.79
2007-06-27,25.64
2007-06-28,25.85
2007-06-29,26.06
2007-07-02,26.46
2007-07-03,26.71
2007-07-05,26.98
2007-07-06,27.32
2007-07-09,27.02
2007-07-10,26.91
2007-07-11,27.2
2007-07-12,27.67
2007-07-13,27.36
2007-07-16,27.28
2007-07-17,27.28
2007-07-18,27.15
2007-07-19,26.99
2007-07-20,26.78
2007-07-23,27.01
2007-07-24,26.85
2007-07-25,27.13
2007-07-26,26.21
2007-07-27,27.95
2007-07-30,28.48
2007-07-31,27.83
2007-08-01,28.1
2007-08-02,28.54
2007-08-03,28.05
2007-08-06,27.96
2007-08-07,27.03
2007-08-08,27.04
2007-08-09,26.83
2007-08-10,27.44
2007-08-13,27.67
2007-08-14,27.53
2007-08-15,26.52
2007-08-16,26.8
2007-08-17,27.88
2007-08-20,28.02
2007-08-21,27.74
2007-08-22,27.74
2007-08-23,27.74
2007-08-24,27.89
2007-08-27,27.64
2007-08-28,27.06
2007-08-29,27.7
2007-08-30,27.72
2007-08-31,27.41
2007-09-04,27.48
2007-09-05,27.5
2007-09-06,27.93
2007-09-07,27.12
2007-09-10,27.15
2007-09-11,27.42
2007-09-12,27.55
2007-09-13,27.74
2007-09-14,28.06
2007-09-17,27.89
2007-09-18,28.59
2007-09-19,29.35
2007-09-20,29.3
2007-09-21,28.98
2007-09-24,28.48
2007-09-25,28.49
2007-09-26,29.16
2007-09-27,29.1
2007-09-28,29.21
2007-10-01,29.86
2007-10-02,28.91
2007-10-03,28.61
2007-10-04,28.82
2007-10-05,29.05
2007-10-08,28.94
2007-10-09,29.17
2007-10-10,28.54
2007-10-11,28.21
2007-10-12,28.64
2007-10-15,28.21
2007-10-16,28.66
2007-10-17,28.9
2007-10-18,29.19
2007-10-19,28.55
2007-10-22,28.55
2007-10-23,29.5
2007-10-24,29.54
2007-10-25,29.27
2007-10-26,27.82
2007-10-29,27.93
2007-10-30,27.83
2007-10-31,27.52
2007-11-01,26.74
2007-11-02,26.95
2007-11-05,27.73
2007-11-06,28.08
2007-11-07,27.84
2007-11-08,28.1
2007-11-09,27.53
2007-11-12,26.86
2007-11-13,27.03
2007-11-14,26.98
2007-11-15,26.78
2007-11-16,27.02
2007-11-19,26.64
2007-11-20,26.76
2007-11-21,26.56
2007-11-23,26.94
2007-11-26,26.38
2007-11-27,26.87
2007-11-28,27.56
2007-11-29,27.19
2007-11-30,27.28
2007-12-03,27.18
2007-12-04,26.43
2007-12-05,26.77
2007-12-06,27.07
2007-12-07,26.51
2007-12-10,26.59
2007-12-11,25.16
2007-12-12,24.73
2007-12-13,24.62
2007-12-14,25.66
2007-12-17,24.98
2007-12-18,24.63
2007-12-19,25.1
2007-12-20,25.26
2007-12-21,25.88
2007-12-24,25.92
2007-12-26,26.03
2007-12-27,25.97
2007-12-28,26.13
2007-12-31,26.02
2008-01-02,25.53
2008-01-03,25.18
2008-01-04,24.49
2008-01-07,24.78
2008-01-08,24.88
2008-01-09,25.43
2008-01-10,25.74
2008-01-11,25.35
2008-01-14,25.79
2008-01-15,25.52
2008-01-16,25.65
2008-01-17,25.0
2008-01-18,24.34
2008-01-22,23.27
2008-01-23,23.0
2008-01-24,22.7
2008-01-25,26.68
2008-01-28,25.7
2008-01-29,24.86
2008-01-30,24.55
2008-01-31,24.82
2008-02-01,25.36
2008-02-04,25.69
2008-02-05,25.53
2008-02-06,25.41
2008-02-07,25.67
2008-02-08,25.32
2008-02-11,25.66
2008-02-12,25.52
2008-02-13,25.83
2008-02-14,25.38
2008-02-15,25.4
2008-02-19,25.44
2008-02-20,25.61
2008-02-21,24.98
2008-02-22,24.98
2008-02-25,25.0
2008-02-26,24.98
2008-02-27,25.01
2008-02-28,24.82
2008-02-29,24.82
2008-03-03,24.58
2008-03-04,24.76
2008-03-05,25.01
2008-03-06,25.03
2008-03-07,24.01
2008-03-10,23.02
2008-03-11,23.58
2008-03-12,23.56
2008-03-13,24.13
2008-03-14,23.35
2008-03-17,22.96
2008-03-18,23.36
2008-03-19,23.18
2008-03-20,23.29
2008-03-24,23.68
2008-03-25,23.81
2008-03-26,24.0
2008-03-27,24.03
2008-03-28,24.14
2008-03-31,24.25
2008-04-01,25.06
2008-04-02,25.27
2008-04-03,25.49
2008-04-04,25.53
2008-04-07,25.48
2008-04-08,25.32
2008-04-09,25.26
2008-04-10,25.25
2008-04-11,24.7
2008-04-14,24.81
2008-04-15,24.09
2008-04-16,24.65
2008-04-17,24.58
2008-04-18,25.12
2008-04-21,25.12
2008-04-22,24.53
2008-04-23,25.35
2008-04-24,25.03
2008-04-25,27.48
2008-04-28,27.01
2008-04-29,26.74
2008-04-30,26.56
2008-05-01,27.03
2008-05-02,26.79
2008-05-05,27.08
2008-05-06,27.55
2008-05-07,27.05
2008-05-08,27.19
2008-05-09,27.09
2008-05-12,27.34
2008-05-13,27.3
2008-05-14,28.22
2008-05-15,28.26
2008-05-16,27.95
2008-05-19,28.46
2008-05-20,28.11
2008-05-21,27.81
2008-05-22,27.99
2008-05-23,28.41
2008-05-27,28.83
2008-05-28,28.31
2008-05-29,28.24
2008-05-30,28.28
2008-06-02,28.35
2008-06-03,28.61
2008-06-04,28.95
2008-06-05,29.15
2008-06-06,28.24
2008-06-09,27.87
2008-06-10,27.69
2008-06-11,27.69
2008-06-12,28.5
2008-06-13,28.7
2008-06-16,29.03
2008-06-17,29.0
2008-06-18,28.67
2008-06-19,28.87
2008-06-20,28.41
2008-06-23,28.46
2008-06-24,28.41
2008-06-25,28.78
2008-06-26,27.86
2008-06-27,27.71
2008-06-30,27.85
2008-07-01,27.5
2008-07-02,27.98
2008-07-03,28.08
2008-07-07,28.11
2008-07-08,28.52
2008-07-09,28.32
2008-07-10,28.99
2008-07-11,28.27
2008-07-14,27.55
2008-07-15,27.33
2008-07-16,27.65
2008-07-17,27.71
2008-07-18,27.55
2008-07-21,27.66
2008-07-22,29.11
2008-07-23,28.65
2008-07-24,28.37
2008-07-25,29.36
2008-07-28,29.21
2008-07-29,28.68
2008-07-30,29.09
2008-07-31,29.1
2008-08-01,28.6
2008-08-04,28.22
2008-08-05,28.98
2008-08-06,29.44
2008-08-07,28.97
2008-08-08,29.5
2008-08-11,29.67
2008-08-12,29.24
2008-08-13,28.96
2008-08-14,29.4
2008-08-15,29.69
2008-08-18,29.39
2008-08-19,29.03
2008-08-20,28.73
2008-08-21,28.58
2008-08-22,29.28
2008-08-25,28.85
2008-08-26,28.59
2008-08-27,28.57
2008-08-28,28.69
2008-08-29,28.41
2008-09-02,28.58
2008-09-03,27.86
2008-09-04,26.96
2008-09-05,26.23
2008-09-08,26.54
2008-09-09,26.05
2008-09-10,26.06
2008-09-11,25.72
2008-09-12,25.36
2008-09-15,25.22
2008-09-16,25.51
2008-09-17,24.54
2008-09-18,25.88
2008-09-19,26.43
2008-09-22,26.1
2008-09-23,26.04
2008-09-24,25.82
2008-09-25,26.08
2008-09-26,26.28
2008-09-29,24.6
2008-09-30,24.97
2008-10-01,24.48
2008-10-02,23.49
2008-10-03,23.91
2008-10-06,23.02
2008-10-07,23.25
2008-10-08,22.86
