Date,Close
2007-01-03,58.42
2007-01-04,57.98
2007-01-05,56.75
2007-01-08,56.58
2007-01-09,57.28
2007-01-10,58.12
2007-01-11,58.97
2007-01-12,59.24
2007-01-16,59.91
2007-01-17,59.76
2007-01-18,59.35
2007-01-19,60.0
2007-01-22,58.87
2007-01-23,59.46
2007-01-24,60.55
2007-01-25,60.62
2007-01-26,60.35
2007-01-29,60.58
2007-01-30,60.49
2007-01-31,60.85
2007-02-01,61.4
2007-02-02,61.61
2007-02-05,61.56
2007-02-06,61.89
2007-02-07,64.62
2007-02-08,64.7
2007-02-09,64.73
2007-02-12,63.55
2007-02-13,64.87
2007-02-14,63.99
2007-02-15,64.18
2007-02-16,64.14
2007-02-20,64.09
2007-02-21,63.84
2007-02-22,63.57
2007-02-23,62.41
2007-02-26,61.49
2007-02-27,59.68
2007-02-28,58.8
2007-03-01,58.43
2007-03-02,58.13
2007-03-05,56.45
2007-03-06,57.64
2007-03-07,56.92
2007-03-08,57.42
2007-03-09,58.1
2007-03-12,58.39
2007-03-13,56.97
2007-03-14,57.31
2007-03-15,58.46
2007-03-16,58.47
2007-03-19,58.62
2007-03-20,58.93
2007-03-21,59.22
2007-03-22,59.06
2007-03-23,59.09
2007-03-26,58.57
2007-03-27,58.04
2007-03-28,58.17
2007-03-29,58.07
2007-03-30,58.79
2007-04-02,59.47
2007-04-03,59.88
2007-04-04,59.57
2007-04-05,59.59
2007-04-09,59.61
2007-04-10,59.86
2007-04-11,59.75
2007-04-12,59.4
2007-04-13,60.46
2007-04-16,60.66
2007-04-17,61.88
2007-04-18,61.58
2007-04-19,61.3
2007-04-20,62.14
2007-04-23,62.67
2007-04-24,62.12
2007-04-25,62.05
2007-04-26,61.95
2007-04-27,62.07
2007-04-30,60.91
2007-05-01,60.64
2007-05-02,61.1
2007-05-03,60.94
2007-05-04,60.15
2007-05-07,60.5
2007-05-08,59.99
2007-05-09,60.7
2007-05-10,59.59
2007-05-11,60.4
2007-05-14,59.61
2007-05-15,58.61
2007-05-16,57.73
2007-05-17,56.74
2007-05-18,55.77
2007-05-21,56.07
2007-05-22,56.6
2007-05-23,56.01
2007-05-24,55.16
2007-05-25,54.72
2007-05-29,56.36
2007-05-30,58.1
2007-05-31,57.85
2007-06-01,58.69
2007-06-04,59.39
2007-06-05,58.4
2007-06-06,58.74
2007-06-07,57.25
2007-06-08,57.81
2007-06-11,56.21
2007-06-12,54.97
2007-06-13,56.23
2007-06-14,55.92
2007-06-15,56.33
2007-06-18,54.91
2007-06-19,55.22
2007-06-20,53.96
2007-06-21,54.11
2007-06-22,53.65
