Date,Close
2007-01-03,32.27
2007-01-04,32.26
2007-01-05,32.37
2007-01-08,32.15
2007-01-09,32.6
2007-01-10,32.65
2007-01-11,33.22
2007-01-12,33.53
2007-01-16,33.65
2007-01-17,33.92
2007-01-18,33.01
2007-01-19,33.08
2007-01-22,32.74
2007-01-23,33.02
2007-01-24,33.12
2007-01-25,32.85
2007-01-26,32.56
2007-01-29,32.69
2007-01-30,32.83
2007-01-31,33.15
2007-02-01,33.91
2007-02-02,33.85
2007-02-05,33.53
2007-02-06,33.96
2007-02-07,34.17
2007-02-08,33.8
2007-02-09,33.95
2007-02-12,33.97
2007-02-13,34.4
2007-02-14,34.31
2007-02-15,34.34
2007-02-16,34.1
2007-02-20,34.1
2007-02-21,34.13
2007-02-22,33.72
2007-02-23,33.87
2007-02-26,34.0
2007-02-27,33.04
2007-02-28,33.12
2007-03-01,32.99
2007-03-02,32.74
2007-03-05,32.54
2007-03-06,32.95
2007-03-07,32.76
2007-03-08,33.25
2007-03-09,33.99
2007-03-12,34.35
2007-03-13,33.9
2007-03-14,34.13
2007-03-15,34.49
2007-03-16,34.52
2007-03-19,35.15
2007-03-20,35.61
2007-03-21,36.07
2007-03-22,35.94
2007-03-23,36.14
2007-03-26,36.15
2007-03-27,35.79
2007-03-28,35.35
2007-03-29,35.31
2007-03-30,35.15
2007-04-02,35.29
2007-04-03,35.6
2007-04-04,35.66
2007-04-05,35.53
2007-04-09,35.9
2007-04-10,35.44
2007-04-11,35.28
2007-04-12,35.68
2007-04-13,35.5
2007-04-16,36.06
2007-04-17,35.39
2007-04-18,35.46
2007-04-19,37.75
2007-04-20,37.62
2007-04-23,37.51
2007-04-24,37.12
2007-04-25,37.49
2007-04-26,37.2
2007-04-27,37.36
2007-04-30,36.79
2007-05-01,36.63
2007-05-02,37.01
2007-05-03,37.51
2007-05-04,37.4
2007-05-07,37.9
2007-05-08,37.42
2007-05-09,37.81
2007-05-10,37.17
2007-05-11,37.32
2007-05-14,37.24
2007-05-15,37.34
2007-05-16,37.51
2007-05-17,37.75
2007-05-18,38.9
2007-05-21,38.99
2007-05-22,38.94
2007-05-23,38.68
2007-05-24,38.28
2007-05-25,38.56
2007-05-29,38.2
2007-05-30,38.51
2007-05-31,38.1
2007-06-01,38.19
2007-06-04,38.1
2007-06-05,38.17
2007-06-06,37.88
2007-06-07,36.9
2007-06-08,37.11
2007-06-11,37.1
2007-06-12,36.47
2007-06-13,37.12
2007-06-14,37.26
2007-06-15,37.49
2007-06-18,37.4
2007-06-19,37.4
2007-06-20,37.1
2007-06-21,37.31
2007-06-22,36.79
2007-06-25,36.91
2007-06-26,36.94
2007-06-27,37.65
2007-06-28,37.27
2007-06-29,38.06
2007-07-02,38.47
2007-07-03,38.26
2007-07-05,38.72
2007-07-06,38.53
2007-07-09,38.94
2007-07-10,38.35
2007-07-11,38.47
2007-07-12,39.17
2007-07-13,39.4
2007-07-16,39.35
2007-07-17,40.29
2007-07-18,40.21
2007-07-19,40.25
2007-07-20,40.31
2007-07-23,41.1
2007-07-24,40.6
2007-07-25,40.17
2007-07-26,38.85
2007-07-27,38.03
2007-07-30,38.67
2007-07-31,38.13
2007-08-01,39.47
2007-08-02,39.28
2007-08-03,38.14
2007-08-06,39.03
2007-08-07,38.83
2007-08-08,38.25
2007-08-09,36.1
2007-08-10,37.22
2007-08-13,37.63
2007-08-14,36.14
2007-08-15,35.28
2007-08-16,35.67
2007-08-17,36.19
2007-08-20,36.69
2007-08-21,36.44
2007-08-22,36.58
2007-08-23,36.39
2007-08-24,37.0
2007-08-27,36.62
2007-08-28,35.64
2007-08-29,36.69
2007-08-30,36.75
2007-08-31,36.67
2007-09-04,36.81
2007-09-05,36.49
2007-09-06,36.9
2007-09-07,35.55
2007-09-10,35.69
2007-09-11,36.28
2007-09-12,37.25
2007-09-13,37.51
2007-09-14,36.92
2007-09-17,36.83
2007-09-18,37.85
2007-09-19,38.69
2007-09-20,37.58
2007-09-21,37.5
2007-09-24,37.29
2007-09-25,37.58
2007-09-26,37.8
2007-09-27,38.08
2007-09-28,37.78
2007-10-01,38.46
2007-10-02,38.12
2007-10-03,38.14
2007-10-04,38.44
2007-10-05,39.26
2007-10-08,38.72
2007-10-09,39.09
2007-10-10,39.13
2007-10-11,39.07
2007-10-12,39.53
2007-10-15,38.99
2007-10-16,39.28
2007-10-17,38.85
2007-10-18,37.69
2007-10-19,37.08
2007-10-22,37.24
2007-10-23,37.39
2007-10-24,37.26
2007-10-25,36.72
2007-10-26,36.77
2007-10-29,37.04
2007-10-30,36.42
2007-10-31,37.37
2007-11-01,36.48
2007-11-02,36.64
2007-11-05,36.24
2007-11-06,36.87
2007-11-07,35.24
2007-11-08,35.81
2007-11-09,34.63
2007-11-12,34.24
2007-11-13,34.3
2007-11-14,34.04
2007-11-15,33.68
2007-11-16,33.4
2007-11-19,32.72
2007-11-20,33.12
2007-11-21,32.71
2007-11-23,33.25
2007-11-26,33.0
2007-11-27,33.0
2007-11-28,34.32
2007-11-29,34.21
2007-11-30,34.32
2007-12-03,34.22
2007-12-04,34.03
2007-12-05,34.38
2007-12-06,34.5
2007-12-07,35.14
2007-12-10,35.42
2007-12-11,34.27
2007-12-12,34.81
2007-12-13,35.25
2007-12-14,34.7
2007-12-17,34.0
2007-12-18,34.72
2007-12-19,34.35
2007-12-20,34.9
2007-12-21,35.86
2007-12-24,35.9
2007-12-26,35.93
2007-12-27,35.3
2007-12-28,35.22
2007-12-31,35.12
2008-01-02,34.3
2008-01-03,33.92
2008-01-04,33.33
2008-01-07,33.5
2008-01-08,32.61
2008-01-09,32.51
2008-01-10,32.56
2008-01-11,31.6
2008-01-14,32.29
2008-01-15,31.12
2008-01-16,30.78
2008-01-17,31.32
2008-01-18,31.03
2008-01-22,30.75
2008-01-23,31.97
2008-01-24,31.89
2008-01-25,31.5
2008-01-28,32.25
2008-01-29,32.27
2008-01-30,31.94
2008-01-31,32.69
2008-02-01,33.6
2008-02-04,33.21
2008-02-05,32.17
2008-02-06,32.33
2008-02-07,32.17
2008-02-08,32.19
2008-02-11,32.4
2008-02-12,32.53
2008-02-13,32.78
2008-02-14,32.1
2008-02-15,31.92
2008-02-19,32.62
2008-02-20,31.84
2008-02-21,32.0
2008-02-22,32.19
2008-02-25,33.0
2008-02-26,32.88
2008-02-27,32.59
2008-02-28,31.94
2008-02-29,30.99
2008-03-03,31.33
2008-03-04,30.64
2008-03-05,30.87
2008-03-06,30.33
2008-03-07,29.28
2008-03-10,28.75
2008-03-11,29.86
2008-03-12,29.91
2008-03-13,30.28
2008-03-14,29.5
2008-03-17,29.0
2008-03-18,29.97
2008-03-19,29.2
2008-03-20,29.52
2008-03-24,30.27
2008-03-25,30.53
2008-03-26,29.89
2008-03-27,29.79
2008-03-28,29.64
2008-03-31,30.25
2008-04-01,31.27
2008-04-02,31.57
2008-04-03,31.73
2008-04-04,32.4
2008-04-07,31.9
2008-04-08,31.93
2008-04-09,31.64
2008-04-10,31.85
2008-04-11,31.59
2008-04-14,31.35
2008-04-15,31.51
2008-04-16,32.96
2008-04-17,32.38
2008-04-18,33.21
2008-04-21,32.68
2008-04-22,32.38
2008-04-23,31.64
2008-04-24,31.83
2008-04-25,32.42
2008-04-28,31.71
2008-04-29,31.17
2008-04-30,30.68
2008-05-01,31.2
2008-05-02,31.42
2008-05-05,31.62
2008-05-06,31.67
2008-05-07,31.38
2008-05-08,31.56
2008-05-09,31.04
2008-05-12,31.5
2008-05-13,31.81
2008-05-14,32.47
2008-05-15,32.81
2008-05-16,33.12
2008-05-19,32.34
2008-05-20,32.29
2008-05-21,31.7
2008-05-22,31.83
2008-05-23,31.24
2008-05-27,31.11
2008-05-28,31.68
2008-05-29,31.7
2008-05-30,31.51
2008-06-02,31.24
2008-06-03,30.7
2008-06-04,30.93
2008-06-05,31.56
2008-06-06,30.61
2008-06-09,30.44
2008-06-10,30.17
2008-06-11,30.0
2008-06-12,29.88
2008-06-13,30.99
2008-06-16,30.93
2008-06-17,30.8
2008-06-18,30.34
2008-06-19,30.49
2008-06-20,29.99
2008-06-23,30.3
2008-06-24,29.55
2008-06-25,29.54
2008-06-26,28.6
2008-06-27,28.58
2008-06-30,28.68
2008-07-01,28.75
2008-07-02,27.83
2008-07-03,27.82
2008-07-07,27.83
2008-07-08,28.15
2008-07-09,27.33
2008-07-10,27.72
2008-07-11,27.71
2008-07-14,27.57
2008-07-15,27.9
2008-07-16,28.54
2008-07-17,30.52
2008-07-18,30.39
2008-07-21,30.49
2008-07-22,30.81
2008-07-23,31.09
2008-07-24,30.5
2008-07-25,30.24
2008-07-28,29.8
2008-07-29,30.13
2008-07-30,30.83
2008-07-31,30.32
2008-08-01,29.57
2008-08-04,29.16
2008-08-05,30.25
2008-08-06,30.98
2008-08-07,30.65
2008-08-08,31.67
2008-08-11,32.19
2008-08-12,32.12
2008-08-13,31.72
2008-08-14,31.59
2008-08-15,32.28
2008-08-18,32.12
2008-08-19,31.55
2008-08-20,31.72
2008-08-21,31.25
2008-08-22,31.23
2008-08-25,30.67
2008-08-26,30.87
2008-08-27,30.96
2008-08-28,31.75
2008-08-29,31.43
2008-09-02,32.65
2008-09-03,33.37
2008-09-04,32.77
2008-09-05,32.54
2008-09-08,32.92
2008-09-09,32.31
2008-09-10,32.44
2008-09-11,33.33
2008-09-12,33.88
2008-09-15,33.31
2008-09-16,33.67
2008-09-17,33.25
2008-09-18,33.65
2008-09-19,33.49
2008-09-22,32.4
2008-09-23,31.11
2008-09-24,29.87
2008-09-25,30.58
2008-09-26,30.72
2008-09-29,28.83
2008-09-30,29.16
2008-10-01,28.96
2008-10-02,27.84
2008-10-03,27.56
2008-10-06,27.33
2008-10-07,25.33
2008-10-08,25.49
2008-10-09,23.64
2008-10-10,23.15
2008-10-13,25.5
2008-10-14,25.14
2008-10-15,22.25
2008-10-16,25.55
2008-10-17,24.08
2008-10-20,25.25
2008-10-21,24.83
2008-10-22,23.35
2008-10-23,23.17
2008-10-24,22.56
2008-10-27,21.94
2008-10-28,23.92
2008-10-29,23.93
2008-10-30,24.6
2008-10-31,24.79
2008-11-03,25.01
2008-11-04,25.76
2008-11-05,24.11
2008-11-06,22.33
2008-11-07,23.41
2008-11-10,23.02
2008-11-11,22.93
2008-11-12,22.09
2008-11-13,24.19
2008-11-14,22.69
2008-11-17,22.06
2008-11-18,22.17
2008-11-19,20.59
2008-11-20,18.49
2008-11-21,19.26
2008-11-24,20.84
2008-11-25,21.26
2008-11-26,21.94
2008-11-28,21.96
2008-12-01,19.8
2008-12-02,20.9
2008-12-03,21.55
2008-12-04,21.03
2008-12-05,21.75
2008-12-08,22.91
2008-12-09,22.25
2008-12-10,22.38
2008-12-11,21.31
2008-12-12,21.94
2008-12-15,21.77
2008-12-16,22.98
2008-12-17,22.25
2008-12-18,21.35
2008-12-19,20.73
2008-12-22,19.85
2008-12-23,19.47
2008-12-24,19.42
2008-12-26,19.69
2008-12-29,19.42
2008-12-30,20.24
2008-12-31,21.22
2009-01-02,21.77
2009-01-05,21.64
2009-01-06,22.51
2009-01-07,21.57
2009-01-08,22.09
2009-01-09,21.66
2009-01-12,21.29
2009-01-13,20.85
2009-01-14,20.14
2009-01-15,20.7
2009-01-16,20.72
2009-01-20,19.8
2009-01-21,20.23
2009-01-22,19.65
2009-01-23,19.6
2009-01-26,19.42
2009-01-27,19.57
2009-01-28,20.45
2009-01-29,19.69
2009-01-30,18.79
2009-02-02,18.75
2009-02-03,18.5
2009-02-04,18.24
2009-02-05,18.83
2009-02-06,19.56
2009-02-09,19.63
2009-02-10,18.69
2009-02-11,18.68
2009-02-12,18.46
2009-02-13,18.1
2009-02-17,17.19
2009-02-18,17.05
2009-02-19,16.72
2009-02-20,16.33
2009-02-23,15.54
2009-02-24,16.24
2009-02-25,15.99
2009-02-26,15.72
2009-02-27,15.53
2009-03-02,15.02
2009-03-03,14.9
2009-03-04,15.46
2009-03-05,14.24
2009-03-06,14.71
2009-03-09,14.75
2009-03-10,16.34
2009-03-11,16.45
2009-03-12,17.17
2009-03-13,16.5
2009-03-16,16.47
2009-03-17,16.99
2009-03-18,17.5
2009-03-19,17.55
2009-03-20,17.35
2009-03-23,18.5
2009-03-24,18.3
2009-03-25,18.44
2009-03-26,19.35
2009-03-27,18.4
2009-03-30,18.43
2009-03-31,18.45
2009-04-01,19.74
2009-04-02,21.02
2009-04-03,22.28
2009-04-06,22.14
2009-04-07,21.4
2009-04-08,21.43
2009-04-09,22.49
2009-04-13,22.57
2009-04-14,22.07
2009-04-15,22.22
2009-04-16,23.06
2009-04-17,22.65
2009-04-20,21.59
2009-04-21,21.82
2009-04-22,22.04
2009-04-23,21.73
2009-04-24,22.73
2009-04-27,22.01
2009-04-28,21.62
2009-04-29,22.06
2009-04-30,22.02
2009-05-01,22.01
2009-05-04,23.25
2009-05-05,22.89
2009-05-06,22.97
2009-05-07,21.86
2009-05-08,22.36
2009-05-11,21.77
2009-05-12,21.84
2009-05-13,20.94
2009-05-14,21.2
2009-05-15,21.1
2009-05-18,22.04
2009-05-19,22.33
2009-05-20,22.75
2009-05-21,22.01
2009-05-22,22.32
2009-05-26,22.51
2009-05-27,21.91
2009-05-28,22.05
2009-05-29,22.24
2009-06-01,23.02
2009-06-02,22.82
2009-06-03,22.3
2009-06-04,22.5
2009-06-05,22.52
2009-06-08,22.15
2009-06-09,22.76
2009-06-10,22.62
2009-06-11,22.73
2009-06-12,22.57
2009-06-15,21.99
2009-06-16,21.53
2009-06-17,21.62
2009-06-18,21.47
2009-06-19,21.41
2009-06-22,20.83
2009-06-23,20.75
2009-06-24,21.49
2009-06-25,21.92
2009-06-26,21.78
2009-06-29,21.93
2009-06-30,21.95
2009-07-01,21.89
2009-07-02,21.08
2009-07-06,21.51
2009-07-07,20.81
2009-07-08,20.91
2009-07-09,21.06
2009-07-10,20.97
2009-07-13,21.78
2009-07-14,22.07
2009-07-15,23.05
2009-07-16,24.64
2009-07-17,24.78
2009-07-20,25.23
2009-07-21,25.22
2009-07-22,25.38
2009-07-23,26.24
2009-07-24,26.28
2009-07-27,26.41
2009-07-28,26.27
2009-07-29,25.94
