Date,Close
2007-01-03,33.87
2007-01-04,33.7
2007-01-05,33.11
2007-01-08,33.03
2007-01-09,33.17
2007-01-10,33.06
2007-01-11,33.02
2007-01-12,32.58
2007-01-16,32.69
2007-01-17,32.55
2007-01-18,32.34
2007-01-19,32.35
2007-01-22,32.25
2007-01-23,32.54
2007-01-24,32.85
2007-01-25,32.71
2007-01-26,32.78
2007-01-29,32.75
2007-01-30,32.89
2007-01-31,33.16
2007-02-01,33.35
2007-02-02,33.24
2007-02-05,33.52
2007-02-06,33.78
2007-02-07,33.77
2007-02-08,34.12
2007-02-09,34.38
2007-02-12,34.1
2007-02-13,34.4
2007-02-14,34.63
2007-02-15,34.37
2007-02-16,34.51
2007-02-20,34.67
2007-02-21,34.47
2007-02-22,34.42
2007-02-23,34.98
2007-02-26,36.51
2007-02-27,35.46
2007-02-28,35.44
2007-03-01,35.79
2007-03-02,35.25
2007-03-05,34.68
2007-03-06,35.26
2007-03-07,34.69
2007-03-08,34.95
2007-03-09,35.01
2007-03-12,35.55
2007-03-13,34.89
2007-03-14,35.15
2007-03-15,35.39
2007-03-16,35.15
2007-03-19,35.91
2007-03-20,36.25
2007-03-21,36.7
2007-03-22,36.51
2007-03-23,36.92
2007-03-26,37.3
2007-03-27,38.32
2007-03-28,38.23
2007-03-29,38.4
2007-03-30,38.09
2007-04-02,39.19
2007-04-03,39.58
2007-04-04,39.74
2007-04-05,39.89
2007-04-09,40.14
2007-04-10,40.3
2007-04-11,40.21
2007-04-12,39.87
2007-04-13,39.65
2007-04-16,40.2
2007-04-17,41.03
2007-04-18,41.2
2007-04-19,41.04
2007-04-20,41.45
2007-04-23,41.91
2007-04-24,42.1
2007-04-25,42.16
2007-04-26,41.71
2007-04-27,41.31
2007-04-30,40.62
2007-05-01,40.98
2007-05-02,41.77
2007-05-03,41.4
2007-05-04,41.49
2007-05-07,42.16
2007-05-08,41.89
2007-05-09,42.03
2007-05-10,42.15
2007-05-11,42.52
2007-05-14,42.7
2007-05-15,42.49
2007-05-16,42.63
2007-05-17,42.84
2007-05-18,42.86
2007-05-21,42.64
2007-05-22,41.91
2007-05-23,41.27
2007-05-24,40.36
2007-05-25,41.43
2007-05-29,41.98
2007-05-30,42.51
2007-05-31,42.81
2007-06-01,42.9
2007-06-04,42.68
2007-06-05,42.02
2007-06-06,41.19
2007-06-07,40.02
2007-06-08,40.78
2007-06-11,41.27
2007-06-12,40.25
2007-06-13,41.35
2007-06-14,41.64
2007-06-15,43.5
2007-06-18,43.92
2007-06-19,43.87
2007-06-20,42.43
2007-06-21,43.02
2007-06-22,42.52
2007-06-25,42.79
2007-06-26,42.69
2007-06-27,43.39
2007-06-28,43.35
2007-06-29,43.58
2007-07-02,44.94
2007-07-03,44.83
2007-07-05,44.87
2007-07-06,44.14
2007-07-09,44.6
2007-07-10,43.79
2007-07-11,44.29
2007-07-12,45.21
2007-07-13,46.34
2007-07-16,45.21
2007-07-17,44.81
2007-07-18,45.21
2007-07-19,46.47
2007-07-20,45.27
2007-07-23,45.81
2007-07-24,44.37
2007-07-25,44.41
2007-07-26,43.22
2007-07-27,42.7
2007-07-30,43.7
2007-07-31,43.91
2007-08-01,45.32
2007-08-02,46.49
