Date,Close
2012-04-12,34.0
2012-04-13,37.0
2012-04-16,36.55
2012-04-17,36.0
2012-04-18,36.0
2012-04-19,36.0
2012-04-20,36.32
2012-04-23,35.68
2012-04-24,34.75
2012-04-25,34.75
2012-04-26,34.95
2012-04-27,34.11
2012-04-30,34.05
2012-05-01,32.76
2012-05-02,32.0
2012-05-03,31.39
2012-05-04,30.16
2012-05-07,29.35
2012-05-08,30.1
2012-05-09,32.49
2012-05-10,32.48
2012-05-11,31.83
2012-05-14,31.32
2012-05-15,31.67
2012-05-16,32.1
2012-05-17,31.26
2012-05-18,31.38
2012-05-21,32.19
2012-05-22,31.63
2012-05-23,31.41
2012-05-24,31.13
2012-05-25,31.3
2012-05-29,31.01
2012-05-30,30.44
2012-05-31,30.03
2012-06-01,29.92
2012-06-04,29.53
2012-06-05,29.9
2012-06-06,31.53
2012-06-07,31.83
2012-06-08,32.12
2012-06-11,32.6
2012-06-12,33.49
2012-06-13,32.77
2012-06-14,33.53
2012-06-15,34.9
2012-06-18,33.86
2012-06-19,33.86
2012-06-20,34.66
2012-06-21,33.48
2012-06-22,34.16
2012-06-25,32.87
2012-06-26,32.58
2012-06-27,31.89
2012-06-28,32.31
2012-06-29,33.24
2012-07-02,34.0
2012-07-03,34.24
2012-07-05,33.8
2012-07-06,33.37
2012-07-09,33.25
2012-07-10,32.68
2012-07-11,33.48
2012-07-12,33.01
2012-07-13,34.94
2012-07-16,36.1
2012-07-17,36.69
2012-07-18,37.1
2012-07-19,35.6
2012-07-20,35.32
2012-07-23,35.02
2012-07-24,35.23
2012-07-25,35.4
2012-07-26,35.96
2012-07-27,36.52
2012-07-30,37.65
2012-07-31,37.6
2012-08-01,38.27
2012-08-02,38.3
2012-08-03,39.67
2012-08-06,40.07
2012-08-07,39.77
2012-08-08,40.15
2012-08-09,40.32
2012-08-10,40.0
2012-08-13,40.15
2012-08-14,39.93
2012-08-15,40.36
2012-08-16,41.18
2012-08-17,42.77
2012-08-20,43.07
2012-08-21,41.55
2012-08-22,41.48
2012-08-23,41.33
2012-08-24,41.36
2012-08-27,41.07
2012-08-28,41.96
2012-08-29,41.98
2012-08-30,42.48
2012-08-31,42.0
2012-09-04,42.41
2012-09-05,41.74
2012-09-06,43.42
2012-09-07,44.26
2012-09-10,44.54
2012-09-11,45.59
2012-09-12,46.28
2012-09-13,46.64
2012-09-14,46.73
2012-09-17,46.14
2012-09-18,45.52
2012-09-19,45.57
2012-09-20,45.78
2012-09-21,46.82
2012-09-24,46.74
2012-09-25,45.98
2012-09-26,45.53
2012-09-27,46.53
2012-09-28,46.37
2012-10-01,46.56
2012-10-02,46.42
2012-10-03,45.16
2012-10-04,45.39
2012-10-05,46.02
2012-10-08,45.93
2012-10-09,46.09
2012-10-10,45.15
2012-10-11,44.6
2012-10-12,43.92
2012-10-15,44.38
2012-10-16,46.49
2012-10-17,46.65
2012-10-18,45.56
2012-10-19,44.64
2012-10-22,45.58
2012-10-23,44.92
2012-10-24,44.78
2012-10-25,45.03
2012-10-26,47.5
2012-10-31,47.16
2012-11-01,47.38
2012-11-02,46.21
2012-11-05,47.76
2012-11-06,50.04
2012-11-07,49.46
2012-11-08,49.0
2012-11-09,47.41
2012-11-12,47.35
2012-11-13,46.86
2012-11-14,45.76
2012-11-15,45.34
2012-11-16,45.77
2012-11-19,48.12
2012-11-20,49.06
2012-11-21,49.39
2012-11-23,49.82
2012-11-26,49.56
2012-11-27,50.06
2012-11-28,51.0
2012-11-29,51.56
2012-11-30,52.37
2012-12-03,51.56
2012-12-04,51.56
2012-12-05,50.69
2012-12-06,50.97
2012-12-07,52.34
2012-12-10,53.58
2012-12-11,53.04
2012-12-12,53.05
2012-12-13,52.21
2012-12-14,53.47
2012-12-17,53.52
2012-12-18,53.17
2012-12-19,52.5
2012-12-20,52.42
2012-12-21,52.16
2012-12-24,51.97
2012-12-26,51.36
2012-12-27,51.56
2012-12-28,50.57
2012-12-31,53.1
2013-01-02,55.26
2013-01-03,53.19
2013-01-04,53.14
2013-01-07,51.36
2013-01-08,51.59
2013-01-09,51.32
2013-01-10,51.51
2013-01-11,50.58
2013-01-14,51.35
2013-01-15,52.24
2013-01-16,54.52
2013-01-17,55.15
2013-01-18,55.07
2013-01-22,54.61
2013-01-23,55.52
2013-01-24,56.12
2013-01-25,56.81
2013-01-28,57.09
2013-01-29,59.88
2013-01-30,60.76
2013-01-31,60.57
2013-02-01,62.75
2013-02-04,61.22
2013-02-05,61.01
2013-02-06,61.72
2013-02-07,63.26
2013-02-08,64.02
2013-02-11,64.18
2013-02-12,64.43
2013-02-13,64.11
2013-02-14,64.83
2013-02-15,64.17
2013-02-19,64.76
2013-02-20,62.64
2013-02-21,62.29
2013-02-22,64.11
2013-02-25,61.34
2013-02-26,61.23
2013-02-27,62.99
2013-02-28,62.96
2013-03-01,63.9
2013-03-04,65.68
2013-03-05,65.77
2013-03-06,66.05
2013-03-07,65.87
2013-03-08,66.03
2013-03-11,65.69
2013-03-12,66.22
2013-03-13,64.55
2013-03-14,64.95
2013-03-15,64.15
2013-03-18,65.03
2013-03-19,65.41
2013-03-20,67.54
2013-03-21,66.82
2013-03-22,67.55
2013-03-25,66.86
2013-03-26,67.24
2013-03-27,68.27
2013-03-28,69.97
2013-04-01,69.36
2013-04-02,66.84
2013-04-03,62.46
2013-04-04,62.39
2013-04-05,62.31
2013-04-08,63.62
2013-04-09,64.66
2013-04-10,63.86
2013-04-11,62.01
2013-04-12,60.67
2013-04-15,57.52
2013-04-16,59.28
2013-04-17,57.99
2013-04-18,57.23
2013-04-19,57.84
2013-04-22,59.43
2013-04-23,61.15
2013-04-24,61.82
2013-04-25,61.9
2013-04-26,61.6
2013-04-29,61.8
2013-04-30,60.95
2013-05-01,59.67
2013-05-02,60.3
2013-05-03,62.18
2013-05-06,63.87
2013-05-07,64.48
2013-05-08,63.41
2013-05-09,62.13
2013-05-10,61.38
2013-05-13,61.97
2013-05-14,64.08
2013-05-15,64.95
2013-05-16,63.84
2013-05-17,65.46
2013-05-20,65.96
2013-05-21,65.42
2013-05-22,65.39
2013-05-23,65.25
2013-05-24,65.47
2013-05-28,66.52
2013-05-29,66.84
2013-05-30,66.77
2013-05-31,66.57
2013-06-03,66.08
2013-06-04,65.18
2013-06-05,63.61
2013-06-06,65.0
2013-06-07,65.87
2013-06-10,65.11
2013-06-11,63.96
2013-06-12,63.31
2013-06-13,64.51
2013-06-14,63.81
2013-06-17,64.26
2013-06-18,64.39
2013-06-19,63.63
2013-06-20,60.39
2013-06-21,59.25
2013-06-24,57.19
2013-06-25,59.41
2013-06-26,59.72
2013-06-27,59.22
2013-06-28,58.91
2013-07-01,58.9
2013-07-02,57.08
2013-07-03,57.68
2013-07-05,57.24
2013-07-08,58.75
2013-07-09,58.51
2013-07-10,56.09
2013-07-11,57.76
2013-07-12,59.09
2013-07-15,59.23
2013-07-16,57.64
2013-07-17,58.04
2013-07-18,56.92
2013-07-19,57.49
2013-07-22,57.96
2013-07-23,59.49
2013-07-24,58.84
2013-07-25,59.42
2013-07-26,59.0
2013-07-29,58.96
2013-07-30,58.47
2013-07-31,61.5
2013-08-01,60.52
2013-08-02,58.41
2013-08-05,57.8
2013-08-06,58.31
2013-08-07,57.96
2013-08-08,59.0
2013-08-09,58.92
2013-08-12,58.17
2013-08-13,59.09
2013-08-14,58.79
2013-08-15,57.15
2013-08-16,56.3
2013-08-19,55.34
2013-08-20,57.01
2013-08-21,57.95
2013-08-22,58.11
2013-08-23,58.11
2013-08-26,58.13
2013-08-27,57.1
2013-08-28,58.03
2013-08-29,57.72
2013-08-30,57.1
2013-09-03,58.11
2013-09-04,59.03
2013-09-05,57.8
2013-09-06,57.42
2013-09-09,57.47
2013-09-10,56.79
2013-09-11,56.93
2013-09-12,56.45
2013-09-13,57.13
2013-09-16,56.83
2013-09-17,56.05
2013-09-18,57.25
2013-09-19,58.15
2013-09-20,57.93
2013-09-23,57.41
2013-09-24,57.77
2013-09-25,58.05
2013-09-26,58.48
2013-09-27,58.53
2013-09-30,57.82
2013-10-01,57.9
2013-10-02,59.18
2013-10-03,59.56
2013-10-04,59.17
2013-10-07,57.9
2013-10-08,56.89
2013-10-09,56.9
2013-10-10,58.57
2013-10-11,59.93
2013-10-14,60.48
2013-10-15,59.5
2013-10-16,60.73
2013-10-17,62.22
2013-10-18,63.48
2013-10-21,63.91
2013-10-22,64.88
2013-10-23,64.66
2013-10-24,63.23
2013-10-25,63.4
