Date,Close
2015-07-06,36.71
2015-07-07,36.62
2015-07-08,34.7
2015-07-09,34.5
2015-07-10,34.69
2015-07-13,36.78
2015-07-14,36.93
2015-07-15,37.51
2015-07-16,38.63
2015-07-17,38.39
2015-07-20,40.47
2015-07-21,39.35
2015-07-22,38.39
2015-07-23,37.01
2015-07-24,37.0
2015-07-27,36.39
2015-07-28,37.6
2015-07-29,37.95
2015-07-30,38.45
2015-07-31,38.7
2015-08-03,39.39
2015-08-04,38.95
2015-08-05,39.27
2015-08-06,38.85
2015-08-07,39.13
2015-08-10,39.05
2015-08-11,38.85
2015-08-12,38.19
2015-08-13,37.62
2015-08-14,38.14
2015-08-17,38.73
2015-08-18,37.99
2015-08-19,37.19
2015-08-20,35.98
2015-08-21,34.25
2015-08-24,33.75
2015-08-25,32.7
2015-08-26,33.17
2015-08-27,34.62
2015-08-28,35.04
2015-08-31,35.0
2015-09-01,33.77
2015-09-02,35.07
2015-09-03,35.31
2015-09-04,34.29
2015-09-08,34.7
2015-09-09,34.37
2015-09-10,33.46
2015-09-11,33.55
2015-09-14,33.77
2015-09-15,33.8
2015-09-16,33.77
2015-09-17,33.32
2015-09-18,32.92
2015-09-21,34.25
2015-09-22,33.35
2015-09-23,34.16
2015-09-24,33.91
2015-09-25,33.77
2015-09-28,32.25
2015-09-29,30.63
2015-09-30,31.04
2015-10-01,31.48
2015-10-02,32.83
2015-10-05,32.67
2015-10-06,31.86
2015-10-07,32.38
2015-10-08,31.67
2015-10-09,32.06
2015-10-12,32.63
2015-10-13,33.22
2015-10-14,34.05
2015-10-15,34.62
2015-10-16,34.29
2015-10-19,34.84
2015-10-20,34.87
2015-10-21,33.83
2015-10-22,34.79
2015-10-23,34.99
2015-10-26,36.44
2015-10-27,35.94
2015-10-28,36.52
2015-10-29,35.91
2015-10-30,36.01
2015-11-02,36.99
2015-11-03,37.9
2015-11-04,37.6
2015-11-05,36.71
2015-11-06,36.24
2015-11-09,36.6
2015-11-10,37.0
2015-11-11,36.33
2015-11-12,35.57
2015-11-13,34.53
2015-11-16,35.61
2015-11-17,36.21
2015-11-18,36.22
2015-11-19,36.19
2015-11-20,36.36
2015-11-23,35.56
2015-11-24,35.12
2015-11-25,35.36
2015-11-27,35.18
2015-11-30,35.26
2015-12-01,35.17
2015-12-02,35.15
2015-12-03,34.23
2015-12-04,35.62
2015-12-07,35.16
2015-12-08,35.6
2015-12-09,35.07
2015-12-10,35.49
2015-12-11,34.69
2015-12-14,35.01
2015-12-15,36.32
2015-12-16,35.98
2015-12-17,35.54
2015-12-18,34.98
2015-12-21,36.08
2015-12-22,36.81
2015-12-23,37.11
2015-12-24,37.07
2015-12-28,36.61
2015-12-29,37.08
2015-12-30,36.48
2015-12-31,36.2
2016-01-04,34.75
2016-01-05,34.31
2016-01-06,33.98
2016-01-07,33.13
2016-01-08,32.69
2016-01-11,33.04
2016-01-12,33.08
2016-01-13,32.12
2016-01-14,32.87
2016-01-15,32.31
2016-01-19,32.2
2016-01-20,31.2
2016-01-21,31.2
2016-01-22,31.69
2016-01-25,31.47
2016-01-26,31.97
2016-01-27,31.59
2016-01-28,34.24
2016-01-29,36.14
2016-02-01,37.08
2016-02-02,36.83
2016-02-03,37.01
2016-02-04,37.17
2016-02-05,35.07
2016-02-08,33.61
2016-02-09,32.7
2016-02-10,32.9
2016-02-11,33.52
2016-02-12,34.3
2016-02-16,35.46
2016-02-17,36.36
2016-02-18,36.31
2016-02-19,35.76
2016-02-22,36.0
2016-02-23,35.48
2016-02-24,36.47
2016-02-25,36.74
2016-02-26,37.49
2016-02-29,38.14
2016-03-01,39.25
2016-03-02,39.16
2016-03-03,39.02
2016-03-04,39.04
2016-03-07,38.98
2016-03-08,38.16
2016-03-09,38.57
2016-03-10,38.49
2016-03-11,39.49
2016-03-14,39.38
2016-03-15,39.27
2016-03-16,39.84
2016-03-17,39.93
2016-03-18,39.41
2016-03-21,41.14
2016-03-22,41.32
2016-03-23,40.52
2016-03-24,38.92
2016-03-28,38.74
2016-03-29,39.53
2016-03-30,39.04
2016-03-31,38.6
2016-04-01,39.4
2016-04-04,38.79
2016-04-05,38.55
2016-04-06,39.16
2016-04-07,38.28
2016-04-08,38.41
2016-04-11,38.06
2016-04-12,37.8
2016-04-13,38.79
2016-04-14,38.64
2016-04-15,38.58
2016-04-18,39.64
2016-04-19,39.24
2016-04-20,40.08
2016-04-21,40.1
2016-04-22,40.31
2016-04-25,39.82
2016-04-26,39.73
2016-04-27,40.01
2016-04-28,40.07
2016-04-29,39.18
2016-05-02,39.02
2016-05-03,38.36
