Date,Close
2007-01-03,19.81
2007-01-04,20.18
2007-01-05,20.8
2007-01-08,21.15
2007-01-09,21.27
2007-01-10,21.92
2007-01-11,22.55
2007-01-12,22.74
2007-01-16,22.55
2007-01-17,22.51
2007-01-18,21.88
2007-01-19,21.77
2007-01-22,21.7
2007-01-23,20.85
2007-01-24,21.04
2007-01-25,20.07
2007-01-26,19.92
2007-01-29,19.84
2007-01-30,20.59
2007-01-31,19.89
2007-02-01,20.27
2007-02-02,20.18
2007-02-05,19.46
2007-02-06,19.04
2007-02-07,19.69
2007-02-08,19.84
2007-02-09,19.89
2007-02-12,20.27
2007-02-13,21.66
2007-02-14,21.87
2007-02-15,22.06
2007-02-16,22.0
2007-02-20,22.64
2007-02-21,22.49
2007-02-22,22.19
2007-02-23,21.6
2007-02-26,21.18
2007-02-27,19.92
2007-02-28,19.84
2007-03-01,19.22
2007-03-02,18.68
2007-03-05,18.76
2007-03-06,19.06
2007-03-07,18.64
2007-03-08,19.28
2007-03-09,19.02
2007-03-12,19.04
2007-03-13,18.38
2007-03-14,18.51
2007-03-15,18.57
2007-03-16,18.37
2007-03-19,18.61
2007-03-20,19.04
2007-03-21,19.4
2007-03-22,19.49
2007-03-23,19.44
2007-03-26,19.15
2007-03-27,22.0
2007-03-28,21.54
2007-03-29,21.25
2007-03-30,21.62
2007-04-02,21.91
2007-04-03,22.49
2007-04-04,22.84
2007-04-05,23.36
2007-04-09,23.96
2007-04-10,23.58
2007-04-11,23.44
2007-04-12,24.2
2007-04-13,25.04
2007-04-16,24.59
2007-04-17,24.39
2007-04-18,24.1
2007-04-19,24.44
2007-04-20,25.9
2007-04-23,25.99
2007-04-24,26.67
2007-04-25,27.36
2007-04-26,28.42
2007-04-27,27.58
2007-04-30,27.2
2007-05-01,27.76
2007-05-02,28.6
2007-05-03,28.35
2007-05-04,28.53
2007-05-07,28.16
2007-05-08,27.7
2007-05-09,27.01
2007-05-10,26.43
2007-05-11,28.35
2007-05-14,27.4
2007-05-15,26.74
2007-05-16,25.73
2007-05-17,24.07
2007-05-18,24.87
2007-05-21,24.7
2007-05-22,24.31
2007-05-23,24.41
2007-05-24,23.3
2007-05-25,22.99
2007-05-29,23.03
2007-05-30,23.03
2007-05-31,22.44
2007-06-01,22.99
2007-06-04,20.31
2007-06-05,19.94
2007-06-06,19.11
2007-06-07,18.22
2007-06-08,18.64
2007-06-11,18.27
2007-06-12,17.95
2007-06-13,18.25
2007-06-14,18.02
2007-06-15,18.81
2007-06-18,18.25
2007-06-19,19.0
2007-06-20,18.26
2007-06-21,18.32
2007-06-22,17.93
2007-06-25,17.89
2007-06-26,17.68
2007-06-27,18.05
2007-06-28,17.95
2007-06-29,17.92
2007-07-02,18.12
2007-07-03,18.02
2007-07-05,18.1
2007-07-06,18.1
2007-07-09,18.01
2007-07-10,17.98
2007-07-11,17.8
2007-07-12,18.15
2007-07-13,18.45
2007-07-16,17.51
2007-07-17,17.53
2007-07-18,17.59
2007-07-19,17.76
2007-07-20,17.16
2007-07-23,17.43
2007-07-24,16.42
2007-07-25,16.51
2007-07-26,16.02
2007-07-27,15.38
2007-07-30,15.38
2007-07-31,14.89
2007-08-01,14.16
2007-08-02,13.66
2007-08-03,14.02
2007-08-06,15.06
2007-08-07,17.1
2007-08-08,18.41
2007-08-09,16.97
2007-08-10,16.23
2007-08-13,16.1
2007-08-14,16.68
2007-08-15,16.22
2007-08-16,17.24
2007-08-17,18.33
2007-08-20,18.06
2007-08-21,18.4
2007-08-22,18.45
2007-08-23,18.22
2007-08-24,18.54
2007-08-27,18.56
2007-08-28,18.09
2007-08-29,19.16
2007-08-30,18.94
2007-08-31,19.46
2007-09-04,20.4
2007-09-05,20.69
2007-09-06,21.27
2007-09-07,21.25
2007-09-10,20.67
2007-09-11,20.6
2007-09-12,20.16
2007-09-13,19.9
2007-09-14,20.14
2007-09-17,18.64
2007-09-18,18.72
2007-09-19,19.04
2007-09-20,18.61
2007-09-21,18.89
2007-09-24,18.64
2007-09-25,18.73
2007-09-26,18.49
2007-09-27,17.96
2007-09-28,17.8
2007-10-01,18.47
2007-10-02,18.41
2007-10-03,17.85
2007-10-04,18.23
2007-10-05,17.99
2007-10-08,17.97
2007-10-09,17.51
2007-10-10,18.5
2007-10-11,18.81
2007-10-12,19.45
2007-10-15,20.68
2007-10-16,19.7
2007-10-17,20.97
2007-10-18,20.64
2007-10-19,20.33
2007-10-22,20.89
2007-10-23,21.8
2007-10-24,21.9
2007-10-25,21.95
2007-10-26,22.56
2007-10-29,22.21
2007-10-30,22.13
2007-10-31,22.0
2007-11-01,20.16
2007-11-02,21.0
2007-11-05,20.28
2007-11-06,19.68
2007-11-07,18.85
2007-11-08,18.85
2007-11-09,18.3
2007-11-12,18.55
2007-11-13,19.0
2007-11-14,19.01
2007-11-15,18.57
2007-11-16,18.56
2007-11-19,18.1
