Date,Close
2007-01-03,20.48
2007-01-04,20.4
2007-01-05,20.15
2007-01-08,20.27
2007-01-09,20.55
2007-01-10,20.76
2007-01-11,21.09
2007-01-12,21.13
2007-01-16,21.02
2007-01-17,20.8
2007-01-18,20.8
2007-01-19,21.03
2007-01-22,20.82
2007-01-23,20.97
2007-01-24,21.46
2007-01-25,20.93
2007-01-26,20.85
2007-01-29,20.72
2007-01-30,20.91
2007-01-31,21.28
2007-02-01,21.27
2007-02-02,21.27
2007-02-05,21.23
2007-02-06,21.25
2007-02-07,21.33
2007-02-08,21.25
2007-02-09,20.83
2007-02-12,20.8
2007-02-13,21.19
2007-02-14,21.43
2007-02-15,21.37
2007-02-16,21.21
2007-02-20,21.31
2007-02-21,21.25
2007-02-22,21.18
2007-02-23,20.94
2007-02-26,20.51
2007-02-27,19.92
2007-02-28,20.07
2007-03-01,20.02
2007-03-02,19.69
2007-03-05,19.08
2007-03-06,19.42
2007-03-07,19.35
2007-03-08,19.44
2007-03-09,19.37
2007-03-12,19.39
2007-03-13,18.5
2007-03-14,18.88
2007-03-15,19.1
2007-03-16,19.15
2007-03-19,19.49
2007-03-20,19.59
2007-03-21,20.35
2007-03-22,20.36
2007-03-23,20.51
2007-03-26,20.37
2007-03-27,20.05
2007-03-28,19.87
2007-03-29,19.89
2007-03-30,19.84
2007-04-02,19.85
2007-04-03,19.95
2007-04-04,19.9
2007-04-05,19.86
2007-04-09,19.69
2007-04-10,19.93
2007-04-11,19.77
2007-04-12,19.99
2007-04-13,20.14
2007-04-16,20.57
2007-04-17,20.58
2007-04-18,20.75
2007-04-19,20.65
2007-04-20,20.67
2007-04-23,20.7
2007-04-24,20.02
2007-04-25,20.57
2007-04-26,20.54
2007-04-27,20.67
2007-04-30,20.45
2007-05-01,20.5
2007-05-02,20.81
2007-05-03,20.84
2007-05-04,21.06
2007-05-07,20.97
2007-05-08,20.87
2007-05-09,20.81
2007-05-10,20.35
2007-05-11,20.68
2007-05-14,20.45
2007-05-15,20.13
2007-05-16,20.25
2007-05-17,20.25
2007-05-18,20.45
2007-05-21,20.66
2007-05-22,20.64
2007-05-23,20.59
2007-05-24,20.17
2007-05-25,20.09
2007-05-29,20.37
2007-05-30,20.7
2007-05-31,22.21
2007-06-01,22.33
2007-06-04,22.1
2007-06-05,21.68
2007-06-06,21.39
2007-06-07,20.87
2007-06-08,21.37
2007-06-11,21.53
2007-06-12,21.18
2007-06-13,21.33
2007-06-14,21.56
2007-06-15,21.71
2007-06-18,21.55
2007-06-19,21.47
2007-06-20,21.19
2007-06-21,21.03
2007-06-22,20.86
2007-06-25,20.56
2007-06-26,20.57
2007-06-27,20.86
2007-06-28,21.01
2007-06-29,20.6
2007-07-02,20.85
2007-07-03,20.99
2007-07-05,21.01
2007-07-06,22.56
2007-07-09,22.61
2007-07-10,21.75
2007-07-11,22.03
2007-07-12,22.55
2007-07-13,22.75
2007-07-16,22.39
2007-07-17,22.56
2007-07-18,21.89
2007-07-19,21.71
2007-07-20,21.35
2007-07-23,21.43
2007-07-24,20.43
2007-07-25,21.49
2007-07-26,21.01
2007-07-27,20.87
2007-07-30,20.97
2007-07-31,20.45
2007-08-01,20.47
2007-08-02,20.64
2007-08-03,19.69
2007-08-06,20.49
2007-08-07,20.65
2007-08-08,21.45
2007-08-09,21.23
2007-08-10,21.09
2007-08-13,21.04
2007-08-14,20.67
2007-08-15,19.93
2007-08-16,20.67
2007-08-17,21.45
2007-08-20,21.37
2007-08-21,21.73
2007-08-22,21.99
2007-08-23,21.75
2007-08-24,22.25
2007-08-27,21.67
2007-08-28,21.04
2007-08-29,21.99
2007-08-30,21.48
2007-08-31,21.86
2007-09-04,22.6
2007-09-05,22.12
2007-09-06,22.32
2007-09-07,21.75
2007-09-10,22.03
2007-09-11,22.29
2007-09-12,22.39
2007-09-13,22.72
2007-09-14,22.64
2007-09-17,22.43
2007-09-18,23.3
2007-09-19,23.41
2007-09-20,23.13
2007-09-21,23.14
2007-09-24,22.65
2007-09-25,21.16
2007-09-26,21.91
2007-09-27,22.18
2007-09-28,21.9
2007-10-01,22.62
2007-10-02,23.09
2007-10-03,23.06
2007-10-04,22.93
2007-10-05,23.29
2007-10-08,23.21
2007-10-09,23.31
2007-10-10,23.33
2007-10-11,23.2
2007-10-12,23.49
2007-10-15,22.98
2007-10-16,22.86
2007-10-17,22.69
2007-10-18,22.63
2007-10-19,21.67
2007-10-22,21.78
2007-10-23,21.86
2007-10-24,23.2
2007-10-25,22.98
2007-10-26,24.13
2007-10-29,23.65
2007-10-30,24.11
2007-10-31,24.83
2007-11-01,23.4
2007-11-02,22.85
2007-11-05,22.17
2007-11-06,22.52
2007-11-07,21.72
2007-11-08,22.03
2007-11-09,21.57
2007-11-12,21.35
2007-11-13,22.23
2007-11-14,21.92
2007-11-15,21.26
2007-11-16,20.97
2007-11-19,19.49
2007-11-20,19.67
2007-11-21,19.7
2007-11-23,20.17
2007-11-26,19.33
2007-11-27,20.29
2007-11-28,21.53
2007-11-29,21.55
2007-11-30,21.65
2007-12-03,21.84
2007-12-04,21.62
2007-12-05,22.37
2007-12-06,23.14
2007-12-07,22.98
2007-12-10,23.73
2007-12-11,22.7
2007-12-12,22.91
2007-12-13,22.8
