Date,Close
2007-01-03,27.33
2007-01-04,27.59
2007-01-05,27.52
2007-01-08,27.48
2007-01-09,27.65
2007-01-10,27.75
2007-01-11,27.99
2007-01-12,27.91
2007-01-16,28.29
2007-01-17,28.51
2007-01-18,28.17
2007-01-19,28.21
2007-01-22,28.33
2007-01-23,28.53
2007-01-24,28.48
2007-01-25,28.29
2007-01-26,28.34
2007-01-29,28.5
2007-01-30,28.86
2007-01-31,28.83
2007-02-01,28.83
2007-02-02,29.31
2007-02-05,29.2
2007-02-06,29.28
2007-02-07,29.55
2007-02-08,28.98
2007-02-09,28.7
2007-02-12,28.59
2007-02-13,28.91
2007-02-14,29.06
2007-02-15,28.96
2007-02-16,29.15
2007-02-20,28.97
2007-02-21,29.0
2007-02-22,28.58
2007-02-23,28.72
2007-02-26,28.74
2007-02-27,27.88
2007-02-28,28.06
2007-03-01,27.87
2007-03-02,27.71
2007-03-05,27.43
2007-03-06,27.59
2007-03-07,27.61
2007-03-08,27.33
2007-03-09,27.37
2007-03-12,27.33
2007-03-13,26.7
2007-03-14,26.61
2007-03-15,26.93
2007-03-16,26.99
2007-03-19,27.4
2007-03-20,27.15
2007-03-21,27.68
2007-03-22,27.85
2007-03-23,28.28
2007-03-26,28.14
2007-03-27,27.61
2007-03-28,27.86
2007-03-29,27.68
2007-03-30,27.82
2007-04-02,27.87
2007-04-03,28.12
2007-04-04,27.89
2007-04-05,27.86
2007-04-09,27.49
2007-04-10,27.19
2007-04-11,27.25
2007-04-12,27.46
2007-04-13,27.5
2007-04-16,28.22
2007-04-17,28.45
2007-04-18,28.09
2007-04-19,27.62
2007-04-20,27.63
2007-04-23,27.59
2007-04-24,27.69
2007-04-25,27.88
2007-04-26,27.84
2007-04-27,28.56
2007-04-30,27.93
2007-05-01,27.86
2007-05-02,28.43
2007-05-03,28.54
2007-05-04,28.58
2007-05-07,28.87
2007-05-08,28.78
2007-05-09,28.72
2007-05-10,28.61
2007-05-11,28.65
2007-05-14,28.62
2007-05-15,28.37
2007-05-16,29.06
2007-05-17,28.71
2007-05-18,29.02
2007-05-21,29.32
2007-05-22,29.34
2007-05-23,29.28
2007-05-24,28.7
2007-05-25,29.41
2007-05-29,30.08
2007-05-30,30.43
2007-05-31,30.28
2007-06-01,30.43
2007-06-04,31.0
2007-06-05,30.69
2007-06-06,30.65
2007-06-07,30.12
2007-06-08,30.21
2007-06-11,30.28
