Date,Close
2007-01-03,39.53
2007-01-04,39.57
2007-01-05,39.45
2007-01-08,39.77
2007-01-09,39.31
2007-01-10,39.45
2007-01-11,40.09
2007-01-12,40.54
2007-01-16,40.61
2007-01-17,40.79
2007-01-18,40.85
2007-01-19,41.02
2007-01-22,40.33
2007-01-23,41.62
2007-01-24,42.06
2007-01-25,41.67
2007-01-26,41.56
2007-01-29,41.34
2007-01-30,42.13
2007-01-31,42.81
2007-02-01,43.16
2007-02-02,42.79
2007-02-05,42.65
2007-02-06,43.05
2007-02-07,43.12
2007-02-08,42.83
2007-02-09,42.53
2007-02-12,42.19
2007-02-13,42.29
2007-02-14,42.9
2007-02-15,43.38
2007-02-16,43.22
2007-02-20,42.88
2007-02-21,42.53
2007-02-22,42.48
2007-02-23,42.51
2007-02-26,42.31
2007-02-27,41.2
2007-02-28,41.31
2007-03-01,40.98
2007-03-02,40.5
2007-03-05,39.99
2007-03-06,40.39
2007-03-07,40.44
2007-03-08,40.63
2007-03-09,40.59
2007-03-12,41.13
2007-03-13,40.47
2007-03-14,40.75
2007-03-15,40.53
2007-03-16,40.65
2007-03-19,40.95
2007-03-20,41.06
2007-03-21,41.65
2007-03-22,41.59
2007-03-23,41.99
2007-03-26,41.79
2007-03-27,41.6
2007-03-28,41.14
2007-03-29,40.9
2007-03-30,40.91
2007-04-02,40.73
2007-04-03,41.08
2007-04-04,40.86
2007-04-05,40.86
2007-04-09,40.94
2007-04-10,40.56
2007-04-11,40.33
2007-04-12,40.74
2007-04-13,40.94
2007-04-16,41.4
2007-04-17,41.65
2007-04-18,42.11
2007-04-19,42.3
2007-04-20,42.47
2007-04-23,42.66
2007-04-24,42.65
2007-04-25,42.82
2007-04-26,42.57
2007-04-27,42.6
2007-04-30,42.25
2007-05-01,42.62
2007-05-02,43.05
2007-05-03,42.75
2007-05-04,42.79
2007-05-07,43.46
2007-05-08,43.01
2007-05-09,43.28
2007-05-10,42.81
2007-05-11,43.04
2007-05-14,42.95
2007-05-15,43.11
2007-05-16,43.1
2007-05-17,43.66
2007-05-18,43.54
2007-05-21,43.37
2007-05-22,43.56
2007-05-23,43.33
2007-05-24,42.96
2007-05-25,43.18
2007-05-29,43.42
2007-05-30,43.69
2007-05-31,44.4
2007-06-01,44.54
2007-06-04,44.57
2007-06-05,44.52
2007-06-06,44.0
2007-06-07,43.34
2007-06-08,44.2
2007-06-11,44.17
2007-06-12,43.85
2007-06-13,44.51
2007-06-14,44.86
2007-06-15,45.32
2007-06-18,45.43
2007-06-19,45.14
2007-06-20,45.2
2007-06-21,45.28
2007-06-22,44.92
2007-06-25,44.85
2007-06-26,44.41
2007-06-27,45.0
2007-06-28,44.74
2007-06-29,44.64
2007-07-02,45.6
2007-07-03,45.61
2007-07-05,45.39
2007-07-06,45.69
2007-07-09,45.64
2007-07-10,45.36
2007-07-11,45.94
2007-07-12,46.56
2007-07-13,47.2
2007-07-16,48.25
2007-07-17,48.36
2007-07-18,47.55
2007-07-19,48.57
2007-07-20,47.85
2007-07-23,47.97
2007-07-24,47.04
2007-07-25,47.32
2007-07-26,46.85
2007-07-27,46.12
2007-07-30,46.34
2007-07-31,45.92
2007-08-01,46.98
2007-08-02,47.05
2007-08-03,46.53
2007-08-06,47.11
2007-08-07,46.66
2007-08-08,46.6
2007-08-09,45.54
2007-08-10,45.99
2007-08-13,46.58
2007-08-14,45.8
2007-08-15,45.08
2007-08-16,44.73
2007-08-17,46.46
2007-08-20,47.01
2007-08-21,45.9
2007-08-22,46.49
2007-08-23,46.13
2007-08-24,46.78
