Date,Close
2007-01-03,26.49
2007-01-04,26.9
2007-01-05,26.54
2007-01-08,26.79
2007-01-09,26.63
2007-01-10,26.91
2007-01-11,26.95
2007-01-12,26.97
2007-01-16,27.14
2007-01-17,27.45
2007-01-18,26.55
2007-01-19,26.39
2007-01-22,26.26
2007-01-23,26.14
2007-01-24,26.75
2007-01-25,26.51
2007-01-26,26.34
2007-01-29,26.19
2007-01-30,27.0
2007-01-31,26.6
2007-02-01,26.57
2007-02-02,26.39
2007-02-05,26.41
2007-02-06,26.26
2007-02-07,26.74
2007-02-08,26.72
2007-02-09,26.09
2007-02-12,25.84
2007-02-13,25.86
2007-02-14,26.07
2007-02-15,26.32
2007-02-16,26.16
2007-02-20,26.66
2007-02-21,26.82
2007-02-22,26.13
2007-02-23,26.37
2007-02-26,26.29
2007-02-27,25.58
2007-02-28,25.58
2007-03-01,24.88
2007-03-02,24.6
2007-03-05,24.33
2007-03-06,25.45
2007-03-07,25.35
2007-03-08,25.15
2007-03-09,25.68
2007-03-12,26.16
2007-03-13,26.03
2007-03-14,26.17
2007-03-15,26.49
2007-03-16,26.51
2007-03-19,26.36
2007-03-20,26.75
2007-03-21,26.94
2007-03-22,27.01
2007-03-23,26.65
2007-03-26,26.49
2007-03-27,26.49
2007-03-28,26.29
2007-03-29,26.11
2007-03-30,26.23
2007-04-02,26.25
2007-04-03,26.65
2007-04-04,26.68
2007-04-05,26.9
2007-04-09,26.94
2007-04-10,26.46
2007-04-11,26.65
2007-04-12,26.95
2007-04-13,26.75
2007-04-16,27.12
2007-04-17,27.49
2007-04-18,27.43
2007-04-19,27.34
2007-04-20,27.7
2007-04-23,27.7
2007-04-24,28.08
2007-04-25,28.08
2007-04-26,27.95
2007-04-27,28.02
2007-04-30,27.66
2007-05-01,27.68
2007-05-02,27.87
2007-05-03,27.99
2007-05-04,28.25
2007-05-07,28.15
2007-05-08,28.14
2007-05-09,28.42
2007-05-10,28.03
2007-05-11,28.38
2007-05-14,28.21
2007-05-15,28.07
2007-05-16,27.78
2007-05-17,27.48
2007-05-18,27.83
2007-05-21,28.31
2007-05-22,28.29
2007-05-23,28.3
2007-05-24,25.39
2007-05-25,26.66
2007-05-29,26.35
2007-05-30,26.73
2007-05-31,26.52
2007-06-01,27.26
2007-06-04,27.78
2007-06-05,27.54
2007-06-06,27.5
2007-06-07,27.37
2007-06-08,27.48
2007-06-11,27.01
2007-06-12,26.69
2007-06-13,26.85
2007-06-14,26.99
2007-06-15,27.03
2007-06-18,26.88
2007-06-19,27.12
2007-06-20,26.66
2007-06-21,26.87
2007-06-22,26.59
2007-06-25,26.32
2007-06-26,26.36
2007-06-27,26.86
2007-06-28,26.8
2007-06-29,26.43
2007-07-02,26.88
2007-07-03,26.87
2007-07-05,26.57
2007-07-06,26.8
2007-07-09,26.57
2007-07-10,26.29
2007-07-11,26.45
2007-07-12,27.14
2007-07-13,26.86
2007-07-16,26.87
2007-07-17,27.2
2007-07-18,26.83
2007-07-19,27.45
2007-07-20,26.9
2007-07-23,27.09
2007-07-24,26.41
2007-07-25,26.55
2007-07-26,25.6
2007-07-27,25.42
2007-07-30,25.03
2007-07-31,24.46
2007-08-01,24.22
2007-08-02,25.13
2007-08-03,24.0
2007-08-06,23.95
2007-08-07,23.4
2007-08-08,23.64
2007-08-09,23.66
2007-08-10,24.92
2007-08-13,24.95
2007-08-14,24.82
2007-08-15,24.76
2007-08-16,23.62
2007-08-17,24.03
2007-08-20,24.31
2007-08-21,25.02
2007-08-22,25.76
2007-08-23,26.98
2007-08-24,27.04
2007-08-27,27.05
2007-08-28,26.8
2007-08-29,27.15
2007-08-30,27.0
2007-08-31,27.32
2007-09-04,26.91
2007-09-05,26.76
2007-09-06,27.07
2007-09-07,26.71
2007-09-10,26.4
2007-09-11,26.49
2007-09-12,26.65
2007-09-13,26.44
2007-09-14,25.89
2007-09-17,25.91
2007-09-18,26.43
2007-09-19,26.51
2007-09-20,26.38
2007-09-21,26.43
2007-09-24,26.2
2007-09-25,26.36
2007-09-26,26.44
2007-09-27,26.99
2007-09-28,27.08
2007-10-01,27.47
2007-10-02,27.22
2007-10-03,27.31
2007-10-04,26.94
2007-10-05,26.89
2007-10-08,26.83
2007-10-09,27.78
2007-10-10,28.0
2007-10-11,28.34
2007-10-12,28.6
2007-10-15,28.48
2007-10-16,28.34
2007-10-17,28.64
2007-10-18,28.59
2007-10-19,27.48
2007-10-22,28.03
2007-10-23,27.86
2007-10-24,27.86
2007-10-25,27.39
2007-10-26,27.59
2007-10-29,27.4
2007-10-30,27.44
2007-10-31,28.26
2007-11-01,27.85
2007-11-02,28.02
2007-11-05,27.7
