Date,Close
2007-01-03,26.07
2007-01-04,26.4
2007-01-05,26.01
2007-01-08,25.86
2007-01-09,26.68
2007-01-10,26.81
2007-01-11,26.81
2007-01-12,26.82
2007-01-16,26.97
2007-01-17,27.38
2007-01-18,26.29
2007-01-19,25.95
2007-01-22,26.48
2007-01-23,26.18
2007-01-24,28.35
2007-01-25,27.71
2007-01-26,27.35
2007-01-29,27.46
2007-01-30,27.61
2007-01-31,27.09
2007-02-01,26.75
2007-02-02,26.34
2007-02-05,26.4
2007-02-06,26.08
2007-02-07,26.34
2007-02-08,26.33
2007-02-09,26.06
2007-02-12,26.03
2007-02-13,26.07
2007-02-14,26.6
2007-02-15,26.66
2007-02-16,26.54
2007-02-20,26.83
2007-02-21,27.04
2007-02-22,27.53
2007-02-23,28.0
2007-02-26,28.16
2007-02-27,26.61
2007-02-28,26.9
2007-03-01,26.43
2007-03-02,24.64
2007-03-05,24.63
2007-03-06,24.79
2007-03-07,24.7
2007-03-08,24.3
2007-03-09,24.26
2007-03-12,24.64
2007-03-13,24.05
2007-03-14,24.32
2007-03-15,24.6
2007-03-16,24.45
2007-03-19,24.48
2007-03-20,24.62
2007-03-21,25.25
2007-03-22,25.11
2007-03-23,25.04
2007-03-26,24.77
2007-03-27,24.51
2007-03-28,23.8
2007-03-29,23.42
2007-03-30,23.3
2007-04-02,22.93
2007-04-03,23.23
2007-04-04,22.86
2007-04-05,23.27
2007-04-09,23.46
2007-04-10,22.0
2007-04-11,21.5
2007-04-12,21.74
2007-04-13,22.01
2007-04-16,22.54
2007-04-17,22.15
2007-04-18,21.3
2007-04-19,21.33
2007-04-20,21.58
2007-04-23,21.55
2007-04-24,22.09
2007-04-25,22.07
2007-04-26,22.45
2007-04-27,22.1
2007-04-30,22.15
2007-05-01,21.6
2007-05-02,21.65
2007-05-03,22.18
2007-05-04,22.07
2007-05-07,22.34
2007-05-08,22.5
2007-05-09,22.28
2007-05-10,21.7
2007-05-11,22.11
2007-05-14,21.71
2007-05-15,21.43
2007-05-16,21.28
2007-05-17,20.71
2007-05-18,20.88
2007-05-21,20.86
2007-05-22,21.35
2007-05-23,21.15
2007-05-24,20.69
2007-05-25,20.3
2007-05-29,20.76
2007-05-30,20.69
2007-05-31,20.59
2007-06-01,20.73
2007-06-04,20.75
2007-06-05,20.4
2007-06-06,20.58
2007-06-07,20.36
2007-06-08,20.9
2007-06-11,20.86
2007-06-12,20.83
2007-06-13,20.7
2007-06-14,20.77
2007-06-15,20.96
2007-06-18,21.01
2007-06-19,21.67
2007-06-20,21.38
2007-06-21,22.23
2007-06-22,22.19
2007-06-25,21.83
2007-06-26,22.0
2007-06-27,22.31
2007-06-28,21.55
2007-06-29,21.77
2007-07-02,22.34
2007-07-03,22.74
2007-07-05,23.12
2007-07-06,23.57
2007-07-09,23.52
2007-07-10,23.0
2007-07-11,22.68
2007-07-12,23.05
2007-07-13,22.8
2007-07-16,22.78
2007-07-17,23.2
2007-07-18,23.41
2007-07-19,24.12
2007-07-20,24.63
2007-07-23,24.88
2007-07-24,24.33
2007-07-25,24.96
2007-07-26,24.61
2007-07-27,23.81
2007-07-30,24.16
2007-07-31,23.51
2007-08-01,23.78
2007-08-02,24.15
2007-08-03,23.48
2007-08-06,23.93
2007-08-07,23.0
2007-08-08,23.86
2007-08-09,23.22
