Date,Close
2007-01-03,26.4
2007-01-04,26.06
2007-01-05,25.65
2007-01-08,25.54
2007-01-09,25.63
2007-01-10,25.7
2007-01-11,26.05
2007-01-12,26.23
2007-01-16,26.16
2007-01-17,26.05
2007-01-18,26.45
2007-01-19,26.49
2007-01-22,26.64
2007-01-23,26.71
2007-01-24,27.67
2007-01-25,27.79
2007-01-26,27.49
2007-01-29,27.58
2007-01-30,28.01
2007-01-31,28.42
2007-02-01,28.51
2007-02-02,28.79
2007-02-05,28.54
2007-02-06,28.33
2007-02-07,28.07
2007-02-08,28.23
2007-02-09,27.87
2007-02-12,27.92
2007-02-13,28.09
2007-02-14,28.09
2007-02-15,28.12
2007-02-16,28.31
2007-02-20,28.22
2007-02-21,28.1
2007-02-22,27.98
2007-02-23,27.95
2007-02-26,28.32
2007-02-27,27.3
2007-02-28,27.79
2007-03-01,27.73
2007-03-02,27.52
2007-03-05,26.98
2007-03-06,27.19
2007-03-07,26.76
2007-03-08,27.58
2007-03-09,27.61
2007-03-12,27.99
2007-03-13,28.14
2007-03-14,28.1
2007-03-15,27.9
2007-03-16,27.93
2007-03-19,28.38
2007-03-20,28.63
2007-03-21,29.35
2007-03-22,29.54
2007-03-23,29.37
2007-03-26,29.69
2007-03-27,29.79
2007-03-28,29.42
2007-03-29,29.58
2007-03-30,29.78
2007-04-02,29.8
2007-04-03,30.02
2007-04-04,29.63
2007-04-05,29.66
2007-04-09,29.71
2007-04-10,29.8
2007-04-11,29.41
2007-04-12,29.2
2007-04-13,29.34
2007-04-16,29.65
2007-04-17,29.6
2007-04-18,29.43
2007-04-19,29.69
2007-04-20,30.11
2007-04-23,30.04
2007-04-24,29.53
2007-04-25,29.56
2007-04-26,29.43
2007-04-27,29.18
2007-04-30,29.24
2007-05-01,29.34
2007-05-02,29.21
2007-05-03,29.38
2007-05-04,29.82
2007-05-07,29.91
2007-05-08,29.66
2007-05-09,29.81
2007-05-10,29.39
2007-05-11,29.9
2007-05-14,30.23
2007-05-15,30.51
2007-05-16,31.07
2007-05-17,31.16
2007-05-18,31.04
2007-05-21,30.63
2007-05-22,30.54
2007-05-23,30.52
2007-05-24,30.53
2007-05-25,30.79
2007-05-29,30.58
2007-05-30,30.95
2007-05-31,31.22
2007-06-01,30.61
2007-06-04,30.89
2007-06-05,30.58
2007-06-06,30.5
2007-06-07,29.85
2007-06-08,30.41
2007-06-11,30.3
2007-06-12,29.52
2007-06-13,30.2
2007-06-14,30.63
2007-06-15,30.42
2007-06-18,30.22
2007-06-19,30.39
2007-06-20,29.86
2007-06-21,29.9
2007-06-22,29.34
2007-06-25,29.52
2007-06-26,29.68
2007-06-27,30.2
2007-06-28,30.77
2007-06-29,31.34
2007-07-02,31.61
2007-07-03,31.34
2007-07-05,30.94
2007-07-06,30.71
2007-07-09,30.58
2007-07-10,29.83
2007-07-11,30.07
2007-07-12,30.57
2007-07-13,30.51
2007-07-16,30.37
2007-07-17,30.09
2007-07-18,29.93
2007-07-19,29.95
2007-07-20,29.5
2007-07-23,30.23
2007-07-24,29.97
2007-07-25,30.59
2007-07-26,30.19
2007-07-27,29.64
2007-07-30,30.04
2007-07-31,29.58
2007-08-01,30.39
2007-08-02,30.66
2007-08-03,29.8
2007-08-06,30.41
2007-08-07,30.56
2007-08-08,30.48
2007-08-09,29.65
2007-08-10,29.36
2007-08-13,29.52
2007-08-14,28.9
2007-08-15,28.69
