Date,Close
2007-01-03,39.54
2007-01-04,39.69
2007-01-05,39.34
2007-01-08,39.74
2007-01-09,39.18
2007-01-10,39.2
2007-01-11,40.08
2007-01-12,40.31
2007-01-16,40.14
2007-01-17,40.03
2007-01-18,39.03
2007-01-19,39.45
2007-01-22,39.02
2007-01-23,39.6
2007-01-24,40.29
2007-01-25,38.83
2007-01-26,37.8
2007-01-29,37.2
2007-01-30,37.5
2007-01-31,38.15
2007-02-01,38.84
2007-02-02,39.31
2007-02-05,37.67
2007-02-06,37.79
2007-02-07,38.02
2007-02-08,37.54
2007-02-09,37.09
2007-02-12,37.43
2007-02-13,37.4
2007-02-14,37.16
2007-02-15,37.14
2007-02-16,37.29
2007-02-20,37.8
2007-02-21,38.09
2007-02-22,38.18
2007-02-23,38.74
2007-02-26,38.82
2007-02-27,37.77
2007-02-28,38.05
2007-03-01,37.14
2007-03-02,36.77
2007-03-05,36.1
2007-03-06,36.77
2007-03-07,36.85
2007-03-08,36.81
2007-03-09,37.33
2007-03-12,37.78
2007-03-13,36.65
2007-03-14,37.52
2007-03-15,37.95
2007-03-16,37.8
2007-03-19,38.0
2007-03-20,38.35
2007-03-21,38.93
2007-03-22,38.96
2007-03-23,39.05
2007-03-26,38.2
2007-03-27,37.85
2007-03-28,37.73
2007-03-29,37.79
2007-03-30,37.44
2007-04-02,37.44
2007-04-03,37.98
2007-04-04,37.71
2007-04-05,37.68
2007-04-09,37.55
2007-04-10,38.27
2007-04-11,38.07
2007-04-12,38.39
2007-04-13,38.83
2007-04-16,39.83
2007-04-17,40.1
2007-04-18,39.55
2007-04-19,39.87
2007-04-20,40.11
2007-04-23,40.87
2007-04-24,41.19
2007-04-25,45.81
2007-04-26,45.2
2007-04-27,45.18
2007-04-30,44.11
2007-05-01,43.98
2007-05-02,45.31
2007-05-03,45.82
2007-05-04,45.93
2007-05-07,45.85
2007-05-08,45.61
2007-05-09,45.8
2007-05-10,45.6
2007-05-11,46.5
2007-05-14,45.83
2007-05-15,46.1
2007-05-16,45.78
2007-05-17,45.52
2007-05-18,45.71
2007-05-21,46.21
2007-05-22,46.19
2007-05-23,45.95
2007-05-24,45.09
