Date,Close
2007-01-03,44.0
2007-01-04,43.66
2007-01-05,43.08
2007-01-08,42.91
2007-01-09,42.83
2007-01-10,42.63
2007-01-11,42.98
2007-01-12,42.62
2007-01-16,42.82
2007-01-17,42.74
2007-01-18,43.18
2007-01-19,42.77
2007-01-22,42.75
2007-01-23,42.78
2007-01-24,43.0
2007-01-25,42.21
2007-01-26,42.19
2007-01-29,42.05
2007-01-30,42.16
2007-01-31,42.26
2007-02-01,42.63
2007-02-02,42.51
2007-02-05,42.64
2007-02-06,42.83
2007-02-07,42.88
2007-02-08,42.85
2007-02-09,42.81
2007-02-12,43.1
2007-02-13,43.6
2007-02-14,43.8
2007-02-15,43.75
2007-02-16,43.84
2007-02-20,44.15
2007-02-21,44.01
2007-02-22,43.95
2007-02-23,43.76
2007-02-26,43.62
2007-02-27,42.4
2007-02-28,42.45
2007-03-01,42.08
2007-03-02,41.59
2007-03-05,40.85
2007-03-06,41.65
2007-03-07,41.27
2007-03-08,41.57
2007-03-09,41.51
2007-03-12,41.38
2007-03-13,40.28
2007-03-14,40.43
2007-03-15,40.68
2007-03-16,40.55
2007-03-19,41.04
2007-03-20,41.34
2007-03-21,42.35
2007-03-22,41.95
2007-03-23,41.98
2007-03-26,41.81
2007-03-27,41.48
2007-03-28,40.83
2007-03-29,41.36
2007-03-30,41.02
2007-04-02,40.27
2007-04-03,40.96
2007-04-04,40.75
2007-04-05,40.8
2007-04-09,40.41
2007-04-10,40.73
2007-04-11,39.79
2007-04-12,39.6
2007-04-13,39.91
2007-04-16,40.73
2007-04-17,40.56
2007-04-18,41.05
2007-04-19,41.86
2007-04-20,42.01
2007-04-23,41.77
2007-04-24,41.52
2007-04-25,41.99
2007-04-26,41.88
2007-04-27,42.08
2007-04-30,41.62
2007-05-01,42.03
2007-05-02,42.17
2007-05-03,42.43
2007-05-04,42.45
2007-05-07,42.74
2007-05-08,42.6
2007-05-09,42.85
2007-05-10,42.14
2007-05-11,42.36
2007-05-14,42.13
2007-05-15,42.27
2007-05-16,42.7
2007-05-17,42.65
2007-05-18,42.86
2007-05-21,42.9
2007-05-22,42.57
2007-05-23,42.41
