Date,Close
2007-01-03,65.7
2007-01-04,65.12
2007-01-05,65.25
2007-01-08,65.16
2007-01-09,65.6
2007-01-10,65.3
2007-01-11,66.2
2007-01-12,67.11
2007-01-16,67.15
2007-01-17,67.25
2007-01-18,66.83
2007-01-19,66.67
2007-01-22,66.39
2007-01-23,66.43
2007-01-24,66.34
2007-01-25,65.74
2007-01-26,65.24
2007-01-29,65.47
2007-01-30,65.7
2007-01-31,66.78
2007-02-01,67.6
2007-02-02,67.79
2007-02-05,66.97
2007-02-06,66.84
2007-02-07,66.48
2007-02-08,67.0
2007-02-09,66.19
2007-02-12,66.58
2007-02-13,67.26
2007-02-14,67.91
2007-02-15,68.31
2007-02-16,68.26
2007-02-20,67.97
2007-02-21,68.61
2007-02-22,68.18
2007-02-23,68.38
2007-02-26,68.37
2007-02-27,67.87
2007-02-28,66.92
2007-03-01,67.62
2007-03-02,66.85
2007-03-05,64.57
2007-03-06,64.76
2007-03-07,65.02
2007-03-08,65.71
2007-03-09,65.84
2007-03-12,66.17
2007-03-13,64.95
2007-03-14,65.35
2007-03-15,65.5
2007-03-16,64.97
2007-03-19,65.77
2007-03-20,67.06
2007-03-21,68.09
2007-03-22,67.47
2007-03-23,67.8
2007-03-26,67.89
2007-03-27,67.08
2007-03-28,67.25
2007-03-29,67.66
2007-03-30,68.07
2007-04-02,68.39
2007-04-03,69.09
2007-04-04,69.62
2007-04-05,68.52
2007-04-09,68.63
2007-04-10,68.4
2007-04-11,68.02
2007-04-12,68.92
2007-04-13,69.06
2007-04-16,69.4
2007-04-17,69.86
2007-04-18,69.81
2007-04-19,69.74
2007-04-20,70.85
2007-04-23,70.71
2007-04-24,70.55
2007-04-25,71.3
2007-04-26,70.94
2007-04-27,71.76
2007-04-30,71.83
2007-05-01,74.47
2007-05-02,74.33
2007-05-03,73.54
2007-05-04,73.9
2007-05-07,75.11
2007-05-08,74.74
2007-05-09,75.8
2007-05-10,75.49
2007-05-11,75.36
2007-05-14,74.78
2007-05-15,75.25
2007-05-16,76.47
2007-05-17,76.38
2007-05-18,77.86
2007-05-21,79.1
2007-05-22,78.75
2007-05-23,77.79
2007-05-24,77.07
2007-05-25,77.68
2007-05-29,78.34
2007-05-30,79.2
2007-05-31,80.3
2007-06-01,80.73
2007-06-04,80.94
2007-06-05,81.07
2007-06-06,78.85
2007-06-07,76.76
2007-06-08,77.66
2007-06-11,78.01
2007-06-12,77.83
2007-06-13,79.08
2007-06-14,79.78
2007-06-15,82.84
2007-06-18,82.37
2007-06-19,82.6
2007-06-20,82.3
2007-06-21,82.45
2007-06-22,82.15
2007-06-25,82.6
2007-06-26,81.05
2007-06-27,80.76
2007-06-28,81.91
2007-06-29,81.78
2007-07-02,83.5
2007-07-03,82.82
2007-07-05,82.8
2007-07-06,83.25
2007-07-09,83.15
2007-07-10,82.2
2007-07-11,82.83
2007-07-12,85.02
2007-07-13,84.82
2007-07-16,86.12
2007-07-17,86.1
2007-07-18,86.19
2007-07-19,85.91
2007-07-20,85.3
2007-07-23,85.4
2007-07-24,83.18
2007-07-25,82.76
2007-07-26,78.1
2007-07-27,77.11
2007-07-30,78.19
2007-07-31,76.43
2007-08-01,75.79
2007-08-02,75.48
2007-08-03,72.63
2007-08-06,71.5
2007-08-07,70.33
2007-08-08,64.98
2007-08-09,63.0
2007-08-10,74.91
2007-08-13,74.42
2007-08-14,72.75
2007-08-15,71.76
2007-08-16,71.71
2007-08-17,74.92
2007-08-20,74.77
2007-08-21,76.53
2007-08-22,77.34
2007-08-23,77.47
2007-08-24,77.66
2007-08-27,77.1
2007-08-28,75.0
2007-08-29,76.01
2007-08-30,76.53
2007-08-31,77.77
2007-09-04,78.27
2007-09-05,75.71
2007-09-06,76.4
2007-09-07,74.99
2007-09-10,73.6
2007-09-11,74.52
2007-09-12,75.0
2007-09-13,74.63
2007-09-14,75.28
2007-09-17,74.65
2007-09-18,77.14
2007-09-19,77.4
2007-09-20,76.63
2007-09-21,76.18
2007-09-24,75.3
2007-09-25,75.43
2007-09-26,77.7
2007-09-27,77.48
2007-09-28,77.92
