Date,Close
2007-01-03,12.89
2007-01-04,13.26
2007-01-05,13.41
2007-01-08,13.27
2007-01-09,13.36
2007-01-10,13.28
2007-01-11,13.69
2007-01-12,13.75
2007-01-16,13.53
2007-01-17,13.77
2007-01-18,13.44
2007-01-19,13.49
2007-01-22,13.31
2007-01-23,13.3
2007-01-24,13.44
2007-01-25,13.25
2007-01-26,14.15
2007-01-29,14.04
2007-01-30,14.1
2007-01-31,14.15
2007-02-01,14.27
2007-02-02,14.0
2007-02-05,14.01
2007-02-06,14.02
2007-02-07,13.98
2007-02-08,13.93
2007-02-09,13.65
2007-02-12,13.67
2007-02-13,13.65
2007-02-14,13.72
2007-02-15,13.83
2007-02-16,13.99
2007-02-20,13.81
2007-02-21,13.93
2007-02-22,14.02
2007-02-23,13.9
2007-02-26,13.81
2007-02-27,13.02
2007-02-28,13.23
2007-03-01,13.22
2007-03-02,13.12
2007-03-05,12.85
2007-03-06,13.15
2007-03-07,13.42
2007-03-08,13.23
2007-03-09,13.23
2007-03-12,13.35
2007-03-13,13.26
2007-03-14,13.22
2007-03-15,13.25
2007-03-16,13.17
2007-03-19,13.23
2007-03-20,13.24
2007-03-21,13.3
2007-03-22,13.51
2007-03-23,13.56
2007-03-26,13.56
2007-03-27,13.35
2007-03-28,13.34
2007-03-29,13.32
2007-03-30,13.42
2007-04-02,13.54
2007-04-03,13.65
2007-04-04,13.66
2007-04-05,13.64
2007-04-09,13.65
2007-04-10,13.46
2007-04-11,13.55
2007-04-12,13.73
2007-04-13,13.81
2007-04-16,14.15
2007-04-17,14.0
2007-04-18,14.06
2007-04-19,14.04
2007-04-20,14.0
2007-04-23,13.97
2007-04-24,14.19
2007-04-25,14.28
2007-04-26,14.64
2007-04-27,14.65
2007-04-30,14.34
2007-05-01,14.6
2007-05-02,14.74
2007-05-03,14.99
2007-05-04,15.71
2007-05-07,15.31
2007-05-08,15.4
2007-05-09,15.49
2007-05-10,15.11
2007-05-11,15.25
2007-05-14,15.15
2007-05-15,14.98
2007-05-16,14.84
2007-05-17,14.73
2007-05-18,14.92
2007-05-21,15.03
2007-05-22,15.09
2007-05-23,14.89
2007-05-24,14.52
2007-05-25,14.86
2007-05-29,14.77
2007-05-30,14.71
2007-05-31,14.6
2007-06-01,14.62
2007-06-04,14.7
2007-06-05,14.56
2007-06-06,14.55
2007-06-07,14.44
2007-06-08,14.57
2007-06-11,14.51
2007-06-12,14.55
2007-06-13,14.62
2007-06-14,14.92
2007-06-15,15.6
2007-06-18,15.39
2007-06-19,15.6
2007-06-20,15.8
2007-06-21,15.97
2007-06-22,15.78
2007-06-25,15.9
2007-06-26,16.02
2007-06-27,16.14
2007-06-28,16.16
2007-06-29,16.1
2007-07-02,16.33
2007-07-03,16.4
2007-07-05,16.41
2007-07-06,16.25
2007-07-09,16.42
2007-07-10,16.25
2007-07-11,16.53
2007-07-12,16.82
2007-07-13,16.85
2007-07-16,17.15
2007-07-17,16.97
2007-07-18,16.77
2007-07-19,16.75
2007-07-20,16.57
2007-07-23,16.57
2007-07-24,16.43
2007-07-25,16.71
2007-07-26,16.56
2007-07-27,16.5
2007-07-30,16.52
2007-07-31,16.51
2007-08-01,18.15
2007-08-02,19.19
2007-08-03,18.97
2007-08-06,19.23
2007-08-07,19.01
2007-08-08,19.01
2007-08-09,18.7
2007-08-10,18.44
2007-08-13,18.82
2007-08-14,18.5
2007-08-15,17.81
2007-08-16,17.32
2007-08-17,17.37
2007-08-20,17.63
2007-08-21,17.97
2007-08-22,18.59
2007-08-23,18.42
2007-08-24,18.5
2007-08-27,18.12
2007-08-28,17.43
2007-08-29,17.75
2007-08-30,17.67
2007-08-31,17.66
2007-09-04,17.9
2007-09-05,17.88
2007-09-06,18.03
2007-09-07,17.86
2007-09-10,17.69
2007-09-11,17.45
2007-09-12,17.33
2007-09-13,17.57
2007-09-14,18.18
2007-09-17,18.34
2007-09-18,19.0
2007-09-19,18.84
2007-09-20,18.5
2007-09-21,18.47
2007-09-24,18.9
2007-09-25,19.51
2007-09-26,19.98
2007-09-27,19.91
2007-09-28,19.6
2007-10-01,19.99
2007-10-02,20.09
2007-10-03,20.31
2007-10-04,19.94
2007-10-05,19.96
2007-10-08,20.99
2007-10-09,20.99
2007-10-10,21.0
2007-10-11,21.0
2007-10-12,20.77
2007-10-15,20.46
2007-10-16,20.98
2007-10-17,21.13
2007-10-18,21.16
2007-10-19,20.67
2007-10-22,20.3
2007-10-23,21.52
2007-10-24,21.15
2007-10-25,20.64
2007-10-26,20.54
2007-10-29,20.6
2007-10-30,20.4
2007-10-31,20.85
2007-11-01,20.45
2007-11-02,20.92
2007-11-05,20.68
2007-11-06,20.9
2007-11-07,20.32
2007-11-08,20.01
2007-11-09,19.46
2007-11-12,19.34
2007-11-13,19.69
2007-11-14,19.62
2007-11-15,19.2
2007-11-16,18.83
2007-11-19,18.07
2007-11-20,17.78
2007-11-21,17.42
2007-11-23,17.75
2007-11-26,17.65
2007-11-27,17.93
2007-11-28,18.58
2007-11-29,18.44
2007-11-30,18.53
2007-12-03,18.67
2007-12-04,18.4
2007-12-05,18.78
2007-12-06,19.39
2007-12-07,19.18
2007-12-10,18.36
2007-12-11,17.27
2007-12-12,16.45
2007-12-13,16.08
2007-12-14,15.8
2007-12-17,15.21
2007-12-18,15.81
2007-12-19,15.75
2007-12-20,15.81
2007-12-21,15.53
2007-12-24,16.07
2007-12-26,15.74
2007-12-27,15.37
2007-12-28,15.35
2007-12-31,15.12
2008-01-02,14.85
2008-01-03,14.81
2008-01-04,13.8
2008-01-07,13.42
2008-01-08,13.12
2008-01-09,13.68
2008-01-10,13.62
2008-01-11,12.88
2008-01-14,13.35
2008-01-15,13.02
2008-01-16,12.37
2008-01-17,11.97
2008-01-18,12.4
2008-01-22,12.19
2008-01-23,11.93
