Date,Close
2010-06-29,4.78
2010-06-30,4.77
2010-07-01,4.39
2010-07-02,3.84
2010-07-06,3.22
2010-07-07,3.16
2010-07-08,3.49
2010-07-09,3.48
2010-07-12,3.41
2010-07-13,3.63
2010-07-14,3.97
2010-07-15,3.98
2010-07-16,4.13
2010-07-19,4.38
2010-07-20,4.06
2010-07-21,4.04
2010-07-22,4.2
2010-07-23,4.26
2010-07-26,4.19
2010-07-27,4.11
2010-07-28,4.14
2010-07-29,4.07
2010-07-30,3.99
2010-08-02,4.18
2010-08-03,4.39
2010-08-04,4.25
2010-08-05,4.09
2010-08-06,3.92
2010-08-09,3.92
2010-08-10,3.81
2010-08-11,3.58
2010-08-12,3.52
2010-08-13,3.66
2010-08-16,3.76
2010-08-17,3.83
2010-08-18,3.75
2010-08-19,3.76
2010-08-20,3.82
2010-08-23,4.03
2010-08-24,3.84
2010-08-25,3.98
2010-08-26,3.95
2010-08-27,3.94
2010-08-30,3.97
2010-08-31,3.9
2010-09-01,4.09
2010-09-02,4.21
2010-09-03,4.21
2010-09-07,4.11
2010-09-08,4.18
2010-09-09,4.14
2010-09-10,4.03
2010-09-13,4.14
2010-09-14,4.22
2010-09-15,4.4
2010-09-16,4.19
2010-09-17,4.05
2010-09-20,4.21
2010-09-21,4.15
2010-09-22,3.97
2010-09-23,3.91
2010-09-24,4.02
2010-09-27,4.11
2010-09-28,4.28
2010-09-29,4.4
2010-09-30,4.08
2010-10-01,4.12
2010-10-04,4.2
2010-10-05,4.22
2010-10-06,4.09
2010-10-07,4.09
2010-10-08,4.09
2010-10-11,4.05
2010-10-12,4.05
2010-10-13,4.11
2010-10-14,4.15
2010-10-15,4.11
2010-10-18,4.05
2010-10-19,4.01
2010-10-20,4.13
2010-10-21,4.15
2010-10-22,4.14
2010-10-25,4.17
2010-10-26,4.27
2010-10-27,4.2
2010-10-28,4.24
2010-10-29,4.37
2010-11-01,4.28
2010-11-02,4.25
2010-11-03,4.35
2010-11-04,4.98
2010-11-05,4.89
2010-11-08,5.0
2010-11-09,4.93
2010-11-10,5.87
2010-11-11,5.61
2010-11-12,5.97
2010-11-15,6.16
2010-11-16,5.93
2010-11-17,5.9
2010-11-18,5.98
2010-11-19,6.2
2010-11-22,6.68
2010-11-23,6.91
2010-11-24,7.09
2010-11-26,7.06
2010-11-29,6.87
2010-11-30,7.07
2010-12-01,6.87
2010-12-02,6.47
2010-12-03,6.3
2010-12-06,6.06
2010-12-07,6.31
2010-12-08,6.47
2010-12-09,6.41
2010-12-10,6.3
2010-12-13,6.11
2010-12-14,5.71
2010-12-15,5.92
2010-12-16,6.16
2010-12-17,6.27
2010-12-20,6.34
2010-12-21,6.45
2010-12-22,6.53
2010-12-23,6.02
2010-12-27,5.11
2010-12-28,5.28
2010-12-29,5.55
2010-12-30,5.3
2010-12-31,5.33
2011-01-03,5.32
2011-01-04,5.33
2011-01-05,5.37
2011-01-06,5.58
2011-01-07,5.65
2011-01-10,5.69
2011-01-11,5.39
2011-01-12,5.39
2011-01-13,5.24
2011-01-14,5.15
2011-01-18,5.13
2011-01-19,4.81
2011-01-20,4.52
2011-01-21,4.61
2011-01-24,4.9
2011-01-25,4.94
2011-01-26,4.95
2011-01-27,4.98
2011-01-28,4.8
2011-01-31,4.82
2011-02-01,4.78
2011-02-02,4.79
2011-02-03,4.73
2011-02-04,4.69
2011-02-07,4.61
2011-02-08,4.9
2011-02-09,4.64
2011-02-10,4.64
2011-02-11,4.65
2011-02-14,4.62
2011-02-15,4.57
2011-02-16,4.95
2011-02-17,4.72
2011-02-18,4.64
2011-02-22,4.37
2011-02-23,4.37
2011-02-24,4.51
2011-02-25,4.72
2011-02-28,4.78
2011-03-01,4.79
