Date,Close
2007-01-03,24.05
2007-01-04,24.01
2007-01-05,24.41
2007-01-08,24.55
2007-01-09,24.92
2007-01-10,25.12
2007-01-11,25.1
2007-01-12,25.21
2007-01-16,25.17
2007-01-17,25.36
2007-01-18,25.45
2007-01-19,25.71
2007-01-22,25.34
2007-01-23,25.81
2007-01-24,25.71
2007-01-25,25.64
2007-01-26,25.86
2007-01-29,25.34
2007-01-30,25.88
2007-01-31,26.57
2007-02-01,26.74
2007-02-02,27.17
2007-02-05,26.88
2007-02-06,26.92
2007-02-07,27.04
2007-02-08,26.68
2007-02-09,26.19
2007-02-12,26.35
2007-02-13,26.51
2007-02-14,26.53
2007-02-15,27.34
2007-02-16,27.51
2007-02-20,27.51
2007-02-21,27.44
2007-02-22,27.62
2007-02-23,28.01
2007-02-26,27.95
2007-02-27,26.5
2007-02-28,26.83
2007-03-01,26.69
2007-03-02,26.4
2007-03-05,26.14
2007-03-06,26.64
2007-03-07,26.81
2007-03-08,26.74
2007-03-09,26.37
2007-03-12,26.55
2007-03-13,26.22
2007-03-14,26.49
2007-03-15,26.59
2007-03-16,26.62
2007-03-19,27.17
2007-03-20,27.45
2007-03-21,27.95
2007-03-22,27.97
2007-03-23,28.14
2007-03-26,28.09
2007-03-27,27.15
2007-03-28,26.57
2007-03-29,26.85
2007-03-30,26.87
2007-04-02,27.28
2007-04-03,27.25
2007-04-04,27.17
2007-04-05,27.02
2007-04-09,27.11
2007-04-10,27.62
2007-04-11,27.32
2007-04-12,27.8
2007-04-13,27.72
2007-04-16,27.85
2007-04-17,27.73
2007-04-18,27.8
2007-04-19,27.43
2007-04-20,28.14
2007-04-23,28.28
2007-04-24,28.01
2007-04-25,28.22
2007-04-26,28.54
2007-04-27,28.53
2007-04-30,27.67
2007-05-01,27.93
2007-05-02,28.35
2007-05-03,28.57
2007-05-04,28.76
2007-05-07,28.56
2007-05-08,28.76
2007-05-09,29.33
2007-05-10,28.67
2007-05-11,28.9
2007-05-14,28.88
2007-05-15,30.54
2007-05-16,30.37
2007-05-17,30.29
2007-05-18,30.38
2007-05-21,30.3
2007-05-22,30.28
2007-05-23,30.03
2007-05-24,29.97
2007-05-25,30.21
2007-05-29,30.51
2007-05-30,30.79
2007-05-31,31.81
2007-06-01,32.03
2007-06-04,32.02
2007-06-05,32.0
2007-06-06,31.28
2007-06-07,31.12
2007-06-08,31.69
2007-06-11,31.72
2007-06-12,31.11
2007-06-13,32.77
2007-06-14,32.5
2007-06-15,32.44
2007-06-18,33.93
2007-06-19,34.07
2007-06-20,34.42
2007-06-21,34.69
2007-06-22,34.53
2007-06-25,34.06
2007-06-26,33.5
2007-06-27,33.88
2007-06-28,33.93
2007-06-29,33.97
2007-07-02,34.44
2007-07-03,34.55
2007-07-05,34.17
2007-07-06,34.01
2007-07-09,34.37
2007-07-10,33.96
2007-07-11,33.91
2007-07-12,34.35
2007-07-13,34.2
2007-07-16,34.63
2007-07-17,34.58
2007-07-18,34.69
2007-07-19,34.51
2007-07-20,33.88
2007-07-23,33.96
2007-07-24,32.84
2007-07-25,32.18
2007-07-26,31.41
2007-07-27,29.83
2007-07-30,32.08
2007-07-31,31.18
2007-08-01,31.39
2007-08-02,32.1
2007-08-03,31.04
2007-08-06,32.04
2007-08-07,31.58
2007-08-08,31.63
2007-08-09,30.05
2007-08-10,30.02
2007-08-13,30.88
2007-08-14,29.63
2007-08-15,29.81
2007-08-16,29.25
2007-08-17,30.02
2007-08-20,30.6
2007-08-21,30.96
2007-08-22,31.76
2007-08-23,31.3
2007-08-24,32.26
2007-08-27,31.6
2007-08-28,30.42
2007-08-29,31.4
2007-08-30,31.87
2007-08-31,32.18
2007-09-04,32.48
2007-09-05,32.0
2007-09-06,32.6
2007-09-07,31.92
2007-09-10,31.75
2007-09-11,32.24
2007-09-12,31.83
2007-09-13,32.11
2007-09-14,32.42
2007-09-17,32.23
2007-09-18,33.58
2007-09-19,33.7
2007-09-20,33.33
2007-09-21,33.34
2007-09-24,33.31
2007-09-25,33.24
2007-09-26,33.06
2007-09-27,33.45
2007-09-28,33.75
2007-10-01,34.01
2007-10-02,33.64
2007-10-03,33.06
2007-10-04,33.36
2007-10-05,34.42
2007-10-08,33.86
2007-10-09,33.67
2007-10-10,33.64
2007-10-11,33.01
2007-10-12,32.89
2007-10-15,32.58
2007-10-16,32.51
2007-10-17,32.1
2007-10-18,32.45
2007-10-19,30.67
2007-10-22,30.97
2007-10-23,31.73
2007-10-24,31.47
2007-10-25,30.8
2007-10-26,31.56
2007-10-29,32.18
2007-10-30,31.01
2007-10-31,31.2
2007-11-01,30.93
2007-11-02,31.32
2007-11-05,31.29
2007-11-06,31.89
2007-11-07,31.01
2007-11-08,30.75
2007-11-09,30.31
2007-11-12,30.37
2007-11-13,30.73
2007-11-14,30.99
2007-11-15,30.6
2007-11-16,30.24
2007-11-19,29.82
2007-11-20,30.68
2007-11-21,29.77
2007-11-23,30.18
2007-11-26,30.19
2007-11-27,30.77
2007-11-28,31.82
2007-11-29,31.76
2007-11-30,32.0
2007-12-03,31.6
2007-12-04,31.9
2007-12-05,31.93
2007-12-06,32.02
2007-12-07,32.14
2007-12-10,32.23
2007-12-11,30.96
2007-12-12,30.98
2007-12-13,31.11
2007-12-14,30.47
2007-12-17,27.02
2007-12-18,27.43
2007-12-19,27.93
2007-12-20,27.72
2007-12-21,28.43
2007-12-24,29.19
2007-12-26,29.15
2007-12-27,28.76
2007-12-28,28.93
2007-12-31,28.79
2008-01-02,27.82
2008-01-03,27.44
2008-01-04,26.4
2008-01-07,25.45
2008-01-08,24.77
2008-01-09,24.32
2008-01-10,25.06
2008-01-11,25.09
2008-01-14,25.65
2008-01-15,24.74
2008-01-16,24.35
2008-01-17,22.78
2008-01-18,23.01
2008-01-22,23.22
2008-01-23,24.32
2008-01-24,24.08
2008-01-25,24.01
2008-01-28,24.22
2008-01-29,24.61
2008-01-30,24.19
2008-01-31,24.47
2008-02-01,24.29
2008-02-04,24.28
2008-02-05,23.77
2008-02-06,23.97
2008-02-07,23.71
2008-02-08,23.16
2008-02-11,23.19
2008-02-12,23.9
2008-02-13,24.78
2008-02-14,24.52
2008-02-15,24.36
2008-02-19,24.5
2008-02-20,24.36
2008-02-21,24.25
2008-02-22,24.4
2008-02-25,25.03
2008-02-26,25.58
2008-02-27,26.32
2008-02-28,26.67
2008-02-29,25.94
2008-03-03,26.43
2008-03-04,26.07
2008-03-05,26.59
2008-03-06,26.43
2008-03-07,26.56
2008-03-10,25.54
2008-03-11,26.69
2008-03-12,27.09
2008-03-13,27.44
2008-03-14,26.74
2008-03-17,26.64
2008-03-18,27.57
2008-03-19,26.33
2008-03-20,26.65
2008-03-24,27.26
2008-03-25,27.93
2008-03-26,27.41
2008-03-27,26.95
2008-03-28,27.15
2008-03-31,27.62
2008-04-01,28.8
2008-04-02,28.42
2008-04-03,28.29
2008-04-04,28.86
2008-04-07,28.37
2008-04-08,27.82
2008-04-09,27.38
2008-04-10,27.52
2008-04-11,26.79
2008-04-14,26.74
2008-04-15,26.99
2008-04-16,28.28
2008-04-17,27.96
2008-04-18,28.44
2008-04-21,28.46
2008-04-22,27.8
2008-04-23,27.01
2008-04-24,26.58
2008-04-25,26.71
2008-04-28,27.15
2008-04-29,26.37
2008-04-30,27.5
2008-05-01,27.84
2008-05-02,27.88
2008-05-05,27.3
2008-05-06,27.12
2008-05-07,26.63
2008-05-08,26.54
2008-05-09,26.35
2008-05-12,27.18
2008-05-13,27.53
2008-05-14,27.53
2008-05-15,27.72
2008-05-16,28.41
2008-05-19,28.49
2008-05-20,27.7
2008-05-21,27.21
2008-05-22,26.81
2008-05-23,26.5
2008-05-27,26.72
2008-05-28,27.21
2008-05-29,27.15
2008-05-30,27.29
2008-06-02,26.89
2008-06-03,26.97
2008-06-04,26.77
2008-06-05,27.16
2008-06-06,26.46
2008-06-09,24.53
2008-06-10,24.77
2008-06-11,23.59
2008-06-12,23.95
2008-06-13,24.64
2008-06-16,24.48
2008-06-17,24.13
2008-06-18,23.89
2008-06-19,24.4
2008-06-20,24.13
2008-06-23,24.41
2008-06-24,24.05
2008-06-25,23.71
2008-06-26,22.97
2008-06-27,22.85
2008-06-30,23.19
2008-07-01,22.95
2008-07-02,22.07
2008-07-03,22.71
2008-07-07,22.83
2008-07-08,22.64
2008-07-09,22.0
2008-07-10,21.94
2008-07-11,21.52
2008-07-14,21.69
2008-07-15,21.35
2008-07-16,21.77
2008-07-17,22.81
2008-07-18,22.31
2008-07-21,22.4
2008-07-22,22.37
2008-07-23,23.0
2008-07-24,22.44
2008-07-25,22.49
2008-07-28,22.15
2008-07-29,22.89
2008-07-30,22.91
2008-07-31,22.31
2008-08-01,22.88
2008-08-04,22.54
2008-08-05,22.73
2008-08-06,23.68
2008-08-07,23.08
2008-08-08,24.4
2008-08-11,24.85
2008-08-12,24.58
2008-08-13,24.2
2008-08-14,24.41
2008-08-15,24.89
2008-08-18,24.32
2008-08-19,23.55
2008-08-20,23.64
2008-08-21,23.71
2008-08-22,23.52
2008-08-25,22.78
2008-08-26,22.51
2008-08-27,22.82
2008-08-28,23.23
2008-08-29,22.88
2008-09-02,22.62
2008-09-03,22.66
2008-09-04,21.84
2008-09-05,21.98
2008-09-08,22.25
2008-09-09,21.11
2008-09-10,21.69
2008-09-11,21.92
2008-09-12,22.28
2008-09-15,21.18
2008-09-16,21.15
2008-09-17,20.05
2008-09-18,21.4
2008-09-19,22.57
2008-09-22,21.12
2008-09-23,20.21
2008-09-24,20.22
2008-09-25,20.13
2008-09-26,19.84
2008-09-29,18.5
2008-09-30,19.31
2008-10-01,18.25
2008-10-02,17.07
2008-10-03,16.97
2008-10-06,16.1
2008-10-07,14.88
2008-10-08,14.98
2008-10-09,12.99
2008-10-10,12.5
2008-10-13,14.44
2008-10-14,13.76
2008-10-15,12.07
2008-10-16,12.1
2008-10-17,12.75
2008-10-20,12.72
2008-10-21,12.52
2008-10-22,11.64
2008-10-23,11.24
2008-10-24,10.58
2008-10-27,9.92
2008-10-28,11.12
2008-10-29,10.55
2008-10-30,11.28
2008-10-31,11.43
2008-11-03,11.04
2008-11-04,11.6
2008-11-05,11.1
2008-11-06,10.04
2008-11-07,10.53
2008-11-10,10.48
2008-11-11,9.93
2008-11-12,9.2
2008-11-13,10.09
2008-11-14,9.36
2008-11-17,9.33
2008-11-18,9.3
2008-11-19,8.53
2008-11-20,7.49
2008-11-21,7.96
2008-11-24,8.74
2008-11-25,8.59
2008-11-26,9.17
2008-11-28,9.72
2008-12-01,9.0
2008-12-02,9.27
2008-12-03,9.41
2008-12-04,9.05
2008-12-05,9.57
2008-12-08,10.09
2008-12-09,10.0
2008-12-10,10.33
2008-12-11,9.49
2008-12-12,9.69
2008-12-15,9.38
2008-12-16,9.85
2008-12-17,10.13
2008-12-18,9.66
2008-12-19,10.12
2008-12-22,9.94
2008-12-23,9.91
2008-12-24,10.1
2008-12-26,10.32
2008-12-29,10.06
2008-12-30,10.59
2008-12-31,10.75
2009-01-02,11.66
2009-01-05,11.7
2009-01-06,11.75
2009-01-07,12.03
2009-01-08,12.35
2009-01-09,12.41
2009-01-12,11.41
2009-01-13,11.28
2009-01-14,10.84
2009-01-15,11.1
2009-01-16,11.15
2009-01-20,10.67
2009-01-21,10.56
2009-01-22,10.3
2009-01-23,10.34
2009-01-26,10.29
2009-01-27,10.47
2009-01-28,11.02
2009-01-29,10.37
2009-01-30,10.04
2009-02-02,9.86
2009-02-03,9.97
2009-02-04,10.03
2009-02-05,9.98
2009-02-06,10.19
2009-02-09,10.53
2009-02-10,9.66
2009-02-11,10.87
2009-02-12,10.53
2009-02-13,10.78
2009-02-17,10.1
2009-02-18,10.28
2009-02-19,9.95
2009-02-20,9.81
2009-02-23,9.11
2009-02-24,9.63
2009-02-25,9.21
2009-02-26,9.07
2009-02-27,8.79
2009-03-02,8.05
2009-03-03,7.84
2009-03-04,8.25
2009-03-05,7.53
2009-03-06,7.34
2009-03-09,7.55
2009-03-10,8.3
2009-03-11,8.67
2009-03-12,8.63
2009-03-13,8.59
2009-03-16,8.63
2009-03-17,8.73
2009-03-18,9.06
2009-03-19,9.16
2009-03-20,8.62
2009-03-23,9.46
2009-03-24,9.26
2009-03-25,9.24
2009-03-26,9.67
2009-03-27,9.26
2009-03-30,8.66
2009-03-31,8.55
2009-04-01,9.0
2009-04-02,9.91
2009-04-03,10.25
2009-04-06,10.1
2009-04-07,9.49
2009-04-08,9.55
2009-04-09,10.3
2009-04-13,10.24
2009-04-14,9.86
2009-04-15,10.03
2009-04-16,10.5
2009-04-17,10.75
2009-04-20,9.95
2009-04-21,10.37
2009-04-22,11.99
2009-04-23,12.43
2009-04-24,13.55
2009-04-27,13.16
2009-04-28,12.73
2009-04-29,13.61
2009-04-30,13.49
2009-05-01,13.57
2009-05-04,14.37
2009-05-05,14.39
2009-05-06,14.59
2009-05-07,13.44
2009-05-08,14.41
2009-05-11,13.86
2009-05-12,13.24
2009-05-13,12.46
2009-05-14,12.64
2009-05-15,12.73
2009-05-18,13.5
2009-05-19,13.68
2009-05-20,13.55
2009-05-21,13.06
2009-05-22,13.11
2009-05-26,13.17
2009-05-27,12.67
2009-05-28,12.55
2009-05-29,12.54
2009-06-01,13.43
2009-06-02,13.33
2009-06-03,13.08
2009-06-04,13.64
2009-06-05,14.12
2009-06-08,14.11
2009-06-09,14.15
2009-06-10,13.89
2009-06-11,14.17
2009-06-12,14.29
2009-06-15,13.84
2009-06-16,13.51
2009-06-17,13.32
2009-06-18,13.21
2009-06-19,13.45
2009-06-22,12.72
2009-06-23,12.76
2009-06-24,12.99
2009-06-25,13.57
2009-06-26,13.23
2009-06-29,13.14
2009-06-30,12.95
2009-07-01,13.26
2009-07-02,12.89
2009-07-06,12.6
2009-07-07,12.49
2009-07-08,12.3
2009-07-09,12.24
2009-07-10,12.32
2009-07-13,12.63
2009-07-14,12.66
2009-07-15,13.21
2009-07-16,13.45
2009-07-17,13.44
2009-07-20,14.1
2009-07-21,14.44
2009-07-22,14.45
2009-07-23,14.92
2009-07-24,17.03
2009-07-27,16.92
2009-07-28,17.31
2009-07-29,17.2
2009-07-30,17.78
2009-07-31,17.9
2009-08-03,17.99
2009-08-04,17.98
2009-08-05,17.96
2009-08-06,17.97
2009-08-07,17.85
2009-08-10,17.73
2009-08-11,17.37
2009-08-12,17.99
2009-08-13,18.4
2009-08-14,17.91
2009-08-17,17.53
2009-08-18,17.94
2009-08-19,17.98
2009-08-20,18.64
2009-08-21,19.22
2009-08-24,19.17
2009-08-25,19.21
2009-08-26,19.07
2009-08-27,19.24
2009-08-28,19.25
2009-08-31,19.14
2009-09-01,18.87
2009-09-02,18.76
2009-09-03,19.14
2009-09-04,19.36
2009-09-08,19.59
2009-09-09,19.69
2009-09-10,19.8
2009-09-11,19.88
2009-09-14,19.99
2009-09-15,20.15
2009-09-16,20.29
2009-09-17,20.06
2009-09-18,19.88
2009-09-21,19.5
2009-09-22,19.74
2009-09-23,19.33
2009-09-24,19.02
2009-09-25,19.09
2009-09-28,19.31
2009-09-29,19.26
2009-09-30,19.0
2009-10-01,18.6
2009-10-02,18.4
2009-10-05,18.86
2009-10-06,19.13
2009-10-07,19.24
2009-10-08,19.61
2009-10-09,20.05
2009-10-12,20.38
2009-10-13,20.62
2009-10-14,21.61
2009-10-15,21.24
2009-10-16,20.88
2009-10-19,21.04
2009-10-20,21.37
2009-10-21,21.48
2009-10-22,21.9
2009-10-23,21.57
2009-10-26,20.98
2009-10-27,20.16
2009-10-28,19.6
2009-10-29,20.06
2009-10-30,19.57
2009-11-02,19.74
2009-11-03,20.41
2009-11-04,20.26
2009-11-05,20.86
2009-11-06,20.97
2009-11-09,21.83
2009-11-10,21.82
2009-11-11,22.09
2009-11-12,22.34
2009-11-13,22.84
2009-11-16,23.07
2009-11-17,22.68
2009-11-18,22.74
2009-11-19,22.54
2009-11-20,22.31
2009-11-23,22.42
2009-11-24,22.04
2009-11-25,22.2
2009-11-27,21.84
2009-11-30,21.92
2009-12-01,22.25
2009-12-02,22.25
2009-12-03,22.02
2009-12-04,22.17
2009-12-07,22.08
2009-12-08,21.67
2009-12-09,21.64
2009-12-10,21.9
2009-12-11,22.08
2009-12-14,22.62
2009-12-15,22.57
2009-12-16,22.47
2009-12-17,22.29
2009-12-18,22.07
2009-12-21,22.36
2009-12-22,22.27
2009-12-23,22.45
2009-12-24,22.55
2009-12-28,22.49
2009-12-29,22.45
2009-12-30,22.39
2009-12-31,22.15
2010-01-04,22.46
2010-01-05,22.24
2010-01-06,22.08
2010-01-07,22.3
2010-01-08,22.69
2010-01-11,23.24
2010-01-12,22.75
2010-01-13,22.73
2010-01-14,22.92
2010-01-15,22.96
2010-01-19,23.23
2010-01-20,23.08
2010-01-21,22.72
2010-01-22,21.84
2010-01-25,21.69
2010-01-26,21.54
2010-01-27,20.99
2010-01-28,20.63
2010-01-29,20.11
2010-02-01,20.47
2010-02-02,21.37
2010-02-03,21.4
2010-02-04,20.49
2010-02-05,20.39
2010-02-08,20.37
2010-02-09,20.8
2010-02-10,20.69
2010-02-11,21.06
2010-02-12,19.37
2010-02-16,19.75
2010-02-17,20.16
2010-02-18,20.6
2010-02-19,20.67
2010-02-22,20.62
2010-02-23,20.14
2010-02-24,20.08
2010-02-25,19.82
2010-02-26,19.77
2010-03-01,20.26
2010-03-02,20.34
2010-03-03,20.85
2010-03-04,20.56
2010-03-05,21.03
2010-03-08,21.09
2010-03-09,20.97
2010-03-10,21.0
2010-03-11,21.51
2010-03-12,21.57
2010-03-15,21.65
2010-03-16,22.12
2010-03-17,21.81
2010-03-18,21.89
2010-03-19,21.61
2010-03-22,22.07
2010-03-23,22.4
2010-03-24,21.63
2010-03-25,21.39
2010-03-26,21.46
2010-03-29,21.47
2010-03-30,21.61
2010-03-31,21.61
2010-04-01,22.03
2010-04-05,22.49
2010-04-06,22.58
2010-04-07,22.72
2010-04-08,22.81
2010-04-09,23.13
2010-04-12,23.21
2010-04-13,22.93
2010-04-14,23.14
2010-04-15,23.43
2010-04-16,23.03
2010-04-19,23.09
2010-04-20,23.58
2010-04-21,23.7
2010-04-22,24.17
2010-04-23,22.99
2010-04-26,23.45
2010-04-27,22.73
2010-04-28,22.65
2010-04-29,23.09
2010-04-30,22.91
2010-05-03,23.58
2010-05-04,22.69
2010-05-05,23.14
2010-05-06,22.43
2010-05-07,21.84
2010-05-10,23.3
2010-05-11,23.61
2010-05-12,24.54
2010-05-13,24.79
2010-05-14,24.01
2010-05-17,24.01
2010-05-18,23.55
2010-05-19,22.96
2010-05-20,22.0
2010-05-21,22.23
2010-05-24,22.12
2010-05-25,22.1
2010-05-26,22.39
2010-05-27,23.35
2010-05-28,23.12
2010-06-01,23.22
2010-06-02,23.86
2010-06-03,24.27
2010-06-04,23.07
2010-06-07,22.49
2010-06-08,22.6
2010-06-09,22.44
2010-06-10,23.11
2010-06-11,23.37
2010-06-14,23.6
2010-06-15,24.56
2010-06-16,24.51
2010-06-17,24.32
2010-06-18,24.43
