Date,Close
2007-01-03,14.44
2007-01-04,14.37
2007-01-05,14.14
2007-01-08,13.96
2007-01-09,14.11
2007-01-10,14.05
2007-01-11,14.18
2007-01-12,14.62
2007-01-16,14.43
2007-01-17,14.17
2007-01-18,13.94
2007-01-19,14.03
2007-01-22,13.76
2007-01-23,13.73
2007-01-24,13.99
2007-01-25,13.61
2007-01-26,13.96
2007-01-29,13.8
2007-01-30,13.99
2007-01-31,13.9
2007-02-01,14.0
2007-02-02,13.83
2007-02-05,13.53
2007-02-06,13.62
2007-02-07,13.85
2007-02-08,14.14
2007-02-09,14.03
2007-02-12,14.08
2007-02-13,14.06
2007-02-14,13.61
2007-02-15,13.61
2007-02-16,13.69
2007-02-20,14.16
2007-02-21,14.07
2007-02-22,14.14
2007-02-23,13.97
2007-02-26,13.63
2007-02-27,13.61
2007-02-28,13.63
2007-03-01,13.51
2007-03-02,13.29
2007-03-05,12.87
2007-03-06,13.6
2007-03-07,13.11
2007-03-08,13.11
2007-03-09,13.22
2007-03-12,13.3
2007-03-13,12.92
2007-03-14,13.33
2007-03-15,13.06
2007-03-16,12.83
2007-03-19,13.13
2007-03-20,13.1
2007-03-21,13.41
2007-03-22,13.2
2007-03-23,12.97
2007-03-26,13.11
2007-03-27,13.05
2007-03-28,12.46
2007-03-29,12.66
2007-03-30,12.7
2007-04-02,12.68
2007-04-03,12.66
2007-04-04,12.67
2007-04-05,12.68
2007-04-09,12.62
2007-04-10,12.62
2007-04-11,12.68
2007-04-12,12.62
2007-04-13,12.83
2007-04-16,13.08
2007-04-17,12.99
2007-04-18,12.7
2007-04-19,12.79
2007-04-20,12.97
2007-04-23,12.93
2007-04-24,12.89
2007-04-25,13.11
2007-04-26,12.0
2007-04-27,11.9
2007-04-30,11.95
2007-05-01,11.79
2007-05-02,11.92
2007-05-03,12.01
2007-05-04,12.0
2007-05-07,11.92
2007-05-08,12.1
2007-05-09,12.14
2007-05-10,11.95
2007-05-11,11.93
2007-05-14,11.9
2007-05-15,11.8
2007-05-16,11.92
2007-05-17,11.93
2007-05-18,11.99
2007-05-21,12.21
2007-05-22,12.14
2007-05-23,12.01
2007-05-24,12.0
2007-05-25,12.0
2007-05-29,12.26
2007-05-30,12.15
2007-05-31,12.13
2007-06-01,12.11
2007-06-04,12.18
2007-06-05,12.15
2007-06-06,12.15
2007-06-07,12.12
2007-06-08,12.16
2007-06-11,12.17
2007-06-12,12.16
2007-06-13,12.17
2007-06-14,12.41
2007-06-15,12.26
2007-06-18,12.24
2007-06-19,12.16
2007-06-20,12.1
2007-06-21,12.12
2007-06-22,12.12
2007-06-25,12.12
2007-06-26,12.01
2007-06-27,12.19
2007-06-28,12.51
2007-06-29,12.41
2007-07-02,12.34
2007-07-03,12.5
2007-07-05,12.43
2007-07-06,12.24
2007-07-09,12.16
2007-07-10,12.12
2007-07-11,12.11
2007-07-12,12.46
2007-07-13,12.24
2007-07-16,12.09
2007-07-17,12.23
2007-07-18,12.04
2007-07-19,12.15
2007-07-20,12.04
2007-07-23,11.93
2007-07-24,11.77
2007-07-25,11.78
2007-07-26,12.3
2007-07-27,12.08
2007-07-30,11.97
2007-07-31,12.03
2007-08-01,12.07
2007-08-02,12.49
2007-08-03,11.91
2007-08-06,12.09
2007-08-07,12.09
2007-08-08,12.43
2007-08-09,12.67
2007-08-10,12.87
2007-08-13,12.7
2007-08-14,13.67
2007-08-15,13.46
2007-08-16,13.84
2007-08-17,14.95
2007-08-20,14.42
2007-08-21,14.25
2007-08-22,14.6
2007-08-23,14.79
2007-08-24,14.77
2007-08-27,14.68
2007-08-28,14.33
2007-08-29,14.5
2007-08-30,14.48
2007-08-31,14.83
2007-09-04,14.75
2007-09-05,14.75
2007-09-06,14.6
2007-09-07,14.35
2007-09-10,14.95
2007-09-11,15.0
2007-09-12,14.99
2007-09-13,15.27
2007-09-14,15.28
2007-09-17,15.32
2007-09-18,15.59
2007-09-19,15.18
2007-09-20,14.66
2007-09-21,14.85
2007-09-24,14.29
2007-09-25,14.2
2007-09-26,14.04
2007-09-27,13.95
2007-09-28,13.35
2007-10-01,13.59
2007-10-02,13.92
2007-10-03,13.7
2007-10-04,13.75
2007-10-05,14.37
2007-10-08,14.32
2007-10-09,14.41
2007-10-10,14.4
2007-10-11,14.24
2007-10-12,14.45
2007-10-15,14.44
2007-10-16,14.52
2007-10-17,14.26
2007-10-18,14.35
2007-10-19,13.79
2007-10-22,14.23
2007-10-23,14.15
2007-10-24,14.15
2007-10-25,14.21
2007-10-26,15.8
2007-10-29,15.53
2007-10-30,15.58
2007-10-31,16.12
2007-11-01,15.47
2007-11-02,15.58
2007-11-05,16.07
2007-11-06,16.16
2007-11-07,15.41
2007-11-08,15.5
2007-11-09,15.31
2007-11-12,15.4
2007-11-13,15.92
2007-11-14,15.4
2007-11-15,15.28
2007-11-16,15.85
2007-11-19,15.38
2007-11-20,15.99
2007-11-21,15.4
2007-11-23,15.82
2007-11-26,15.27
2007-11-27,15.31
2007-11-28,15.86
2007-11-29,15.1
2007-11-30,15.06
2007-12-03,15.25
2007-12-04,15.3
2007-12-05,15.68
2007-12-06,15.59
2007-12-07,15.62
2007-12-10,15.52
2007-12-11,14.91
2007-12-12,15.18
2007-12-13,15.24
2007-12-14,14.93
2007-12-17,14.68
2007-12-18,14.94
2007-12-19,14.46
2007-12-20,14.12
2007-12-21,13.69
2007-12-24,13.8
2007-12-26,13.83
2007-12-27,13.45
2007-12-28,13.24
2007-12-31,12.89
2008-01-02,12.47
2008-01-03,12.5
2008-01-04,12.35
2008-01-07,12.7
2008-01-08,12.96
2008-01-09,12.87
2008-01-10,13.13
2008-01-11,12.81
2008-01-14,13.25
2008-01-15,13.25
2008-01-16,13.4
2008-01-17,13.26
2008-01-18,13.27
2008-01-22,13.41
2008-01-23,13.86
2008-01-24,13.8
2008-01-25,14.34
2008-01-28,13.96
2008-01-29,13.95
2008-01-30,13.48
2008-01-31,13.45
2008-02-01,13.98
2008-02-04,14.02
2008-02-05,13.85
2008-02-06,13.68
2008-02-07,14.02
2008-02-08,13.92
2008-02-11,13.71
2008-02-12,13.89
2008-02-13,14.31
2008-02-14,13.93
2008-02-15,13.79
2008-02-19,13.99
2008-02-20,14.11
2008-02-21,13.73
2008-02-22,13.45
2008-02-25,13.63
2008-02-26,13.86
2008-02-27,13.85
