Date,Close
2007-01-03,46.36
2007-01-04,47.35
2007-01-05,46.55
2007-01-08,46.8
2007-01-09,46.84
2007-01-10,48.85
2007-01-11,50.08
2007-01-12,50.16
2007-01-16,51.21
2007-01-17,49.1
2007-01-18,49.61
2007-01-19,49.15
2007-01-22,48.75
2007-01-23,44.81
2007-01-24,45.68
2007-01-25,45.19
2007-01-26,43.55
2007-01-29,45.03
2007-01-30,43.05
2007-01-31,43.2
2007-02-01,44.18
2007-02-02,44.31
2007-02-05,44.38
2007-02-06,45.12
2007-02-07,45.36
2007-02-08,44.9
2007-02-09,44.42
2007-02-12,44.76
2007-02-13,44.71
2007-02-14,44.87
2007-02-15,44.5
2007-02-16,44.65
2007-02-20,45.17
2007-02-21,44.59
2007-02-22,43.39
2007-02-23,42.74
2007-02-26,42.15
2007-02-27,40.02
2007-02-28,39.99
2007-03-01,39.98
2007-03-02,39.07
2007-03-05,38.45
2007-03-06,39.2
2007-03-07,38.83
2007-03-08,38.21
2007-03-09,38.45
2007-03-12,39.98
2007-03-13,38.87
2007-03-14,37.82
2007-03-15,38.9
2007-03-16,38.46
2007-03-19,39.81
2007-03-20,40.21
2007-03-21,41.47
2007-03-22,39.7
2007-03-23,39.41
2007-03-26,38.32
2007-03-27,38.36
2007-03-28,38.11
2007-03-29,38.04
2007-03-30,38.17
2007-04-02,38.35
2007-04-03,40.17
2007-04-04,40.05
2007-04-05,40.94
2007-04-09,42.31
2007-04-10,41.9
2007-04-11,42.57
2007-04-12,42.25
2007-04-13,42.17
2007-04-16,42.77
2007-04-17,43.33
2007-04-18,44.23
2007-04-19,42.78
2007-04-20,40.85
2007-04-23,39.4
2007-04-24,39.16
2007-04-25,38.28
2007-04-26,36.95
2007-04-27,34.01
2007-04-30,33.4
2007-05-01,33.2
2007-05-02,33.76
2007-05-03,33.55
2007-05-04,35.57
2007-05-07,35.47
2007-05-08,35.78
2007-05-09,35.25
2007-05-10,34.61
2007-05-11,34.72
2007-05-14,33.77
2007-05-15,33.3
2007-05-16,34.62
2007-05-17,35.63
2007-05-18,35.78
2007-05-21,35.61
2007-05-22,36.8
2007-05-23,37.08
2007-05-24,37.77
2007-05-25,38.12
2007-05-29,38.98
2007-05-30,39.32
