Date,Close
2007-01-03,23.12
2007-01-04,22.95
2007-01-05,22.67
2007-01-08,22.7
2007-01-09,22.71
2007-01-10,22.53
2007-01-11,22.62
2007-01-12,22.99
2007-01-16,23.86
2007-01-17,23.51
2007-01-18,24.18
2007-01-19,24.08
2007-01-22,23.83
2007-01-23,24.56
2007-01-24,24.24
2007-01-25,24.12
2007-01-26,23.86
2007-01-29,23.89
2007-01-30,24.25
2007-01-31,25.25
2007-02-01,25.71
2007-02-02,25.6
2007-02-05,25.61
2007-02-06,24.99
2007-02-07,25.04
2007-02-08,25.15
2007-02-09,24.91
2007-02-12,24.94
2007-02-13,25.7
2007-02-14,26.12
2007-02-15,25.56
2007-02-16,25.43
2007-02-20,25.67
2007-02-21,26.08
2007-02-22,26.03
2007-02-23,25.97
2007-02-26,25.43
2007-02-27,24.5
2007-02-28,24.65
2007-03-01,24.72
2007-03-02,24.45
2007-03-05,24.03
2007-03-06,24.05
2007-03-07,24.38
2007-03-08,24.77
2007-03-09,24.68
2007-03-12,25.34
2007-03-13,24.51
2007-03-14,24.39
2007-03-15,24.67
2007-03-16,24.99
2007-03-19,24.9
2007-03-20,25.11
2007-03-21,25.33
2007-03-22,25.09
2007-03-23,26.05
2007-03-26,25.66
2007-03-27,25.24
2007-03-28,25.01
2007-03-29,25.33
2007-03-30,25.39
2007-04-02,25.49
2007-04-03,25.77
2007-04-04,25.75
2007-04-05,25.8
2007-04-09,26.79
2007-04-10,26.88
2007-04-11,26.6
2007-04-12,27.75
2007-04-13,27.44
2007-04-16,27.86
2007-04-17,27.61
2007-04-18,28.44
2007-04-19,29.12
2007-04-20,29.3
2007-04-23,29.15
2007-04-24,28.99
2007-04-25,29.09
2007-04-26,28.69
2007-04-27,28.96
2007-04-30,28.56
2007-05-01,28.06
2007-05-02,28.35
2007-05-03,29.14
2007-05-04,29.16
2007-05-07,29.11
2007-05-08,29.39
2007-05-09,29.39
2007-05-10,29.0
2007-05-11,29.23
2007-05-14,29.35
2007-05-15,29.57
2007-05-16,29.85
2007-05-17,30.2
2007-05-18,29.96
2007-05-21,29.77
2007-05-22,29.64
2007-05-23,29.73
2007-05-24,29.32
2007-05-25,29.49
2007-05-29,29.67
2007-05-30,29.7
2007-05-31,30.17
2007-06-01,30.51
2007-06-04,30.48
2007-06-05,30.25
2007-06-06,29.54
2007-06-07,28.7
2007-06-08,29.16
2007-06-11,28.92
2007-06-12,28.33
2007-06-13,29.18
2007-06-14,29.55
2007-06-15,30.07
2007-06-18,29.87
2007-06-19,29.88
2007-06-20,29.33
2007-06-21,29.5
2007-06-22,29.02
2007-06-25,28.67
2007-06-26,28.37
2007-06-27,28.67
2007-06-28,28.77
2007-06-29,28.79
2007-07-02,29.06
2007-07-03,29.18
2007-07-05,29.0
2007-07-06,29.2
2007-07-09,29.22
2007-07-10,28.77
2007-07-11,29.44
2007-07-12,29.93
2007-07-13,30.2
2007-07-16,30.55
2007-07-17,30.98
2007-07-18,31.48
2007-07-19,31.43
2007-07-20,31.47
2007-07-23,31.83
2007-07-24,31.25
2007-07-25,30.7
2007-07-26,30.02
2007-07-27,29.78
2007-07-30,30.17
2007-07-31,29.78
2007-08-01,29.83
2007-08-02,30.0
2007-08-03,28.56
2007-08-06,28.67
2007-08-07,29.22
2007-08-08,29.76
2007-08-09,28.92
2007-08-10,29.16
2007-08-13,29.49
2007-08-14,28.28
2007-08-15,26.91
2007-08-16,26.25
2007-08-17,26.48
2007-08-20,27.93
2007-08-21,27.41
2007-08-22,28.22
2007-08-23,27.42
2007-08-24,27.77
2007-08-27,27.38
2007-08-28,26.7
2007-08-29,27.48
2007-08-30,26.97
2007-08-31,27.89
2007-09-04,28.14
2007-09-05,27.28
2007-09-06,27.32
2007-09-07,27.03
2007-09-10,26.48
2007-09-11,27.12
2007-09-12,27.17
2007-09-13,28.17
2007-09-14,27.96
2007-09-17,27.75
2007-09-18,29.07
2007-09-19,28.71
2007-09-20,28.01
2007-09-21,28.22
2007-09-24,27.85
2007-09-25,27.73
2007-09-26,28.09
2007-09-27,28.44
2007-09-28,28.26
2007-10-01,28.58
2007-10-02,28.33
2007-10-03,27.75
2007-10-04,28.09
2007-10-05,29.34
2007-10-08,29.34
2007-10-09,29.53
2007-10-10,29.42
2007-10-11,29.6
2007-10-12,29.88
2007-10-15,29.54
2007-10-16,29.05
2007-10-17,29.75
2007-10-18,31.48
2007-10-19,30.66
2007-10-22,31.31
2007-10-23,32.49
2007-10-24,32.26
2007-10-25,31.82
2007-10-26,31.98
2007-10-29,31.87
2007-10-30,31.55
2007-10-31,32.01
2007-11-01,31.19
2007-11-02,31.5
2007-11-05,31.4
2007-11-06,31.72
2007-11-07,31.14
2007-11-08,31.62
2007-11-09,31.16
2007-11-12,30.9
2007-11-13,31.37
2007-11-14,31.09
2007-11-15,31.11
2007-11-16,31.62
2007-11-19,31.17
2007-11-20,31.61
2007-11-21,30.73
2007-11-23,31.17
2007-11-26,30.34
2007-11-27,31.1
2007-11-28,31.72
2007-11-29,31.37
2007-11-30,31.53
2007-12-03,31.58
2007-12-04,31.68
2007-12-05,32.33
2007-12-06,33.54
2007-12-07,33.71
2007-12-10,33.81
2007-12-11,32.66
2007-12-12,33.14
2007-12-13,33.45
2007-12-14,32.64
2007-12-17,32.24
2007-12-18,32.36
2007-12-19,31.15
2007-12-20,30.83
2007-12-21,31.5
2007-12-24,32.12
2007-12-26,32.0
2007-12-27,31.83
2007-12-28,31.93
2007-12-31,31.41
2008-01-02,31.06
2008-01-03,30.97
2008-01-04,30.01
2008-01-07,29.75
2008-01-08,28.82
2008-01-09,28.63
2008-01-10,29.21
2008-01-11,28.53
2008-01-14,28.81
2008-01-15,28.07
2008-01-16,28.23
2008-01-17,27.26
2008-01-18,27.61
2008-01-22,27.59
2008-01-23,29.25
2008-01-24,30.24
2008-01-25,29.95
2008-01-28,30.31
2008-01-29,30.36
2008-01-30,30.24
2008-01-31,31.19
2008-02-01,31.99
2008-02-04,31.42
2008-02-05,30.66
2008-02-06,30.78
2008-02-07,31.07
2008-02-08,31.34
2008-02-11,31.38
2008-02-12,31.4
2008-02-13,31.49
2008-02-14,31.18
2008-02-15,31.2
2008-02-19,30.69
2008-02-20,30.99
2008-02-21,30.81
2008-02-22,31.03
2008-02-25,31.67
2008-02-26,32.28
2008-02-27,31.94
2008-02-28,31.57
2008-02-29,31.19
2008-03-03,30.96
2008-03-04,30.88
2008-03-05,31.44
2008-03-06,30.25
2008-03-07,29.92
2008-03-10,29.69
2008-03-11,31.14
2008-03-12,30.85
2008-03-13,30.84
2008-03-14,30.69
2008-03-17,30.55
2008-03-18,32.33
2008-03-19,31.08
2008-03-20,30.51
2008-03-24,31.39
2008-03-25,32.25
2008-03-26,31.97
2008-03-27,31.4
2008-03-28,31.25
2008-03-31,31.34
2008-04-01,31.99
2008-04-02,32.41
2008-04-03,33.02
2008-04-04,33.42
2008-04-07,33.36
2008-04-08,33.37
2008-04-09,32.47
2008-04-10,32.5
2008-04-11,32.55
2008-04-14,32.84
2008-04-15,32.72
2008-04-16,34.14
2008-04-17,33.89
2008-04-18,34.52
2008-04-21,34.45
2008-04-22,34.21
2008-04-23,33.78
2008-04-24,34.51
2008-04-25,35.15
2008-04-28,35.4
2008-04-29,35.98
2008-04-30,36.3
2008-05-01,36.66
2008-05-02,36.72
2008-05-05,36.71
2008-05-06,37.23
2008-05-07,36.27
