Date,Close
2007-01-03,25.89
2007-01-04,25.46
2007-01-05,25.03
2007-01-08,24.81
2007-01-09,24.96
2007-01-10,25.16
2007-01-11,25.31
2007-01-12,25.26
2007-01-16,25.09
2007-01-17,25.1
2007-01-18,24.94
2007-01-19,25.26
2007-01-22,25.19
2007-01-23,25.7
2007-01-24,25.95
2007-01-25,25.06
2007-01-26,24.93
2007-01-29,24.84
2007-01-30,24.96
2007-01-31,25.75
2007-02-01,27.07
2007-02-02,27.75
2007-02-05,27.47
2007-02-06,28.38
2007-02-07,28.81
2007-02-08,28.13
2007-02-09,27.79
2007-02-12,28.26
2007-02-13,28.4
2007-02-14,28.74
2007-02-15,29.56
2007-02-16,29.3
2007-02-20,29.19
2007-02-21,29.05
2007-02-22,28.99
2007-02-23,29.0
2007-02-26,28.9
2007-02-27,28.71
2007-02-28,28.56
2007-03-01,27.98
2007-03-02,27.53
2007-03-05,26.73
2007-03-06,27.31
2007-03-07,28.21
2007-03-08,28.34
2007-03-09,28.1
2007-03-12,27.99
2007-03-13,26.93
2007-03-14,26.88
2007-03-15,27.43
2007-03-16,27.07
2007-03-19,27.09
2007-03-20,27.12
2007-03-21,28.01
2007-03-22,27.94
2007-03-23,27.99
2007-03-26,28.01
2007-03-27,27.95
2007-03-28,27.8
2007-03-29,27.43
2007-03-30,27.5
2007-04-02,27.35
2007-04-03,27.74
2007-04-04,27.76
2007-04-05,27.8
2007-04-09,27.55
2007-04-10,32.36
2007-04-11,31.31
2007-04-12,31.42
2007-04-13,31.16
2007-04-16,31.87
2007-04-17,32.41
2007-04-18,32.47
2007-04-19,32.18
2007-04-20,32.25
2007-04-23,32.46
2007-04-24,32.52
2007-04-25,32.73
2007-04-26,33.51
2007-04-27,33.64
2007-04-30,33.5
2007-05-01,33.42
2007-05-02,33.53
2007-05-03,33.85
2007-05-04,33.7
2007-05-07,33.48
2007-05-08,34.0
2007-05-09,33.93
2007-05-10,33.85
2007-05-11,34.58
2007-05-14,34.5
2007-05-15,34.15
2007-05-16,34.43
2007-05-17,34.37
2007-05-18,34.64
2007-05-21,34.7
2007-05-22,34.46
2007-05-23,33.88
2007-05-24,32.85
2007-05-25,33.75
2007-05-29,33.36
2007-05-30,33.49
2007-05-31,33.55
2007-06-01,34.0
2007-06-04,34.02
2007-06-05,33.77
2007-06-06,33.61
2007-06-07,32.88
2007-06-08,33.32
2007-06-11,33.36
2007-06-12,33.08
2007-06-13,33.4
2007-06-14,33.22
2007-06-15,33.28
2007-06-18,33.74
2007-06-19,33.86
2007-06-20,33.29
2007-06-21,32.95
2007-06-22,32.74
2007-06-25,32.18
2007-06-26,31.96
2007-06-27,32.18
2007-06-28,32.47
2007-06-29,32.54
2007-07-02,33.0
2007-07-03,33.03
2007-07-05,32.9
2007-07-06,33.35
2007-07-09,34.02
2007-07-10,32.98
2007-07-11,32.89
2007-07-12,34.07
2007-07-13,34.63
2007-07-16,34.18
2007-07-17,34.3
2007-07-18,33.9
2007-07-19,33.52
2007-07-20,32.37
2007-07-23,32.98
2007-07-24,32.42
2007-07-25,32.5
2007-07-26,32.12
2007-07-27,32.25
2007-07-30,32.38
2007-07-31,32.14
2007-08-01,31.8
2007-08-02,31.87
2007-08-03,31.59
2007-08-06,31.03
2007-08-07,31.58
2007-08-08,31.74
2007-08-09,31.1
2007-08-10,31.16
2007-08-13,31.09
2007-08-14,30.5
2007-08-15,30.4
2007-08-16,30.1
2007-08-17,30.5
2007-08-20,30.97
2007-08-21,32.2
2007-08-22,32.29
2007-08-23,32.29
2007-08-24,32.65
2007-08-27,32.23
2007-08-28,32.04
2007-08-29,32.33
2007-08-30,32.32
2007-08-31,32.6
2007-09-04,32.56
2007-09-05,32.44
2007-09-06,32.62
2007-09-07,32.5
2007-09-10,32.51
2007-09-11,32.51
2007-09-12,31.95
2007-09-13,31.21
2007-09-14,30.91
2007-09-17,30.95
2007-09-18,31.19
2007-09-19,31.72
2007-09-20,32.42
2007-09-21,31.45
2007-09-24,30.88
2007-09-25,30.8
2007-09-26,30.69
2007-09-27,31.75
2007-09-28,32.17
2007-10-01,31.84
2007-10-02,31.81
2007-10-03,31.35
2007-10-04,32.95
2007-10-05,33.24
2007-10-08,33.1
2007-10-09,33.36
2007-10-10,33.75
2007-10-11,33.75
2007-10-12,33.78
2007-10-15,33.82
2007-10-16,33.94
2007-10-17,33.89
2007-10-18,33.61
2007-10-19,33.66
2007-10-22,33.81
2007-10-23,33.83
2007-10-24,33.99
2007-10-25,33.93
2007-10-26,33.77
2007-10-29,33.86
2007-10-30,33.93
2007-10-31,34.19
2007-11-01,34.25
2007-11-02,34.24
2007-11-05,34.23
2007-11-06,34.31
2007-11-07,34.16
2007-11-08,34.17
2007-11-09,34.17
2007-11-12,34.18
2007-11-13,34.01
2007-11-14,23.5
2007-11-15,22.91
2007-11-16,23.37
2007-11-19,22.5
2007-11-20,22.03
2007-11-21,22.47
2007-11-23,22.24
2007-11-26,21.2
2007-11-27,20.87
2007-11-28,21.5
2007-11-29,22.24
2007-11-30,23.27
2007-12-03,23.22
2007-12-04,23.02
2007-12-05,23.37
2007-12-06,23.77
2007-12-07,23.94
2007-12-10,24.23
2007-12-11,23.43
2007-12-12,22.55
2007-12-13,21.16
2007-12-14,23.55
2007-12-17,24.25
2007-12-18,23.05
2007-12-19,22.25
2007-12-20,21.6
2007-12-21,17.91
2007-12-24,18.7
2007-12-26,19.05
2007-12-27,18.53
2007-12-28,18.47
2007-12-31,18.36
2008-01-02,17.77
2008-01-03,18.26
2008-01-04,17.34
2008-01-07,16.42
2008-01-08,15.7
2008-01-09,15.54
2008-01-10,16.57
2008-01-11,17.2
2008-01-14,17.59
2008-01-15,17.12
2008-01-16,17.05
2008-01-17,16.03
2008-01-18,16.02
2008-01-22,15.9
2008-01-23,16.64
2008-01-24,17.15
2008-01-25,16.86
2008-01-28,17.35
2008-01-29,17.25
2008-01-30,17.42
2008-01-31,18.23
2008-02-01,19.05
2008-02-04,18.35
2008-02-05,18.26
2008-02-06,17.9
2008-02-07,17.91
2008-02-08,18.18
2008-02-11,18.3
2008-02-12,18.31
2008-02-13,18.61
