Date,Close
2007-01-03,19.25
2007-01-04,19.36
2007-01-05,19.23
2007-01-08,19.18
2007-01-09,19.29
2007-01-10,19.14
2007-01-11,19.15
2007-01-12,19.03
2007-01-16,19.17
2007-01-17,19.33
2007-01-18,19.24
2007-01-19,19.08
2007-01-22,18.91
2007-01-23,18.0
2007-01-24,18.15
2007-01-25,17.61
2007-01-26,17.42
2007-01-29,17.42
2007-01-30,17.56
2007-01-31,17.86
2007-02-01,18.03
2007-02-02,17.92
2007-02-05,18.22
2007-02-06,18.32
2007-02-07,17.93
2007-02-08,18.0
2007-02-09,17.92
2007-02-12,17.94
2007-02-13,18.18
2007-02-14,18.12
2007-02-15,18.31
2007-02-16,18.25
2007-02-20,18.63
2007-02-21,18.83
2007-02-22,18.95
2007-02-23,18.94
2007-02-26,18.9
2007-02-27,18.67
2007-02-28,18.76
2007-03-01,18.75
2007-03-02,18.64
2007-03-05,18.68
2007-03-06,18.81
2007-03-07,18.75
2007-03-08,18.97
2007-03-09,19.03
2007-03-12,18.99
2007-03-13,18.95
2007-03-14,19.02
2007-03-15,19.14
2007-03-16,19.01
2007-03-19,19.1
2007-03-20,19.21
2007-03-21,19.31
2007-03-22,19.29
2007-03-23,19.45
2007-03-26,19.48
2007-03-27,19.44
2007-03-28,19.37
2007-03-29,19.37
2007-03-30,19.45
2007-04-02,19.6
2007-04-03,19.87
2007-04-04,20.22
2007-04-05,20.2
2007-04-09,20.07
2007-04-10,20.2
2007-04-11,20.05
2007-04-12,20.28
2007-04-13,20.08
2007-04-16,20.22
2007-04-17,20.19
2007-04-18,20.14
2007-04-19,19.89
2007-04-20,20.08
2007-04-23,20.21
2007-04-24,20.88
2007-04-25,20.97
2007-04-26,20.83
2007-04-27,20.72
2007-04-30,20.67
2007-05-01,20.2
2007-05-02,20.31
2007-05-03,20.36
2007-05-04,20.34
2007-05-07,20.44
2007-05-08,20.41
2007-05-09,20.72
2007-05-10,20.78
2007-05-11,20.79
2007-05-14,20.82
2007-05-15,20.82
2007-05-16,20.85
2007-05-17,21.17
2007-05-18,21.31
2007-05-21,21.48
2007-05-22,21.73
2007-05-23,21.79
2007-05-24,21.71
2007-05-25,21.71
2007-05-29,21.78
2007-05-30,21.99
2007-05-31,22.08
2007-06-01,22.16
2007-06-04,22.33
2007-06-05,22.22
2007-06-06,21.89
2007-06-07,21.6
2007-06-08,21.77
2007-06-11,21.73
2007-06-12,21.43
2007-06-13,21.82
2007-06-14,21.93
2007-06-15,22.03
2007-06-18,22.01
2007-06-19,22.1
2007-06-20,21.82
2007-06-21,21.74
2007-06-22,21.62
2007-06-25,21.53
2007-06-26,21.47
2007-06-27,21.77
2007-06-28,21.63
2007-06-29,21.56
