Date,Close
2007-01-03,36.9
2007-01-04,36.99
2007-01-05,35.81
2007-01-08,33.55
2007-01-09,33.87
2007-01-10,35.37
2007-01-11,36.05
2007-01-12,37.8
2007-01-16,38.42
2007-01-17,37.89
2007-01-18,37.32
2007-01-19,36.9
2007-01-22,35.95
2007-01-23,36.23
2007-01-24,36.27
2007-01-25,35.04
2007-01-26,35.03
2007-01-29,35.31
2007-01-30,35.78
2007-01-31,35.35
2007-02-01,34.8
2007-02-02,33.73
2007-02-05,32.52
2007-02-06,33.09
2007-02-07,33.08
2007-02-08,33.03
2007-02-09,32.36
2007-02-12,32.01
2007-02-13,31.47
2007-02-14,32.07
2007-02-15,31.55
2007-02-16,30.53
2007-02-20,31.42
2007-02-21,31.43
2007-02-22,32.33
2007-02-23,32.13
2007-02-26,31.62
2007-02-27,31.3
2007-02-28,30.69
2007-03-01,30.03
2007-03-02,29.46
2007-03-05,28.87
2007-03-06,29.51
2007-03-07,29.51
2007-03-08,29.28
2007-03-09,29.29
2007-03-12,30.4
2007-03-13,29.11
2007-03-14,28.07
2007-03-15,28.17
2007-03-16,27.09
2007-03-19,27.65
2007-03-20,27.85
2007-03-21,28.36
2007-03-22,28.09
2007-03-23,28.05
2007-03-26,27.91
2007-03-27,27.59
2007-03-28,27.87
2007-03-29,28.12
2007-03-30,28.04
2007-04-02,27.94
2007-04-03,28.89
2007-04-04,29.85
2007-04-05,30.92
2007-04-09,31.56
2007-04-10,32.12
2007-04-11,31.02
2007-04-12,31.55
2007-04-13,30.16
2007-04-16,29.93
2007-04-17,31.68
2007-04-18,31.65
2007-04-19,31.04
2007-04-20,31.88
2007-04-23,31.54
2007-04-24,31.21
2007-04-25,31.33
2007-04-26,31.44
2007-04-27,31.36
2007-04-30,30.74
2007-05-01,30.19
2007-05-02,30.73
2007-05-03,30.77
2007-05-04,30.47
2007-05-07,30.42
2007-05-08,30.26
2007-05-09,30.63
2007-05-10,29.63
2007-05-11,30.07
2007-05-14,30.42
2007-05-15,31.68
2007-05-16,32.35
2007-05-17,31.4
2007-05-18,31.46
2007-05-21,31.61
2007-05-22,31.45
2007-05-23,31.46
2007-05-24,30.58
2007-05-25,30.65
2007-05-29,30.51
2007-05-30,30.13
2007-05-31,29.9
2007-06-01,29.66
2007-06-04,29.47
2007-06-05,29.53
2007-06-06,28.75
2007-06-07,28.08
2007-06-08,27.73
2007-06-11,27.17
2007-06-12,26.89
2007-06-13,27.35
2007-06-14,27.32
2007-06-15,27.69
2007-06-18,27.37
2007-06-19,27.27
2007-06-20,27.22
2007-06-21,26.87
2007-06-22,26.2
2007-06-25,26.05
2007-06-26,26.39
2007-06-27,28.1
2007-06-28,28.62
2007-06-29,28.56
2007-07-02,28.39
2007-07-03,28.16
2007-07-05,28.71
2007-07-06,28.74
2007-07-09,28.44
2007-07-10,28.51
2007-07-11,28.25
2007-07-12,29.4
2007-07-13,29.15
2007-07-16,28.86
2007-07-17,28.9
2007-07-18,29.15
2007-07-19,29.64
2007-07-20,29.32
2007-07-23,29.24
2007-07-24,29.72
2007-07-25,32.98
2007-07-26,32.83
2007-07-27,32.44
2007-07-30,32.6
2007-07-31,32.3
2007-08-01,32.6
2007-08-02,33.17
2007-08-03,33.22
2007-08-06,35.76
2007-08-07,37.69
2007-08-08,38.5
2007-08-09,38.19
2007-08-10,36.59
2007-08-13,35.95
2007-08-14,35.1
2007-08-15,34.9
2007-08-16,35.73
2007-08-17,36.87
2007-08-20,36.8
2007-08-21,37.41
2007-08-22,36.96
2007-08-23,36.38
2007-08-24,37.34
2007-08-27,36.89
2007-08-28,36.2
2007-08-29,37.66
2007-08-30,38.12
2007-08-31,38.96
2007-09-04,39.56
2007-09-05,39.98
2007-09-06,40.5
2007-09-07,39.75
2007-09-10,39.85
2007-09-11,40.39
2007-09-12,40.56
2007-09-13,40.1
2007-09-14,40.4
2007-09-17,38.39
2007-09-18,39.37
2007-09-19,38.68
2007-09-20,38.72
2007-09-21,38.24
2007-09-24,38.65
2007-09-25,38.51
2007-09-26,37.99
2007-09-27,38.0
2007-09-28,38.41
2007-10-01,38.98
2007-10-02,37.46
2007-10-03,37.27
2007-10-04,37.41
2007-10-05,37.36
2007-10-08,36.59
2007-10-09,35.63
2007-10-10,36.35
2007-10-11,36.28
2007-10-12,35.77
2007-10-15,36.08
2007-10-16,35.81
2007-10-17,35.82
2007-10-18,31.1
2007-10-19,30.73
2007-10-22,31.82
2007-10-23,32.26
2007-10-24,31.87
2007-10-25,32.3
2007-10-26,32.31
2007-10-29,32.94
2007-10-30,31.94
2007-10-31,32.34
2007-11-01,31.64
2007-11-02,28.9
2007-11-05,24.08
2007-11-06,25.05
2007-11-07,24.77
2007-11-08,25.56
2007-11-09,25.42
2007-11-12,26.06
2007-11-13,26.23
2007-11-14,25.96
2007-11-15,26.12
2007-11-16,25.71
2007-11-19,25.08
2007-11-20,24.57
2007-11-21,23.54
2007-11-23,24.0
2007-11-26,23.76
2007-11-27,24.22
2007-11-28,25.12
2007-11-29,25.1
2007-11-30,25.39
2007-12-03,25.0
2007-12-04,24.82
2007-12-05,25.5
2007-12-06,25.91
2007-12-07,25.49
2007-12-10,25.47
