Date,Close
2007-01-03,35.31
2007-01-04,35.5
2007-01-05,34.9
2007-01-08,34.36
2007-01-09,34.5
2007-01-10,34.31
2007-01-11,34.64
2007-01-12,34.85
2007-01-16,34.69
2007-01-17,34.43
2007-01-18,35.07
2007-01-19,34.77
2007-01-22,34.77
2007-01-23,35.0
2007-01-24,35.54
2007-01-25,35.01
2007-01-26,35.32
2007-01-29,35.5
2007-01-30,36.02
2007-01-31,35.96
2007-02-01,35.47
2007-02-02,35.63
2007-02-05,35.56
2007-02-06,35.55
2007-02-07,35.56
2007-02-08,35.43
2007-02-09,35.19
2007-02-12,35.07
2007-02-13,35.51
2007-02-14,36.06
2007-02-15,35.85
2007-02-16,35.94
2007-02-20,35.72
2007-02-21,35.75
2007-02-22,35.89
2007-02-23,35.86
2007-02-26,35.84
2007-02-27,34.2
2007-02-28,34.91
2007-03-01,34.63
2007-03-02,34.06
2007-03-05,33.73
2007-03-06,34.06
2007-03-07,33.31
2007-03-08,34.06
2007-03-09,34.03
2007-03-12,34.15
2007-03-13,33.73
2007-03-14,33.87
2007-03-15,33.94
2007-03-16,33.91
2007-03-19,34.31
2007-03-20,34.52
2007-03-21,35.18
2007-03-22,35.48
2007-03-23,35.59
2007-03-26,35.17
2007-03-27,35.19
2007-03-28,34.76
2007-03-29,35.07
2007-03-30,35.4
2007-04-02,35.32
2007-04-03,35.59
2007-04-04,35.49
2007-04-05,35.47
2007-04-09,35.47
2007-04-10,35.29
2007-04-11,34.9
2007-04-12,34.89
2007-04-13,34.91
2007-04-16,35.35
2007-04-17,34.97
2007-04-18,34.93
2007-04-19,35.02
2007-04-20,35.39
2007-04-23,35.05
2007-04-24,35.1
2007-04-25,35.15
2007-04-26,35.45
2007-04-27,35.37
2007-04-30,35.64
2007-05-01,35.95
2007-05-02,36.97
2007-05-03,38.34
2007-05-04,37.96
2007-05-07,38.12
2007-05-08,37.92
2007-05-09,38.42
2007-05-10,38.07
2007-05-11,38.6
2007-05-14,38.84
2007-05-15,39.71
2007-05-16,39.9
2007-05-17,39.34
2007-05-18,39.76
2007-05-21,39.71
2007-05-22,39.78
2007-05-23,39.83
2007-05-24,39.71
2007-05-25,39.68
2007-05-29,40.33
2007-05-30,40.91
2007-05-31,40.64
2007-06-01,40.15
2007-06-04,40.1
2007-06-05,39.92
2007-06-06,40.07
2007-06-07,39.76
2007-06-08,40.21
2007-06-11,40.62
2007-06-12,40.22
2007-06-13,40.05
2007-06-14,40.35
2007-06-15,40.13
2007-06-18,39.72
2007-06-19,40.21
2007-06-20,39.71
2007-06-21,39.62
2007-06-22,38.86
2007-06-25,38.74
2007-06-26,38.34
2007-06-27,38.2
2007-06-28,38.34
2007-06-29,38.43
2007-07-02,38.82
2007-07-03,39.32
2007-07-05,39.19
2007-07-06,38.79
2007-07-09,39.23
2007-07-10,37.83
2007-07-11,38.09
2007-07-12,38.68
2007-07-13,38.98
2007-07-16,39.92
2007-07-17,39.45
2007-07-18,39.18
2007-07-19,39.45
2007-07-20,39.47
2007-07-23,39.95
2007-07-24,40.25
2007-07-25,40.35
2007-07-26,39.58
2007-07-27,39.21
2007-07-30,38.75
2007-07-31,39.79
2007-08-01,40.37
2007-08-02,40.26
2007-08-03,39.91
2007-08-06,40.53
2007-08-07,40.25
2007-08-08,40.32
2007-08-09,39.13
2007-08-10,38.58
2007-08-13,38.88
2007-08-14,38.24
2007-08-15,37.81
2007-08-16,37.56
2007-08-17,38.09
2007-08-20,38.38
2007-08-21,38.94
2007-08-22,39.04
2007-08-23,39.35
2007-08-24,39.81
2007-08-27,39.76
2007-08-28,38.76
2007-08-29,39.42
2007-08-30,39.14
2007-08-31,39.1
2007-09-04,39.83
2007-09-05,39.16
2007-09-06,39.45
2007-09-07,38.59
2007-09-10,38.51
2007-09-11,39.09
2007-09-12,39.09
2007-09-13,39.78
2007-09-14,39.69
2007-09-17,39.76
2007-09-18,40.43
2007-09-19,40.87
2007-09-20,40.89
2007-09-21,41.43
2007-09-24,41.19
2007-09-25,41.14
2007-09-26,41.52
2007-09-27,41.71
2007-09-28,41.34
2007-10-01,42.38
2007-10-02,42.33
2007-10-03,42.23
2007-10-04,42.4
2007-10-05,42.21
2007-10-08,41.97
2007-10-09,42.59
2007-10-10,42.6
2007-10-11,42.64
2007-10-12,42.5
2007-10-15,41.66
2007-10-16,41.94
2007-10-17,42.25
2007-10-18,41.98
2007-10-19,41.33
2007-10-22,41.38
2007-10-23,41.83
2007-10-24,41.47
2007-10-25,41.93
2007-10-26,42.57
2007-10-29,42.93
2007-10-30,42.35
2007-10-31,43.01
2007-11-01,41.77
2007-11-02,41.43
2007-11-05,40.91
2007-11-06,40.83
2007-11-07,40.24
2007-11-08,39.89
2007-11-09,39.93
2007-11-12,39.96
2007-11-13,40.68
2007-11-14,40.63
2007-11-15,40.18
2007-11-16,40.79
2007-11-19,40.19
2007-11-20,40.29
2007-11-21,39.16
2007-11-23,39.81
2007-11-26,38.49
2007-11-27,38.7
2007-11-28,39.59
2007-11-29,39.66
2007-11-30,40.34
2007-12-03,40.23
2007-12-04,40.89
2007-12-05,41.56
2007-12-06,41.47
2007-12-07,42.29
2007-12-10,42.34
2007-12-11,41.51
2007-12-12,41.95
2007-12-13,42.03
2007-12-14,41.42
2007-12-17,40.24
2007-12-18,40.9
2007-12-19,40.75
2007-12-20,40.91
2007-12-21,41.37
2007-12-24,41.81
2007-12-26,42.1
2007-12-27,41.43
2007-12-28,41.65
2007-12-31,40.79
2008-01-02,40.34
2008-01-03,40.53
2008-01-04,39.77
2008-01-07,40.47
2008-01-08,39.2
2008-01-09,39.65
2008-01-10,40.56
2008-01-11,39.68
2008-01-14,40.13
2008-01-15,39.37
2008-01-16,39.51
2008-01-17,38.19
2008-01-18,36.49
2008-01-22,35.32
2008-01-23,35.54
2008-01-24,35.69
2008-01-25,35.25
2008-01-28,35.58
2008-01-29,36.14
2008-01-30,35.7
2008-01-31,36.25
2008-02-01,36.17
2008-02-04,36.04
2008-02-05,34.38
2008-02-06,34.26
2008-02-07,34.49
2008-02-08,34.0
2008-02-11,34.35
2008-02-12,35.06
2008-02-13,36.09
2008-02-14,35.49
2008-02-15,35.32
2008-02-19,32.99
2008-02-20,32.9
2008-02-21,33.01
2008-02-22,33.79
2008-02-25,34.09
2008-02-26,34.36
2008-02-27,33.97
2008-02-28,34.71
2008-02-29,33.91
2008-03-03,33.88
2008-03-04,33.32
2008-03-05,33.56
2008-03-06,32.94
2008-03-07,32.75
2008-03-10,32.09
2008-03-11,32.87
2008-03-12,32.28
2008-03-13,32.37
2008-03-14,31.57
2008-03-17,32.31
2008-03-18,32.94
2008-03-19,32.8
2008-03-20,33.72
2008-03-24,34.51
2008-03-25,34.45
2008-03-26,33.74
2008-03-27,33.57
2008-03-28,33.47
2008-03-31,34.03
2008-04-01,35.44
2008-04-02,35.6
2008-04-03,35.71
2008-04-04,35.02
2008-04-07,35.08
2008-04-08,34.47
2008-04-09,33.78
2008-04-10,33.6
2008-04-11,33.38
2008-04-14,33.14
2008-04-15,32.93
2008-04-16,33.62
2008-04-17,33.62
2008-04-18,33.79
2008-04-21,33.73
2008-04-22,33.51
2008-04-23,34.07
2008-04-24,34.1
2008-04-25,34.74
2008-04-28,35.59
2008-04-29,35.84
2008-04-30,36.09
2008-05-01,36.88
2008-05-02,37.13
2008-05-05,36.48
2008-05-06,36.47
2008-05-07,35.9
2008-05-08,35.87
2008-05-09,35.56
2008-05-12,35.7
2008-05-13,35.74
2008-05-14,36.53
2008-05-15,36.48
2008-05-16,36.36
2008-05-19,36.67
2008-05-20,35.48
2008-05-21,34.91
2008-05-22,35.14
2008-05-23,34.78
2008-05-27,35.06
2008-05-28,35.42
2008-05-29,35.99
2008-05-30,36.08
2008-06-02,35.51
2008-06-03,35.04
2008-06-04,34.68
2008-06-05,36.54
2008-06-06,35.86
2008-06-09,35.58
2008-06-10,35.19
2008-06-11,34.39
2008-06-12,34.35
2008-06-13,35.01
2008-06-16,33.99
2008-06-17,33.66
2008-06-18,33.75
2008-06-19,34.23
2008-06-20,33.18
2008-06-23,33.68
2008-06-24,33.21
2008-06-25,33.38
2008-06-26,32.18
2008-06-27,32.15
2008-06-30,33.2
2008-07-01,33.32
2008-07-02,33.42
2008-07-03,33.53
2008-07-07,33.23
2008-07-08,33.16
2008-07-09,32.51
2008-07-10,32.73
2008-07-11,32.75
2008-07-14,32.71
2008-07-15,32.86
2008-07-16,33.18
2008-07-17,33.23
2008-07-18,33.25
2008-07-21,32.97
2008-07-22,32.53
2008-07-23,33.61
2008-07-24,32.91
2008-07-25,32.31
2008-07-28,31.51
2008-07-29,32.01
2008-07-30,32.21
2008-07-31,31.93
2008-08-01,31.89
2008-08-04,31.73
2008-08-05,32.4
2008-08-06,32.11
2008-08-07,31.61
2008-08-08,32.44
2008-08-11,33.11
2008-08-12,32.66
2008-08-13,32.22
2008-08-14,32.54
2008-08-15,32.79
2008-08-18,32.58
2008-08-19,32.08
2008-08-20,32.31
2008-08-21,32.42
2008-08-22,33.1
2008-08-25,32.32
2008-08-26,32.11
2008-08-27,32.55
2008-08-28,33.27
2008-08-29,32.94
2008-09-02,33.6
2008-09-03,33.48
2008-09-04,32.09
2008-09-05,31.96
2008-09-08,32.94
2008-09-09,33.04
2008-09-10,32.56
2008-09-11,32.57
2008-09-12,32.35
