Date,Close
2007-01-03,48.88
2007-01-04,49.22
2007-01-05,48.67
2007-01-08,50.55
2007-01-09,51.14
2007-01-10,51.9
2007-01-11,53.76
2007-01-12,54.71
2007-01-16,55.05
2007-01-17,55.32
2007-01-18,54.95
2007-01-19,54.96
2007-01-22,54.88
2007-01-23,54.97
2007-01-24,56.59
2007-01-25,56.25
2007-01-26,56.07
2007-01-29,56.05
2007-01-30,56.1
2007-01-31,56.69
2007-02-01,56.73
2007-02-02,56.26
2007-02-05,56.5
2007-02-06,56.53
2007-02-07,56.24
2007-02-08,56.4
2007-02-09,56.21
2007-02-12,56.29
2007-02-13,56.67
2007-02-14,57.45
2007-02-15,58.04
2007-02-16,58.0
2007-02-20,58.4
2007-02-21,58.3
2007-02-22,56.15
2007-02-23,56.03
2007-02-26,56.07
2007-02-27,53.96
2007-02-28,54.24
2007-03-01,55.55
2007-03-02,55.02
2007-03-05,54.45
2007-03-06,54.65
2007-03-07,53.7
2007-03-08,54.0
2007-03-09,54.5
2007-03-12,57.17
2007-03-13,55.78
2007-03-14,56.11
2007-03-15,56.13
2007-03-16,56.1
2007-03-19,56.8
2007-03-20,57.21
2007-03-21,57.65
2007-03-22,57.75
2007-03-23,58.24
2007-03-26,57.99
2007-03-27,58.25
2007-03-28,57.33
2007-03-29,57.18
2007-03-30,58.0
2007-04-02,58.2
2007-04-03,59.52
2007-04-04,59.93
2007-04-05,60.18
2007-04-09,59.95
2007-04-10,59.75
2007-04-11,59.72
2007-04-12,60.09
2007-04-13,60.04
2007-04-16,60.11
2007-04-17,60.08
2007-04-18,59.71
2007-04-19,59.99
2007-04-20,59.98
2007-04-23,59.92
2007-04-24,58.96
2007-04-25,59.91
2007-04-26,59.85
2007-04-27,59.86
2007-04-30,59.43
2007-05-01,59.41
2007-05-02,59.86
2007-05-03,60.03
2007-05-04,60.11
2007-05-07,60.1
2007-05-08,60.1
2007-05-09,60.29
2007-05-10,60.0
2007-05-11,60.31
2007-05-14,60.51
2007-05-15,60.47
2007-05-16,61.27
2007-05-17,61.13
2007-05-18,61.38
2007-05-21,61.12
2007-05-22,60.7
2007-05-23,60.01
2007-05-24,60.12
2007-05-25,60.64
2007-05-29,60.57
2007-05-30,60.38
2007-05-31,60.3
2007-06-01,60.08
2007-06-04,59.73
2007-06-05,59.61
2007-06-06,61.0
2007-06-07,60.24
2007-06-08,60.3
2007-06-11,61.24
2007-06-12,60.53
2007-06-13,61.01
2007-06-14,60.9
2007-06-15,61.03
2007-06-18,60.71
2007-06-19,60.44
2007-06-20,59.87
2007-06-21,59.94
2007-06-22,59.13
2007-06-25,59.95
2007-06-26,59.96
2007-06-27,60.0
2007-06-28,60.08
2007-06-29,59.36
2007-07-02,59.99
2007-07-03,60.5
2007-07-05,60.64
2007-07-06,61.0
2007-07-09,60.88
2007-07-10,60.83
2007-07-11,61.59
2007-07-12,62.64
2007-07-13,61.58
2007-07-16,61.58
2007-07-17,61.89
2007-07-18,61.51
2007-07-19,61.49
2007-07-20,61.3
2007-07-23,62.21
2007-07-24,59.35
2007-07-25,60.16
2007-07-26,60.16
2007-07-27,59.08
2007-07-30,58.98
2007-07-31,58.26
2007-08-01,59.36
2007-08-02,60.76
2007-08-03,60.77
2007-08-06,62.9
2007-08-07,63.31
2007-08-08,63.52
2007-08-09,60.02
2007-08-10,62.53
2007-08-13,61.73
2007-08-14,62.02
2007-08-15,62.26
2007-08-16,59.13
2007-08-17,61.58
2007-08-20,61.15
2007-08-21,61.35
2007-08-22,61.45
2007-08-23,62.0
2007-08-24,62.92
2007-08-27,61.61
2007-08-28,60.95
2007-08-29,61.72
2007-08-30,61.13
2007-08-31,61.57
2007-09-04,62.51
2007-09-05,62.55
2007-09-06,63.11
2007-09-07,62.86
2007-09-10,62.76
2007-09-11,63.62
2007-09-12,63.54
2007-09-13,64.21
2007-09-14,65.55
2007-09-17,65.89
2007-09-18,66.46
2007-09-19,67.46
2007-09-20,67.39
2007-09-21,67.36
2007-09-24,66.77
2007-09-25,67.28
2007-09-26,68.19
2007-09-27,67.95
2007-09-28,66.92
2007-10-01,67.43
2007-10-02,67.0
2007-10-03,66.37
2007-10-04,66.85
2007-10-05,67.51
2007-10-08,67.31
2007-10-09,66.96
2007-10-10,66.65
2007-10-11,66.2
2007-10-12,66.69
2007-10-15,66.79
2007-10-16,67.95
2007-10-17,68.21
2007-10-18,68.54
2007-10-19,67.39
2007-10-22,67.84
2007-10-23,73.92
2007-10-24,75.43
2007-10-25,75.85
2007-10-26,75.63
2007-10-29,75.95
2007-10-30,75.22
2007-10-31,76.98
2007-11-01,75.65
2007-11-02,75.28
2007-11-05,75.26
2007-11-06,74.75
2007-11-07,74.97
2007-11-08,75.65
2007-11-09,74.35
2007-11-12,73.39
2007-11-13,74.96
2007-11-14,75.21
2007-11-15,74.38
2007-11-16,76.57
2007-11-19,76.52
2007-11-20,76.79
2007-11-21,76.48
2007-11-23,77.35
2007-11-26,76.75
2007-11-27,77.54
2007-11-28,78.27
2007-11-29,77.71
2007-11-30,78.04
2007-12-03,78.93
2007-12-04,79.97
2007-12-05,79.99
2007-12-06,79.98
2007-12-07,79.22
2007-12-10,78.82
2007-12-11,77.94
2007-12-12,79.62
2007-12-13,80.07
2007-12-14,80.07
2007-12-17,78.05
2007-12-18,77.29
2007-12-19,76.71
2007-12-20,77.28
2007-12-21,77.86
2007-12-24,78.37
2007-12-26,79.63
2007-12-27,78.95
2007-12-28,79.43
2007-12-31,79.07
2008-01-02,76.75
2008-01-03,77.79
2008-01-04,77.51
2008-01-07,78.28
2008-01-08,79.71
2008-01-09,80.11
2008-01-10,80.03
2008-01-11,78.7
2008-01-14,80.43
2008-01-15,80.77
2008-01-16,77.46
2008-01-17,76.4
2008-01-18,73.23
2008-01-22,58.58
2008-01-23,55.27
2008-01-24,56.04
2008-01-25,57.07
2008-01-28,56.55
2008-01-29,58.16
2008-01-30,58.23
2008-01-31,57.3
2008-02-01,60.62
2008-02-04,60.06
2008-02-05,59.28
2008-02-06,59.38
2008-02-07,60.57
2008-02-08,60.16
2008-02-11,60.75
2008-02-12,62.08
2008-02-13,61.34
2008-02-14,60.25
2008-02-15,60.37
2008-02-19,59.71
2008-02-20,61.05
2008-02-21,59.42
2008-02-22,60.07
2008-02-25,60.58
2008-02-26,60.97
2008-02-27,60.87
2008-02-28,60.62
2008-02-29,59.61
2008-03-03,60.17
2008-03-04,60.81
2008-03-05,60.85
2008-03-06,60.64
2008-03-07,59.1
2008-03-10,57.79
2008-03-11,59.15
2008-03-12,59.22
2008-03-13,59.13
2008-03-14,57.55
2008-03-17,56.88
2008-03-18,57.28
2008-03-19,54.14
2008-03-20,52.59
2008-03-24,52.93
2008-03-25,53.68
2008-03-26,56.19
2008-03-27,56.41
2008-03-28,55.72
2008-03-31,55.7
2008-04-01,57.07
2008-04-02,57.38
2008-04-03,56.44
2008-04-04,56.38
2008-04-07,55.97
2008-04-08,56.58
2008-04-09,56.78
2008-04-10,56.97
2008-04-11,56.63
2008-04-14,56.32
2008-04-15,53.7
2008-04-16,53.98
2008-04-17,53.94
2008-04-18,54.77
2008-04-21,54.55
2008-04-22,57.28
2008-04-23,57.78
2008-04-24,57.37
2008-04-25,58.47
2008-04-28,59.92
2008-04-29,59.12
2008-04-30,61.46
2008-05-01,62.44
2008-05-02,62.34
2008-05-05,62.41
2008-05-06,62.06
2008-05-07,62.02
2008-05-08,62.85
2008-05-09,63.41
2008-05-12,63.99
2008-05-13,64.43
2008-05-14,64.02
2008-05-15,64.59
2008-05-16,64.38
2008-05-19,64.08
2008-05-20,63.64
2008-05-21,62.42
2008-05-22,63.78
2008-05-23,63.2
2008-05-27,63.69
2008-05-28,61.99
2008-05-29,61.61
2008-05-30,61.52
2008-06-02,61.19
2008-06-03,60.34
2008-06-04,61.51
2008-06-05,62.7
2008-06-06,61.33
2008-06-09,60.43
2008-06-10,60.09
2008-06-11,59.33
2008-06-12,61.62
2008-06-13,62.29
2008-06-16,62.91
2008-06-17,62.29
2008-06-18,63.0
2008-06-19,63.94
2008-06-20,62.94
2008-06-23,63.38
2008-06-24,63.43
2008-06-25,64.63
2008-06-26,64.7
2008-06-27,65.17
2008-06-30,64.5
2008-07-01,65.52
2008-07-02,65.35
2008-07-03,65.31
2008-07-07,65.38
2008-07-08,66.94
2008-07-09,66.32
2008-07-10,66.25
2008-07-11,65.19
2008-07-14,64.86
2008-07-15,63.7
2008-07-16,64.6
2008-07-17,62.69
2008-07-18,62.7
2008-07-21,62.32
2008-07-22,69.23
2008-07-23,68.5
2008-07-24,67.46
2008-07-25,67.31
2008-07-28,66.85
2008-07-29,66.92
2008-07-30,67.48
2008-07-31,67.94
2008-08-01,66.95
2008-08-04,66.4
2008-08-05,67.9
2008-08-06,68.29
2008-08-07,68.19
2008-08-08,69.18
2008-08-11,69.82
2008-08-12,69.81
2008-08-13,69.39
2008-08-14,69.63
2008-08-15,70.19
2008-08-18,69.94
2008-08-19,69.65
2008-08-20,68.69
2008-08-21,67.94
2008-08-22,68.91
2008-08-25,67.65
2008-08-26,66.93
2008-08-27,67.09
2008-08-28,68.67
2008-08-29,68.25
2008-09-02,69.28
2008-09-03,68.61
2008-09-04,64.2
2008-09-05,64.02
2008-09-08,64.08
2008-09-09,62.66
2008-09-10,62.16
2008-09-11,62.43
2008-09-12,62.28
2008-09-15,60.19
2008-09-16,59.12
2008-09-17,56.15
2008-09-18,55.52
2008-09-19,57.65
2008-09-22,55.95
2008-09-23,55.82
2008-09-24,57.04
2008-09-25,59.28
2008-09-26,59.65
2008-09-29,56.78
2008-09-30,58.18
2008-10-01,57.66
2008-10-02,54.43
2008-10-03,54.06
2008-10-06,50.76
2008-10-07,51.65
2008-10-08,51.09
2008-10-09,48.99
2008-10-10,45.69
2008-10-13,49.66
2008-10-14,48.31
2008-10-15,42.75
2008-10-16,45.48
2008-10-17,45.87
2008-10-20,48.86
2008-10-21,46.81
2008-10-22,44.1
2008-10-23,40.25
2008-10-24,41.58
2008-10-27,37.85
2008-10-28,39.7
2008-10-29,42.02
2008-10-30,44.21
2008-10-31,43.8
2008-11-03,45.01
2008-11-04,45.21
2008-11-05,43.1
2008-11-06,42.18
2008-11-07,43.01
2008-11-10,42.51
2008-11-11,41.07
2008-11-12,38.42
2008-11-13,40.77
2008-11-14,39.14
2008-11-17,37.11
2008-11-18,38.4
2008-11-19,36.18
2008-11-20,34.77
2008-11-21,36.85
2008-11-24,41.23
2008-11-25,38.85
2008-11-26,40.24
2008-11-28,41.23
2008-12-01,39.22
2008-12-02,40.44
2008-12-03,42.07
2008-12-04,40.06
2008-12-05,40.46
2008-12-08,41.84
2008-12-09,40.54
2008-12-10,41.2
2008-12-11,41.88
2008-12-12,37.21
2008-12-15,35.79
2008-12-16,36.38
2008-12-17,36.7
2008-12-18,36.55
2008-12-19,36.88
2008-12-22,36.22
2008-12-23,35.98
2008-12-24,36.17
2008-12-26,36.1
2008-12-29,35.75
2008-12-30,36.25
2008-12-31,36.65
2009-01-02,38.09
2009-01-05,38.3
2009-01-06,39.02
2009-01-07,38.04
2009-01-08,36.49
2009-01-09,35.67
2009-01-12,36.18
2009-01-13,36.91
2009-01-14,36.54
2009-01-15,38.32
2009-01-16,38.67
2009-01-20,38.06
2009-01-21,38.15
2009-01-22,37.43
2009-01-23,36.51
2009-01-26,36.85
2009-01-27,37.83
2009-01-28,38.09
2009-01-29,36.94
2009-01-30,36.17
2009-02-02,36.33
2009-02-03,37.05
2009-02-04,39.59
2009-02-05,41.06
2009-02-06,41.76
2009-02-09,41.03
2009-02-10,39.35
2009-02-11,39.14
2009-02-12,40.11
2009-02-13,40.91
2009-02-17,39.21
2009-02-18,37.65
2009-02-19,37.75
2009-02-20,37.36
2009-02-23,36.4
2009-02-24,37.73
2009-02-25,36.66
2009-02-26,35.47
2009-02-27,35.22
2009-03-02,33.49
2009-03-03,33.63
2009-03-04,34.85
2009-03-05,33.53
2009-03-06,33.24
2009-03-09,31.75
2009-03-10,33.53
2009-03-11,32.16
2009-03-12,30.75
2009-03-13,31.62
2009-03-16,31.8
2009-03-17,32.93
2009-03-18,32.39
2009-03-19,32.4
2009-03-20,31.99
2009-03-23,33.54
2009-03-24,32.48
2009-03-25,32.62
2009-03-26,34.17
2009-03-27,37.31
2009-03-30,36.39
2009-03-31,36.95
2009-04-01,38.1
2009-04-02,39.14
2009-04-03,39.1
2009-04-06,39.34
2009-04-07,39.0
2009-04-08,39.6
2009-04-09,40.0
2009-04-13,39.57
2009-04-14,38.47
2009-04-15,37.99
2009-04-16,39.0
2009-04-17,39.46
2009-04-20,38.0
2009-04-21,37.31
2009-04-22,36.91
2009-04-23,35.89
2009-04-24,37.52
2009-04-27,37.7
2009-04-28,43.83
2009-04-29,43.88
2009-04-30,44.17
2009-05-01,44.46
2009-05-04,45.11
2009-05-05,45.1
2009-05-06,44.53
2009-05-07,44.33
2009-05-08,44.45
2009-05-11,43.86
2009-05-12,44.55
2009-05-13,44.05
2009-05-14,44.22
2009-05-15,43.48
2009-05-18,44.15
2009-05-19,44.91
2009-05-20,45.36
2009-05-21,43.66
2009-05-22,43.19
2009-05-26,44.88
2009-05-27,44.3
2009-05-28,44.01
2009-05-29,43.32
2009-06-01,44.8
2009-06-02,48.03
2009-06-03,47.78
2009-06-04,47.0
2009-06-05,46.69
2009-06-08,46.54
