Date,Close
2007-01-03,46.07
2007-01-04,46.16
2007-01-05,45.5
2007-01-08,45.69
2007-01-09,45.93
2007-01-10,45.58
2007-01-11,46.06
2007-01-12,46.2
2007-01-16,46.09
2007-01-17,46.51
2007-01-18,46.4
2007-01-19,46.01
2007-01-22,45.8
2007-01-23,45.58
2007-01-24,45.51
2007-01-25,45.14
2007-01-26,45.19
2007-01-29,45.4
2007-01-30,45.24
2007-01-31,45.3
2007-02-01,45.74
2007-02-02,45.32
2007-02-05,44.9
2007-02-06,45.36
2007-02-07,45.43
2007-02-08,45.76
2007-02-09,45.43
2007-02-12,45.1
2007-02-13,45.05
2007-02-14,44.93
2007-02-15,46.1
2007-02-16,46.01
2007-02-20,46.32
2007-02-21,45.88
2007-02-22,45.61
2007-02-23,45.32
2007-02-26,45.52
2007-02-27,44.62
2007-02-28,44.7
2007-03-01,44.63
2007-03-02,44.16
2007-03-05,43.91
2007-03-06,44.45
2007-03-07,44.05
2007-03-08,44.62
2007-03-09,44.59
2007-03-12,44.79
2007-03-13,44.14
2007-03-14,44.6
2007-03-15,45.72
2007-03-16,46.26
2007-03-19,46.53
2007-03-20,46.37
2007-03-21,47.07
2007-03-22,47.37
2007-03-23,47.77
2007-03-26,47.3
2007-03-27,46.94
2007-03-28,46.35
2007-03-29,46.2
2007-03-30,45.89
2007-04-02,45.81
2007-04-03,46.2
2007-04-04,46.0
2007-04-05,46.24
2007-04-09,46.6
2007-04-10,46.67
2007-04-11,45.99
2007-04-12,45.93
2007-04-13,45.92
2007-04-16,46.13
2007-04-17,45.98
2007-04-18,45.96
2007-04-19,45.95
2007-04-20,45.8
2007-04-23,45.87
2007-04-24,45.89
2007-04-25,45.98
2007-04-26,45.83
2007-04-27,45.02
2007-04-30,43.9
2007-05-01,44.23
2007-05-02,44.58
2007-05-03,44.55
2007-05-04,44.82
2007-05-07,45.05
2007-05-08,44.98
2007-05-09,45.15
2007-05-10,44.47
2007-05-11,44.14
2007-05-14,44.23
2007-05-15,44.47
2007-05-16,45.28
2007-05-17,45.34
2007-05-18,45.74
2007-05-21,45.12
2007-05-22,44.77
2007-05-23,44.69
2007-05-24,44.59
2007-05-25,45.09
2007-05-29,45.37
2007-05-30,45.25
2007-05-31,45.13
2007-06-01,45.13
2007-06-04,45.23
2007-06-05,44.96
2007-06-06,44.29
2007-06-07,43.95
2007-06-08,44.31
2007-06-11,44.25
2007-06-12,43.49
2007-06-13,44.0
2007-06-14,43.85
2007-06-15,44.26
2007-06-18,44.27
2007-06-19,43.66
2007-06-20,43.66
2007-06-21,44.85
2007-06-22,44.97
2007-06-25,44.25
2007-06-26,43.73
2007-06-27,44.07
2007-06-28,43.53
2007-06-29,43.54
2007-07-02,43.71
2007-07-03,43.85
2007-07-05,43.91
2007-07-06,44.41
2007-07-09,44.69
2007-07-10,44.07
2007-07-11,44.16
2007-07-12,45.1
2007-07-13,45.2
2007-07-16,44.96
2007-07-17,44.53
2007-07-18,44.8
2007-07-19,45.17
2007-07-20,45.49
2007-07-23,45.65
2007-07-24,45.08
2007-07-25,45.62
2007-07-26,45.2
2007-07-27,44.55
2007-07-30,44.83
2007-07-31,44.18
2007-08-01,44.73
2007-08-02,44.81
2007-08-03,44.09
2007-08-06,45.15
2007-08-07,45.5
2007-08-08,46.33
2007-08-09,47.14
2007-08-10,46.42
2007-08-13,45.64
2007-08-14,45.23
2007-08-15,44.61
2007-08-16,45.12
2007-08-17,45.67
2007-08-20,44.96
2007-08-21,45.02
2007-08-22,45.02
2007-08-23,44.81
2007-08-24,45.1
2007-08-27,44.39
2007-08-28,43.6
2007-08-29,44.84
2007-08-30,44.62
2007-08-31,45.07
2007-09-04,45.43
2007-09-05,45.14
2007-09-06,45.08
2007-09-07,44.15
2007-09-10,44.05
2007-09-11,44.85
2007-09-12,45.03
2007-09-13,45.42
2007-09-14,45.28
2007-09-17,45.09
2007-09-18,46.2
2007-09-19,46.05
2007-09-20,45.35
2007-09-21,45.41
2007-09-24,45.75
2007-09-25,46.89
2007-09-26,47.71
2007-09-27,47.93
2007-09-28,47.24
2007-10-01,40.16
2007-10-02,40.08
2007-10-03,39.44
2007-10-04,39.77
2007-10-05,39.3
2007-10-08,39.13
2007-10-09,39.19
2007-10-10,38.87
2007-10-11,38.68
2007-10-12,38.82
2007-10-15,38.8
2007-10-16,38.67
2007-10-17,38.37
2007-10-18,38.37
2007-10-19,37.85
2007-10-22,37.7
2007-10-23,38.26
2007-10-24,39.45
2007-10-25,39.98
2007-10-26,40.18
2007-10-29,39.7
2007-10-30,39.48
2007-10-31,39.65
2007-11-01,39.03
2007-11-02,39.11
2007-11-05,38.68
2007-11-06,38.58
2007-11-07,38.49
2007-11-08,39.03
2007-11-09,38.1
2007-11-12,38.44
2007-11-13,39.1
2007-11-14,39.75
2007-11-15,39.59
2007-11-16,39.97
2007-11-19,39.28
2007-11-20,39.77
2007-11-21,39.4
2007-11-23,39.73
2007-11-26,39.21
2007-11-27,38.29
2007-11-28,38.31
2007-11-29,37.29
2007-11-30,36.59
2007-12-03,36.4
2007-12-04,35.81
2007-12-05,36.46
2007-12-06,36.59
2007-12-07,37.11
2007-12-10,37.24
