Date,Close
2007-01-03,34.88
2007-01-04,34.68
2007-01-05,34.33
2007-01-08,34.4
2007-01-09,34.34
2007-01-10,34.37
2007-01-11,34.44
2007-01-12,35.5
2007-01-16,35.55
2007-01-17,35.52
2007-01-18,34.81
2007-01-19,34.8
2007-01-22,34.81
2007-01-23,34.83
2007-01-24,35.0
2007-01-25,34.59
2007-01-26,34.74
2007-01-29,34.7
2007-01-30,34.7
2007-01-31,34.67
2007-02-01,34.75
2007-02-02,35.36
2007-02-05,35.6
2007-02-06,36.29
2007-02-07,36.48
2007-02-08,36.08
2007-02-09,35.7
2007-02-12,36.23
2007-02-13,36.55
2007-02-14,37.97
2007-02-15,39.99
2007-02-16,40.83
2007-02-20,41.08
2007-02-21,41.6
2007-02-22,41.65
2007-02-23,42.18
2007-02-26,41.79
2007-02-27,40.01
2007-02-28,39.61
2007-03-01,40.1
2007-03-02,39.23
2007-03-05,38.85
2007-03-06,39.1
2007-03-07,39.07
2007-03-08,38.91
2007-03-09,38.61
2007-03-12,38.3
2007-03-13,37.36
2007-03-14,37.55
2007-03-15,37.6
2007-03-16,37.22
2007-03-19,37.47
2007-03-20,38.11
2007-03-21,38.49
2007-03-22,38.88
2007-03-23,38.69
2007-03-26,38.8
2007-03-27,39.13
2007-03-28,38.5
2007-03-29,38.48
2007-03-30,38.61
2007-04-02,38.78
2007-04-03,39.27
2007-04-04,39.55
2007-04-05,39.8
2007-04-09,39.69
2007-04-10,40.1
2007-04-11,39.33
2007-04-12,39.94
2007-04-13,40.12
2007-04-16,40.66
2007-04-17,40.82
2007-04-18,40.95
2007-04-19,41.32
2007-04-20,41.36
2007-04-23,41.11
2007-04-24,40.67
2007-04-25,41.25
2007-04-26,40.99
2007-04-27,40.82
2007-04-30,39.79
2007-05-01,38.9
2007-05-02,39.42
2007-05-03,39.16
2007-05-04,39.52
2007-05-07,39.35
2007-05-08,39.48
2007-05-09,39.65
2007-05-10,38.1
2007-05-11,38.48
2007-05-14,38.35
2007-05-15,38.03
2007-05-16,38.43
2007-05-17,38.26
2007-05-18,38.22
2007-05-21,38.88
2007-05-22,39.71
2007-05-23,39.66
2007-05-24,39.71
2007-05-25,39.95
2007-05-29,40.12
2007-05-30,39.78
2007-05-31,40.11
2007-06-01,40.25
2007-06-04,40.66
2007-06-05,40.49
2007-06-06,41.21
2007-06-07,40.04
2007-06-08,40.13
2007-06-11,39.97
2007-06-12,39.45
2007-06-13,39.75
2007-06-14,40.31
2007-06-15,40.21
2007-06-18,40.18
2007-06-19,39.85
2007-06-20,39.4
2007-06-21,39.09
2007-06-22,38.85
2007-06-25,38.94
2007-06-26,39.08
2007-06-27,39.29
2007-06-28,38.89
2007-06-29,38.74
2007-07-02,39.02
2007-07-03,39.45
2007-07-05,39.55
2007-07-06,39.51
2007-07-09,39.16
2007-07-10,39.5
2007-07-11,39.31
2007-07-12,39.87
2007-07-13,42.01
2007-07-16,42.08
2007-07-17,41.88
2007-07-18,41.93
2007-07-19,42.28
2007-07-20,41.72
2007-07-23,41.04
2007-07-24,40.34
2007-07-25,36.58
2007-07-26,36.5
2007-07-27,36.33
2007-07-30,36.7
2007-07-31,36.23
2007-08-01,36.41
2007-08-02,36.62
2007-08-03,36.52
2007-08-06,36.0
2007-08-07,36.0
2007-08-08,36.17
2007-08-09,35.84
2007-08-10,35.74
2007-08-13,35.11
2007-08-14,34.8
2007-08-15,34.66
2007-08-16,33.95
2007-08-17,35.27
2007-08-20,34.86
2007-08-21,35.0
2007-08-22,35.42
2007-08-23,34.91
2007-08-24,35.39
2007-08-27,35.17
2007-08-28,34.55
2007-08-29,35.71
2007-08-30,36.31
2007-08-31,36.3
2007-09-04,36.8
2007-09-05,36.75
2007-09-06,36.84
2007-09-07,36.81
2007-09-10,36.03
2007-09-11,36.07
2007-09-12,35.99
2007-09-13,36.01
2007-09-14,35.78
2007-09-17,35.54
2007-09-18,35.9
2007-09-19,36.81
2007-09-20,36.65
2007-09-21,36.25
2007-09-24,35.49
2007-09-25,35.56
2007-09-26,35.96
2007-09-27,36.76
2007-09-28,36.49
2007-10-01,36.95
2007-10-02,34.77
2007-10-03,34.62
2007-10-04,33.33
2007-10-05,34.0
2007-10-08,33.24
2007-10-09,33.59
2007-10-10,34.17
2007-10-11,33.52
2007-10-12,33.57
2007-10-15,33.98
2007-10-16,34.17
2007-10-17,34.62
2007-10-18,34.45
2007-10-19,33.92
2007-10-22,37.35
2007-10-23,36.98
2007-10-24,37.02
2007-10-25,36.58
2007-10-26,36.55
2007-10-29,37.04
2007-10-30,37.65
2007-10-31,39.09
2007-11-01,38.55
2007-11-02,37.7
2007-11-05,37.9
2007-11-06,38.57
2007-11-07,37.3
2007-11-08,37.57
2007-11-09,36.31
2007-11-12,37.23
2007-11-13,38.39
2007-11-14,37.55
2007-11-15,37.15
2007-11-16,37.17
2007-11-19,36.9
2007-11-20,36.94
2007-11-21,36.61
2007-11-23,36.79
2007-11-26,36.72
2007-11-27,37.38
2007-11-28,37.97
2007-11-29,38.74
2007-11-30,38.57
2007-12-03,37.4
2007-12-04,37.67
2007-12-05,37.54
2007-12-06,37.75
2007-12-07,37.39
2007-12-10,36.98
2007-12-11,35.9
2007-12-12,35.19
2007-12-13,36.01
2007-12-14,35.7
2007-12-17,34.89
2007-12-18,33.55
2007-12-19,34.06
2007-12-20,34.79
2007-12-21,34.64
2007-12-24,35.15
2007-12-26,35.22
2007-12-27,34.27
2007-12-28,34.75
2007-12-31,34.7
2008-01-02,34.26
2008-01-03,33.93
2008-01-04,32.75
2008-01-07,32.82
2008-01-08,32.52
2008-01-09,32.27
2008-01-10,32.0
2008-01-11,31.76
2008-01-14,31.82
2008-01-15,31.07
2008-01-16,30.17
2008-01-17,29.0
2008-01-18,28.77
2008-01-22,28.28
2008-01-23,29.47
2008-01-24,29.41
2008-01-25,30.03
2008-01-28,30.3
2008-01-29,30.35
2008-01-30,30.84
2008-01-31,30.71
2008-02-01,31.89
2008-02-04,31.04
2008-02-05,31.03
2008-02-06,30.8
2008-02-07,29.98
2008-02-08,29.95
2008-02-11,30.18
2008-02-12,30.15
2008-02-13,30.5
2008-02-14,30.14
2008-02-15,30.0
2008-02-19,29.84
2008-02-20,30.0
2008-02-21,29.39
2008-02-22,29.38
2008-02-25,33.07
2008-02-26,32.58
2008-02-27,33.38
2008-02-28,33.35
2008-02-29,33.32
2008-03-03,33.12
2008-03-04,32.6
2008-03-05,32.9
2008-03-06,32.51
2008-03-07,32.64
2008-03-10,32.18
2008-03-11,33.12
2008-03-12,33.49
2008-03-13,33.56
2008-03-14,33.29
2008-03-17,32.43
2008-03-18,33.74
2008-03-19,33.22
2008-03-20,33.65
2008-03-24,34.05
2008-03-25,33.91
2008-03-26,33.28
2008-03-27,32.91
2008-03-28,32.92
2008-03-31,33.32
2008-04-01,34.53
2008-04-02,33.97
2008-04-03,33.99
2008-04-04,34.0
2008-04-07,33.22
2008-04-08,33.33
2008-04-09,32.86
2008-04-10,33.12
2008-04-11,32.97
2008-04-14,32.89
2008-04-15,33.04
2008-04-16,34.04
2008-04-17,33.7
2008-04-18,34.34
2008-04-21,34.06
2008-04-22,33.34
2008-04-23,35.34
2008-04-24,36.49
2008-04-25,36.45
2008-04-28,36.06
2008-04-29,36.43
2008-04-30,36.75
2008-05-01,37.67
2008-05-02,37.49
2008-05-05,37.09
2008-05-06,36.98
2008-05-07,36.78
2008-05-08,37.69
2008-05-09,37.1
2008-05-12,37.19
2008-05-13,37.87
2008-05-14,37.57
2008-05-15,37.63
2008-05-16,37.83
2008-05-19,37.99
2008-05-20,37.39
2008-05-21,36.91
2008-05-22,37.2
2008-05-23,36.68
2008-05-27,37.55
2008-05-28,37.19
2008-05-29,37.51
2008-05-30,37.6
2008-06-02,36.96
2008-06-03,36.99
2008-06-04,37.12
2008-06-05,37.95
2008-06-06,36.85
2008-06-09,36.54
2008-06-10,36.23
2008-06-11,35.39
2008-06-12,35.4
2008-06-13,35.44
2008-06-16,35.75
2008-06-17,36.43
2008-06-18,36.47
