Date,Close
2013-02-01,31.01
2013-02-04,31.02
2013-02-05,31.04
2013-02-06,31.03
2013-02-07,32.0
2013-02-08,33.05
2013-02-11,33.26
2013-02-12,33.74
2013-02-13,33.55
2013-02-14,33.27
2013-02-15,33.98
2013-02-19,33.84
2013-02-20,32.72
2013-02-21,32.56
2013-02-22,32.59
2013-02-25,32.07
2013-02-26,32.04
2013-02-27,32.32
2013-02-28,33.45
2013-03-01,34.6
2013-03-04,34.35
2013-03-05,34.29
2013-03-06,33.85
2013-03-07,34.56
2013-03-08,34.09
2013-03-11,34.18
2013-03-12,33.82
2013-03-13,34.0
2013-03-14,34.64
2013-03-15,33.44
2013-03-18,32.84
2013-03-19,32.8
2013-03-20,33.51
2013-03-21,33.47
2013-03-22,33.12
2013-03-25,32.46
2013-03-26,32.51
2013-03-27,32.74
2013-03-28,33.4
2013-04-01,32.59
2013-04-02,32.55
2013-04-03,32.53
2013-04-04,31.84
2013-04-05,31.96
2013-04-08,32.92
2013-04-09,33.44
2013-04-10,33.15
2013-04-11,33.16
2013-04-12,33.23
2013-04-15,32.24
2013-04-16,33.21
2013-04-17,32.89
2013-04-18,32.47
2013-04-19,32.71
2013-04-22,32.66
2013-04-23,31.7
2013-04-24,30.62
2013-04-25,31.55
2013-04-26,32.64
2013-04-29,32.66
2013-04-30,33.02
2013-05-01,33.39
2013-05-02,33.28
2013-05-03,33.21
2013-05-06,32.94
2013-05-07,32.88
2013-05-08,33.26
2013-05-09,33.55
2013-05-10,33.18
2013-05-13,33.04
2013-05-14,33.08
2013-05-15,32.79
2013-05-16,33.39
2013-05-17,33.9
2013-05-20,33.71
2013-05-21,33.04
2013-05-22,33.55
2013-05-23,32.84
2013-05-24,33.46
2013-05-28,34.26
2013-05-29,32.95
2013-05-30,32.24
2013-05-31,32.0
2013-06-03,32.75
2013-06-04,32.4
2013-06-05,32.17
2013-06-06,32.08
2013-06-07,31.5
2013-06-10,32.01
2013-06-11,31.7
2013-06-12,31.53
2013-06-13,31.17
2013-06-14,30.8
2013-06-17,30.96
2013-06-18,31.18
2013-06-19,31.0
2013-06-20,30.19
