Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ATVI,"Activision Blizzard",80.46,1.14,+1.44%,79.54,80.45,79.5,2372117,"15:29 ET"
CHTR,"Charter Communicatio",456.92,19.27,+4.40%,438,461.83,434.67,1032936,"15:29 ET"
CMCSA,"Comcast Corp A",38.53,0.85,+2.26%,37.82,38.45,37.64,12779562,"15:29 ET"
DIS,"Walt Disney Company",109.18,4.47,+4.27%,105.73,109.7,105.73,8622659,"15:29 ET"
DISH,"Dish Network Corp",18.17,1.04,+6.07%,17.27,18.54,16.535,5194072,"15:29 ET"
EA,"Electronic Arts Inc",133.59,4.7,+3.65%,131.14,134.92,130.41,1312287,"15:29 ET"
FOX,"Fox Corp Cl B",31.34,0.41,+1.33%,30.97,31.5,30.92,282638,"15:29 ET"
FOXA,"Fox Corp Cl A",33.62,0.41999999999999,+1.27%,33,33.815,33,986768,"15:29 ET"
GOOG,"Alphabet Cl C",118.96,3.06,+2.64%,116.34,119.42,116.15,18125128,"15:29 ET"
GOOGL,"Alphabet Cl A",118.17,3.04,+2.64%,115.71,118.62,115.48,19174522,"15:29 ET"
IPG,"Interpublic Group of Companies",30.08,0.69,+2.35%,29.63,30.095,29.51,1273305,"15:29 ET"
LUMN,Centurylink,11.15,0.38,+3.53%,11.12,11.13,10.93,7309993,"15:29 ET"
LYV,"Live Nation Entertainment",97.97,1.94,+2.02%,96.91,98.0288,96.09,672437,"15:29 ET"
META,"Meta Platforms Inc",168.2,8.01,+5.00%,162.69,169.54,161.57,26378046,"15:29 ET"
MTCH,"Match Group Inc",63.31,-13.4,-17.47%,60.06,64.88,59.1541,16646410,"15:29 ET"
NFLX,"Netflix Inc",226.56,5.14,+2.32%,224.79,228.1,222.42,4637486,"15:29 ET"
NWS,"News Cp Cl B",17.65,0.45,+2.62%,17.27,17.695,17.18,238008,"15:28 ET"
NWSA,"News Cp Cl A",17.46,0.46,+2.71%,17.06,17.51,16.99,1241040,"15:28 ET"
OMC,"Omnicom Group Inc",70.58,1.42,+2.05%,69.48,70.99,69.48,700676,"15:29 ET"
PARA,"Paramount Global Cl B",25.04,0.57,+2.33%,24.69,25.405,24.48,6640703,"15:29 ET"
T,"AT&T Inc",18.43,0.07,+0.38%,18.42,18.505,18.31,23201812,"15:29 ET"
TMUS,"T-Mobile US",143.96,1.61,+1.13%,142.56,144.13,142.38,1259766,"15:29 ET"
TTWO,"Take-Two Interactive",128.84,2.18,+1.72%,127.48,129.83,126.7014,1008895,"15:29 ET"
TWTR,"Twitter Inc",41.03,0.050000000000004,+0.12%,41,41.39,40.89,6931529,"15:29 ET"
VZ,"Verizon Communications Inc",45.42,0.079999999999998,+0.18%,45.46,45.605,45.18,12028808,"15:29 ET"
WBD,"Discovery Inc Series A",16.67,0.67,+4.19%,16.19,16.83,15.99,14890067,"15:29 ET"
"Downloaded from Barchart.com as of 08-03-2022 02:29pm CDT"
