Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAP,"Advance Auto Parts Inc",195.36,-0.63,-0.32%,195.97,193.56,101451,"11:52 ET"
AMZN,"Amazon.com Inc",136.53,1.14,+0.84%,136.67,134.4101,27597472,"11:53 ET"
APTV,"Aptiv Plc",108.11,1.73,+1.63%,108.19,105.05,568630,"11:53 ET"
AZO,Autozone,2146.79,-14.57,-0.67%,2164.47,2127.2351,25882,"11:52 ET"
BBWI,"Bath & Body Works Inc",36.92,-0.4,-1.07%,37.07,36.15,686027,"11:53 ET"
BBY,"Best Buy Company",75.87,-1.11,-1.44%,76.4501,75.17,847713,"11:53 ET"
BKNG,"Booking Holdings Inc",1947.47,40.8,+2.14%,1948.61,1902.8,156159,"11:53 ET"
BWA,"Borgwarner Inc",38.79,0.14,+0.36%,38.855,38.16,443970,"11:53 ET"
CCL,"Carnival Corp",9.54,0.62,+6.95%,9.47,8.67,25748696,"11:53 ET"
CMG,"Chipotle Mexican Grill",1565.11,7.7299999999998,+0.50%,1567.45,1546.03,42569,"11:39 ET"
CZR,"Caesars Entertainment Inc",47.88,1.84,+4.00%,47.875,45.17,1140103,"11:54 ET"
DG,"Dollar General Corp",251.16,-0.92000000000002,-0.36%,253.88,250.18,281250,"11:51 ET"
DHI,"D.R. Horton",77.03,-1.2,-1.53%,77.87,76.67,569353,"11:53 ET"
DLTR,"Dollar Tree Inc",166.16,-0.53,-0.32%,166.99,164.56,263791,"11:53 ET"
DPZ,"Domino's Pizza Inc",392.28,2.16,+0.55%,392.8,386.395,96556,"11:52 ET"
DRI,"Darden Restaurants",124.47,-0.28,-0.22%,124.74,123.445,161102,"11:53 ET"
EBAY,"Ebay Inc",48.36,-0.58,-1.19%,48.7099,47.75,1555686,"11:53 ET"
ETSY,"Etsy Inc",102.99,-0.62,-0.60%,104.85,101.34,909344,"11:53 ET"
EXPE,"Expedia Group Inc",105.22,2.43,+2.36%,104.97,101.76,896208,"11:53 ET"
