Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AFL,"Aflac Inc",59.77,3.06,+5.40%,58.41,59.97,57.54,1493407,"11:54 ET"
AIG,"American International Group",51.65,0.61,+1.20%,50.96,51.65,50.7103,1548618,"11:54 ET"
AIZ,"Assurant Inc",174.46,-0.15000000000001,-0.09%,175.03,175.5,173.585,121320,"11:52 ET"
AJG,"Arthur J. Gallagher & Company",174.08,1.56,+0.90%,172.07,174.01,171.75,235436,"11:55 ET"
ALL,"Allstate Corp",117.12,0.96000000000001,+0.83%,116.55,117.25,115.95,383926,"11:54 ET"
AMP,"Ameriprise Financial Services",268.55,1.99,+0.75%,264.12,267.835,264.05,278831,"11:54 ET"
AON,"AON Plc",284.32,3.98,+1.42%,279.03,283.96,278.28,404969,"11:55 ET"
AXP,"American Express Company",152.91,-0.42000000000002,-0.27%,152.02,152.83,150.84,724595,"11:55 ET"
BAC,"Bank of America Corp",33.69,-0.020000000000003,-0.06%,33.6,33.67,33.17,12010223,"11:54 ET"
BEN,"Franklin Resources",27.58,-0.36,-1.29%,27.65,27.65,27.18,965352,"11:54 ET"
BK,"Bank of New York Mellon Corp",43.32,0.030000000000001,+0.07%,42.85,43.23,42.58,669784,"11:54 ET"
BLK,"Blackrock Inc",671.51,0.12,+0.02%,663.78,672.07,662.99,199824,"11:54 ET"
BRK.B,"Berkshire Hathaway Cl B",295.16,-0.69999999999999,-0.24%,294.87,295.53,292.8,1066895,"11:55 ET"
BRO,"Brown & Brown",63.32,0.14,+0.22%,62.99,63.375,62.69,212753,"11:54 ET"
C,"Citigroup Inc",51.89,-0.030000000000001,-0.06%,51.76,52.095,51.43,5732933,"11:55 ET"
CB,"Chubb Ltd",187.87,2.89,+1.56%,185.4,187.58,184.59,474303,"11:55 ET"
CBOE,"CBOE Global Markets Inc",117.42,0.89,+0.76%,115.97,118.19,114.87,294369,"11:54 ET"
CFG,"Citizens Financial Group Inc/Ri",37.31,-0.27,-0.72%,37.43,37.445,36.86,840671,"11:53 ET"
CINF,"Cincinnati Financial",95.36,0.47,+0.50%,95.37,95.455,93.41,356578,"11:54 ET"
CMA,"Comerica Inc",77.57,-0.2,-0.26%,77.43,77.79,76.41,196773,"11:54 ET"
CME,"CME Group Inc",197.08,1.33,+0.68%,195.91,197.775,194.94,330801,"11:54 ET"
COF,"Capital One Financial Corp",108.95,-0.78,-0.71%,108.84,108.93,106.94,780840,"11:55 ET"
DFS,"Discover Financial Services",101.29,-0.92999999999999,-0.91%,101.54,101.54,99.7025,200520,"11:54 ET"
FDS,"Factset Research Systems Inc",422.51,-0.29000000000002,-0.07%,421.64,424.03,416.74,43561,"11:52 ET"
FITB,"Fifth Third Bancorp",34.11,-0.020000000000003,-0.06%,33.92,34.05,33.475,1249955,"11:54 ET"
FRC,"First Republic Bank",158.79,-3.59,-2.21%,156.81,159.14,156.81,910929,"11:54 ET"
GL,"Globe Life Inc",98.98,-0.11,-0.11%,98.9,99.65,98.63,70218,"11:54 ET"
GS,"Goldman Sachs Group",330.76,-1.32,-0.40%,329.5,330.94,327.22,700107,"11:54 ET"
HBAN,"Huntington Bcshs",13.3,-0.049999999999999,-0.37%,13.36,13.36,13.095,2844470,"11:54 ET"
HIG,"Hartford Financial Services Group",63.91,0.48,+0.76%,63.54,64.02,63.08,521905,"11:54 ET"
ICE,"Intercontinental Exchange",101.11,0.70999999999999,+0.71%,99.74,101.51,99.56,506259,"11:54 ET"
IVZ,"Invesco Plc",17.89,-0.16,-0.89%,17.9,17.92,17.67,924654,"11:54 ET"
JPM,"JP Morgan Chase & Company",114.36,0.15000000000001,+0.13%,113.92,114.05,112.5896,5469930,"11:55 ET"
KEY,Keycorp,18.23,-0.059999999999999,-0.33%,18.2,18.22,17.95,2270282,"11:54 ET"
L,"Loews Corp",55.75,0.1,+0.18%,55.45,55.99,54.89,357049,"11:53 ET"
LNC,"Lincoln National Corp",50.74,-0.16,-0.31%,50.34,50.77,50.22,673011,"11:54 ET"
MCO,"Moody's Corp",308.25,0.74000000000001,+0.24%,304.52,308.335,302.06,339096,"11:54 ET"
MET,"Metlife Inc",62.93,0.039999999999999,+0.06%,62.89,62.89,62.27,1044697,"11:54 ET"
MKTX,"Marketaxess Holdings",274.64,5.24,+1.95%,268.99,273.8,267.39,48936,"11:54 ET"
MMC,"Marsh & Mclennan Companies",163.01,1.05,+0.65%,161.72,163.17,160.82,316796,"11:51 ET"
MS,"Morgan Stanley",84.15,0.060000000000002,+0.07%,83.33,84.2,82.96,3313739,"11:55 ET"
MSCI,"MSCI Inc",480.51,3.65,+0.77%,472.51,483.61,471.86,93396,"11:55 ET"
MTB,"M&T Bank Corp",174.62,-1.47,-0.83%,176,176.1,173.86,318548,"11:54 ET"
NDAQ,"Nasdaq Inc",177.86,-1,-0.56%,178.17,178.56,177.19,257262,"11:54 ET"
NTRS,"Northern Trust Corp",98.25,-0.5,-0.51%,98.59,98.59,97.185,171471,"11:54 ET"
